city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Absheron,2020-01-01,11.6,3.4,6.1,0.0,0.0,0.0,14.7,26.6,88,1013.4,15,8.29,9.7,3,40.49,49.75
Absheron,2020-01-02,8.4,2.3,5.8,0.0,0.0,0.0,32.3,61.9,87,1019.7,49,7.46,2.7,3,40.49,49.75
Absheron,2020-01-03,6.7,3.8,5.2,2.2,2.2,0.0,25.6,48.2,87,1026.7,96,3.24,2.8,51,40.49,49.75
Absheron,2020-01-04,8.1,3.7,6.2,0.4,0.4,0.0,21.7,41.8,85,1020.8,99,2.55,4.4,51,40.49,49.75
Absheron,2020-01-05,6.8,6.1,6.4,3.8,3.8,0.0,14.1,26.6,92,1015.0,100,1.63,5.1,53,40.49,49.75
Absheron,2020-01-06,9.4,4.1,6.3,0.0,0.0,0.0,9.7,20.2,90,1021.9,58,6.82,7.1,3,40.49,49.75
Absheron,2020-01-07,9.6,4.0,6.4,0.0,0.0,0.0,27.0,52.2,84,1021.1,40,8.15,4.4,3,40.49,49.75
Absheron,2020-01-08,9.8,0.3,5.6,0.0,0.0,0.0,15.3,30.6,84,1017.4,52,7.7,7.1,3,40.49,49.75
Absheron,2020-01-09,8.9,6.1,7.0,0.0,0.0,0.0,28.6,54.7,88,1016.8,98,5.02,3.8,3,40.49,49.75
Absheron,2020-01-10,6.8,4.5,5.9,0.7,0.7,0.0,23.4,43.6,89,1020.5,84,4.91,3.0,51,40.49,49.75
Absheron,2020-01-11,5.6,3.0,4.5,2.1,2.1,0.0,17.3,36.7,91,1023.6,94,1.68,3.7,53,40.49,49.75
Absheron,2020-01-12,9.0,1.4,4.5,0.0,0.0,0.0,28.5,54.0,81,1017.8,53,8.7,2.9,3,40.49,49.75
Absheron,2020-01-13,5.9,4.7,5.3,1.8,1.8,0.0,42.5,79.9,88,1021.6,99,4.13,1.9,51,40.49,49.75
Absheron,2020-01-14,8.4,1.5,4.4,0.0,0.0,0.0,12.5,29.9,86,1028.1,25,8.79,5.3,3,40.49,49.75
Absheron,2020-01-15,6.2,1.0,4.4,2.6,2.6,0.0,28.9,53.6,89,1029.3,91,4.88,2.4,53,40.49,49.75
Absheron,2020-01-16,6.7,4.2,5.0,1.6,1.6,0.0,28.3,52.6,84,1035.9,90,5.48,3.0,51,40.49,49.75
Absheron,2020-01-17,9.1,1.5,5.3,2.1,2.1,0.0,17.8,32.4,85,1027.3,69,4.57,5.7,53,40.49,49.75
Absheron,2020-01-18,6.7,2.4,4.5,0.0,0.0,0.0,38.4,73.4,79,1022.3,69,8.74,0.8,3,40.49,49.75
Absheron,2020-01-19,4.4,2.8,3.6,0.8,0.8,0.0,26.9,51.5,79,1026.8,96,4.18,-0.6,51,40.49,49.75
Absheron,2020-01-20,5.2,1.6,3.1,0.0,0.0,0.0,21.5,40.7,79,1029.5,75,6.13,0.6,3,40.49,49.75
Absheron,2020-01-21,5.6,-1.9,2.2,0.0,0.0,0.0,13.4,28.4,84,1026.9,48,6.72,2.2,3,40.49,49.75
Absheron,2020-01-22,8.6,-1.7,2.8,0.0,0.0,0.0,23.1,43.2,79,1021.0,3,10.08,4.4,1,40.49,49.75
Absheron,2020-01-23,10.1,2.1,5.2,0.0,0.0,0.0,42.9,81.0,65,1008.7,17,10.26,4.0,3,40.49,49.75
Absheron,2020-01-24,5.2,1.5,3.5,1.5,1.3,0.14,29.7,56.2,83,1019.8,87,3.21,1.2,71,40.49,49.75
Absheron,2020-01-25,6.0,-1.8,2.3,0.0,0.0,0.0,37.8,72.0,67,1027.0,25,10.45,-1.9,3,40.49,49.75
Absheron,2020-01-26,9.6,0.2,3.9,0.0,0.0,0.0,25.6,46.8,64,1019.8,5,10.57,6.1,2,40.49,49.75
Absheron,2020-01-27,8.3,1.8,5.5,0.0,0.0,0.0,24.5,47.5,84,1026.8,31,8.86,3.7,3,40.49,49.75
Absheron,2020-01-28,9.8,2.2,5.3,0.0,0.0,0.0,27.2,52.9,70,1021.1,16,10.74,4.1,2,40.49,49.75
Absheron,2020-01-29,10.7,3.2,6.6,0.0,0.0,0.0,26.5,50.4,69,1014.3,55,10.22,5.1,3,40.49,49.75
Absheron,2020-01-30,9.4,1.7,5.5,0.0,0.0,0.0,22.8,40.0,87,1013.2,40,10.63,6.9,3,40.49,49.75
Absheron,2020-01-31,15.1,4.9,8.1,0.0,0.0,0.0,28.1,53.6,69,1007.2,52,10.4,11.4,3,40.49,49.75
Absheron,2020-02-01,6.1,4.0,5.0,4.2,4.2,0.0,40.2,75.2,86,1011.6,97,2.66,-0.2,53,40.49,49.75
Absheron,2020-02-02,8.2,2.0,4.5,1.5,1.5,0.0,21.6,45.7,83,1018.5,61,7.77,5.3,51,40.49,49.75
Absheron,2020-02-03,12.5,2.2,7.8,0.0,0.0,0.0,34.8,64.8,58,1012.5,7,11.42,6.0,3,40.49,49.75
Absheron,2020-02-04,16.1,7.2,9.2,0.0,0.0,0.0,42.6,79.6,58,1002.6,60,10.7,10.3,3,40.49,49.75
Absheron,2020-02-05,10.1,4.2,7.3,0.0,0.0,0.0,35.2,65.5,75,1014.4,49,10.88,4.5,3,40.49,49.75
Absheron,2020-02-06,18.5,7.8,14.0,0.0,0.0,0.0,53.3,97.9,42,1005.7,26,11.81,11.6,3,40.49,49.75
Absheron,2020-02-07,18.8,6.8,13.9,0.0,0.0,0.0,48.0,90.4,53,1003.0,33,11.87,13.5,3,40.49,49.75
Absheron,2020-02-08,7.7,2.5,6.2,2.8,1.7,0.77,42.8,79.9,87,1005.2,99,6.74,2.7,73,40.49,49.75
Absheron,2020-02-09,2.8,-2.0,-0.1,4.8,1.2,2.59,51.3,97.2,76,1017.5,98,3.7,-5.7,73,40.49,49.75
Absheron,2020-02-10,0.9,-2.3,-1.0,0.0,0.0,0.0,48.7,91.4,63,1028.5,83,10.11,-7.9,3,40.49,49.75
Absheron,2020-02-11,3.8,-2.2,0.4,0.0,0.0,0.0,28.2,56.9,65,1021.9,73,7.45,-0.1,3,40.49,49.75
Absheron,2020-02-12,7.0,-1.6,2.6,0.0,0.0,0.0,31.4,59.4,43,1011.5,16,13.42,-0.0,3,40.49,49.75
Absheron,2020-02-13,9.2,-2.0,4.3,0.0,0.0,0.0,26.1,50.0,69,1017.6,68,9.27,4.0,3,40.49,49.75
Absheron,2020-02-14,5.5,0.2,3.8,1.5,1.5,0.0,35.3,69.1,81,1025.6,80,8.03,1.1,51,40.49,49.75
Absheron,2020-02-15,9.1,-1.0,4.6,0.0,0.0,0.0,25.8,50.8,78,1031.3,52,12.56,3.9,3,40.49,49.75
Absheron,2020-02-16,8.5,5.0,6.3,0.0,0.0,0.0,20.2,37.8,84,1029.4,94,4.19,6.3,3,40.49,49.75
Absheron,2020-02-17,7.9,4.6,5.9,0.1,0.1,0.0,22.0,40.7,82,1034.0,98,6.99,3.5,51,40.49,49.75
Absheron,2020-02-18,9.5,2.3,5.6,0.0,0.0,0.0,26.7,52.2,80,1031.9,13,13.3,4.1,3,40.49,49.75
Absheron,2020-02-19,10.5,4.4,7.0,0.0,0.0,0.0,29.0,53.3,82,1021.5,62,13.27,5.2,3,40.49,49.75
Absheron,2020-02-20,7.5,4.9,6.1,3.4,3.4,0.0,21.8,42.8,94,1015.7,100,3.25,4.8,53,40.49,49.75
Absheron,2020-02-21,7.7,3.8,5.7,0.0,0.0,0.0,20.6,41.4,89,1018.1,91,10.83,4.7,3,40.49,49.75
Absheron,2020-02-22,8.9,5.0,6.9,0.3,0.3,0.0,14.1,27.0,90,1021.9,99,4.32,6.7,51,40.49,49.75
Absheron,2020-02-23,9.9,5.7,7.8,0.1,0.1,0.0,15.6,28.4,90,1020.6,99,7.32,7.8,51,40.49,49.75
Absheron,2020-02-24,11.2,3.2,7.0,0.0,0.0,0.0,33.4,66.6,91,1015.5,61,9.74,6.5,3,40.49,49.75
Absheron,2020-02-25,19.9,5.3,8.1,0.5,0.5,0.0,52.3,100.8,72,1007.7,54,13.98,14.4,51,40.49,49.75
Absheron,2020-02-26,10.0,4.4,6.7,0.0,0.0,0.0,27.5,51.1,63,1021.9,46,10.32,6.1,3,40.49,49.75
Absheron,2020-02-27,10.8,5.2,7.5,0.0,0.0,0.0,42.5,81.4,88,1018.8,48,13.32,3.6,3,40.49,49.75
Absheron,2020-02-28,14.2,6.0,9.7,0.0,0.0,0.0,35.5,65.9,77,1009.0,85,14.53,8.7,3,40.49,49.75
Absheron,2020-02-29,11.4,5.2,8.9,0.0,0.0,0.0,40.8,77.0,67,1014.4,77,13.41,7.2,3,40.49,49.75
