city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Agdam,2020-01-01,10.0,-0.1,5.2,1.0,1.0,0.0,11.1,20.2,78,1014.2,39,8.47,7.8,53,39.99,46.93
Agdam,2020-01-02,10.2,0.8,5.7,3.5,3.5,0.0,11.3,20.9,78,1019.2,55,7.23,7.9,53,39.99,46.93
Agdam,2020-01-03,5.8,2.0,4.2,2.9,2.9,0.0,9.3,20.9,91,1026.3,93,3.2,2.9,51,39.99,46.93
Agdam,2020-01-04,4.7,2.0,3.3,0.5,0.5,0.0,8.6,15.1,92,1021.4,99,1.93,2.4,51,39.99,46.93
Agdam,2020-01-05,7.8,-0.3,3.5,0.1,0.1,0.0,6.6,18.7,80,1015.3,72,9.0,4.9,51,39.99,46.93
Agdam,2020-01-06,7.8,0.2,3.2,0.0,0.0,0.0,7.8,20.9,77,1021.9,5,9.07,5.0,3,39.99,46.93
Agdam,2020-01-07,7.9,-0.9,2.6,0.0,0.0,0.0,8.1,18.7,68,1022.3,37,8.88,5.7,3,39.99,46.93
Agdam,2020-01-08,6.9,-0.5,2.6,0.0,0.0,0.0,7.1,19.4,58,1017.1,90,7.44,3.1,3,39.99,46.93
Agdam,2020-01-09,6.4,-0.1,2.4,0.0,0.0,0.0,8.9,17.3,72,1017.5,81,6.39,3.5,3,39.99,46.93
Agdam,2020-01-10,6.6,-0.2,2.7,0.2,0.2,0.0,9.7,23.0,75,1020.2,50,7.57,3.3,51,39.99,46.93
Agdam,2020-01-11,6.5,0.9,3.1,0.6,0.6,0.0,10.9,24.5,81,1023.4,77,6.63,3.0,51,39.99,46.93
Agdam,2020-01-12,7.8,-1.3,3.5,0.0,0.0,0.0,13.6,24.5,73,1019.3,80,7.5,4.9,3,39.99,46.93
Agdam,2020-01-13,7.1,-0.2,3.9,4.3,4.3,0.0,17.2,31.7,83,1021.7,77,5.24,4.7,61,39.99,46.93
Agdam,2020-01-14,7.3,-3.2,1.5,0.0,0.0,0.0,10.2,19.4,75,1028.2,1,9.8,4.6,0,39.99,46.93
Agdam,2020-01-15,5.1,-2.2,0.7,0.0,0.0,0.0,9.2,20.9,72,1029.0,74,7.93,1.6,3,39.99,46.93
Agdam,2020-01-16,3.7,0.6,2.0,7.1,6.7,0.28,11.7,23.0,88,1035.8,99,2.46,0.0,71,39.99,46.93
Agdam,2020-01-17,4.7,-0.6,1.4,1.4,0.5,0.63,12.3,22.0,90,1028.8,77,4.54,1.4,71,39.99,46.93
Agdam,2020-01-18,7.1,-4.2,0.7,0.0,0.0,0.0,11.6,26.3,73,1022.2,19,10.27,3.5,3,39.99,46.93
Agdam,2020-01-19,3.0,-0.2,1.5,0.5,0.4,0.07,15.1,30.6,83,1026.5,97,3.24,-1.4,71,39.99,46.93
Agdam,2020-01-20,3.3,0.5,1.5,0.5,0.5,0.0,9.7,22.0,89,1029.7,94,3.96,0.3,51,39.99,46.93
Agdam,2020-01-21,5.9,-0.7,2.0,0.0,0.0,0.0,9.7,22.0,81,1027.0,69,8.67,2.4,3,39.99,46.93
Agdam,2020-01-22,7.4,-1.5,2.2,0.0,0.0,0.0,10.3,21.6,74,1022.7,41,10.14,4.1,3,39.99,46.93
Agdam,2020-01-23,8.2,-2.9,2.0,0.0,0.0,0.0,13.4,23.8,62,1011.9,15,10.72,5.2,3,39.99,46.93
Agdam,2020-01-24,3.5,0.6,1.8,5.5,2.2,2.31,9.4,19.1,79,1019.7,95,2.06,-0.6,73,39.99,46.93
Agdam,2020-01-25,3.7,-1.9,0.5,0.5,0.0,0.35,12.4,23.0,76,1028.8,60,10.06,0.5,71,39.99,46.93
Agdam,2020-01-26,9.3,-2.8,2.2,0.0,0.0,0.0,13.2,24.1,48,1021.5,6,11.35,6.0,1,39.99,46.93
Agdam,2020-01-27,8.4,-2.5,2.0,0.0,0.0,0.0,9.3,23.4,55,1027.3,1,11.21,4.4,1,39.99,46.93
Agdam,2020-01-28,8.8,-2.7,2.1,0.0,0.0,0.0,7.9,18.4,52,1021.9,40,10.5,5.8,3,39.99,46.93
Agdam,2020-01-29,10.9,-1.0,4.4,0.0,0.0,0.0,15.6,28.1,39,1015.2,65,10.38,7.0,3,39.99,46.93
Agdam,2020-01-30,13.2,0.8,5.8,0.0,0.0,0.0,16.9,30.6,54,1013.7,23,11.43,10.0,2,39.99,46.93
Agdam,2020-01-31,13.1,-0.3,6.2,0.0,0.0,0.0,15.8,28.8,64,1007.4,78,10.27,11.6,3,39.99,46.93
Agdam,2020-02-01,5.4,2.7,3.6,7.6,7.6,0.0,12.5,24.1,87,1011.2,99,2.14,2.2,53,39.99,46.93
Agdam,2020-02-02,8.4,-1.0,3.7,1.1,1.1,0.0,9.4,19.4,81,1019.3,63,9.57,5.7,51,39.99,46.93
Agdam,2020-02-03,11.1,-0.5,4.7,0.0,0.0,0.0,14.0,27.4,58,1016.0,10,11.96,8.7,2,39.99,46.93
Agdam,2020-02-04,11.5,0.2,5.2,0.0,0.0,0.0,14.3,26.3,60,1006.4,52,9.41,9.1,3,39.99,46.93
Agdam,2020-02-05,10.9,1.9,5.9,0.1,0.1,0.0,12.0,22.0,70,1015.1,32,11.51,8.1,51,39.99,46.93
Agdam,2020-02-06,16.5,0.4,8.5,0.0,0.0,0.0,16.1,28.8,66,1011.6,26,11.9,14.9,3,39.99,46.93
Agdam,2020-02-07,18.5,3.5,9.9,0.0,0.0,0.0,16.3,29.5,57,1004.3,28,9.58,16.5,3,39.99,46.93
Agdam,2020-02-08,9.5,2.7,5.9,5.3,4.4,0.63,17.2,34.6,81,1004.0,82,7.65,6.7,73,39.99,46.93
Agdam,2020-02-09,1.2,-3.5,-1.6,13.2,0.3,9.03,12.3,25.9,86,1017.0,99,3.51,-2.3,75,39.99,46.93
Agdam,2020-02-10,-0.4,-6.3,-3.4,0.0,0.0,0.0,7.7,13.7,65,1027.9,92,9.28,-3.9,3,39.99,46.93
Agdam,2020-02-11,1.0,-9.1,-5.0,0.0,0.0,0.0,10.8,20.9,66,1022.8,28,13.76,-2.5,3,39.99,46.93
Agdam,2020-02-12,5.1,-6.4,-2.0,0.0,0.0,0.0,14.3,27.7,50,1014.6,16,13.94,1.8,2,39.99,46.93
Agdam,2020-02-13,7.2,-5.4,0.4,0.3,0.0,0.21,13.8,24.8,64,1019.1,69,9.52,3.6,73,39.99,46.93
Agdam,2020-02-14,6.9,-2.7,2.4,2.2,1.4,0.56,14.7,31.0,73,1026.0,59,12.01,4.3,73,39.99,46.93
Agdam,2020-02-15,6.2,-4.7,0.4,0.0,0.0,0.0,12.8,23.4,59,1031.6,59,12.88,2.6,3,39.99,46.93
Agdam,2020-02-16,7.2,-2.7,1.8,0.0,0.0,0.0,9.6,21.2,53,1028.9,75,13.23,3.7,3,39.99,46.93
