city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Agdash,2020-01-01,11.2,-0.6,4.5,0.0,0.0,0.0,11.0,23.8,85,1014.1,30,7.69,8.2,3
Agdash,2020-01-02,9.8,0.3,4.9,0.3,0.3,0.0,9.7,14.8,82,1019.1,53,6.47,7.7,51
Agdash,2020-01-03,6.1,3.9,5.0,3.0,3.0,0.0,9.8,19.8,93,1026.4,94,2.13,3.9,53
Agdash,2020-01-04,6.3,3.8,4.9,0.2,0.2,0.0,9.5,16.9,89,1021.2,100,1.62,4.0,51
Agdash,2020-01-05,10.2,-1.4,3.9,0.0,0.0,0.0,10.1,22.0,80,1014.9,32,8.64,7.3,3
Agdash,2020-01-06,9.4,-2.8,2.2,0.0,0.0,0.0,8.7,15.5,85,1022.0,0,8.68,6.9,0
Agdash,2020-01-07,8.8,-3.1,1.8,0.0,0.0,0.0,11.5,19.8,82,1022.2,19,8.53,5.7,2
Agdash,2020-01-08,6.7,-4.4,0.7,0.0,0.0,0.0,7.9,10.4,74,1017.5,59,6.88,3.8,3
Agdash,2020-01-09,8.5,-1.8,2.4,0.0,0.0,0.0,9.8,16.6,80,1017.2,78,6.13,5.7,3
Agdash,2020-01-10,8.1,-3.1,1.7,0.0,0.0,0.0,9.0,21.6,86,1020.3,27,8.23,5.1,3
Agdash,2020-01-11,6.5,0.8,3.0,0.0,0.0,0.0,9.7,20.2,89,1023.5,62,5.12,4.1,3
Agdash,2020-01-12,8.6,-2.5,2.5,0.0,0.0,0.0,10.5,22.0,79,1019.3,59,7.1,4.8,3
Agdash,2020-01-13,9.4,0.1,3.9,0.0,0.0,0.0,9.5,16.6,78,1021.5,70,6.39,6.9,3
Agdash,2020-01-14,9.9,-3.3,2.8,0.0,0.0,0.0,8.2,20.2,74,1028.1,4,9.42,6.3,1
Agdash,2020-01-15,6.9,-0.9,2.9,0.1,0.1,0.0,9.1,20.2,80,1029.0,88,6.79,3.9,51
Agdash,2020-01-16,5.8,2.5,4.0,6.5,6.5,0.0,8.4,19.1,90,1035.9,100,2.92,3.0,53
Agdash,2020-01-17,6.4,1.8,3.6,3.1,3.1,0.0,16.1,33.5,88,1028.5,67,3.98,2.9,53
Agdash,2020-01-18,7.9,-2.6,1.6,0.0,0.0,0.0,12.1,27.4,77,1022.2,48,9.48,4.6,3
Agdash,2020-01-19,3.8,-0.8,2.2,2.4,2.4,0.0,6.2,15.1,87,1026.7,95,2.42,1.1,53
Agdash,2020-01-20,5.1,0.5,2.8,0.6,0.6,0.0,6.9,14.8,87,1029.8,89,3.55,2.6,51
Agdash,2020-01-21,7.0,-0.6,2.3,0.0,0.0,0.0,7.4,18.0,82,1026.9,39,8.49,4.3,2
Agdash,2020-01-22,10.1,-1.8,3.1,0.0,0.0,0.0,23.0,46.4,72,1022.2,27,10.19,4.6,3
Agdash,2020-01-23,11.2,1.0,5.4,0.0,0.0,0.0,23.0,47.5,61,1010.9,15,10.18,5.9,3
Agdash,2020-01-24,8.4,-0.8,5.2,0.0,0.0,0.0,20.9,42.5,46,1018.4,77,4.39,2.8,3
Agdash,2020-01-25,5.8,-3.2,0.6,0.0,0.0,0.0,15.7,32.8,68,1028.5,19,10.42,0.8,3
Agdash,2020-01-26,12.1,-3.5,2.6,0.0,0.0,0.0,17.4,36.0,54,1021.0,0,10.78,7.2,0
Agdash,2020-01-27,8.9,-3.0,2.2,0.0,0.0,0.0,12.3,19.1,70,1027.4,1,10.49,6.0,0
Agdash,2020-01-28,9.8,-4.2,1.6,0.0,0.0,0.0,10.3,22.7,74,1021.9,28,10.72,6.2,2
Agdash,2020-01-29,10.9,-3.2,3.7,0.0,0.0,0.0,9.6,20.9,65,1015.2,45,10.56,7.7,3
Agdash,2020-01-30,16.1,0.3,7.1,0.0,0.0,0.0,17.7,36.0,60,1013.3,26,10.93,12.6,3
Agdash,2020-01-31,15.4,1.6,8.0,0.0,0.0,0.0,22.7,42.1,60,1007.4,86,10.08,12.7,3
Agdash,2020-02-01,7.4,2.9,4.9,5.4,5.4,0.0,24.8,46.8,83,1011.0,99,1.99,3.3,55
Agdash,2020-02-02,9.7,-0.5,4.8,0.6,0.6,0.0,8.8,23.4,79,1019.0,36,10.22,6.6,51
Agdash,2020-02-03,13.3,-1.7,5.2,0.0,0.0,0.0,17.4,35.6,70,1015.6,15,11.42,8.7,3
Agdash,2020-02-04,17.2,4.2,10.4,0.0,0.0,0.0,26.4,52.9,50,1005.1,43,10.93,11.5,3
Agdash,2020-02-05,11.9,2.9,6.8,0.1,0.1,0.0,15.8,31.0,62,1015.0,23,11.62,9.1,51
Agdash,2020-02-06,19.4,3.5,10.4,0.0,0.0,0.0,16.3,34.2,53,1010.9,12,11.65,15.2,1
Agdash,2020-02-07,18.5,7.6,11.7,0.0,0.0,0.0,23.8,46.4,55,1004.2,32,7.55,16.2,3
Agdash,2020-02-08,11.2,2.5,7.1,11.8,9.8,1.4,25.0,47.2,76,1003.9,88,5.87,9.0,73
Agdash,2020-02-09,3.2,-7.5,0.3,9.3,0.0,6.51,24.0,48.2,64,1016.6,87,5.66,-1.7,75
Agdash,2020-02-10,4.3,-3.7,-0.7,0.0,0.0,0.0,9.9,18.7,73,1027.6,77,9.91,0.8,3
Agdash,2020-02-11,4.3,-6.2,-1.8,0.0,0.0,0.0,6.5,18.4,65,1022.6,12,13.13,0.5,2
Agdash,2020-02-12,8.0,-6.2,0.6,0.0,0.0,0.0,18.1,37.8,49,1013.8,24,13.26,2.0,3
Agdash,2020-02-13,11.4,-1.0,6.2,0.0,0.0,0.0,20.1,38.5,49,1017.9,64,10.13,7.1,3
Agdash,2020-02-14,11.6,1.2,6.2,0.1,0.1,0.0,27.1,56.9,49,1025.1,39,13.4,4.8,51
Agdash,2020-02-15,10.5,-3.0,3.5,0.0,0.0,0.0,12.8,26.3,59,1031.5,61,12.41,6.8,3
Agdash,2020-02-16,11.6,-2.3,4.5,0.0,0.0,0.0,11.9,23.0,60,1028.7,74,12.86,8.3,3
Agdash,2020-02-17,9.0,3.9,6.0,0.3,0.3,0.0,8.1,19.1,70,1033.9,88,6.53,5.8,51
Agdash,2020-02-18,11.3,1.5,5.3,0.0,0.0,0.0,7.8,19.8,66,1032.4,10,13.73,8.4,1
Agdash,2020-02-19,14.0,-0.9,6.0,0.0,0.0,0.0,10.1,22.3,64,1022.1,50,13.74,10.8,3
