city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Agdere,2020-01-01,8.8,1.3,4.6,0.0,0.0,0.0,7.2,17.3,77,1014.0,46,8.39,6.1,3
Agdere,2020-01-02,8.4,0.5,4.3,0.2,0.2,0.0,8.6,18.0,75,1019.1,44,7.28,5.9,51
Agdere,2020-01-03,3.8,0.5,2.5,2.8,2.8,0.0,8.6,18.0,92,1026.3,92,2.76,1.1,51
Agdere,2020-01-04,3.2,0.6,1.8,0.3,0.3,0.0,7.4,15.8,93,1021.4,99,2.4,0.5,51
Agdere,2020-01-05,6.7,-1.5,2.2,0.0,0.0,0.0,7.6,16.6,78,1015.2,61,8.97,3.7,3
Agdere,2020-01-06,6.1,-0.6,1.9,0.0,0.0,0.0,5.6,16.6,74,1021.7,6,9.15,3.3,2
Agdere,2020-01-07,6.9,-1.5,2.3,0.0,0.0,0.0,7.2,16.6,66,1022.0,26,9.04,4.3,2
Agdere,2020-01-08,7.8,-0.6,3.3,0.0,0.0,0.0,5.8,16.6,50,1016.6,75,7.53,3.9,3
Agdere,2020-01-09,5.8,-0.4,2.4,0.0,0.0,0.0,9.7,19.1,63,1017.2,85,6.12,2.3,3
Agdere,2020-01-10,5.4,-0.5,2.1,0.0,0.0,0.0,8.6,15.8,75,1020.0,47,7.3,2.5,3
Agdere,2020-01-11,4.9,-0.5,2.2,0.0,0.0,0.0,10.3,19.1,82,1023.1,69,5.95,2.1,3
Agdere,2020-01-12,6.9,-0.6,2.8,0.0,0.0,0.0,11.6,21.6,66,1019.1,85,7.39,3.9,3
Agdere,2020-01-13,6.6,0.9,3.1,3.8,3.8,0.0,16.1,30.2,77,1021.5,72,5.44,2.8,55
Agdere,2020-01-14,6.2,-2.2,1.3,0.0,0.0,0.0,6.6,15.8,70,1028.0,4,9.8,3.4,0
Agdere,2020-01-15,4.4,-2.0,1.0,0.0,0.0,0.0,6.7,18.4,69,1028.8,74,7.84,1.0,3
Agdere,2020-01-16,2.0,-0.6,0.7,9.0,0.1,6.23,12.6,25.2,87,1035.7,99,2.85,-1.8,73
Agdere,2020-01-17,2.2,-3.0,-0.6,1.7,0.0,1.19,12.0,23.0,92,1028.7,71,5.89,-1.2,73
Agdere,2020-01-18,6.1,-6.5,-0.5,0.0,0.0,0.0,10.0,23.0,67,1022.0,20,10.6,2.1,3
Agdere,2020-01-19,1.6,-1.2,0.1,0.6,0.0,0.42,13.9,28.1,87,1026.4,96,3.31,-2.6,71
Agdere,2020-01-20,1.0,-1.1,-0.1,0.7,0.0,0.49,4.6,14.4,90,1029.8,98,3.51,-1.7,71
Agdere,2020-01-21,4.5,-1.8,0.9,0.0,0.0,0.0,9.7,20.5,81,1027.0,51,9.19,1.0,3
Agdere,2020-01-22,5.9,-2.0,1.5,0.0,0.0,0.0,9.0,18.0,65,1022.6,36,10.4,3.1,3
