city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Agstafa,2020-01-01,10.4,0.3,4.3,0.4,0.4,0.0,8.6,20.2,77,1015.2,30,8.24,7.7,51,41.12,45.45
Agstafa,2020-01-02,10.4,0.7,4.5,0.1,0.1,0.0,12.7,25.9,71,1020.1,37,7.73,6.9,51,41.12,45.45
Agstafa,2020-01-03,7.2,1.0,3.6,0.2,0.2,0.0,8.8,20.5,76,1026.2,87,5.49,4.3,51,41.12,45.45
Agstafa,2020-01-04,4.2,0.7,2.8,2.2,2.2,0.0,8.0,14.4,92,1022.0,97,1.53,1.9,51,41.12,45.45
Agstafa,2020-01-05,7.6,-2.7,1.5,0.0,0.0,0.0,7.0,15.5,80,1016.1,44,8.29,4.9,3,41.12,45.45
Agstafa,2020-01-06,8.4,-1.5,2.1,0.0,0.0,0.0,7.2,14.8,69,1022.4,0,8.79,5.6,0,41.12,45.45
Agstafa,2020-01-07,8.1,-3.2,0.9,0.0,0.0,0.0,7.6,16.2,74,1023.5,15,8.62,5.4,3,41.12,45.45
Agstafa,2020-01-08,8.1,-2.5,2.5,0.0,0.0,0.0,4.7,15.5,61,1017.9,38,7.75,5.1,3,41.12,45.45
Agstafa,2020-01-09,8.7,-3.3,1.1,0.0,0.0,0.0,11.4,15.5,67,1018.1,60,7.68,5.6,3,41.12,45.45
Agstafa,2020-01-10,9.3,-1.6,2.6,0.0,0.0,0.0,10.9,25.6,66,1020.5,20,8.67,5.2,3,41.12,45.45
Agstafa,2020-01-11,9.1,-1.3,2.8,0.0,0.0,0.0,9.7,22.3,67,1023.5,24,8.84,5.4,3,41.12,45.45
Agstafa,2020-01-12,7.8,-1.0,2.3,0.0,0.0,0.0,9.5,19.4,66,1020.2,75,6.38,4.9,3,41.12,45.45
Agstafa,2020-01-13,9.3,0.7,4.1,0.0,0.0,0.0,20.8,42.1,60,1022.8,42,8.9,3.7,3,41.12,45.45
Agstafa,2020-01-14,9.1,-3.2,2.1,0.0,0.0,0.0,7.6,15.1,58,1028.5,9,9.45,5.9,3,41.12,45.45
Agstafa,2020-01-15,9.0,-1.6,1.7,0.0,0.0,0.0,9.2,14.8,61,1028.9,70,7.58,5.3,3,41.12,45.45
Agstafa,2020-01-16,4.2,-0.2,2.2,0.7,0.7,0.0,7.0,12.6,86,1035.8,97,2.8,1.6,51,41.12,45.45
Agstafa,2020-01-17,4.4,-3.0,1.3,0.7,0.7,0.0,9.2,18.7,88,1029.8,63,5.49,1.4,51,41.12,45.45
Agstafa,2020-01-18,8.3,-3.5,0.2,0.0,0.0,0.0,9.6,19.8,60,1022.5,34,9.7,4.8,3,41.12,45.45
Agstafa,2020-01-19,2.2,-2.0,0.3,0.9,0.0,0.63,8.2,14.0,81,1027.1,86,2.6,-0.6,71,41.12,45.45
Agstafa,2020-01-20,5.1,-0.6,1.6,0.2,0.0,0.14,6.6,17.6,81,1029.8,92,6.2,2.0,71,41.12,45.45
Agstafa,2020-01-21,8.0,-2.2,1.6,0.0,0.0,0.0,12.3,14.8,73,1026.8,31,8.46,5.3,2,41.12,45.45
Agstafa,2020-01-22,9.2,-3.0,2.2,0.0,0.0,0.0,15.8,38.9,63,1023.7,28,9.96,4.1,3,41.12,45.45
Agstafa,2020-01-23,9.3,-2.7,2.5,0.0,0.0,0.0,14.2,30.2,63,1013.5,27,9.5,4.8,3,41.12,45.45
Agstafa,2020-01-24,7.3,-1.9,2.1,0.3,0.1,0.14,18.1,36.4,56,1020.8,60,8.39,1.9,71,41.12,45.45
Agstafa,2020-01-25,5.8,-3.8,0.0,0.0,0.0,0.0,12.8,23.8,50,1028.9,5,10.51,1.5,1,41.12,45.45
Agstafa,2020-01-26,11.1,-3.5,2.6,0.0,0.0,0.0,13.9,29.9,44,1022.7,2,10.81,6.0,0,41.12,45.45
Agstafa,2020-01-27,9.0,-1.8,2.5,0.0,0.0,0.0,7.9,15.8,57,1027.4,2,10.66,6.1,0,41.12,45.45
Agstafa,2020-01-28,9.5,-3.8,1.6,0.0,0.0,0.0,8.6,18.0,58,1022.8,33,10.44,6.4,2,41.12,45.45
Agstafa,2020-01-29,11.2,-0.4,3.4,0.0,0.0,0.0,8.1,18.4,47,1016.5,49,10.74,7.5,3,41.12,45.45
Agstafa,2020-01-30,12.9,-2.4,3.3,0.0,0.0,0.0,8.8,20.5,63,1015.2,26,10.44,9.7,3,41.12,45.45
