city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Agsu,2020-01-01,10.0,1.5,5.4,0.0,0.0,0.0,6.6,20.2,81,1014.0,2,8.38,7.7,0,40.57,48.4
Agsu,2020-01-02,9.8,-1.6,4.7,0.7,0.7,0.0,8.4,18.0,81,1019.2,42,7.79,7.7,51,40.57,48.4
Agsu,2020-01-03,5.7,3.6,4.6,9.6,9.6,0.0,8.9,20.2,92,1026.7,99,1.53,3.6,53,40.57,48.4
Agsu,2020-01-04,6.1,3.0,4.3,0.5,0.5,0.0,7.3,15.8,88,1021.2,100,1.98,3.6,51,40.57,48.4
Agsu,2020-01-05,8.4,2.1,5.3,0.3,0.3,0.0,6.6,18.4,84,1014.9,66,5.36,6.2,51,40.57,48.4
Agsu,2020-01-06,9.2,0.9,5.2,0.0,0.0,0.0,8.3,18.4,83,1022.0,47,7.58,6.7,3,40.57,48.4
Agsu,2020-01-07,7.7,0.0,3.7,0.0,0.0,0.0,7.7,19.8,82,1022.2,17,8.58,4.8,2,40.57,48.4
Agsu,2020-01-08,8.3,-0.9,3.1,0.0,0.0,0.0,11.3,22.7,72,1017.5,56,7.42,5.9,3,40.57,48.4
Agsu,2020-01-09,8.0,0.6,3.8,0.0,0.0,0.0,10.5,21.2,74,1017.1,90,6.57,5.5,3,40.57,48.4
Agsu,2020-01-10,6.4,0.3,3.7,1.1,1.1,0.0,9.0,22.0,89,1020.4,67,4.16,3.7,51,40.57,48.4
Agsu,2020-01-11,4.9,1.3,3.6,1.9,1.9,0.0,8.2,17.6,88,1023.7,88,2.89,2.8,51,40.57,48.4
Agsu,2020-01-12,6.9,0.6,3.2,0.0,0.0,0.0,10.4,26.6,80,1019.2,82,7.28,3.4,3,40.57,48.4
Agsu,2020-01-13,7.2,2.1,4.1,0.1,0.1,0.0,8.7,17.6,77,1021.8,85,5.36,4.7,51,40.57,48.4
Agsu,2020-01-14,8.6,-0.5,3.7,0.0,0.0,0.0,8.7,17.6,85,1028.1,49,9.17,6.0,3,40.57,48.4
Agsu,2020-01-15,7.4,-0.4,3.0,0.0,0.0,0.0,8.0,18.4,79,1028.8,84,5.84,4.2,3,40.57,48.4
Agsu,2020-01-16,5.8,1.9,3.5,3.0,3.0,0.0,10.0,22.7,90,1035.8,98,3.89,2.9,51,40.57,48.4
Agsu,2020-01-17,4.1,0.5,2.7,1.0,1.0,0.0,7.4,16.2,94,1028.2,90,1.25,2.1,51,40.57,48.4
Agsu,2020-01-18,5.7,-2.8,0.6,0.0,0.0,0.0,8.5,22.0,84,1022.4,45,9.65,2.3,3,40.57,48.4
Agsu,2020-01-19,3.6,-2.2,1.2,0.8,0.8,0.0,10.5,20.9,84,1026.7,83,4.09,0.7,51,40.57,48.4
Agsu,2020-01-20,4.6,-0.9,1.8,1.1,1.1,0.0,8.9,21.6,89,1029.7,84,3.71,1.2,51,40.57,48.4
Agsu,2020-01-21,6.0,-1.6,1.6,0.0,0.0,0.0,5.8,17.3,77,1027.1,50,9.15,3.0,3,40.57,48.4
Agsu,2020-01-22,8.3,-0.8,2.6,0.0,0.0,0.0,17.3,39.6,72,1022.0,31,10.16,3.3,3,40.57,48.4
Agsu,2020-01-23,9.1,-3.4,2.2,0.0,0.0,0.0,19.9,45.7,72,1010.5,7,10.29,4.7,3,40.57,48.4
Agsu,2020-01-24,5.1,1.0,2.9,0.2,0.2,0.0,13.6,29.2,74,1018.9,91,3.16,1.8,51,40.57,48.4
Agsu,2020-01-25,4.4,-2.3,0.3,0.0,0.0,0.0,18.4,42.1,71,1028.4,30,9.59,-1.1,3,40.57,48.4
Agsu,2020-01-26,6.7,-3.9,0.8,0.0,0.0,0.0,11.5,24.5,56,1021.5,0,10.81,3.3,0,40.57,48.4
Agsu,2020-01-27,7.6,-1.2,2.9,0.0,0.0,0.0,8.8,20.2,68,1027.4,23,7.28,4.4,3,40.57,48.4
Agsu,2020-01-28,8.3,-1.6,3.2,0.0,0.0,0.0,6.3,17.6,67,1022.0,20,10.87,5.7,2,40.57,48.4
Agsu,2020-01-29,9.0,-1.0,3.6,0.0,0.0,0.0,6.9,19.4,65,1015.3,50,10.06,6.0,3,40.57,48.4
Agsu,2020-01-30,12.0,0.1,5.6,0.0,0.0,0.0,8.2,21.2,64,1013.6,21,11.01,9.5,3,40.57,48.4
Agsu,2020-01-31,13.4,1.6,7.1,0.0,0.0,0.0,11.1,22.3,63,1007.4,65,10.91,11.6,3,40.57,48.4
Agsu,2020-02-01,4.0,2.3,3.0,8.7,8.7,0.0,9.1,20.5,91,1011.5,90,1.69,1.5,55,40.57,48.4
Agsu,2020-02-02,7.6,0.2,3.5,2.2,2.2,0.0,7.4,20.2,85,1019.1,64,6.56,5.1,53,40.57,48.4
Agsu,2020-02-03,11.3,-1.2,4.4,0.0,0.0,0.0,16.7,36.7,70,1015.3,9,11.48,7.1,2,40.57,48.4
Agsu,2020-02-04,15.8,-0.6,7.0,0.0,0.0,0.0,15.9,37.1,63,1004.8,50,11.08,12.0,3,40.57,48.4
Agsu,2020-02-05,10.9,2.9,6.4,0.1,0.1,0.0,13.4,27.4,70,1015.3,41,11.34,7.6,51,40.57,48.4
Agsu,2020-02-06,17.4,1.8,8.5,0.0,0.0,0.0,18.3,41.4,61,1010.0,4,11.85,13.7,1,40.57,48.4
Agsu,2020-02-07,18.2,5.7,12.0,0.0,0.0,0.0,13.5,27.0,52,1004.4,11,10.53,15.5,2,40.57,48.4
Agsu,2020-02-08,11.7,4.1,7.8,8.2,7.8,0.28,13.4,31.3,79,1003.7,88,7.6,9.5,73,40.57,48.4
Agsu,2020-02-09,3.9,-2.5,0.3,9.6,1.8,5.46,12.4,26.6,91,1016.5,98,3.43,1.4,73,40.57,48.4
Agsu,2020-02-10,3.3,-4.5,-1.2,0.0,0.0,0.0,9.3,25.2,61,1027.5,80,11.44,-1.0,3,40.57,48.4
Agsu,2020-02-11,2.2,-7.0,-2.6,0.0,0.0,0.0,12.3,27.7,61,1022.8,27,12.98,-2.2,3,40.57,48.4
Agsu,2020-02-12,5.7,-5.9,-1.0,0.0,0.0,0.0,15.1,38.2,51,1013.6,21,13.49,0.3,3,40.57,48.4
Agsu,2020-02-13,9.2,-1.8,3.1,0.0,0.0,0.0,11.3,27.4,57,1018.1,64,10.67,5.4,3,40.57,48.4
Agsu,2020-02-14,9.0,-1.5,3.2,0.0,0.0,0.0,9.9,25.2,65,1025.4,65,11.71,5.1,3,40.57,48.4
Agsu,2020-02-15,9.7,-3.3,3.4,0.0,0.0,0.0,9.2,19.4,61,1031.5,65,12.52,6.7,3,40.57,48.4
Agsu,2020-02-16,10.7,0.4,5.6,0.0,0.0,0.0,12.3,31.3,73,1028.7,73,11.87,7.5,3,40.57,48.4
Agsu,2020-02-17,8.2,1.8,4.5,0.1,0.1,0.0,9.7,23.4,72,1033.7,94,6.31,5.4,51,40.57,48.4
Agsu,2020-02-18,10.4,0.8,4.7,0.0,0.0,0.0,11.3,29.2,72,1032.5,20,13.17,6.6,2,40.57,48.4
Agsu,2020-02-19,11.6,-0.9,4.7,0.0,0.0,0.0,8.1,19.4,73,1022.4,56,13.42,9.0,3,40.57,48.4
Agsu,2020-02-20,9.0,3.1,6.4,0.6,0.6,0.0,7.0,15.8,76,1015.6,97,3.94,6.7,51,40.57,48.4
Agsu,2020-02-21,12.6,3.9,7.3,0.0,0.0,0.0,8.7,26.6,84,1017.3,60,11.67,11.0,3,40.57,48.4
Agsu,2020-02-22,10.0,5.6,7.5,0.5,0.5,0.0,4.2,12.6,88,1021.7,100,4.73,8.6,51,40.57,48.4
Agsu,2020-02-23,14.3,4.9,8.6,0.4,0.4,0.0,11.2,28.1,79,1020.0,41,12.29,11.7,51,40.57,48.4
Agsu,2020-02-24,13.2,5.3,7.9,0.3,0.3,0.0,13.2,29.5,84,1015.7,60,8.83,10.4,51,40.57,48.4
Agsu,2020-02-25,17.6,2.7,9.2,4.8,4.8,0.0,20.6,49.3,66,1007.5,34,13.4,13.9,61,40.57,48.4
Agsu,2020-02-26,9.8,1.5,5.6,0.3,0.3,0.0,12.0,30.2,67,1022.2,45,9.37,6.5,51,40.57,48.4
Agsu,2020-02-27,13.5,-1.1,5.7,0.0,0.0,0.0,11.3,26.3,64,1020.3,11,15.59,9.5,2,40.57,48.4
