city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Aktau,2020-01-01,8.1,2.8,6.1,0.3,0.3,0.0,15.5,22.3,87,1013.9,37,5.86,5.4,51,43.65,51.16
Aktau,2020-01-02,6.3,-2.0,1.9,0.0,0.0,0.0,21.1,31.0,89,1020.0,83,5.45,2.6,3,43.65,51.16
Aktau,2020-01-03,3.0,-2.5,1.2,0.2,0.2,0.0,17.3,28.8,79,1026.8,56,6.26,-1.6,51,43.65,51.16
Aktau,2020-01-04,2.6,-4.6,-1.5,0.0,0.0,0.0,18.5,29.2,74,1024.6,1,7.54,-2.7,0,43.65,51.16
Aktau,2020-01-05,2.0,-4.0,-1.0,0.0,0.0,0.0,21.0,33.1,70,1018.6,65,6.13,-2.6,3,43.65,51.16
Aktau,2020-01-06,4.1,-1.1,0.6,0.0,0.0,0.0,14.9,21.6,73,1023.0,75,6.55,0.3,3,43.65,51.16
Aktau,2020-01-07,4.6,-1.2,1.0,0.0,0.0,0.0,33.3,49.3,75,1025.1,77,6.41,-2.0,3,43.65,51.16
Aktau,2020-01-08,1.9,0.5,1.2,3.9,3.9,0.0,36.8,54.7,70,1020.8,99,1.27,-4.0,51,43.65,51.16
Aktau,2020-01-09,3.8,-1.9,0.4,0.0,0.0,0.0,22.3,33.1,74,1018.9,56,7.34,-0.2,3,43.65,51.16
Aktau,2020-01-10,2.3,-3.0,-0.7,0.0,0.0,0.0,21.3,32.8,87,1019.6,74,4.04,-2.9,3,43.65,51.16
Aktau,2020-01-11,0.9,-1.5,-0.3,1.7,0.0,1.19,17.6,26.6,85,1022.4,100,2.22,-1.6,73,43.65,51.16
Aktau,2020-01-12,5.4,-0.9,1.9,0.7,0.7,0.0,26.0,39.6,84,1018.9,98,2.77,0.8,51,43.65,51.16
Aktau,2020-01-13,5.8,3.1,3.9,1.2,1.2,0.0,24.9,36.7,84,1021.4,87,6.13,0.8,51,43.65,51.16
Aktau,2020-01-14,5.5,2.3,4.4,0.1,0.1,0.0,35.0,52.6,76,1025.5,96,2.85,-0.7,51,43.65,51.16
Aktau,2020-01-15,3.7,1.6,2.3,0.3,0.3,0.0,14.4,21.6,86,1030.8,99,2.35,-0.3,51,43.65,51.16
Aktau,2020-01-16,2.5,-1.8,0.4,0.0,0.0,0.0,15.5,24.8,77,1038.2,45,7.13,-2.1,3,43.65,51.16
Aktau,2020-01-17,5.3,-1.6,1.6,0.4,0.4,0.0,26.2,40.0,79,1030.4,72,4.82,0.4,51,43.65,51.16
Aktau,2020-01-18,4.5,0.2,2.5,11.9,11.7,0.14,29.7,45.4,88,1020.3,97,3.31,0.1,71,43.65,51.16
Aktau,2020-01-19,2.0,-0.5,0.3,0.0,0.0,0.0,26.2,42.1,82,1026.7,94,3.66,-2.1,3,43.65,51.16
Aktau,2020-01-20,2.0,-1.7,-0.0,0.0,0.0,0.0,14.8,22.3,79,1030.1,84,5.5,-1.2,3,43.65,51.16
Aktau,2020-01-21,3.5,-0.9,1.1,0.3,0.1,0.14,24.9,37.8,81,1025.9,97,2.6,-1.5,71,43.65,51.16
