city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
absheron,2026-04-21,11.1,9.6,10.5,3.2,2.8,0.0,27.1,46.8,84,1014.1,97,7.07,8.6,61,40.49,49.75
absheron,2026-04-22,18.8,9.0,13.1,0.0,0.0,0.0,22.5,40.0,76,1011.5,52,21.58,17.5,3,40.49,49.75
absheron,2026-04-23,13.2,9.5,11.7,0.0,0.0,0.0,24.1,42.1,81,1009.7,62,13.94,11.0,45,40.49,49.75
absheron,2026-04-24,15.0,8.6,11.4,0.0,0.0,0.0,24.8,43.9,82,1009.4,76,18.08,14.3,3,40.49,49.75
absheron,2026-04-25,12.6,9.7,11.1,0.0,0.0,0.0,40.3,73.4,76,1018.5,61,20.33,9.0,3,40.49,49.75
absheron,2026-04-26,17.5,9.4,13.6,0.0,0.0,0.0,34.1,56.9,78,1013.2,94,17.98,13.1,3,40.49,49.75
absheron,2026-04-27,26.8,10.5,17.2,0.4,0.0,0.0,51.4,87.1,72,1003.0,52,24.33,24.4,45,40.49,49.75
agdam,2026-04-21,11.3,8.6,9.7,10.3,9.2,0.0,14.3,27.4,88,1013.7,95,6.63,10.3,61,39.99,46.93
agdam,2026-04-22,18.7,7.0,13.3,0.1,0.1,0.0,10.7,21.6,76,1012.1,25,25.14,19.2,61,39.99,46.93
agdam,2026-04-23,20.6,11.0,15.7,0.0,0.0,0.0,13.0,25.6,78,1007.8,38,22.76,21.6,3,39.99,46.93
agdam,2026-04-24,18.9,10.7,13.5,0.0,0.0,0.0,15.0,32.8,80,1009.4,74,16.39,17.7,45,39.99,46.93
agdam,2026-04-25,19.5,8.7,13.7,0.0,0.0,0.0,13.4,27.0,69,1017.0,39,23.22,18.6,3,39.99,46.93
agdam,2026-04-26,16.2,9.5,12.5,0.0,0.0,0.0,7.5,15.9,87,1014.7,97,17.73,16.0,3,39.99,46.93
agdam,2026-04-27,20.7,10.1,15.1,16.7,0.3,0.0,9.8,23.8,81,1004.5,88,19.18,22.0,95,39.99,46.93
agdash,2026-04-21,12.9,10.4,11.7,26.5,24.2,0.0,9.7,19.8,91,1013.6,97,4.91,12.3,63,40.65,47.47
agdash,2026-04-22,20.7,8.7,14.2,0.0,0.0,0.0,17.1,31.7,76,1011.8,31,24.1,18.9,45,40.65,47.47
agdash,2026-04-23,22.9,10.1,16.1,0.0,0.0,0.0,19.3,37.4,74,1007.8,30,23.78,23.7,3,40.65,47.47
agdash,2026-04-24,21.4,12.2,15.3,0.0,0.0,0.0,29.0,53.6,71,1009.0,73,17.02,18.5,3,40.65,47.47
agdash,2026-04-25,19.1,11.3,14.7,0.0,0.0,0.0,26.2,47.5,62,1016.9,55,19.81,18.3,3,40.65,47.47
agdash,2026-04-26,19.8,9.0,14.3,0.0,0.0,0.0,9.8,25.2,74,1014.5,86,18.77,19.8,3,40.65,47.47
agdash,2026-04-27,25.3,11.4,17.1,3.2,0.5,0.0,36.5,71.3,70,1003.7,54,22.87,26.6,80,40.65,47.47
agdere,2026-04-21,10.4,7.5,8.8,10.4,9.7,0.0,16.6,34.2,88,1013.6,99,7.34,9.0,61,40.21,46.81
agdere,2026-04-22,17.6,6.5,12.3,0.0,0.0,0.0,9.4,19.4,76,1012.2,28,24.14,17.6,3,40.21,46.81
agdere,2026-04-23,19.4,10.9,15.1,0.2,0.0,0.0,12.9,27.4,71,1007.9,40,23.88,20.0,45,40.21,46.81
agdere,2026-04-24,17.7,10.2,13.1,0.0,0.0,0.0,17.7,37.8,78,1009.3,84,19.85,17.3,45,40.21,46.81
agdere,2026-04-25,17.9,9.3,13.1,0.0,0.0,0.0,11.6,24.8,70,1017.0,69,21.72,17.1,45,40.21,46.81
agdere,2026-04-26,15.9,8.7,11.9,0.0,0.0,0.0,5.2,20.5,90,1014.8,98,15.66,16.2,45,40.21,46.81
agdere,2026-04-27,16.9,9.4,13.0,20.3,5.0,0.0,7.4,44.3,77,1004.9,73,18.29,17.4,95,40.21,46.81
