city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Astara,2020-01-01,11.8,7.4,9.8,1.0,1.0,0.0,8.2,20.9,86,1014.2,40,7.16,10.8,53
Astara,2020-01-02,11.9,5.8,9.5,5.6,5.6,0.0,19.0,37.1,84,1019.3,63,7.04,10.1,61
Astara,2020-01-03,9.5,7.7,8.5,16.6,16.6,0.0,19.2,38.5,88,1025.7,99,1.03,6.3,61
Astara,2020-01-04,8.9,7.6,8.1,13.3,13.3,0.0,16.0,33.5,88,1019.5,100,1.42,6.6,61
Astara,2020-01-05,8.3,6.1,7.1,4.0,4.0,0.0,11.1,23.0,83,1015.0,79,3.9,6.8,61
Astara,2020-01-06,9.6,2.2,6.2,0.0,0.0,0.0,5.6,16.9,86,1022.0,11,8.59,8.0,1
Astara,2020-01-07,11.5,4.2,7.7,0.1,0.1,0.0,13.1,28.8,81,1021.9,24,8.56,9.2,51
Astara,2020-01-08,11.3,3.8,7.6,1.0,1.0,0.0,6.6,14.0,87,1016.9,83,7.4,10.2,51
Astara,2020-01-09,9.4,7.5,8.4,22.0,22.0,0.0,15.2,30.6,86,1016.5,99,2.25,8.1,63
Astara,2020-01-10,9.2,5.2,7.8,2.9,2.9,0.0,9.9,22.0,84,1020.2,78,4.98,7.3,53
Astara,2020-01-11,9.4,5.2,7.4,1.7,1.7,0.0,6.4,19.8,85,1023.4,71,7.31,7.9,51
Astara,2020-01-12,10.2,3.3,6.7,0.0,0.0,0.0,19.0,38.9,76,1019.0,45,9.52,6.2,3
Astara,2020-01-13,8.2,5.9,7.1,6.5,6.5,0.0,16.0,32.8,79,1021.6,99,1.66,5.2,53
Astara,2020-01-14,9.8,3.6,6.6,0.0,0.0,0.0,10.7,24.5,80,1028.4,15,10.16,7.0,2
Astara,2020-01-15,8.8,2.8,6.3,1.2,1.2,0.0,20.4,40.7,82,1028.0,83,6.24,6.5,51
Astara,2020-01-16,7.4,4.8,6.3,23.3,23.3,0.0,20.8,41.4,84,1034.8,100,1.02,4.5,61
Astara,2020-01-17,7.4,5.3,6.4,4.4,4.4,0.0,13.3,27.0,89,1027.3,99,2.1,5.2,53
Astara,2020-01-18,7.2,5.2,6.4,12.5,12.5,0.0,12.3,25.9,86,1022.6,98,3.39,5.1,63
Astara,2020-01-19,6.7,4.2,5.3,26.4,26.4,0.0,14.3,29.5,88,1026.3,100,1.57,4.9,63
Astara,2020-01-20,5.4,4.3,4.9,5.5,5.5,0.0,12.7,25.6,86,1029.5,100,1.69,2.7,53
Astara,2020-01-21,6.6,4.4,5.4,0.0,0.0,0.0,9.8,20.5,80,1027.1,79,3.25,4.5,3
Astara,2020-01-22,9.9,1.3,4.8,0.0,0.0,0.0,10.5,23.0,75,1023.1,9,9.76,6.7,1
Astara,2020-01-23,8.7,2.0,5.2,0.0,0.0,0.0,10.1,24.1,78,1011.7,8,10.67,6.4,1
Astara,2020-01-24,7.4,4.2,6.2,0.5,0.5,0.0,16.8,33.8,76,1019.3,98,2.66,4.5,51
Astara,2020-01-25,6.7,0.9,3.7,0.0,0.0,0.0,10.1,23.4,77,1029.1,41,9.8,3.5,3
Astara,2020-01-26,9.5,-0.3,4.6,0.0,0.0,0.0,13.6,26.3,72,1022.0,3,11.47,6.7,2
Astara,2020-01-27,11.1,1.5,5.9,0.0,0.0,0.0,10.5,23.8,70,1027.3,14,10.79,8.4,2
Astara,2020-01-28,9.2,1.1,5.5,0.0,0.0,0.0,9.8,23.8,70,1022.0,17,11.46,6.5,2
Astara,2020-01-29,8.4,3.7,6.8,0.1,0.1,0.0,9.3,20.5,68,1015.4,71,7.97,6.0,51
Astara,2020-01-30,14.8,5.3,9.9,0.0,0.0,0.0,14.9,29.2,61,1014.2,20,11.87,12.6,3
Astara,2020-01-31,16.0,7.2,12.7,0.0,0.0,0.0,31.6,63.7,49,1007.5,50,11.58,12.9,3
Astara,2020-02-01,12.6,6.2,7.4,11.8,11.8,0.0,22.8,46.8,81,1011.5,92,2.14,8.8,61
Astara,2020-02-02,8.6,3.5,6.1,0.1,0.1,0.0,9.0,22.3,79,1019.7,54,9.88,6.1,51
Astara,2020-02-03,12.8,4.7,8.6,0.0,0.0,0.0,15.5,32.4,56,1016.4,0,12.46,10.0,0
Astara,2020-02-04,15.8,6.0,12.5,0.1,0.1,0.0,27.0,55.1,47,1005.8,60,11.8,13.7,51
Astara,2020-02-05,9.9,6.8,8.6,0.7,0.7,0.0,18.1,37.1,91,1015.8,74,9.81,8.6,51
Astara,2020-02-06,17.5,7.8,11.9,0.0,0.0,0.0,15.8,32.0,77,1011.1,10,12.76,15.3,3
Astara,2020-02-07,21.1,12.4,17.4,0.0,0.0,0.0,29.9,63.4,40,1005.0,5,12.7,16.9,1
