city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Balakan,2020-01-01,9.5,2.6,5.8,0.0,0.0,0.0,6.5,17.6,49,1014.7,8,7.54,6.9,1,41.73,46.41
Balakan,2020-01-02,10.1,0.9,4.7,0.0,0.0,0.0,6.3,15.8,56,1019.1,41,7.35,7.1,3,41.73,46.41
Balakan,2020-01-03,6.8,1.6,4.2,0.5,0.5,0.0,6.6,19.4,72,1026.0,68,6.17,4.0,51,41.73,46.41
Balakan,2020-01-04,6.4,2.0,3.8,0.2,0.2,0.0,5.2,14.8,71,1021.7,63,5.02,3.7,51,41.73,46.41
Balakan,2020-01-05,7.6,-1.6,3.7,0.0,0.0,0.0,7.0,13.7,56,1015.6,15,8.38,4.9,2,41.73,46.41
Balakan,2020-01-06,7.3,-0.9,3.9,0.0,0.0,0.0,6.6,15.8,42,1022.2,1,8.58,4.3,0,41.73,46.41
Balakan,2020-01-07,9.4,-0.5,4.9,0.0,0.0,0.0,5.9,16.9,32,1022.3,21,7.93,5.8,3,41.73,46.41
Balakan,2020-01-08,10.4,0.6,6.2,0.0,0.0,0.0,9.4,16.2,35,1016.8,34,7.92,6.5,3,41.73,46.41
Balakan,2020-01-09,7.7,1.5,4.3,0.0,0.0,0.0,8.0,15.8,44,1017.6,29,8.61,4.5,3,41.73,46.41
Balakan,2020-01-10,6.2,1.2,3.1,0.0,0.0,0.0,5.5,15.8,58,1020.5,57,7.12,3.3,3,41.73,46.41
Balakan,2020-01-11,4.9,0.4,3.0,0.3,0.3,0.0,6.6,20.9,73,1023.6,66,6.17,1.8,51,41.73,46.41
Balakan,2020-01-12,6.2,0.7,3.3,0.0,0.0,0.0,5.4,16.9,62,1019.9,84,5.7,3.4,3,41.73,46.41
Balakan,2020-01-13,7.2,0.1,4.3,0.0,0.0,0.0,6.3,16.6,57,1021.7,37,8.82,4.3,3,41.73,46.41
