city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Balkanabat,2020-01-01,11.2,3.3,7.3,0.0,0.0,0.0,15.3,28.8,71,1015.2,4,8.72,7.8,1,39.51,54.37
Balkanabat,2020-01-02,11.2,4.0,8.1,0.0,0.0,0.0,9.7,16.9,67,1018.2,23,7.91,9.0,2,39.51,54.37
Balkanabat,2020-01-03,9.9,5.0,7.4,0.0,0.0,0.0,14.6,24.8,78,1023.6,59,6.43,7.7,3,39.51,54.37
Balkanabat,2020-01-04,8.2,2.2,5.2,0.0,0.0,0.0,25.5,45.4,65,1021.6,17,8.78,3.0,2,39.51,54.37
Balkanabat,2020-01-05,8.0,3.5,5.5,0.0,0.0,0.0,23.6,42.1,59,1014.5,65,7.11,4.6,3,39.51,54.37
Balkanabat,2020-01-06,8.0,1.7,5.0,0.0,0.0,0.0,16.5,30.2,58,1022.1,50,7.7,4.6,3,39.51,54.37
Balkanabat,2020-01-07,9.4,3.0,6.6,0.0,0.0,0.0,27.4,47.5,60,1024.7,45,8.71,3.8,3,39.51,54.37
Balkanabat,2020-01-08,10.0,3.9,7.3,0.0,0.0,0.0,27.1,47.5,57,1018.2,11,9.19,5.2,2,39.51,54.37
Balkanabat,2020-01-09,8.0,2.6,5.5,0.4,0.4,0.0,16.2,31.7,66,1014.2,95,4.2,5.2,51,39.51,54.37
Balkanabat,2020-01-10,10.0,3.1,6.1,0.5,0.5,0.0,18.3,32.4,71,1018.0,43,7.82,5.8,51,39.51,54.37
Balkanabat,2020-01-11,7.6,1.4,3.9,0.0,0.0,0.0,8.7,18.4,77,1021.9,31,7.42,4.3,2,39.51,54.37
Balkanabat,2020-01-12,7.9,1.7,4.9,0.0,0.0,0.0,15.5,25.2,71,1021.3,55,7.58,5.0,3,39.51,54.37
Balkanabat,2020-01-13,9.6,4.4,6.4,0.0,0.0,0.0,19.1,33.1,50,1019.8,91,7.05,4.8,3,39.51,54.37
Balkanabat,2020-01-14,8.9,1.4,4.8,0.0,0.0,0.0,15.9,29.9,60,1027.0,3,9.58,4.3,1,39.51,54.37
Balkanabat,2020-01-15,10.1,1.1,5.6,0.0,0.0,0.0,24.0,42.1,67,1028.8,55,9.25,6.0,3,39.51,54.37
Balkanabat,2020-01-16,7.9,2.8,5.5,0.0,0.0,0.0,16.9,29.2,62,1033.1,30,9.69,5.3,3,39.51,54.37
Balkanabat,2020-01-17,11.3,3.3,7.1,0.0,0.0,0.0,32.0,56.5,47,1028.8,44,10.01,4.6,3,39.51,54.37
Balkanabat,2020-01-18,8.3,2.7,5.2,1.0,1.0,0.0,19.3,38.5,58,1020.3,94,3.34,3.4,51,39.51,54.37
Balkanabat,2020-01-19,7.1,1.8,4.1,0.0,0.0,0.0,10.7,19.1,72,1023.4,76,5.79,3.9,3,39.51,54.37
Balkanabat,2020-01-20,4.3,-1.0,1.4,0.0,0.0,0.0,11.7,23.0,71,1027.9,81,6.35,0.1,3,39.51,54.37
Balkanabat,2020-01-21,3.6,-1.2,1.2,0.0,0.0,0.0,13.4,24.1,62,1027.7,62,5.81,0.2,3,39.51,54.37
Balkanabat,2020-01-22,7.7,1.8,4.2,0.0,0.0,0.0,13.2,23.8,58,1024.8,68,6.03,3.7,3,39.51,54.37
Balkanabat,2020-01-23,9.8,0.0,5.4,0.0,0.0,0.0,11.0,21.6,60,1013.0,13,10.51,6.2,2,39.51,54.37
Balkanabat,2020-01-24,10.7,2.5,7.0,0.3,0.3,0.0,20.2,36.0,66,1015.2,61,8.5,8.2,51,39.51,54.37
Balkanabat,2020-01-25,6.0,1.6,4.3,2.0,2.0,0.0,21.7,39.2,58,1027.6,61,9.26,3.8,53,39.51,54.37
Balkanabat,2020-01-26,8.9,-1.0,3.9,0.0,0.0,0.0,10.5,16.6,61,1023.0,26,10.3,5.5,3,39.51,54.37
Balkanabat,2020-01-27,9.9,3.0,5.9,0.0,0.0,0.0,17.9,32.8,68,1026.3,17,10.29,6.4,3,39.51,54.37
Balkanabat,2020-01-28,11.9,0.9,7.0,0.0,0.0,0.0,24.6,43.2,53,1024.7,10,11.24,6.7,2,39.51,54.37
Balkanabat,2020-01-29,13.7,5.2,9.8,0.0,0.0,0.0,25.1,44.6,46,1017.0,35,11.39,7.5,3,39.51,54.37
Balkanabat,2020-01-30,13.9,6.3,10.0,0.0,0.0,0.0,21.7,40.0,51,1014.7,68,10.63,11.3,3,39.51,54.37
Balkanabat,2020-01-31,16.3,4.0,10.2,0.0,0.0,0.0,16.5,30.2,41,1011.1,22,11.52,11.9,3,39.51,54.37
Balkanabat,2020-02-01,16.0,7.6,11.7,0.0,0.0,0.0,14.1,28.1,45,1006.3,88,9.96,12.8,3,39.51,54.37
Balkanabat,2020-02-02,9.0,5.0,7.1,1.9,1.9,0.0,19.5,38.5,79,1015.3,72,7.74,4.8,55,39.51,54.37
Balkanabat,2020-02-03,11.4,4.4,7.2,0.2,0.2,0.0,16.6,27.7,69,1019.3,50,6.99,8.2,51,39.51,54.37
Balkanabat,2020-02-04,15.9,5.6,10.2,0.0,0.0,0.0,20.6,35.6,38,1007.3,5,12.07,12.7,1,39.51,54.37
Balkanabat,2020-02-05,12.0,7.7,9.4,0.4,0.4,0.0,25.7,45.7,66,1015.3,50,11.33,9.4,51,39.51,54.37
Balkanabat,2020-02-06,20.0,9.3,14.0,0.0,0.0,0.0,23.1,40.0,34,1013.9,0,12.2,16.0,0,39.51,54.37
Balkanabat,2020-02-07,23.0,9.6,16.0,0.0,0.0,0.0,17.9,27.7,29,1008.4,0,12.56,20.0,0,39.51,54.37
Balkanabat,2020-02-08,22.8,13.0,18.2,0.5,0.5,0.0,21.6,65.9,31,1002.9,40,9.32,19.3,53,39.51,54.37
Balkanabat,2020-02-09,14.9,7.1,10.6,1.6,1.6,0.0,27.6,54.4,67,1009.6,43,10.81,11.7,53,39.51,54.37
Balkanabat,2020-02-10,6.7,2.4,4.8,0.0,0.0,0.0,24.5,43.9,63,1021.9,55,10.03,3.7,3,39.51,54.37
Balkanabat,2020-02-11,2.6,-2.1,0.4,1.4,0.0,0.98,11.0,19.8,74,1019.3,90,6.75,-1.1,73,39.51,54.37
Balkanabat,2020-02-12,8.1,-0.6,3.1,0.5,0.0,0.35,12.3,24.1,70,1017.1,73,7.71,3.8,71,39.51,54.37
Balkanabat,2020-02-13,12.8,1.6,7.0,0.1,0.1,0.0,13.9,25.6,54,1019.6,66,11.68,9.2,51,39.51,54.37
Balkanabat,2020-02-14,10.5,4.9,8.2,2.0,2.0,0.0,32.3,57.6,64,1021.2,90,8.03,6.7,53,39.51,54.37
Balkanabat,2020-02-15,9.3,0.4,5.5,0.0,0.0,0.0,26.8,52.2,62,1033.1,44,11.92,6.0,3,39.51,54.37
Balkanabat,2020-02-16,10.3,6.3,7.9,0.0,0.0,0.0,35.3,61.9,48,1028.2,88,10.4,6.2,3,39.51,54.37
Balkanabat,2020-02-17,9.6,5.2,7.3,0.0,0.0,0.0,19.1,34.2,54,1031.3,99,6.02,5.7,3,39.51,54.37
Balkanabat,2020-02-18,10.2,5.2,7.3,0.0,0.0,0.0,31.5,55.4,57,1034.3,34,13.49,3.7,3,39.51,54.37
Balkanabat,2020-02-19,15.3,6.5,10.3,0.0,0.0,0.0,31.1,55.1,39,1024.0,54,14.33,9.6,3,39.51,54.37
Balkanabat,2020-02-20,11.4,5.3,8.6,2.4,2.4,0.0,14.8,30.2,50,1013.3,98,8.2,8.4,55,39.51,54.37
Balkanabat,2020-02-21,10.4,6.5,8.0,8.2,8.2,0.0,19.8,36.0,82,1016.5,90,4.4,6.9,53,39.51,54.37
Balkanabat,2020-02-22,14.3,4.5,9.4,0.0,0.0,0.0,15.6,27.0,74,1021.3,69,13.63,13.0,3,39.51,54.37
Balkanabat,2020-02-23,14.9,6.4,11.6,0.0,0.0,0.0,15.3,28.4,73,1020.3,27,14.43,14.1,3,39.51,54.37
Balkanabat,2020-02-24,14.6,7.3,11.0,0.0,0.0,0.0,19.5,32.4,75,1016.8,43,12.63,13.9,3,39.51,54.37
Balkanabat,2020-02-25,20.2,11.3,15.0,0.0,0.0,0.0,26.7,45.7,56,1006.1,92,11.95,18.5,3,39.51,54.37
Balkanabat,2020-02-26,11.6,5.7,9.2,3.1,3.1,0.0,29.8,51.8,56,1019.3,85,8.37,6.9,53,39.51,54.37
Balkanabat,2020-02-27,11.6,2.8,7.0,0.0,0.0,0.0,30.1,52.6,60,1024.8,7,15.7,4.8,1,39.51,54.37
Balkanabat,2020-02-28,19.3,8.6,13.5,0.0,0.0,0.0,35.5,62.3,35,1012.6,57,15.56,12.6,3,39.51,54.37
Balkanabat,2020-02-29,14.7,8.6,11.5,0.0,0.0,0.0,19.5,34.9,66,1011.4,74,13.37,12.1,3,39.51,54.37
Balkanabat,2020-03-01,18.9,7.4,12.0,0.0,0.0,0.0,14.3,25.9,67,1011.8,24,15.62,16.7,3,39.51,54.37
Balkanabat,2020-03-02,13.9,7.5,10.9,10.5,10.5,0.0,30.4,57.6,72,1016.1,90,7.71,12.2,61,39.51,54.37
Balkanabat,2020-03-03,10.1,7.2,8.8,4.4,4.4,0.0,17.2,30.2,86,1021.6,83,6.57,7.7,61,39.51,54.37
Balkanabat,2020-03-04,14.3,6.7,9.6,0.0,0.0,0.0,10.5,20.5,81,1024.4,62,11.65,11.8,3,39.51,54.37
Balkanabat,2020-03-05,16.2,5.1,11.5,0.0,0.0,0.0,17.7,31.7,68,1021.7,3,16.69,13.2,1,39.51,54.37
Balkanabat,2020-03-06,19.2,9.9,14.1,0.0,0.0,0.0,37.5,64.8,43,1019.5,21,17.06,13.9,3,39.51,54.37
Balkanabat,2020-03-07,13.5,7.2,10.0,0.0,0.0,0.0,49.4,86.4,36,1024.2,46,17.65,5.2,3,39.51,54.37
Balkanabat,2020-03-08,11.6,4.4,7.9,0.0,0.0,0.0,33.7,64.4,27,1026.8,0,18.51,4.9,0,39.51,54.37
Balkanabat,2020-03-09,11.4,1.6,6.7,0.0,0.0,0.0,24.9,43.2,40,1028.0,0,18.28,7.2,0,39.51,54.37
Balkanabat,2020-03-10,16.6,2.7,9.6,0.0,0.0,0.0,23.5,40.7,32,1023.9,0,18.59,10.6,0,39.51,54.37
Balkanabat,2020-03-11,21.4,10.1,15.5,0.0,0.0,0.0,30.9,54.4,19,1018.9,0,18.7,15.0,0,39.51,54.37
Balkanabat,2020-03-12,20.9,9.4,15.8,0.0,0.0,0.0,21.6,40.7,28,1016.7,52,16.72,17.7,3,39.51,54.37
Balkanabat,2020-03-13,20.2,8.7,14.5,0.0,0.0,0.0,18.8,34.6,43,1018.1,66,17.17,17.2,3,39.51,54.37
Balkanabat,2020-03-14,25.2,10.8,18.9,0.0,0.0,0.0,41.8,73.1,39,1011.2,95,13.45,20.3,3,39.51,54.37
Balkanabat,2020-03-15,20.9,12.9,17.6,0.0,0.0,0.0,20.4,37.8,48,1009.5,51,16.08,17.2,3,39.51,54.37
Balkanabat,2020-03-16,23.4,8.9,15.8,0.0,0.0,0.0,15.5,27.4,64,1015.0,32,17.51,21.2,3,39.51,54.37
Balkanabat,2020-03-17,16.7,11.0,14.0,0.8,0.8,0.0,18.7,34.9,62,1021.7,82,15.09,14.3,51,39.51,54.37
Balkanabat,2020-03-18,19.3,8.5,13.5,0.0,0.0,0.0,12.9,24.1,68,1021.3,51,16.96,18.7,3,39.51,54.37
Balkanabat,2020-03-19,16.1,10.7,13.3,6.2,6.2,0.0,19.5,33.8,77,1013.3,82,9.63,15.5,55,39.51,54.37
Balkanabat,2020-03-20,14.7,8.7,11.4,0.0,0.0,0.0,24.2,44.3,75,1014.1,28,16.93,10.6,3,39.51,54.37
Balkanabat,2020-03-21,15.3,5.9,10.2,0.1,0.1,0.0,13.4,25.2,76,1017.6,49,17.36,12.7,51,39.51,54.37
Balkanabat,2020-03-22,14.4,8.6,11.6,0.2,0.2,0.0,19.9,36.0,64,1017.7,98,6.33,10.8,51,39.51,54.37
Balkanabat,2020-03-23,13.2,9.1,11.1,0.5,0.5,0.0,17.6,34.2,69,1015.3,99,5.13,10.7,51,39.51,54.37
Balkanabat,2020-03-24,16.9,8.3,11.9,0.0,0.0,0.0,15.8,29.9,69,1017.6,86,17.02,15.3,3,39.51,54.37
Balkanabat,2020-03-25,16.3,7.5,12.4,0.0,0.0,0.0,15.6,29.5,46,1020.7,66,18.04,13.1,3,39.51,54.37
Balkanabat,2020-03-26,15.9,7.0,11.6,0.0,0.0,0.0,23.9,42.5,40,1023.8,27,20.71,12.4,2,39.51,54.37
Balkanabat,2020-03-27,15.7,4.3,10.8,0.0,0.0,0.0,16.6,32.0,36,1023.8,20,21.23,12.7,2,39.51,54.37
Balkanabat,2020-03-28,18.4,5.8,12.3,0.0,0.0,0.0,27.2,48.6,32,1018.9,22,20.16,12.8,3,39.51,54.37
Balkanabat,2020-03-29,21.5,9.2,16.0,0.0,0.0,0.0,31.3,54.4,36,1008.6,20,19.88,17.8,3,39.51,54.37
Balkanabat,2020-03-30,19.7,12.0,15.7,6.1,6.1,0.0,16.3,32.0,60,1003.4,47,19.31,18.1,61,39.51,54.37
Balkanabat,2020-03-31,18.8,11.5,14.8,0.0,0.0,0.0,31.8,56.9,61,1007.3,12,19.81,15.9,2,39.51,54.37
Balkanabat,2020-04-01,21.7,9.1,15.6,0.0,0.0,0.0,21.7,36.7,57,1014.2,29,20.7,19.9,3,39.51,54.37
Balkanabat,2020-04-02,26.0,18.9,21.6,0.0,0.0,0.0,29.9,52.6,35,1006.9,72,16.56,24.0,3,39.51,54.37
Balkanabat,2020-04-03,21.4,14.7,17.9,0.0,0.0,0.0,25.8,45.0,48,1012.9,42,20.09,18.2,3,39.51,54.37
Balkanabat,2020-04-04,23.3,10.4,17.6,0.0,0.0,0.0,18.1,36.0,52,1016.4,36,20.67,23.0,3,39.51,54.37
Balkanabat,2020-04-05,18.6,12.0,14.0,26.7,26.7,0.0,16.5,33.1,80,1019.6,96,5.0,16.5,63,39.51,54.37
Balkanabat,2020-04-06,19.8,10.3,13.9,2.0,2.0,0.0,30.4,53.3,78,1019.0,64,20.11,18.2,61,39.51,54.37
Balkanabat,2020-04-07,12.7,7.9,9.8,2.0,2.0,0.0,24.1,44.3,56,1026.9,99,7.94,8.6,53,39.51,54.37
Balkanabat,2020-04-08,10.2,5.4,7.4,2.0,2.0,0.0,20.4,36.4,51,1032.0,59,17.58,5.6,51,39.51,54.37
Balkanabat,2020-04-09,13.8,4.1,8.6,0.0,0.0,0.0,40.6,71.6,42,1025.5,51,22.04,6.8,3,39.51,54.37
Balkanabat,2020-04-10,15.0,7.8,11.1,0.7,0.7,0.0,21.0,41.0,61,1014.4,67,16.6,13.5,53,39.51,54.37
Balkanabat,2020-04-11,18.2,10.0,13.4,0.3,0.3,0.0,18.2,32.0,64,1012.3,30,18.15,16.4,51,39.51,54.37
Balkanabat,2020-04-12,18.7,9.2,13.8,0.0,0.0,0.0,21.6,37.4,61,1016.0,27,20.32,14.7,2,39.51,54.37
Balkanabat,2020-04-13,15.6,8.6,12.3,0.0,0.0,0.0,13.1,27.0,60,1022.4,66,15.18,12.8,3,39.51,54.37
Balkanabat,2020-04-14,16.7,5.8,12.0,0.0,0.0,0.0,22.4,42.1,51,1025.7,7,23.17,11.9,1,39.51,54.37
Balkanabat,2020-04-15,22.4,12.1,16.6,0.0,0.0,0.0,30.0,52.6,35,1019.7,0,23.38,17.1,0,39.51,54.37
Balkanabat,2020-04-16,26.2,15.0,20.7,0.0,0.0,0.0,26.4,50.0,30,1011.3,0,23.49,23.6,0,39.51,54.37
Balkanabat,2020-04-17,22.7,13.7,18.0,0.0,0.0,0.0,17.8,31.0,45,1015.3,36,22.05,20.6,3,39.51,54.37
Balkanabat,2020-04-18,27.9,13.7,20.3,0.0,0.0,0.0,15.7,32.4,43,1014.8,0,23.05,25.3,0,39.51,54.37
Balkanabat,2020-04-19,28.9,18.2,24.2,0.0,0.0,0.0,19.5,35.3,36,1012.0,21,22.7,27.8,3,39.51,54.37
Balkanabat,2020-04-20,28.5,16.0,22.4,0.0,0.0,0.0,13.4,26.3,40,1012.0,12,23.22,27.2,2,39.51,54.37
Balkanabat,2020-04-21,31.0,20.8,25.6,0.0,0.0,0.0,25.3,43.9,31,1008.6,20,23.22,28.8,3,39.51,54.37
Balkanabat,2020-04-22,25.4,13.6,19.3,0.0,0.0,0.0,19.9,34.9,51,1011.2,43,22.33,23.9,3,39.51,54.37
Balkanabat,2020-04-23,24.2,14.8,18.6,0.4,0.4,0.0,27.6,49.0,56,1010.9,77,19.52,23.3,51,39.51,54.37
Balkanabat,2020-04-24,14.5,11.9,13.2,2.9,2.9,0.0,21.6,39.6,70,1015.9,91,8.79,11.6,53,39.51,54.37
Balkanabat,2020-04-25,22.5,11.1,16.7,1.2,1.2,0.0,28.8,51.5,62,1012.7,77,21.29,20.6,53,39.51,54.37
Balkanabat,2020-04-26,22.7,16.6,19.6,6.9,6.9,0.0,22.0,48.2,70,1004.2,96,12.23,22.7,61,39.51,54.37
Balkanabat,2020-04-27,19.0,12.5,16.0,0.9,0.9,0.0,26.3,47.2,73,1008.3,75,19.28,15.9,53,39.51,54.37
Balkanabat,2020-04-28,21.6,10.3,16.0,0.0,0.0,0.0,14.9,27.0,65,1013.0,43,22.98,21.2,3,39.51,54.37
Balkanabat,2020-04-29,23.0,12.9,18.0,0.0,0.0,0.0,16.9,31.3,59,1017.4,27,23.18,20.8,2,39.51,54.37
Balkanabat,2020-04-30,24.4,15.5,19.2,0.7,0.7,0.0,18.8,49.0,57,1015.7,92,13.08,23.4,51,39.51,54.37
Balkanabat,2020-05-01,20.4,16.0,17.7,9.3,9.3,0.0,10.0,18.7,80,1012.1,78,11.6,20.7,61,39.51,54.37
Balkanabat,2020-05-02,24.6,15.2,19.7,0.0,0.0,0.0,22.0,40.3,70,1010.0,34,24.54,23.6,3,39.51,54.37
Balkanabat,2020-05-03,28.6,19.4,23.5,0.0,0.0,0.0,22.7,40.3,52,1006.9,88,21.36,29.8,3,39.51,54.37
Balkanabat,2020-05-04,29.6,17.9,23.8,0.0,0.0,0.0,14.5,43.2,53,1010.1,19,24.11,29.2,3,39.51,54.37
Balkanabat,2020-05-05,32.5,21.8,26.7,0.0,0.0,0.0,35.3,61.6,36,1012.0,34,24.28,28.5,3,39.51,54.37
Balkanabat,2020-05-06,34.1,25.6,29.5,0.0,0.0,0.0,51.8,90.0,30,1005.3,60,23.99,28.1,3,39.51,54.37
Balkanabat,2020-05-07,28.6,21.8,25.5,0.4,0.4,0.0,53.5,92.9,42,1001.8,44,24.22,25.2,51,39.51,54.37
Balkanabat,2020-05-08,22.0,16.9,19.3,1.3,1.3,0.0,41.6,73.8,65,1009.4,57,19.71,20.0,53,39.51,54.37
Balkanabat,2020-05-09,29.3,15.3,22.3,0.0,0.0,0.0,17.6,34.9,54,1012.9,14,25.19,27.3,3,39.51,54.37
Balkanabat,2020-05-10,33.5,22.5,27.7,0.0,0.0,0.0,39.6,69.5,32,1007.8,54,18.9,30.1,3,39.51,54.37
Balkanabat,2020-05-11,26.1,17.5,20.9,0.1,0.1,0.0,30.1,54.0,54,1013.9,26,22.44,24.1,51,39.51,54.37
Balkanabat,2020-05-12,19.4,15.5,17.5,3.2,3.2,0.0,17.5,31.0,57,1018.0,85,9.89,17.4,61,39.51,54.37
Balkanabat,2020-05-13,24.9,14.8,20.1,0.0,0.0,0.0,14.9,31.0,45,1015.1,32,25.9,23.3,3,39.51,54.37
