city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Bandar-e Anzali,2021-01-01,11.9,5.6,8.4,0.0,0.0,0.0,10.0,22.3,93,1024.3,66,7.76,10.0,3
Bandar-e Anzali,2021-01-02,11.8,5.3,7.9,0.0,0.0,0.0,7.1,18.4,93,1026.8,77,7.79,10.2,3
Bandar-e Anzali,2021-01-03,11.2,5.1,8.6,7.1,7.1,0.0,14.3,28.1,88,1031.9,92,3.23,8.8,61
Bandar-e Anzali,2021-01-04,9.4,7.1,8.5,24.6,24.6,0.0,19.1,34.9,88,1035.0,85,1.38,7.2,63
Bandar-e Anzali,2021-01-05,9.8,5.1,7.1,0.4,0.4,0.0,8.1,16.9,88,1033.3,54,5.07,8.2,51
Bandar-e Anzali,2021-01-06,11.4,1.1,6.0,0.0,0.0,0.0,10.1,21.2,88,1031.6,22,9.9,9.0,2
Bandar-e Anzali,2021-01-07,11.3,2.0,7.1,0.0,0.0,0.0,6.6,17.6,87,1030.2,70,8.2,9.5,3
Bandar-e Anzali,2021-01-08,11.8,4.2,7.7,0.4,0.4,0.0,8.7,20.9,90,1024.1,35,9.12,9.6,51
Bandar-e Anzali,2021-01-09,13.6,2.3,7.8,0.0,0.0,0.0,8.9,19.8,88,1020.4,50,9.83,12.5,3
Bandar-e Anzali,2021-01-10,15.6,0.4,7.2,0.0,0.0,0.0,9.2,17.6,82,1017.6,45,10.43,14.6,3
Bandar-e Anzali,2021-01-11,13.0,1.6,8.3,0.0,0.0,0.0,18.8,32.4,85,1020.0,49,7.14,11.5,3
Bandar-e Anzali,2021-01-12,11.9,7.6,9.6,0.6,0.6,0.0,12.8,25.9,94,1022.5,97,3.34,10.5,51
Bandar-e Anzali,2021-01-13,15.4,7.7,10.5,0.0,0.0,0.0,11.3,22.7,90,1016.8,55,8.28,14.5,3
Bandar-e Anzali,2021-01-14,21.3,6.8,16.1,0.0,0.0,0.0,25.9,46.1,45,1006.3,94,5.86,16.4,3
Bandar-e Anzali,2021-01-15,20.0,8.0,15.6,0.0,0.0,0.0,29.5,52.9,50,1007.1,23,9.45,15.8,3
Bandar-e Anzali,2021-01-16,16.5,5.1,10.1,0.0,0.0,0.0,22.1,41.4,86,1014.6,48,10.59,15.8,3
Bandar-e Anzali,2021-01-17,13.7,8.3,10.6,0.2,0.2,0.0,13.7,26.6,90,1008.2,67,7.2,12.6,51
Bandar-e Anzali,2021-01-18,21.2,8.4,14.8,0.0,0.0,0.0,28.4,54.0,56,1006.3,47,10.02,19.8,3
Bandar-e Anzali,2021-01-19,13.4,8.3,10.3,1.8,1.8,0.0,27.0,47.9,91,1015.4,68,7.29,11.2,53
Bandar-e Anzali,2021-01-20,8.1,2.8,5.9,13.7,11.4,1.61,27.8,52.6,87,1018.4,100,3.04,3.7,73
Bandar-e Anzali,2021-01-21,5.8,1.1,3.9,18.8,17.4,0.98,22.7,43.2,90,1029.8,83,3.6,3.2,73
Bandar-e Anzali,2021-01-22,9.4,-1.4,2.7,0.0,0.0,0.0,9.1,22.0,77,1035.3,2,11.73,5.8,0
Bandar-e Anzali,2021-01-23,10.4,-2.5,3.6,0.0,0.0,0.0,12.4,25.2,78,1030.0,0,11.89,8.1,0
Bandar-e Anzali,2021-01-24,10.2,-0.7,4.4,0.0,0.0,0.0,10.6,23.4,80,1026.2,2,11.56,7.6,0
Bandar-e Anzali,2021-01-25,10.6,1.0,5.1,0.0,0.0,0.0,9.7,24.1,90,1023.1,30,11.11,8.1,3
Bandar-e Anzali,2021-01-26,11.5,3.1,6.5,0.0,0.0,0.0,9.1,22.3,90,1021.5,55,10.34,9.9,3
Bandar-e Anzali,2021-01-27,12.8,2.8,7.0,0.0,0.0,0.0,8.9,21.2,88,1019.0,53,10.91,10.7,3
Bandar-e Anzali,2021-01-28,15.8,5.2,9.9,0.0,0.0,0.0,18.3,27.7,81,1011.0,70,9.94,13.6,3
Bandar-e Anzali,2021-01-29,18.1,8.4,13.0,0.1,0.1,0.0,25.7,45.0,67,1011.4,50,10.02,12.5,51
Bandar-e Anzali,2021-01-30,14.6,7.8,10.3,1.8,1.8,0.0,20.0,35.6,87,1010.2,51,10.0,13.5,53
Bandar-e Anzali,2021-01-31,16.5,4.3,9.7,0.0,0.0,0.0,12.5,24.8,76,1012.3,23,11.82,14.4,3
Bandar-e Anzali,2021-02-01,13.9,6.4,10.3,0.0,0.0,0.0,12.3,28.4,88,1022.9,19,11.98,12.6,3
Bandar-e Anzali,2021-02-02,13.6,6.8,9.8,0.0,0.0,0.0,10.3,25.2,90,1022.3,35,10.71,11.7,3
Bandar-e Anzali,2021-02-03,14.8,5.4,8.8,0.0,0.0,0.0,10.7,25.6,91,1020.6,68,10.79,13.8,3
Bandar-e Anzali,2021-02-04,13.6,6.7,9.4,0.0,0.0,0.0,10.4,26.6,91,1017.8,83,10.3,11.9,3
Bandar-e Anzali,2021-02-05,24.6,6.2,15.7,0.5,0.5,0.0,20.0,36.0,68,1010.2,76,10.22,21.9,51
Bandar-e Anzali,2021-02-06,15.4,8.9,11.7,6.6,6.6,0.0,13.6,25.2,83,1019.1,99,8.82,13.7,61
