city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Barda,2020-01-01,12.6,1.0,6.1,0.0,0.0,0.0,12.9,22.3,76,1014.2,36,7.88,9.9,3
Barda,2020-01-02,11.6,4.5,7.7,0.0,0.0,0.0,16.1,29.2,67,1019.1,50,5.53,9.1,3
Barda,2020-01-03,6.9,4.0,5.7,1.3,1.3,0.0,11.9,23.8,88,1026.3,93,2.69,4.9,51
Barda,2020-01-04,6.6,4.3,5.4,0.9,0.9,0.0,10.7,18.7,85,1021.3,100,1.57,4.3,51
Barda,2020-01-05,10.4,1.5,5.1,0.0,0.0,0.0,13.0,24.5,70,1015.1,35,8.73,7.3,3
Barda,2020-01-06,9.6,-0.5,3.4,0.0,0.0,0.0,8.7,18.4,81,1022.0,1,8.78,6.9,0
Barda,2020-01-07,10.2,-0.2,3.5,0.0,0.0,0.0,9.9,17.6,80,1022.4,17,8.65,7.5,2
Barda,2020-01-08,7.2,-2.2,2.4,0.0,0.0,0.0,5.5,14.8,72,1017.5,63,7.22,4.3,3
Barda,2020-01-09,8.9,-0.8,3.6,0.0,0.0,0.0,12.1,21.2,70,1017.4,77,6.47,6.1,3
Barda,2020-01-10,9.4,0.6,3.7,0.0,0.0,0.0,12.0,23.0,75,1020.3,11,9.02,6.5,2
Barda,2020-01-11,8.2,-1.5,2.4,0.0,0.0,0.0,8.0,19.4,82,1023.5,24,8.79,5.4,3
Barda,2020-01-12,10.9,-1.8,4.5,0.0,0.0,0.0,15.5,27.0,66,1019.4,62,8.01,7.5,3
Barda,2020-01-13,9.8,2.6,5.9,0.0,0.0,0.0,15.1,28.4,64,1021.5,71,5.88,6.8,3
Barda,2020-01-14,10.2,-1.0,4.6,0.0,0.0,0.0,16.1,29.5,61,1028.1,1,9.55,7.4,0
Barda,2020-01-15,6.9,-1.6,2.2,0.0,0.0,0.0,12.0,23.0,83,1029.0,77,7.15,3.9,3
Barda,2020-01-16,5.7,2.8,4.0,8.8,8.8,0.0,14.6,29.5,89,1035.8,99,2.99,2.1,53
Barda,2020-01-17,7.2,2.0,3.9,2.8,2.8,0.0,18.2,32.8,82,1028.7,67,4.44,3.7,53
Barda,2020-01-18,8.6,-1.8,2.4,0.0,0.0,0.0,11.7,23.8,66,1022.3,26,9.93,4.9,3
Barda,2020-01-19,4.0,-0.4,2.2,1.8,1.8,0.0,12.5,25.2,89,1026.6,91,2.29,0.6,51
Barda,2020-01-20,6.3,1.6,3.5,0.4,0.4,0.0,6.8,18.7,82,1029.7,92,6.08,3.5,51
Barda,2020-01-21,7.8,-0.3,3.3,0.0,0.0,0.0,7.2,13.7,77,1026.9,43,8.38,5.3,3
Barda,2020-01-22,10.9,-0.8,4.5,0.0,0.0,0.0,20.5,38.2,62,1022.6,19,10.34,6.0,3
Barda,2020-01-23,11.4,4.2,7.1,0.0,0.0,0.0,24.8,45.7,46,1011.7,12,10.4,6.0,3
Barda,2020-01-24,7.7,-0.6,5.8,0.0,0.0,0.0,29.5,54.7,44,1019.2,85,3.11,1.8,3
Barda,2020-01-25,7.1,-1.1,2.5,0.0,0.0,0.0,13.6,28.4,49,1028.6,11,10.48,2.5,2
Barda,2020-01-26,12.9,-1.9,4.7,0.0,0.0,0.0,18.0,38.2,44,1021.3,0,10.92,7.9,0
Barda,2020-01-27,9.8,-1.7,3.3,0.0,0.0,0.0,13.1,22.7,60,1027.4,0,10.77,6.7,0
Barda,2020-01-28,11.3,-1.6,3.3,0.0,0.0,0.0,9.0,17.6,69,1021.9,33,10.47,8.3,3
Barda,2020-01-29,13.6,-2.2,4.6,0.0,0.0,0.0,10.6,18.4,63,1015.4,58,10.26,10.3,3
Barda,2020-01-30,16.4,0.9,7.8,0.0,0.0,0.0,15.1,32.8,53,1013.7,23,11.1,13.3,3
Barda,2020-01-31,15.8,0.8,7.5,0.0,0.0,0.0,29.1,53.6,61,1007.5,86,9.83,13.3,3
Barda,2020-02-01,8.5,4.3,6.0,3.6,3.6,0.0,29.8,55.4,77,1011.1,99,2.55,4.3,53
Barda,2020-02-02,11.1,0.9,5.7,0.0,0.0,0.0,9.9,22.3,66,1019.1,22,11.23,7.6,3
Barda,2020-02-03,14.6,0.9,7.2,0.0,0.0,0.0,15.6,29.9,53,1015.9,13,11.65,10.6,2
Barda,2020-02-04,16.9,6.0,10.8,0.0,0.0,0.0,28.6,52.6,38,1006.2,46,11.18,11.7,3
Barda,2020-02-05,13.5,3.2,8.3,0.4,0.4,0.0,25.0,48.6,51,1015.0,30,11.45,10.6,51
Barda,2020-02-06,20.6,3.1,12.1,0.0,0.0,0.0,15.6,32.8,48,1011.2,15,11.69,17.0,3
Barda,2020-02-07,18.4,7.2,12.0,0.0,0.0,0.0,30.9,57.6,48,1004.3,31,8.96,16.1,3
Barda,2020-02-08,12.0,3.2,7.5,7.2,4.3,2.03,30.9,55.8,64,1004.1,80,7.76,8.7,73
Barda,2020-02-09,5.8,-1.1,2.3,3.1,0.0,2.17,26.5,50.0,42,1016.5,92,5.56,-0.9,73
Barda,2020-02-10,4.2,-3.0,-0.1,0.0,0.0,0.0,13.2,29.9,47,1027.6,87,10.44,0.3,3
Barda,2020-02-11,5.4,-5.4,-1.2,0.0,0.0,0.0,8.7,18.0,61,1022.6,20,13.23,1.8,3
Barda,2020-02-12,8.8,-4.4,2.0,0.0,0.0,0.0,15.5,31.7,39,1014.4,16,13.27,4.2,3
Barda,2020-02-13,11.9,1.8,7.3,0.0,0.0,0.0,20.8,37.8,39,1018.5,66,9.94,7.7,3
Barda,2020-02-14,12.1,2.0,7.4,0.3,0.3,0.0,29.2,54.7,40,1025.6,46,12.96,5.5,51
Barda,2020-02-15,9.9,-3.2,3.2,0.0,0.0,0.0,9.6,18.4,60,1031.6,61,12.54,6.2,3
Barda,2020-02-16,11.4,-0.2,5.0,0.0,0.0,0.0,9.5,18.4,49,1028.8,68,13.26,7.9,3
Barda,2020-02-17,8.9,2.2,5.6,0.7,0.7,0.0,17.7,31.7,70,1033.8,84,7.46,4.7,51
Barda,2020-02-18,11.7,0.2,5.2,0.0,0.0,0.0,7.9,18.4,69,1032.4,9,13.64,8.9,2
Barda,2020-02-19,14.6,0.3,6.7,0.0,0.0,0.0,8.6,18.0,65,1022.1,50,13.6,11.9,3
Barda,2020-02-20,10.6,5.9,7.9,0.1,0.1,0.0,7.6,13.0,71,1015.5,99,3.93,8.5,51
Barda,2020-02-21,15.6,3.8,8.9,0.0,0.0,0.0,13.3,23.0,77,1016.9,33,13.75,13.8,3
Barda,2020-02-22,11.7,6.5,8.7,0.0,0.0,0.0,10.8,23.4,84,1021.4,98,6.01,9.4,3
Barda,2020-02-23,18.4,5.3,11.0,0.0,0.0,0.0,14.8,26.6,67,1019.8,42,14.09,15.5,3
Barda,2020-02-24,15.9,5.8,10.3,0.0,0.0,0.0,12.6,27.4,64,1015.6,25,13.82,14.0,3
Barda,2020-02-25,15.4,4.8,9.2,0.2,0.2,0.0,49.7,95.4,51,1008.7,33,13.38,9.8,51
Barda,2020-02-26,11.6,3.0,6.7,0.0,0.0,0.0,18.5,37.8,47,1022.3,15,12.59,8.6,3
Barda,2020-02-27,15.8,-0.2,7.1,0.0,0.0,0.0,9.5,16.6,55,1020.1,8,15.78,13.0,2
Barda,2020-02-28,21.0,1.4,11.3,0.0,0.0,0.0,28.7,55.1,47,1010.9,75,11.93,16.7,3
Barda,2020-02-29,18.1,6.8,12.2,0.0,0.0,0.0,26.8,52.6,47,1012.9,49,14.15,13.1,3
Barda,2020-03-01,17.4,2.5,9.9,0.1,0.1,0.0,25.0,51.5,62,1013.2,80,14.44,14.0,51
Barda,2020-03-02,9.6,5.6,7.2,5.2,5.2,0.0,16.8,31.0,84,1021.9,100,5.03,7.0,53
Barda,2020-03-03,17.1,4.2,9.5,0.0,0.0,0.0,9.4,23.8,75,1022.9,54,15.87,15.2,3
Barda,2020-03-04,18.4,2.7,9.7,0.0,0.0,0.0,10.0,16.2,78,1023.1,22,16.15,16.9,3
Barda,2020-03-05,20.3,3.8,11.7,0.0,0.0,0.0,8.6,17.6,73,1018.5,22,16.58,19.1,3
Barda,2020-03-06,15.8,6.0,10.0,0.0,0.0,0.0,11.3,27.7,83,1018.6,84,13.84,13.9,3
Barda,2020-03-07,18.1,5.1,11.0,0.0,0.0,0.0,14.5,31.3,72,1023.5,97,13.19,14.7,3
Barda,2020-03-08,17.5,3.5,10.2,0.0,0.0,0.0,14.9,27.0,72,1026.3,54,17.17,16.0,3
Barda,2020-03-09,16.7,3.0,9.1,0.0,0.0,0.0,8.7,19.4,71,1026.6,5,17.65,15.5,2
Barda,2020-03-10,16.8,3.0,9.2,0.0,0.0,0.0,9.7,22.0,74,1021.5,49,16.75,14.9,3
Barda,2020-03-11,21.8,2.5,11.5,0.0,0.0,0.0,9.0,20.2,68,1017.5,62,16.66,19.7,3
Barda,2020-03-12,25.2,7.2,15.5,0.0,0.0,0.0,11.5,20.9,59,1016.0,41,17.47,24.3,3
Barda,2020-03-13,21.2,8.5,14.0,0.0,0.0,0.0,17.8,38.5,71,1019.0,85,15.15,18.8,3
Barda,2020-03-14,19.0,11.4,14.4,0.2,0.2,0.0,11.3,20.9,69,1010.3,97,8.73,17.2,51
Barda,2020-03-15,17.6,12.0,14.6,0.5,0.5,0.0,17.6,31.7,71,1013.2,72,8.82,16.5,51
Barda,2020-03-16,11.6,7.2,9.1,7.5,7.5,0.0,20.1,38.5,80,1017.7,89,5.13,9.2,61
Barda,2020-03-17,7.7,5.2,6.2,1.4,1.4,0.0,18.2,34.6,79,1026.3,100,2.91,5.6,51
Barda,2020-03-18,7.7,4.7,5.6,6.0,5.9,0.07,15.8,32.0,75,1024.3,100,4.63,4.0,71
Barda,2020-03-19,13.5,4.7,7.8,0.4,0.4,0.0,12.4,24.8,74,1015.7,55,14.98,11.6,51
Barda,2020-03-20,13.9,2.8,8.3,0.0,0.0,0.0,9.7,24.8,80,1015.3,64,13.72,11.5,3
Barda,2020-03-21,10.9,6.4,8.4,1.5,1.5,0.0,12.0,27.4,88,1019.4,94,4.94,8.0,51
Barda,2020-03-22,13.6,7.1,9.4,0.1,0.1,0.0,10.2,23.8,80,1020.2,79,9.12,11.0,51
Barda,2020-03-23,18.2,4.2,11.1,0.0,0.0,0.0,12.3,23.0,68,1018.1,3,19.64,17.0,0
Barda,2020-03-24,18.6,6.8,12.5,0.0,0.0,0.0,13.8,30.2,68,1018.7,16,19.3,16.4,1
Barda,2020-03-25,15.9,5.7,11.3,0.0,0.0,0.0,13.9,32.8,66,1021.1,60,14.9,13.5,3
Barda,2020-03-26,18.1,6.3,12.1,0.0,0.0,0.0,16.9,37.4,58,1024.5,34,20.47,15.1,2
Barda,2020-03-27,18.2,4.2,11.1,0.0,0.0,0.0,11.2,24.8,64,1023.0,22,20.69,16.0,3
Barda,2020-03-28,16.7,5.8,11.4,0.0,0.0,0.0,15.0,32.8,76,1018.1,64,15.0,14.4,3
Barda,2020-03-29,15.7,9.9,12.3,0.0,0.0,0.0,9.9,24.1,61,1009.5,99,9.11,12.5,3
