city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Batumi,2020-01-01,9.1,7.0,8.2,40.6,40.6,0.0,14.0,37.1,93,1017.8,100,1.53,8.0,63,41.65,41.64
Batumi,2020-01-02,7.0,5.0,6.1,28.8,28.1,0.49,8.4,25.2,93,1024.0,100,1.23,5.3,73,41.65,41.64
Batumi,2020-01-03,9.4,2.1,6.0,3.3,1.7,1.12,7.4,21.2,86,1024.7,41,7.99,7.0,73,41.65,41.64
Batumi,2020-01-04,8.7,2.1,5.3,0.2,0.2,0.0,5.3,29.5,76,1016.0,95,5.08,6.7,51,41.65,41.64
Batumi,2020-01-05,10.2,3.8,7.2,0.0,0.0,0.0,8.2,21.6,79,1015.4,51,5.36,8.3,3,41.65,41.64
Batumi,2020-01-06,14.7,2.2,7.5,0.0,0.0,0.0,9.0,30.2,56,1016.8,48,8.61,13.4,3,41.65,41.64
Batumi,2020-01-07,17.1,8.2,11.5,0.0,0.0,0.0,15.1,46.8,42,1014.8,63,8.3,14.7,3,41.65,41.64
Batumi,2020-01-08,14.2,8.8,11.1,0.7,0.7,0.0,14.3,45.7,65,1014.1,82,6.99,12.9,51,41.65,41.64
Batumi,2020-01-09,8.7,5.8,6.8,26.0,26.0,0.0,22.0,61.2,92,1021.0,99,1.02,7.5,61,41.65,41.64
Batumi,2020-01-10,6.3,4.7,5.5,18.4,17.6,0.56,10.0,25.9,95,1024.6,100,1.08,4.2,73,41.65,41.64
Batumi,2020-01-11,9.5,2.0,6.0,4.6,4.6,0.0,7.4,21.6,85,1025.9,58,7.09,7.4,53,41.65,41.64
Batumi,2020-01-12,8.6,2.1,6.3,33.4,31.0,1.68,18.9,55.8,80,1021.6,98,1.11,7.0,75,41.65,41.64
Batumi,2020-01-13,5.3,1.4,4.1,23.7,15.0,6.09,17.4,49.7,93,1027.7,88,1.37,2.6,75,41.65,41.64
Batumi,2020-01-14,10.3,0.2,4.8,0.0,0.0,0.0,6.9,19.8,68,1027.5,30,8.66,8.0,3,41.65,41.64
Batumi,2020-01-15,8.5,2.9,5.6,1.9,1.9,0.0,10.8,28.4,71,1029.7,83,4.06,5.9,53,41.65,41.64
Batumi,2020-01-16,10.8,-0.3,5.6,0.9,0.9,0.0,7.3,19.8,78,1029.8,34,9.05,8.2,53,41.65,41.64
Batumi,2020-01-17,8.9,-1.6,3.3,0.0,0.0,0.0,7.9,20.9,59,1024.4,5,8.54,6.3,1,41.65,41.64
Batumi,2020-01-18,7.7,1.0,4.1,0.9,0.9,0.0,9.0,23.4,66,1022.9,82,3.11,5.3,51,41.65,41.64
Batumi,2020-01-19,7.8,2.2,5.0,0.0,0.0,0.0,8.0,19.4,77,1022.0,64,5.8,5.7,3,41.65,41.64
Batumi,2020-01-20,8.9,1.4,5.1,0.2,0.2,0.0,7.6,19.8,78,1026.2,50,6.66,6.7,51,41.65,41.64
Batumi,2020-01-21,5.9,3.2,4.7,30.5,20.7,6.86,17.3,45.0,94,1030.6,100,1.09,3.8,75,41.65,41.64
Batumi,2020-01-22,5.7,2.6,3.9,5.1,2.4,1.89,8.9,26.3,87,1029.0,98,2.39,2.9,73,41.65,41.64
Batumi,2020-01-23,6.8,2.3,4.3,12.6,8.6,2.8,21.1,65.5,84,1017.3,96,2.21,4.1,75,41.65,41.64
Batumi,2020-01-24,3.3,1.1,2.4,11.7,0.9,7.56,21.2,58.0,92,1027.7,94,3.51,-0.9,73,41.65,41.64
Batumi,2020-01-25,6.9,-0.3,2.5,0.3,0.0,0.21,7.1,19.1,65,1030.3,47,9.48,3.4,71,41.65,41.64
Batumi,2020-01-26,11.7,-1.0,4.0,0.0,0.0,0.0,7.1,21.6,59,1026.8,10,9.77,9.1,2,41.65,41.64
Batumi,2020-01-27,12.6,-0.3,4.5,0.0,0.0,0.0,10.0,24.8,57,1024.8,11,10.12,10.5,2,41.65,41.64
