city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Beylagan,2020-01-01,11.9,0.1,5.7,0.0,0.0,0.0,9.4,16.9,81,1014.3,34,8.43,9.8,3
Beylagan,2020-01-02,11.5,0.6,6.0,0.0,0.0,0.0,10.0,18.0,80,1019.3,42,8.03,9.0,3
Beylagan,2020-01-03,6.4,4.8,5.5,3.9,3.9,0.0,9.5,18.4,88,1026.6,100,1.54,3.7,53
Beylagan,2020-01-04,5.9,4.4,5.1,2.1,2.1,0.0,7.6,16.9,94,1021.3,100,1.51,3.9,51
Beylagan,2020-01-05,10.1,0.8,5.7,1.8,1.8,0.0,7.3,17.6,82,1015.2,59,7.44,7.6,53
Beylagan,2020-01-06,9.9,-1.6,3.4,0.0,0.0,0.0,8.3,15.1,83,1022.0,0,8.99,7.6,0
Beylagan,2020-01-07,9.1,-1.5,3.4,0.0,0.0,0.0,7.4,13.0,86,1022.4,24,8.4,7.4,2
Beylagan,2020-01-08,8.4,-3.6,1.8,0.0,0.0,0.0,9.2,15.8,81,1017.5,80,8.15,5.5,3
Beylagan,2020-01-09,7.8,1.5,3.8,1.4,1.4,0.0,7.9,15.8,88,1017.5,86,4.16,5.8,51
Beylagan,2020-01-10,8.9,-0.2,3.5,0.0,0.0,0.0,9.6,18.0,80,1020.3,48,7.87,6.3,3
Beylagan,2020-01-11,8.6,0.2,3.2,0.0,0.0,0.0,10.8,16.6,85,1023.5,46,7.7,5.8,3
Beylagan,2020-01-12,9.2,-1.9,3.6,0.0,0.0,0.0,7.7,16.6,77,1019.5,69,8.15,6.9,3
Beylagan,2020-01-13,8.8,3.7,5.8,1.6,1.6,0.0,11.5,43.6,81,1021.6,89,4.25,6.6,53
Beylagan,2020-01-14,9.4,-2.3,3.4,0.0,0.0,0.0,9.9,19.4,76,1028.3,1,9.74,6.8,0
Beylagan,2020-01-15,6.8,-1.4,2.7,0.0,0.0,0.0,8.7,19.1,87,1029.0,93,5.32,4.0,3
Beylagan,2020-01-16,4.8,3.1,4.2,5.6,5.6,0.0,12.7,25.2,90,1035.9,99,2.12,2.8,53
Beylagan,2020-01-17,6.1,0.9,3.9,1.7,1.7,0.0,9.2,18.7,87,1028.6,95,3.34,3.3,51
Beylagan,2020-01-18,8.4,-2.2,3.0,0.0,0.0,0.0,11.7,26.3,78,1022.4,56,9.77,4.7,3
