city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Bilesuvar,2020-01-01,12.8,0.6,6.1,0.0,0.0,0.0,8.7,16.9,83,1014.3,27,8.57,11.0,3
Bilesuvar,2020-01-02,12.1,2.1,6.8,0.0,0.0,0.0,13.4,27.4,81,1019.6,38,8.72,9.7,3
Bilesuvar,2020-01-03,6.3,5.4,5.8,2.1,2.1,0.0,11.7,24.1,84,1026.6,99,1.34,3.3,51
Bilesuvar,2020-01-04,5.8,4.8,5.3,9.9,9.9,0.0,14.6,29.5,94,1020.7,100,1.23,2.9,61
Bilesuvar,2020-01-05,8.6,2.9,5.7,12.5,12.5,0.0,12.6,24.5,88,1015.2,78,3.14,6.1,61
Bilesuvar,2020-01-06,10.5,-0.1,4.3,0.0,0.0,0.0,9.9,17.3,87,1022.0,30,8.5,8.5,3
Bilesuvar,2020-01-07,9.9,0.3,3.6,0.0,0.0,0.0,8.6,17.3,91,1022.4,29,8.18,8.3,3
Bilesuvar,2020-01-08,9.6,-1.6,3.5,0.0,0.0,0.0,8.7,16.2,86,1017.4,61,8.65,7.6,3
Bilesuvar,2020-01-09,9.1,3.0,5.8,12.5,12.5,0.0,11.1,22.0,91,1017.3,90,4.36,6.6,63
Bilesuvar,2020-01-10,9.2,-0.6,4.1,0.0,0.0,0.0,9.7,15.1,84,1020.6,44,8.09,7.3,3
Bilesuvar,2020-01-11,10.1,0.8,5.5,0.0,0.0,0.0,8.7,21.2,80,1023.5,53,8.8,7.3,3
Bilesuvar,2020-01-12,10.1,-1.5,3.8,0.0,0.0,0.0,8.8,20.5,79,1019.5,55,8.88,7.9,3
Bilesuvar,2020-01-13,7.6,2.8,5.5,3.1,3.1,0.0,9.8,18.7,89,1021.9,99,2.86,6.1,53
Bilesuvar,2020-01-14,9.8,1.3,4.3,0.0,0.0,0.0,12.3,22.7,80,1028.4,3,9.85,7.4,1
Bilesuvar,2020-01-15,8.5,1.4,4.8,0.0,0.0,0.0,10.8,22.0,84,1028.8,92,6.14,6.2,3
Bilesuvar,2020-01-16,6.2,4.2,5.1,3.8,3.8,0.0,11.7,22.7,86,1035.7,99,2.22,4.6,51
Bilesuvar,2020-01-17,4.9,3.8,4.2,5.8,5.8,0.0,14.0,28.4,94,1028.2,99,1.78,1.9,51
Bilesuvar,2020-01-18,7.8,2.8,4.6,0.0,0.0,0.0,15.8,32.0,76,1022.6,94,6.36,4.2,3
Bilesuvar,2020-01-19,5.4,2.8,3.8,1.4,1.4,0.0,15.0,32.4,76,1026.7,100,2.98,1.9,51
Bilesuvar,2020-01-20,6.0,1.6,3.3,0.4,0.4,0.0,11.3,21.6,82,1029.9,86,4.91,3.0,51
Bilesuvar,2020-01-21,8.1,-2.0,2.6,0.0,0.0,0.0,10.5,25.9,81,1027.2,52,8.61,5.0,3
Bilesuvar,2020-01-22,10.4,-1.2,3.9,0.0,0.0,0.0,13.4,30.6,72,1022.8,4,10.49,6.9,1
Bilesuvar,2020-01-23,10.7,-0.7,4.3,0.0,0.0,0.0,10.9,19.8,67,1011.8,4,10.68,8.4,2
Bilesuvar,2020-01-24,8.9,2.0,4.8,0.2,0.2,0.0,12.4,27.7,67,1019.8,84,7.46,5.9,51
Bilesuvar,2020-01-25,7.1,-2.5,1.8,0.0,0.0,0.0,8.7,22.0,72,1028.9,6,10.91,3.8,3
Bilesuvar,2020-01-26,12.6,-2.2,4.2,0.0,0.0,0.0,17.0,37.1,60,1021.7,0,11.14,9.1,0
Bilesuvar,2020-01-27,11.3,-0.8,4.2,0.0,0.0,0.0,11.2,24.1,81,1027.4,10,9.27,8.9,3
Bilesuvar,2020-01-28,10.9,-2.3,3.3,0.0,0.0,0.0,10.0,13.3,75,1022.2,22,11.12,8.6,2
Bilesuvar,2020-01-29,10.4,-2.0,3.8,0.0,0.0,0.0,7.8,16.9,69,1015.6,49,9.18,7.8,3
Bilesuvar,2020-01-30,16.8,0.3,8.1,0.0,0.0,0.0,16.9,36.4,58,1014.0,13,11.42,14.4,3
Bilesuvar,2020-01-31,17.4,2.7,9.1,0.0,0.0,0.0,12.8,24.8,62,1007.5,64,11.07,15.4,3
Bilesuvar,2020-02-01,6.3,2.7,4.8,9.4,9.4,0.0,12.0,24.5,91,1011.8,82,2.17,4.3,61
Bilesuvar,2020-02-02,10.6,1.6,5.8,0.9,0.9,0.0,11.4,28.4,77,1019.2,48,11.02,7.4,53
Bilesuvar,2020-02-03,14.2,-0.5,6.2,0.0,0.0,0.0,14.5,27.7,66,1016.1,3,11.93,11.8,2
Bilesuvar,2020-02-04,17.9,4.6,11.6,0.0,0.0,0.0,21.5,45.0,41,1005.8,52,11.71,13.7,3
Bilesuvar,2020-02-05,13.4,4.1,8.0,0.9,0.9,0.0,14.7,31.3,83,1015.6,32,11.73,11.3,51
Bilesuvar,2020-02-06,21.2,5.5,11.9,0.0,0.0,0.0,14.8,28.1,62,1011.1,1,12.17,19.2,0
