city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Dashkasan,2020-01-01,2.8,-6.0,-2.2,0.1,0.0,0.07,7.7,21.2,72,1014.4,23,8.43,-0.9,71
Dashkasan,2020-01-02,2.0,-6.7,-2.5,4.1,0.1,2.8,8.3,29.5,71,1019.8,62,7.19,-1.8,73
Dashkasan,2020-01-03,-3.3,-6.2,-4.6,3.2,0.0,2.24,8.9,23.4,91,1026.8,96,3.67,-6.7,73
Dashkasan,2020-01-04,-3.4,-7.2,-5.3,0.3,0.0,0.21,5.9,15.8,92,1021.7,98,6.16,-6.7,71
Dashkasan,2020-01-05,0.1,-10.4,-5.9,0.0,0.0,0.0,9.3,18.7,70,1014.8,49,9.58,-3.1,3
Dashkasan,2020-01-06,1.2,-12.6,-7.5,0.0,0.0,0.0,8.3,18.7,65,1020.8,0,10.21,-2.6,0
Dashkasan,2020-01-07,1.8,-12.3,-6.3,0.0,0.0,0.0,7.0,19.1,62,1021.1,18,10.02,-1.5,2
Dashkasan,2020-01-08,2.1,-10.7,-5.0,0.0,0.0,0.0,8.3,21.2,59,1016.2,53,8.89,-1.7,3
Dashkasan,2020-01-09,0.6,-10.2,-4.4,0.1,0.0,0.07,9.9,24.8,67,1017.0,87,8.07,-2.6,71
Dashkasan,2020-01-10,-0.3,-11.1,-6.4,0.1,0.0,0.07,12.6,26.6,71,1020.2,36,8.4,-4.1,71
Dashkasan,2020-01-11,-0.4,-12.0,-7.1,0.0,0.0,0.0,10.1,24.1,69,1023.1,40,10.12,-4.3,3
Dashkasan,2020-01-12,2.4,-13.2,-5.1,0.1,0.0,0.07,8.7,23.4,65,1018.6,76,8.74,-0.8,71
Dashkasan,2020-01-13,-1.7,-12.2,-4.7,5.9,0.0,4.13,9.9,25.9,75,1022.9,60,9.06,-4.8,73
Dashkasan,2020-01-14,1.9,-13.8,-6.1,0.0,0.0,0.0,9.9,22.3,51,1026.7,8,10.88,-1.9,2
Dashkasan,2020-01-15,0.3,-8.4,-4.2,0.1,0.0,0.07,9.2,21.2,47,1027.2,86,9.57,-3.4,71
Dashkasan,2020-01-16,-3.8,-6.7,-5.3,2.9,0.0,2.03,10.5,27.0,90,1035.3,95,6.69,-7.9,71
Dashkasan,2020-01-17,-4.2,-14.1,-7.3,0.8,0.0,0.56,8.8,21.6,81,1029.2,56,9.12,-8.1,71
Dashkasan,2020-01-18,-1.1,-14.9,-7.5,0.0,0.0,0.0,12.9,25.6,46,1021.4,52,11.03,-5.2,3
Dashkasan,2020-01-19,-4.9,-12.6,-8.2,0.6,0.0,0.42,8.0,17.3,77,1026.4,92,7.76,-8.9,71
Dashkasan,2020-01-20,-4.4,-7.6,-6.0,0.6,0.0,0.42,6.9,17.3,88,1029.2,54,8.54,-8.2,71
Dashkasan,2020-01-21,-1.2,-13.0,-7.0,0.0,0.0,0.0,11.8,26.6,66,1026.2,21,10.77,-5.4,2
Dashkasan,2020-01-22,-0.7,-14.3,-8.3,0.0,0.0,0.0,11.5,25.9,68,1023.0,27,11.65,-4.4,3
Dashkasan,2020-01-23,1.1,-14.3,-6.9,0.0,0.0,0.0,10.5,24.8,64,1011.5,26,11.52,-2.3,3
Dashkasan,2020-01-24,-4.2,-15.3,-7.2,1.9,0.0,1.33,8.4,25.6,78,1020.7,83,6.06,-7.9,71
Dashkasan,2020-01-25,-2.4,-19.7,-11.8,0.0,0.0,0.0,9.2,22.7,51,1027.9,5,12.07,-6.3,1
Dashkasan,2020-01-26,3.6,-12.3,-5.3,0.0,0.0,0.0,14.3,38.9,54,1019.4,0,12.31,-1.2,0
Dashkasan,2020-01-27,0.2,-10.7,-5.4,0.0,0.0,0.0,7.7,22.3,56,1026.4,0,12.15,-3.4,0
Dashkasan,2020-01-28,3.6,-11.8,-5.0,0.0,0.0,0.0,7.3,17.3,59,1019.8,37,11.52,0.2,3
Dashkasan,2020-01-29,4.9,-8.8,-2.5,0.0,0.0,0.0,10.2,27.7,61,1014.5,66,11.99,1.9,3
Dashkasan,2020-01-30,4.4,-8.9,-1.8,0.0,0.0,0.0,13.5,36.0,61,1014.8,23,11.9,0.2,3
Dashkasan,2020-01-31,4.4,-6.5,-0.6,0.2,0.0,0.14,10.5,28.8,67,1008.4,86,10.68,0.5,71
Dashkasan,2020-02-01,-2.7,-5.7,-4.0,3.0,0.0,2.17,11.3,30.2,83,1012.1,99,4.8,-6.7,73
Dashkasan,2020-02-02,1.0,-11.9,-5.7,0.0,0.0,0.0,16.9,49.7,62,1018.5,32,11.69,-4.1,3
Dashkasan,2020-02-03,5.8,-9.9,-3.7,0.0,0.0,0.0,11.8,31.3,62,1015.6,13,12.79,2.1,2
Dashkasan,2020-02-04,3.1,-9.1,-2.2,0.2,0.0,0.14,22.8,69.1,64,1007.4,65,6.4,-1.7,71
Dashkasan,2020-02-05,4.3,-6.6,-0.8,0.0,0.0,0.0,10.7,31.7,66,1014.4,46,11.58,1.0,3
Dashkasan,2020-02-06,11.0,-0.9,4.3,0.0,0.0,0.0,12.1,48.2,59,1011.3,33,12.33,7.5,3
Dashkasan,2020-02-07,9.0,-0.3,3.9,6.3,2.4,2.73,10.2,42.8,58,1005.3,58,7.96,5.7,75
Dashkasan,2020-02-08,2.5,-7.7,-1.8,7.1,0.8,4.41,12.2,49.3,84,1004.2,76,8.17,-0.3,73
Dashkasan,2020-02-09,-9.2,-12.2,-10.7,6.9,0.1,4.76,14.7,41.8,63,1019.5,99,10.42,-13.8,75
Dashkasan,2020-02-10,-8.9,-20.0,-13.9,0.0,0.0,0.0,10.0,25.2,53,1028.9,70,14.0,-13.0,3
Dashkasan,2020-02-11,-4.2,-21.6,-14.4,0.0,0.0,0.0,9.5,22.7,54,1022.7,7,15.3,-7.8,2
Dashkasan,2020-02-12,-0.3,-18.6,-8.4,0.0,0.0,0.0,18.1,47.5,56,1014.2,48,14.22,-4.3,3
Dashkasan,2020-02-13,0.3,-9.4,-4.5,1.8,0.0,1.26,16.1,46.4,69,1019.3,77,11.18,-3.2,73
Dashkasan,2020-02-14,-2.7,-13.0,-7.0,0.5,0.0,0.35,17.2,56.5,61,1027.3,47,14.56,-8.3,71
Dashkasan,2020-02-15,-3.1,-17.2,-8.2,0.0,0.0,0.0,7.6,22.0,52,1031.5,66,13.9,-7.2,3
Dashkasan,2020-02-16,0.3,-7.9,-3.5,0.0,0.0,0.0,7.7,19.8,54,1027.9,67,15.11,-2.9,3
Dashkasan,2020-02-17,-4.0,-7.9,-5.8,2.0,0.0,1.4,10.9,28.1,83,1033.9,99,8.47,-8.3,73
Dashkasan,2020-02-18,0.6,-8.7,-3.6,0.0,0.0,0.0,7.6,19.4,75,1032.4,30,15.69,-2.9,3
Dashkasan,2020-02-19,5.6,-7.2,0.5,0.0,0.0,0.0,9.2,22.3,59,1020.6,49,14.9,2.2,3
Dashkasan,2020-02-20,1.8,-5.1,-0.5,1.0,0.0,0.7,8.4,15.8,76,1015.4,92,7.43,-0.9,73
Dashkasan,2020-02-21,6.7,-5.4,0.7,0.0,0.0,0.0,11.3,28.4,81,1016.4,52,14.5,3.8,3
Dashkasan,2020-02-22,5.6,-3.2,0.6,0.0,0.0,0.0,10.8,30.2,78,1020.2,88,11.59,2.1,3
Dashkasan,2020-02-23,8.0,-2.7,1.8,0.4,0.1,0.21,7.6,24.8,69,1019.6,49,13.51,4.5,71
Dashkasan,2020-02-24,8.5,-4.1,1.2,0.0,0.0,0.0,14.5,43.2,63,1014.9,13,15.21,5.4,2
Dashkasan,2020-02-25,3.7,-5.7,-0.5,4.3,0.0,3.01,14.4,40.7,73,1011.2,54,6.79,0.5,73
Dashkasan,2020-02-26,-0.2,-10.6,-4.6,0.0,0.0,0.0,9.9,29.9,54,1022.2,0,16.51,-4.0,0
