city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Derbent,2020-01-01,8.7,4.0,6.5,0.0,0.0,0.0,11.1,27.4,87,1013.5,23,7.77,6.3,3
Derbent,2020-01-02,6.2,3.6,5.0,1.3,1.3,0.0,20.8,42.1,87,1022.0,81,2.92,4.7,51
Derbent,2020-01-03,5.8,2.8,4.1,0.5,0.5,0.0,13.8,30.2,84,1027.3,89,4.77,3.2,51
Derbent,2020-01-04,6.7,4.2,5.4,0.5,0.5,0.0,11.0,25.2,87,1019.6,91,3.48,4.2,51
Derbent,2020-01-05,7.9,3.6,5.8,0.5,0.5,0.0,14.0,26.6,90,1015.6,80,3.55,5.5,51
Derbent,2020-01-06,7.5,3.4,5.5,0.0,0.0,0.0,10.8,22.7,91,1022.1,72,5.44,5.2,3
Derbent,2020-01-07,8.6,5.9,6.7,0.3,0.3,0.0,21.6,43.6,89,1019.3,78,4.06,5.5,51
Derbent,2020-01-08,9.5,5.8,7.0,0.0,0.0,0.0,21.8,45.4,87,1017.0,74,5.62,6.3,3
Derbent,2020-01-09,7.1,5.5,6.3,4.3,4.3,0.0,19.1,38.2,89,1018.0,91,1.55,4.6,53
Derbent,2020-01-10,5.3,2.3,4.1,2.1,2.1,0.0,17.6,35.3,92,1021.7,94,3.11,1.4,53
Derbent,2020-01-11,4.4,1.8,3.3,2.0,2.0,0.0,16.4,33.5,92,1023.8,88,1.9,1.2,51
Derbent,2020-01-12,8.0,1.8,4.9,0.4,0.4,0.0,17.8,35.6,85,1017.1,84,5.73,4.8,51
Derbent,2020-01-13,5.4,2.0,4.0,4.1,4.1,0.0,23.2,47.5,88,1024.1,79,3.95,2.0,53
Derbent,2020-01-14,7.5,1.6,3.8,0.0,0.0,0.0,12.1,27.4,79,1028.2,15,8.49,4.9,3
Derbent,2020-01-15,4.7,2.6,3.6,3.0,3.0,0.0,20.5,41.8,89,1031.3,99,1.66,1.7,53
Derbent,2020-01-16,5.8,1.4,3.9,0.2,0.2,0.0,14.1,29.2,88,1036.5,67,5.47,2.9,51
Derbent,2020-01-17,7.3,2.8,4.6,0.0,0.0,0.0,15.2,32.8,81,1025.3,39,7.05,4.4,3
Derbent,2020-01-18,4.6,1.9,3.2,0.0,0.0,0.0,28.3,57.6,80,1024.2,66,4.65,-1.1,3
Derbent,2020-01-19,2.5,1.2,1.9,0.7,0.1,0.42,17.9,37.1,85,1028.5,94,1.88,-1.6,71
Derbent,2020-01-20,5.0,0.1,2.0,0.0,0.0,0.0,12.6,25.2,76,1029.9,34,8.67,1.5,3
Derbent,2020-01-21,4.3,-0.3,1.9,0.0,0.0,0.0,12.6,25.6,80,1027.1,43,7.64,1.1,3
Derbent,2020-01-22,7.7,-0.3,3.8,0.0,0.0,0.0,14.2,30.6,77,1019.8,44,9.33,3.8,3
Derbent,2020-01-23,10.3,4.6,6.3,0.6,0.6,0.0,33.6,67.3,63,1007.4,32,9.37,7.9,51
Derbent,2020-01-24,4.3,0.5,2.0,2.2,0.7,1.05,22.7,47.2,78,1021.3,92,2.53,0.0,73
Derbent,2020-01-25,5.4,-1.4,2.2,0.0,0.0,0.0,19.3,40.7,65,1025.0,27,9.05,0.7,3
Derbent,2020-01-26,9.5,2.7,6.0,0.0,0.0,0.0,20.4,42.1,55,1019.7,26,9.84,6.1,2
Derbent,2020-01-27,8.8,2.5,5.1,0.0,0.0,0.0,18.8,41.0,82,1025.8,23,9.31,5.7,3
Derbent,2020-01-28,8.6,2.8,6.4,0.0,0.0,0.0,15.9,33.8,78,1020.0,26,9.48,6.3,3
Derbent,2020-01-29,9.2,2.0,5.9,0.0,0.0,0.0,28.2,57.6,86,1013.2,66,9.17,6.1,3
Derbent,2020-01-30,8.5,4.5,6.0,0.0,0.0,0.0,17.1,39.6,85,1012.8,44,10.19,6.4,3
Derbent,2020-01-31,8.2,4.5,5.7,0.5,0.5,0.0,18.6,38.2,93,1008.2,97,6.28,5.8,51
Derbent,2020-02-01,5.0,3.8,4.2,4.2,4.2,0.0,25.3,52.2,88,1014.0,99,2.87,1.5,51
Derbent,2020-02-02,7.3,3.3,4.9,0.0,0.0,0.0,12.6,26.6,80,1018.2,35,10.44,4.6,3
Derbent,2020-02-03,10.9,4.9,7.4,0.0,0.0,0.0,17.9,37.1,67,1010.0,34,10.63,7.3,3
Derbent,2020-02-04,14.5,5.4,8.7,0.0,0.0,0.0,29.7,63.0,66,1001.9,50,10.39,11.8,3
Derbent,2020-02-05,9.9,4.3,6.1,0.0,0.0,0.0,25.5,52.6,78,1011.9,40,10.74,6.8,3
Derbent,2020-02-06,13.6,4.5,10.0,0.0,0.0,0.0,8.9,19.1,65,1003.7,30,10.99,12.0,3
Derbent,2020-02-07,13.8,4.6,7.8,0.4,0.4,0.0,23.3,49.0,79,1002.1,64,8.55,9.6,51
Derbent,2020-02-08,5.9,1.2,3.8,10.2,8.6,1.12,30.1,60.5,93,1008.3,100,1.55,3.3,73
Derbent,2020-02-09,1.0,-4.8,-2.1,3.4,0.0,2.38,37.5,76.7,70,1023.0,93,5.79,-4.8,73
Derbent,2020-02-10,-1.5,-5.5,-3.5,0.0,0.0,0.0,22.5,48.6,68,1032.1,46,10.32,-6.7,3
Derbent,2020-02-11,2.4,-4.0,-0.5,0.0,0.0,0.0,22.4,46.4,65,1021.0,17,12.43,-2.9,3
Derbent,2020-02-12,5.8,-0.8,2.0,0.2,0.0,0.14,15.8,34.6,75,1011.1,29,12.44,2.5,71
Derbent,2020-02-13,7.4,0.2,3.7,0.0,0.0,0.0,14.6,33.1,78,1017.6,46,12.23,3.6,3
Derbent,2020-02-14,6.2,1.7,3.4,3.6,2.3,0.91,16.5,35.6,75,1026.9,64,6.9,3.3,73
Derbent,2020-02-15,7.0,1.1,3.9,0.0,0.0,0.0,17.1,37.1,73,1029.3,51,12.6,3.1,3
Derbent,2020-02-16,7.7,3.5,5.0,0.0,0.0,0.0,10.9,25.9,81,1029.8,83,8.55,4.7,3
Derbent,2020-02-17,6.7,3.6,5.1,0.1,0.1,0.0,15.8,34.6,88,1034.7,73,7.46,2.9,51
Derbent,2020-02-18,8.1,3.5,5.5,0.0,0.0,0.0,17.2,36.4,84,1027.9,26,11.82,6.3,2
Derbent,2020-02-19,7.8,3.0,4.9,0.0,0.0,0.0,12.3,25.9,85,1018.9,36,13.28,5.1,3
Derbent,2020-02-20,8.5,3.7,5.6,0.0,0.0,0.0,14.6,29.5,87,1016.5,98,8.54,6.3,3
Derbent,2020-02-21,6.8,3.3,4.9,0.0,0.0,0.0,16.1,33.1,92,1018.8,99,7.12,3.8,3
Derbent,2020-02-22,7.9,4.5,6.0,0.0,0.0,0.0,13.1,28.8,88,1021.9,97,8.86,4.7,3
Derbent,2020-02-23,7.7,4.5,5.7,0.0,0.0,0.0,15.3,32.8,89,1021.0,78,9.58,4.3,3
Derbent,2020-02-24,7.7,4.2,5.9,0.0,0.0,0.0,21.2,44.3,91,1013.2,60,10.17,4.3,3
Derbent,2020-02-25,9.1,2.9,6.1,1.0,1.0,0.0,35.1,75.2,75,1007.7,63,10.3,5.4,51
Derbent,2020-02-26,8.7,1.6,5.3,0.0,0.0,0.0,24.3,50.8,76,1019.8,7,14.72,4.1,1
Derbent,2020-02-27,11.9,3.0,8.6,0.0,0.0,0.0,12.3,27.7,65,1012.6,33,15.3,9.4,3
Derbent,2020-02-28,14.3,6.6,10.6,0.0,0.0,0.0,35.3,75.2,65,1005.3,84,10.25,13.3,3
Derbent,2020-02-29,9.9,4.9,7.4,0.0,0.0,0.0,15.9,47.9,81,1015.1,29,13.8,7.3,3
Derbent,2020-03-01,6.9,4.1,5.4,0.5,0.5,0.0,32.1,67.0,85,1018.3,91,8.64,3.2,51
Derbent,2020-03-02,8.1,3.3,5.4,0.6,0.6,0.0,14.4,29.9,78,1025.3,100,10.7,4.6,51
Derbent,2020-03-03,10.1,4.4,7.1,0.1,0.1,0.0,14.3,33.5,84,1022.4,37,15.36,7.5,51
Derbent,2020-03-04,12.0,5.9,9.0,0.0,0.0,0.0,8.6,20.5,80,1021.6,30,15.42,11.2,3
Derbent,2020-03-05,11.7,6.5,8.8,0.0,0.0,0.0,16.3,33.1,83,1016.7,40,14.78,10.7,3
Derbent,2020-03-06,11.0,6.5,8.7,0.0,0.0,0.0,19.6,43.9,89,1017.8,86,13.37,7.8,3
Derbent,2020-03-07,11.6,6.7,9.3,0.0,0.0,0.0,32.5,67.3,77,1021.2,57,16.14,6.2,3
Derbent,2020-03-08,9.7,5.4,7.1,0.0,0.0,0.0,23.7,50.0,83,1025.7,31,16.7,5.8,2
Derbent,2020-03-09,11.3,4.6,7.5,0.0,0.0,0.0,17.9,38.2,88,1023.4,29,16.86,9.0,3
