city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Erzurum,2020-01-01,-0.9,-9.3,-5.2,0.0,0.0,0.0,7.9,22.0,78,1018.1,53,8.06,-4.9,3,39.9,41.27
Erzurum,2020-01-02,-1.2,-8.9,-5.6,0.0,0.0,0.0,7.6,19.8,77,1022.1,56,8.47,-4.9,3,39.9,41.27
Erzurum,2020-01-03,-2.1,-12.0,-6.4,2.5,0.0,1.75,6.6,16.9,81,1024.0,74,5.65,-5.7,73,39.9,41.27
Erzurum,2020-01-04,0.1,-6.1,-3.6,2.4,0.0,1.68,7.2,19.1,81,1015.7,98,5.31,-2.9,73,39.9,41.27
Erzurum,2020-01-05,-1.6,-10.7,-6.5,0.3,0.0,0.21,6.9,22.7,80,1016.4,70,8.54,-5.5,71,39.9,41.27
Erzurum,2020-01-06,-1.5,-11.9,-7.7,0.0,0.0,0.0,6.3,20.2,78,1023.1,56,9.65,-5.3,3,39.9,41.27
Erzurum,2020-01-07,1.5,-8.1,-3.2,0.5,0.0,0.42,6.5,19.1,83,1022.7,94,5.95,-1.6,71,39.9,41.27
Erzurum,2020-01-08,-0.3,-7.6,-4.2,3.2,0.0,2.24,6.7,18.7,82,1018.1,98,5.53,-4.0,73,39.9,41.27
Erzurum,2020-01-09,-1.4,-10.8,-6.6,0.3,0.0,0.21,9.6,28.4,78,1018.9,82,7.48,-5.7,71,39.9,41.27
Erzurum,2020-01-10,-3.0,-10.8,-7.9,0.0,0.0,0.0,9.2,18.7,75,1022.8,41,9.76,-6.7,3,39.9,41.27
Erzurum,2020-01-11,-2.5,-14.3,-8.5,0.0,0.0,0.0,11.7,26.3,63,1026.4,4,10.68,-6.9,1,39.9,41.27
Erzurum,2020-01-12,1.1,-7.4,-3.7,2.1,0.0,1.47,15.8,40.7,81,1022.0,88,7.35,-3.2,73,39.9,41.27
Erzurum,2020-01-13,-3.9,-16.0,-8.5,0.3,0.0,0.21,13.1,40.7,75,1026.3,27,9.22,-8.0,71,39.9,41.27
Erzurum,2020-01-14,0.2,-14.3,-6.1,0.0,0.0,0.0,5.1,15.5,44,1030.6,27,11.0,-3.5,3,39.9,41.27
Erzurum,2020-01-15,0.7,-12.1,-5.1,0.0,0.0,0.0,8.2,21.2,46,1027.8,22,11.12,-3.5,3,39.9,41.27
Erzurum,2020-01-16,-2.3,-15.9,-8.9,0.0,0.0,0.0,12.0,33.5,68,1031.7,2,11.17,-7.4,0,39.9,41.27
Erzurum,2020-01-17,-2.1,-15.1,-9.9,0.0,0.0,0.0,8.4,20.5,58,1027.0,1,11.51,-6.4,0,39.9,41.27
Erzurum,2020-01-18,-2.6,-14.8,-9.3,0.0,0.0,0.0,10.2,26.6,56,1022.0,22,11.63,-7.0,3,39.9,41.27
Erzurum,2020-01-19,1.0,-8.6,-4.9,0.6,0.0,0.42,9.5,25.6,77,1020.2,76,8.54,-2.3,71,39.9,41.27
Erzurum,2020-01-20,-0.1,-9.3,-5.0,0.6,0.0,0.42,6.9,19.1,81,1024.4,81,5.85,-3.7,71,39.9,41.27
Erzurum,2020-01-21,-2.2,-10.2,-6.1,0.5,0.0,0.35,11.3,31.0,77,1026.8,51,10.6,-6.9,71,39.9,41.27
Erzurum,2020-01-22,-4.0,-13.2,-9.2,0.0,0.0,0.0,9.6,15.5,67,1027.8,31,11.46,-8.1,3,39.9,41.27
Erzurum,2020-01-23,-1.9,-15.6,-8.2,2.3,0.2,1.47,14.4,38.9,82,1018.4,60,7.62,-6.4,73,39.9,41.27
Erzurum,2020-01-24,-7.0,-16.1,-10.8,0.3,0.0,0.21,16.6,42.1,69,1026.9,33,12.3,-12.3,71,39.9,41.27
Erzurum,2020-01-25,-3.0,-18.5,-10.3,0.0,0.0,0.0,10.0,26.3,57,1032.8,0,12.16,-7.5,0,39.9,41.27
Erzurum,2020-01-26,0.1,-8.7,-5.6,0.0,0.0,0.0,13.2,33.8,57,1028.8,14,11.9,-4.8,3,39.9,41.27
Erzurum,2020-01-27,1.7,-11.9,-5.9,0.0,0.0,0.0,11.2,22.7,58,1027.3,12,12.54,-1.7,3,39.9,41.27
