city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Fuzuli,2020-01-01,10.6,1.8,5.6,0.2,0.2,0.0,6.1,14.4,77,1014.2,42,8.19,8.3,51,39.6,47.15
Fuzuli,2020-01-02,10.2,3.5,6.6,0.0,0.0,0.0,10.2,17.6,71,1019.2,33,7.98,7.6,3,39.6,47.15
Fuzuli,2020-01-03,5.1,2.3,3.5,3.3,3.3,0.0,8.1,17.6,95,1026.6,99,1.67,2.9,53,39.6,47.15
Fuzuli,2020-01-04,4.4,2.7,3.4,1.3,1.3,0.0,6.2,13.0,94,1021.4,100,1.53,2.4,51,39.6,47.15
Fuzuli,2020-01-05,8.4,0.4,4.2,0.3,0.3,0.0,9.5,15.8,84,1015.3,61,8.74,5.8,51,39.6,47.15
Fuzuli,2020-01-06,8.1,0.6,4.6,0.0,0.0,0.0,8.8,16.2,74,1021.8,1,9.21,5.7,0,39.6,47.15
Fuzuli,2020-01-07,8.4,-0.4,3.6,0.0,0.0,0.0,8.0,15.1,71,1022.3,28,9.17,5.7,3,39.6,47.15
Fuzuli,2020-01-08,8.6,0.9,4.8,0.0,0.0,0.0,9.6,18.4,56,1017.0,79,8.18,5.2,3,39.6,47.15
Fuzuli,2020-01-09,5.9,0.3,3.0,0.2,0.2,0.0,10.0,14.4,82,1017.5,86,4.97,3.9,51,39.6,47.15
Fuzuli,2020-01-10,7.1,1.4,4.1,0.0,0.0,0.0,12.4,26.3,74,1020.2,40,8.03,4.2,3,39.6,47.15
Fuzuli,2020-01-11,7.9,0.3,3.5,0.2,0.2,0.0,10.8,25.9,79,1023.3,62,6.83,4.2,51,39.6,47.15
Fuzuli,2020-01-12,7.3,-1.3,3.1,0.0,0.0,0.0,8.2,16.2,76,1019.4,70,8.25,5.0,3,39.6,47.15
Fuzuli,2020-01-13,6.7,1.4,4.6,4.9,4.9,0.0,10.3,19.1,79,1021.9,93,4.25,4.3,55,39.6,47.15
Fuzuli,2020-01-14,8.3,-2.4,2.6,0.0,0.0,0.0,9.2,15.8,73,1028.1,2,10.0,5.6,0,39.6,47.15
Fuzuli,2020-01-15,5.3,-1.1,1.5,0.0,0.0,0.0,8.8,20.2,79,1029.0,90,7.58,2.3,3,39.6,47.15
Fuzuli,2020-01-16,2.1,0.8,1.5,8.3,6.2,1.47,10.8,20.9,94,1036.2,100,1.8,-0.7,73,39.6,47.15
Fuzuli,2020-01-17,3.8,0.4,1.5,1.7,0.5,0.84,8.7,18.0,92,1028.9,95,5.18,0.7,73,39.6,47.15
Fuzuli,2020-01-18,7.9,-1.1,2.7,0.0,0.0,0.0,10.1,19.1,70,1022.1,70,9.32,5.0,3,39.6,47.15
Fuzuli,2020-01-19,2.1,0.6,1.2,3.3,0.5,1.96,8.4,20.2,88,1027.0,99,2.82,-1.1,71,39.6,47.15
Fuzuli,2020-01-20,3.0,-0.1,1.0,0.7,0.0,0.49,6.8,13.3,87,1030.0,75,3.26,0.3,71,39.6,47.15
Fuzuli,2020-01-21,6.1,-1.3,1.3,0.0,0.0,0.0,11.5,25.9,80,1027.1,48,9.36,2.1,3,39.6,47.15
Fuzuli,2020-01-22,7.8,-1.6,2.2,0.0,0.0,0.0,12.9,28.4,72,1022.7,9,10.68,5.0,1,39.6,47.15
