city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Gabala,2020-01-01,6.9,-0.8,3.7,0.0,0.0,0.0,6.1,20.2,65,1014.3,2,8.53,4.3,0,40.98,47.84
Gabala,2020-01-02,6.2,0.1,3.5,1.1,0.6,0.35,7.4,23.0,59,1019.3,35,7.74,3.0,73,40.98,47.84
Gabala,2020-01-03,1.9,-0.4,0.5,13.9,0.9,9.1,5.2,12.6,93,1027.0,100,2.6,-0.9,75,40.98,47.84
Gabala,2020-01-04,3.4,0.2,1.8,0.8,0.5,0.21,4.6,11.5,86,1021.4,96,2.44,0.6,71,40.98,47.84
Gabala,2020-01-05,4.6,0.1,3.3,0.0,0.0,0.0,5.6,15.5,56,1015.0,35,8.43,1.4,3,40.98,47.84
Gabala,2020-01-06,3.3,2.0,2.6,0.0,0.0,0.0,5.5,15.1,71,1022.3,1,9.32,0.8,0,40.98,47.84
Gabala,2020-01-07,5.0,2.6,3.4,0.0,0.0,0.0,6.1,17.6,53,1021.9,18,9.21,1.9,2,40.98,47.84
Gabala,2020-01-08,6.1,3.4,4.7,0.0,0.0,0.0,7.3,16.2,39,1017.0,57,8.42,2.8,3,40.98,47.84
Gabala,2020-01-09,4.0,0.7,3.0,0.0,0.0,0.0,4.1,13.7,61,1017.4,77,6.79,1.1,3,40.98,47.84
Gabala,2020-01-10,3.9,0.4,1.9,5.7,0.6,3.57,5.4,19.4,73,1020.6,54,6.37,0.9,75,40.98,47.84
Gabala,2020-01-11,0.1,-1.1,-0.5,6.8,0.1,4.69,7.0,19.4,96,1024.1,96,3.12,-2.5,75,40.98,47.84
Gabala,2020-01-12,2.2,-3.4,-0.4,0.3,0.0,0.21,6.9,18.7,89,1019.5,89,7.48,-0.5,71,40.98,47.84
Gabala,2020-01-13,2.9,-1.6,1.4,0.8,0.3,0.35,8.4,20.2,80,1022.0,90,4.64,0.5,71,40.98,47.84
Gabala,2020-01-14,3.4,-5.0,0.8,0.0,0.0,0.0,10.7,22.7,80,1028.2,28,9.73,0.5,3,40.98,47.84
Gabala,2020-01-15,1.6,-6.3,-0.3,1.5,0.0,1.05,10.0,27.0,75,1029.1,94,7.17,-0.9,73,40.98,47.84
Gabala,2020-01-16,1.0,-1.8,-0.2,5.1,0.1,3.5,5.2,14.8,90,1036.3,97,6.88,-1.7,73,40.98,47.84
Gabala,2020-01-17,2.3,0.0,1.1,1.0,0.0,0.7,6.2,13.7,78,1028.3,77,4.65,-0.1,71,40.98,47.84
Gabala,2020-01-18,2.5,-4.3,0.8,0.0,0.0,0.0,7.4,15.1,43,1022.0,42,10.21,-0.7,3,40.98,47.84
Gabala,2020-01-19,0.1,-2.2,-0.9,2.0,0.0,1.47,7.8,22.7,86,1026.9,98,4.46,-3.3,71,40.98,47.84
Gabala,2020-01-20,-1.4,-3.9,-2.5,2.2,0.0,1.54,11.7,29.2,95,1030.4,98,2.46,-4.4,71,40.98,47.84
Gabala,2020-01-21,0.7,-4.6,-1.6,0.0,0.0,0.0,10.1,28.8,87,1027.1,57,9.87,-2.5,3,40.98,47.84
Gabala,2020-01-22,2.1,-1.3,-0.0,0.0,0.0,0.0,6.4,20.2,78,1022.4,42,10.57,-1.0,3,40.98,47.84
Gabala,2020-01-23,3.7,-4.4,0.9,0.0,0.0,0.0,9.1,20.9,54,1010.3,13,10.76,1.0,3,40.98,47.84
Gabala,2020-01-24,1.0,-6.4,-2.1,0.2,0.0,0.14,11.4,24.1,64,1018.4,66,3.39,-2.2,71,40.98,47.84
Gabala,2020-01-25,0.4,-6.3,-3.5,0.0,0.0,0.0,10.8,42.5,64,1028.7,14,10.85,-3.8,2,40.98,47.84
Gabala,2020-01-26,5.5,-5.2,0.3,0.0,0.0,0.0,13.8,29.2,48,1020.6,0,11.14,2.3,0,40.98,47.84
Gabala,2020-01-27,3.1,-2.5,0.8,0.0,0.0,0.0,9.7,28.8,62,1027.7,16,9.34,-0.3,3,40.98,47.84
Gabala,2020-01-28,8.0,1.5,4.8,0.0,0.0,0.0,6.4,22.7,36,1021.3,20,11.1,4.1,3,40.98,47.84
Gabala,2020-01-29,9.7,2.4,6.2,0.0,0.0,0.0,7.9,22.3,34,1014.7,44,11.03,5.9,3,40.98,47.84
