city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Gadabay,2020-01-01,5.2,-6.2,-2.0,0.7,0.1,0.42,6.6,23.8,78,1014.0,20,8.27,1.8,73,40.57,45.81
Gadabay,2020-01-02,3.9,-5.9,-1.9,1.9,0.0,1.33,8.4,27.4,76,1019.3,62,6.76,0.6,73,40.57,45.81
Gadabay,2020-01-03,-1.4,-4.3,-2.9,2.4,0.0,1.68,7.6,22.3,84,1026.6,94,3.46,-5.3,73,40.57,45.81
Gadabay,2020-01-04,-0.4,-5.1,-3.3,0.3,0.0,0.21,5.2,18.0,84,1021.8,98,5.1,-3.8,71,40.57,45.81
Gadabay,2020-01-05,3.6,-8.1,-3.0,0.0,0.0,0.0,6.3,16.9,79,1014.8,44,8.29,0.3,3,40.57,45.81
Gadabay,2020-01-06,4.6,-9.8,-4.2,0.0,0.0,0.0,5.4,15.5,65,1020.6,0,9.45,1.1,0,40.57,45.81
Gadabay,2020-01-07,6.7,-9.6,-3.1,0.0,0.0,0.0,6.4,16.9,62,1020.4,27,9.28,3.2,3,40.57,45.81
Gadabay,2020-01-08,5.4,-7.5,-2.1,0.0,0.0,0.0,6.9,20.2,64,1016.0,48,8.09,1.4,3,40.57,45.81
Gadabay,2020-01-09,3.2,-6.7,-3.0,0.0,0.0,0.0,9.2,24.1,64,1017.1,87,7.33,-0.7,3,40.57,45.81
Gadabay,2020-01-10,1.9,-7.6,-3.8,0.0,0.0,0.0,7.0,21.2,73,1020.2,40,7.84,-2.1,3,40.57,45.81
Gadabay,2020-01-11,2.4,-8.9,-4.4,0.0,0.0,0.0,9.7,27.0,69,1023.0,34,9.4,-2.2,3,40.57,45.81
Gadabay,2020-01-12,7.3,-9.1,-2.9,0.0,0.0,0.0,11.3,32.8,62,1018.1,80,8.06,2.6,3,40.57,45.81
Gadabay,2020-01-13,1.3,-8.9,-2.7,4.4,0.1,3.01,10.8,28.4,75,1022.9,68,8.02,-3.7,73,40.57,45.81
Gadabay,2020-01-14,6.6,-12.4,-4.2,0.0,0.0,0.0,7.1,16.9,53,1026.4,8,10.03,2.7,3,40.57,45.81
Gadabay,2020-01-15,3.8,-7.1,-3.0,0.2,0.1,0.07,8.1,22.7,49,1027.2,84,8.34,-0.5,71,40.57,45.81
Gadabay,2020-01-16,-1.2,-4.9,-3.4,3.7,0.0,2.66,9.0,25.2,81,1034.9,93,4.93,-5.4,73,40.57,45.81
Gadabay,2020-01-17,-1.1,-11.1,-5.3,0.7,0.0,0.49,8.0,21.6,74,1029.0,50,8.52,-5.4,71,40.57,45.81
Gadabay,2020-01-18,1.8,-14.1,-7.0,0.0,0.0,0.0,6.0,20.5,48,1021.4,54,9.88,-2.7,3,40.57,45.81
Gadabay,2020-01-19,-2.5,-8.7,-5.9,0.7,0.0,0.49,6.2,17.3,65,1026.2,93,5.82,-6.3,71,40.57,45.81
Gadabay,2020-01-20,-1.0,-7.7,-5.0,0.9,0.1,0.56,5.2,18.4,81,1029.0,50,9.22,-4.6,71,40.57,45.81
Gadabay,2020-01-21,0.8,-8.9,-5.1,0.0,0.0,0.0,6.4,21.6,65,1026.6,34,9.33,-3.4,3,40.57,45.81
Gadabay,2020-01-22,1.9,-10.6,-5.6,0.0,0.0,0.0,8.4,22.7,59,1023.1,30,10.66,-2.3,3,40.57,45.81
Gadabay,2020-01-23,4.9,-12.2,-4.7,0.0,0.0,0.0,14.0,35.6,58,1011.3,26,10.32,-0.1,3,40.57,45.81
Gadabay,2020-01-24,-2.7,-12.1,-5.5,2.5,0.0,1.75,8.9,28.1,78,1020.9,82,5.36,-6.8,73,40.57,45.81
Gadabay,2020-01-25,0.4,-16.5,-9.4,0.0,0.0,0.0,8.2,23.4,55,1027.7,10,11.18,-4.4,2,40.57,45.81
Gadabay,2020-01-26,6.2,-11.9,-4.0,0.0,0.0,0.0,16.0,43.2,52,1019.8,0,11.44,0.2,0,40.57,45.81
Gadabay,2020-01-27,3.3,-10.7,-4.7,0.0,0.0,0.0,6.4,20.9,61,1026.1,1,11.28,-0.7,0,40.57,45.81
Gadabay,2020-01-28,8.1,-10.8,-2.8,0.0,0.0,0.0,7.6,20.5,55,1019.3,34,10.83,3.7,3,40.57,45.81
Gadabay,2020-01-29,8.7,-7.4,-1.1,0.0,0.0,0.0,12.4,32.0,59,1014.5,63,11.31,3.9,3,40.57,45.81
Gadabay,2020-01-30,6.2,-6.8,-1.2,0.0,0.0,0.0,13.7,36.7,62,1015.2,24,11.47,1.2,3,40.57,45.81
Gadabay,2020-01-31,8.1,-2.5,1.1,0.4,0.0,0.28,9.4,25.6,66,1008.3,86,10.01,4.2,71,40.57,45.81
Gadabay,2020-02-01,-1.5,-4.2,-2.7,2.9,0.1,2.03,8.6,25.9,78,1012.3,98,4.56,-5.3,73,40.57,45.81
Gadabay,2020-02-02,3.2,-10.6,-4.1,0.0,0.0,0.0,19.3,49.7,58,1018.7,24,10.81,-2.2,2,40.57,45.81
Gadabay,2020-02-03,8.2,-8.8,-1.8,0.0,0.0,0.0,15.5,40.0,57,1016.1,13,12.24,2.9,2,40.57,45.81
Gadabay,2020-02-04,4.3,-6.2,-0.3,0.1,0.0,0.07,21.0,57.2,59,1008.2,63,3.77,-0.3,71,40.57,45.81
Gadabay,2020-02-05,7.9,-3.8,1.4,0.0,0.0,0.0,10.8,29.9,61,1013.3,45,10.7,3.8,3,40.57,45.81
Gadabay,2020-02-06,12.6,0.2,5.7,0.0,0.0,0.0,16.6,48.2,51,1011.2,31,12.01,8.3,3,40.57,45.81
Gadabay,2020-02-07,9.6,-1.2,4.5,5.2,2.0,2.24,11.3,35.6,59,1005.2,67,7.53,6.2,75,40.57,45.81
Gadabay,2020-02-08,5.2,-8.0,-1.0,8.8,0.6,5.74,13.2,49.0,80,1004.4,75,8.82,1.6,75,40.57,45.81
Gadabay,2020-02-09,-7.4,-11.4,-9.2,6.9,0.1,4.76,11.2,34.6,55,1019.1,98,9.45,-12.3,75,40.57,45.81
Gadabay,2020-02-10,-6.8,-14.7,-11.2,0.0,0.0,0.0,6.9,23.0,49,1028.9,70,12.21,-11.5,3,40.57,45.81
Gadabay,2020-02-11,-1.3,-18.3,-10.8,0.0,0.0,0.0,12.4,32.4,48,1022.6,9,13.98,-6.4,2,40.57,45.81
Gadabay,2020-02-12,2.0,-15.6,-6.3,0.0,0.0,0.0,19.1,50.0,48,1014.8,52,12.18,-3.9,3,40.57,45.81
Gadabay,2020-02-13,2.8,-5.2,-1.9,1.2,0.0,0.84,12.2,36.4,56,1019.3,75,8.66,-2.2,73,40.57,45.81
Gadabay,2020-02-14,0.2,-13.8,-5.0,0.6,0.0,0.42,20.4,58.3,60,1027.5,44,13.01,-6.4,71,40.57,45.81
Gadabay,2020-02-15,-0.1,-15.8,-7.8,0.0,0.0,0.0,7.1,22.3,50,1031.2,66,11.7,-4.7,3,40.57,45.81
Gadabay,2020-02-16,4.1,-7.1,-2.7,0.0,0.0,0.0,7.6,25.6,50,1027.7,68,13.92,0.2,3,40.57,45.81
