city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Gakh,2020-01-01,7.9,-0.1,4.6,0.0,0.0,0.0,8.6,25.9,54,1014.4,8,7.89,4.8,1
Gakh,2020-01-02,8.1,-0.3,3.0,0.0,0.0,0.0,8.2,18.4,57,1018.9,39,7.5,5.6,3
Gakh,2020-01-03,4.8,1.0,2.7,1.5,1.5,0.0,7.1,22.7,83,1026.2,74,5.69,2.2,51
Gakh,2020-01-04,4.2,0.6,2.8,0.0,0.0,0.0,5.4,18.7,84,1021.7,74,4.78,1.4,3
Gakh,2020-01-05,6.1,-1.4,2.7,0.0,0.0,0.0,5.4,19.8,54,1015.4,44,8.61,3.0,3
Gakh,2020-01-06,6.8,-0.8,3.0,0.0,0.0,0.0,5.3,20.9,48,1022.0,0,8.88,3.4,0
Gakh,2020-01-07,8.4,0.5,4.2,0.0,0.0,0.0,8.5,22.7,33,1022.0,21,8.54,4.4,3
Gakh,2020-01-08,9.1,-0.6,6.2,0.0,0.0,0.0,7.6,19.1,35,1016.8,45,7.7,5.4,3
Gakh,2020-01-09,6.0,-0.4,3.2,0.0,0.0,0.0,6.2,20.5,45,1017.4,72,7.45,2.7,3
Gakh,2020-01-10,4.8,0.2,3.1,0.1,0.1,0.0,5.0,19.8,56,1020.4,48,6.83,1.7,51
Gakh,2020-01-11,4.3,0.6,2.2,1.2,0.9,0.21,7.0,23.0,84,1023.4,70,4.79,1.4,71
Gakh,2020-01-12,5.9,-2.3,2.0,0.0,0.0,0.0,7.8,27.7,65,1019.4,83,5.52,2.6,3
Gakh,2020-01-13,6.7,0.1,4.0,0.0,0.0,0.0,9.0,24.1,61,1021.4,62,8.61,3.7,3
Gakh,2020-01-14,6.2,-3.0,2.0,0.0,0.0,0.0,6.2,19.4,58,1028.0,8,9.41,3.3,2
Gakh,2020-01-15,5.4,1.4,3.5,0.1,0.0,0.07,7.2,22.7,47,1028.7,94,6.39,1.9,71
Gakh,2020-01-16,2.6,0.0,1.5,5.8,1.9,2.73,4.7,16.2,89,1036.1,99,3.83,-0.0,73
Gakh,2020-01-17,2.8,-3.5,0.2,4.1,0.7,2.38,8.6,24.5,88,1029.2,73,3.86,-0.4,73
Gakh,2020-01-18,5.7,-4.2,0.6,0.0,0.0,0.0,7.3,20.5,47,1022.0,28,9.87,2.6,3
Gakh,2020-01-19,2.3,-1.4,0.6,0.6,0.1,0.35,5.0,19.1,70,1026.8,87,4.96,-0.8,71
Gakh,2020-01-20,0.8,-2.7,-0.6,0.1,0.1,0.0,6.6,23.0,92,1030.1,81,5.32,-2.3,51
Gakh,2020-01-21,3.7,-4.6,0.2,0.0,0.0,0.0,7.9,22.0,70,1026.8,9,9.95,0.5,1
Gakh,2020-01-22,4.8,-3.0,0.9,0.0,0.0,0.0,12.0,33.5,59,1022.6,40,9.96,0.7,3
Gakh,2020-01-23,7.7,-2.7,1.9,0.0,0.0,0.0,14.1,41.8,48,1011.8,14,10.09,3.0,2
Gakh,2020-01-24,3.8,-2.2,0.9,0.0,0.0,0.0,14.0,37.1,49,1019.6,71,5.57,-1.0,3
Gakh,2020-01-25,2.1,-4.2,-1.3,0.0,0.0,0.0,10.9,32.0,49,1028.6,6,10.54,-2.7,1
Gakh,2020-01-26,6.9,-2.5,2.2,0.0,0.0,0.0,10.6,30.6,37,1021.5,2,10.76,2.5,1
Gakh,2020-01-27,5.7,-0.6,3.1,0.0,0.0,0.0,8.5,24.1,44,1027.3,6,10.75,2.2,2
Gakh,2020-01-28,9.8,1.1,5.4,0.0,0.0,0.0,7.0,22.3,30,1021.5,31,10.74,5.8,3
Gakh,2020-01-29,11.4,4.5,6.7,0.0,0.0,0.0,9.1,24.8,35,1015.0,51,10.82,7.1,3
Gakh,2020-01-30,11.6,1.4,5.4,0.0,0.0,0.0,12.4,36.4,53,1013.9,21,11.02,8.0,3
Gakh,2020-01-31,11.6,1.7,6.9,0.0,0.0,0.0,9.7,21.6,51,1007.6,90,7.32,9.0,3
Gakh,2020-02-01,4.9,1.1,2.2,5.2,3.8,0.98,8.9,20.9,86,1011.0,100,2.07,2.2,73
Gakh,2020-02-02,5.2,-0.5,2.2,0.8,0.7,0.07,7.2,24.8,81,1019.2,46,9.31,2.1,71
Gakh,2020-02-03,10.2,-1.1,3.6,0.0,0.0,0.0,11.0,31.7,55,1016.2,26,11.2,6.4,2
Gakh,2020-02-04,11.3,1.7,5.9,0.0,0.0,0.0,16.6,46.4,60,1007.0,57,9.84,7.0,3
Gakh,2020-02-05,9.6,0.1,4.7,0.0,0.0,0.0,11.4,36.0,48,1015.0,40,11.21,6.4,3
Gakh,2020-02-06,16.5,4.0,8.9,0.0,0.0,0.0,14.9,32.8,54,1011.8,30,11.38,13.6,3
Gakh,2020-02-07,17.3,6.3,10.9,4.0,4.0,0.0,14.7,36.4,47,1004.8,35,9.85,13.3,63
Gakh,2020-02-08,7.9,-0.9,5.1,11.3,10.5,0.56,9.2,28.4,83,1004.3,84,4.84,6.0,73
Gakh,2020-02-09,-2.0,-9.2,-4.6,14.7,0.1,10.22,6.7,20.9,80,1017.3,90,5.2,-5.4,75
Gakh,2020-02-10,-2.7,-14.4,-6.4,0.0,0.0,0.0,6.4,18.0,46,1028.0,24,13.08,-6.2,2
Gakh,2020-02-11,0.7,-13.4,-6.3,0.0,0.0,0.0,6.7,18.4,43,1022.7,0,13.67,-3.5,0
Gakh,2020-02-12,3.6,-12.9,-3.4,0.0,0.0,0.0,11.4,31.3,40,1014.9,35,12.84,-1.3,3
Gakh,2020-02-13,7.3,-1.2,2.3,0.0,0.0,0.0,11.5,29.9,48,1019.1,67,10.59,2.8,3
Gakh,2020-02-14,5.2,-3.0,1.2,0.0,0.0,0.0,11.6,33.8,49,1026.3,42,12.81,0.9,3
Gakh,2020-02-15,6.2,-3.6,0.4,0.0,0.0,0.0,8.6,24.8,42,1031.7,59,12.72,2.3,3
Gakh,2020-02-16,6.3,-2.8,1.5,0.0,0.0,0.0,6.4,21.6,37,1028.8,47,13.47,2.8,3
Gakh,2020-02-17,3.3,-0.2,1.7,3.1,0.9,1.54,6.3,24.1,74,1034.4,95,6.14,0.7,73
Gakh,2020-02-18,7.2,-1.4,3.7,0.0,0.0,0.0,6.9,24.5,73,1032.6,28,13.22,4.3,3
Gakh,2020-02-19,11.8,4.2,7.4,0.0,0.0,0.0,5.7,20.9,50,1021.8,41,14.21,9.0,3
Gakh,2020-02-20,8.4,4.7,6.9,0.4,0.4,0.0,5.1,17.6,60,1015.4,98,4.95,5.8,51
Gakh,2020-02-21,11.8,4.2,7.5,0.1,0.1,0.0,8.6,25.6,71,1016.9,67,10.07,9.5,51
Gakh,2020-02-22,10.2,1.1,5.7,0.0,0.0,0.0,7.9,28.1,74,1021.3,92,11.28,8.1,3
Gakh,2020-02-23,14.0,3.1,7.6,0.0,0.0,0.0,11.6,33.1,59,1019.8,50,13.11,11.0,3
Gakh,2020-02-24,13.8,5.2,8.4,0.0,0.0,0.0,10.5,27.4,54,1015.2,27,14.71,10.5,3
Gakh,2020-02-25,10.4,-1.9,5.6,1.0,1.0,0.0,20.5,54.7,60,1009.9,45,6.25,6.4,51
Gakh,2020-02-26,7.2,-2.0,2.7,0.0,0.0,0.0,11.3,34.6,51,1022.4,15,12.74,3.7,3
Gakh,2020-02-27,13.1,2.5,8.1,0.0,0.0,0.0,8.1,23.4,36,1019.7,21,15.99,10.2,3
Gakh,2020-02-28,18.1,4.8,11.4,0.0,0.0,0.0,14.3,37.4,30,1011.0,35,14.57,13.9,3
Gakh,2020-02-29,14.7,3.8,10.5,0.0,0.0,0.0,12.0,37.4,43,1012.6,47,13.48,11.8,3
Gakh,2020-03-01,12.8,3.3,7.9,0.9,0.9,0.0,11.8,48.6,65,1013.2,77,12.02,10.3,51
Gakh,2020-03-02,6.2,2.6,4.3,2.8,2.8,0.0,8.1,36.4,94,1022.0,98,7.7,4.0,51
Gakh,2020-03-03,13.4,2.3,7.9,0.1,0.1,0.0,8.3,27.4,73,1022.9,36,15.95,11.3,51
Gakh,2020-03-04,15.1,5.6,10.0,0.0,0.0,0.0,6.0,23.8,60,1023.0,22,16.71,13.4,3
Gakh,2020-03-05,17.8,6.2,11.9,0.0,0.0,0.0,6.5,23.8,49,1018.5,25,17.08,16.0,3
Gakh,2020-03-06,16.7,8.3,12.6,0.0,0.0,0.0,7.2,25.9,50,1018.1,64,15.74,15.2,3
Gakh,2020-03-07,14.6,7.5,11.3,0.0,0.0,0.0,8.5,29.2,63,1023.4,84,15.83,12.9,3
Gakh,2020-03-08,15.2,7.1,9.9,0.0,0.0,0.0,9.2,25.2,68,1025.8,43,17.6,13.8,3
Gakh,2020-03-09,15.2,5.7,10.4,0.0,0.0,0.0,6.2,29.2,69,1026.2,10,17.94,13.9,1
Gakh,2020-03-10,16.5,8.3,11.8,0.0,0.0,0.0,6.9,25.6,48,1020.8,5,18.49,15.2,2
Gakh,2020-03-11,19.5,10.2,14.5,0.0,0.0,0.0,7.6,25.6,37,1017.1,61,17.44,17.2,3
Gakh,2020-03-12,21.9,9.4,16.1,0.0,0.0,0.0,11.6,33.1,38,1016.3,45,17.83,19.3,3
Gakh,2020-03-13,17.9,9.6,13.7,0.0,0.0,0.0,13.3,40.0,57,1019.0,86,11.97,15.7,3
Gakh,2020-03-14,14.3,9.2,12.0,1.9,1.9,0.0,7.5,22.0,68,1010.5,99,5.87,12.9,53
Gakh,2020-03-15,13.6,8.8,11.2,6.4,6.4,0.0,7.5,25.9,87,1013.0,92,5.53,13.0,55
Gakh,2020-03-16,11.9,6.2,8.6,9.5,9.5,0.0,5.2,16.9,91,1017.2,96,4.8,10.8,61
Gakh,2020-03-17,6.2,2.2,3.8,17.9,17.4,0.35,9.3,33.8,92,1026.0,99,3.56,4.6,71
