city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Ganja,2020-01-01,9.6,1.7,5.7,0.0,0.0,0.0,12.1,26.6,69,1014.3,24,8.18,6.2,2
Ganja,2020-01-02,9.1,1.4,5.1,0.1,0.1,0.0,12.4,24.1,69,1019.3,48,6.77,5.6,51
Ganja,2020-01-03,5.3,1.4,3.9,0.9,0.9,0.0,10.2,19.1,79,1025.8,90,4.14,3.1,51
Ganja,2020-01-04,3.5,1.1,2.3,0.1,0.1,0.0,8.8,17.6,86,1021.7,97,2.29,0.8,51
Ganja,2020-01-05,6.9,-1.2,2.1,0.0,0.0,0.0,8.6,21.2,73,1015.4,40,8.75,3.5,3
Ganja,2020-01-06,6.5,-0.5,2.6,0.0,0.0,0.0,8.6,16.2,66,1021.8,0,8.95,3.6,0
Ganja,2020-01-07,7.2,-1.9,2.6,0.0,0.0,0.0,10.8,19.8,63,1022.4,15,8.8,4.2,3
Ganja,2020-01-08,8.3,-0.4,4.1,0.0,0.0,0.0,6.4,16.2,49,1016.7,50,7.43,4.9,3
Ganja,2020-01-09,6.8,-1.9,2.5,0.0,0.0,0.0,9.5,16.9,58,1017.4,84,6.47,3.4,3
Ganja,2020-01-10,7.6,-0.6,2.4,0.0,0.0,0.0,8.9,21.2,66,1020.0,11,8.31,3.6,2
Ganja,2020-01-11,6.6,-0.2,2.4,0.0,0.0,0.0,11.2,20.9,67,1023.0,24,9.14,3.5,3
Ganja,2020-01-12,7.0,-0.6,3.2,0.0,0.0,0.0,12.9,24.5,57,1019.6,68,8.2,3.4,3
Ganja,2020-01-13,8.1,0.6,4.4,0.6,0.6,0.0,24.1,46.4,62,1021.6,48,8.78,2.6,51
Ganja,2020-01-14,6.7,-1.4,1.9,0.0,0.0,0.0,11.9,21.2,59,1028.2,5,9.62,3.4,1
Ganja,2020-01-15,5.8,-1.5,1.9,0.0,0.0,0.0,11.3,15.8,67,1028.6,86,7.75,2.4,3
Ganja,2020-01-16,3.2,0.6,1.5,3.9,1.9,1.4,6.8,14.8,89,1035.3,97,3.48,0.9,73
Ganja,2020-01-17,3.3,-1.5,0.8,0.8,0.1,0.49,12.7,25.9,87,1029.2,60,6.17,-0.5,71
Ganja,2020-01-18,6.6,-2.5,0.8,0.0,0.0,0.0,9.7,15.5,56,1022.0,49,9.42,3.2,3
Ganja,2020-01-19,1.4,-2.0,0.1,2.6,0.0,1.82,9.2,15.5,86,1026.6,99,3.38,-0.9,73
Ganja,2020-01-20,2.8,-1.0,0.9,0.3,0.0,0.21,6.9,16.2,83,1029.7,90,5.13,-0.3,71
Ganja,2020-01-21,4.9,-1.5,1.4,0.0,0.0,0.0,14.3,25.9,79,1026.7,35,8.48,1.7,2
Ganja,2020-01-22,6.5,-1.2,2.5,0.0,0.0,0.0,18.0,36.4,60,1023.0,22,10.36,1.3,3
Ganja,2020-01-23,7.6,-0.9,2.9,0.0,0.0,0.0,19.5,36.0,56,1012.7,24,10.4,2.3,3
Ganja,2020-01-24,4.0,0.1,2.4,0.1,0.0,0.07,21.6,42.5,51,1020.1,78,6.3,-1.3,71
Ganja,2020-01-25,3.1,-3.5,-0.3,0.0,0.0,0.0,12.1,24.8,52,1028.7,4,10.72,-1.0,1
Ganja,2020-01-26,8.5,-1.6,2.9,0.0,0.0,0.0,18.1,33.5,40,1021.6,0,10.97,3.7,0
Ganja,2020-01-27,6.4,-0.4,3.0,0.0,0.0,0.0,10.2,21.2,53,1027.2,0,10.84,3.3,0
Ganja,2020-01-28,8.8,-2.1,3.5,0.0,0.0,0.0,11.2,20.9,48,1021.8,31,10.45,5.3,3
Ganja,2020-01-29,11.4,0.1,5.2,0.0,0.0,0.0,12.7,24.1,42,1015.2,62,10.76,7.1,3
Ganja,2020-01-30,11.6,1.1,5.4,0.0,0.0,0.0,11.2,24.8,55,1014.0,21,11.12,8.7,3
Ganja,2020-01-31,12.8,0.6,6.6,0.0,0.0,0.0,24.4,45.4,57,1007.7,92,9.51,10.2,3
Ganja,2020-02-01,5.9,3.3,4.5,0.4,0.4,0.0,19.6,41.4,64,1011.0,99,5.63,1.3,51
Ganja,2020-02-02,8.1,-1.5,3.2,0.0,0.0,0.0,14.3,25.6,59,1019.1,14,11.48,4.5,3
Ganja,2020-02-03,10.2,0.8,5.1,0.0,0.0,0.0,10.8,19.8,54,1016.5,12,11.71,6.5,2
Ganja,2020-02-04,11.9,2.5,6.1,0.0,0.0,0.0,27.8,52.9,51,1007.2,48,10.43,7.1,3
Ganja,2020-02-05,10.2,2.8,5.9,0.6,0.6,0.0,15.8,36.0,59,1015.3,37,10.99,6.9,51
Ganja,2020-02-06,15.8,3.2,9.6,0.0,0.0,0.0,10.1,21.2,52,1012.0,7,11.61,12.6,1
Ganja,2020-02-07,17.0,5.6,10.3,1.1,1.1,0.0,25.0,47.2,52,1004.8,47,8.36,14.2,53
