city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Gazakh,2020-01-01,9.1,-0.4,4.0,0.4,0.4,0.0,7.9,22.7,75,1015.1,33,8.33,6.8,51,41.09,45.37
Gazakh,2020-01-02,8.8,0.9,4.5,0.7,0.7,0.0,5.4,15.1,71,1020.1,43,7.77,6.3,51,41.09,45.37
Gazakh,2020-01-03,6.0,0.3,2.9,0.4,0.4,0.0,5.5,14.8,81,1026.1,88,5.3,3.3,51,41.09,45.37
Gazakh,2020-01-04,3.3,0.4,1.9,1.5,1.2,0.21,6.4,13.7,88,1022.0,97,1.81,1.0,71,41.09,45.37
Gazakh,2020-01-05,7.3,-2.6,1.7,0.0,0.0,0.0,7.9,16.2,74,1015.9,43,8.52,4.6,3,41.09,45.37
Gazakh,2020-01-06,6.8,-2.0,2.1,0.0,0.0,0.0,5.6,18.4,63,1022.1,0,8.88,3.7,0,41.09,45.37
Gazakh,2020-01-07,6.8,-1.8,1.9,0.0,0.0,0.0,5.0,15.8,61,1023.2,17,8.7,3.6,3,41.09,45.37
Gazakh,2020-01-08,8.1,-2.4,2.2,0.0,0.0,0.0,5.0,15.8,61,1017.3,41,7.93,4.8,3,41.09,45.37
Gazakh,2020-01-09,8.2,-2.3,2.8,0.0,0.0,0.0,7.7,15.8,56,1017.9,64,7.42,5.3,3,41.09,45.37
Gazakh,2020-01-10,7.6,-1.6,2.7,0.0,0.0,0.0,7.3,21.2,64,1020.4,22,8.82,4.1,2,41.09,45.37
Gazakh,2020-01-11,7.2,-1.9,1.9,0.0,0.0,0.0,6.5,17.6,68,1023.5,24,8.89,4.1,3,41.09,45.37
Gazakh,2020-01-12,6.1,-1.7,1.8,0.0,0.0,0.0,12.6,23.8,67,1020.2,76,6.42,3.5,3,41.09,45.37
Gazakh,2020-01-13,7.8,-0.1,3.1,0.4,0.3,0.07,13.0,29.9,62,1022.7,41,8.96,3.5,71,41.09,45.37
Gazakh,2020-01-14,8.1,-2.5,1.6,0.0,0.0,0.0,4.9,14.4,57,1028.4,9,9.55,4.7,3,41.09,45.37
Gazakh,2020-01-15,8.8,-1.0,2.4,0.0,0.0,0.0,7.1,16.2,50,1028.5,71,7.7,5.2,3,41.09,45.37
Gazakh,2020-01-16,2.8,-0.3,1.2,1.3,0.9,0.28,7.6,14.4,87,1035.8,98,2.96,0.3,71,41.09,45.37
Gazakh,2020-01-17,3.5,-3.0,0.6,0.9,0.3,0.42,9.2,20.5,89,1029.7,83,5.74,0.3,71,41.09,45.37
Gazakh,2020-01-18,6.8,-4.0,0.2,0.0,0.0,0.0,6.6,16.2,53,1022.3,38,9.74,3.5,3,41.09,45.37
Gazakh,2020-01-19,1.4,-2.3,-0.1,1.3,0.1,0.84,5.0,12.2,77,1027.0,85,2.26,-1.3,71,41.09,45.37
Gazakh,2020-01-20,3.8,-2.2,0.5,0.0,0.0,0.0,7.8,20.5,78,1029.8,63,6.68,0.2,3,41.09,45.37
Gazakh,2020-01-21,6.7,-2.4,2.1,0.0,0.0,0.0,5.6,17.6,67,1026.7,25,8.42,3.8,2,41.09,45.37
Gazakh,2020-01-22,7.6,-2.3,1.8,0.0,0.0,0.0,9.5,27.7,63,1023.6,27,10.08,3.4,3,41.09,45.37
Gazakh,2020-01-23,6.9,-2.3,1.5,0.0,0.0,0.0,10.2,26.6,63,1013.5,25,9.48,2.9,3,41.09,45.37
Gazakh,2020-01-24,4.9,-3.3,0.6,1.0,0.0,0.7,12.1,24.8,60,1020.9,63,8.12,0.7,73,41.09,45.37
Gazakh,2020-01-25,4.2,-4.4,-0.3,0.0,0.0,0.0,11.5,23.8,49,1028.9,5,10.63,0.5,1,41.09,45.37
Gazakh,2020-01-26,8.4,-3.3,1.9,0.0,0.0,0.0,9.1,22.0,43,1022.6,6,10.9,4.4,1,41.09,45.37
Gazakh,2020-01-27,7.9,-1.4,2.2,0.0,0.0,0.0,6.3,19.1,56,1027.2,2,10.75,4.5,0,41.09,45.37
Gazakh,2020-01-28,8.0,-2.0,2.6,0.0,0.0,0.0,6.1,18.7,50,1022.5,33,10.44,4.7,2,41.09,45.37
Gazakh,2020-01-29,10.6,-2.7,3.5,0.0,0.0,0.0,10.4,21.6,49,1016.0,49,10.84,7.0,3,41.09,45.37
Gazakh,2020-01-30,12.2,-0.9,4.7,0.0,0.0,0.0,8.5,19.1,56,1014.7,26,10.48,9.2,3,41.09,45.37
Gazakh,2020-01-31,11.1,-0.1,5.6,1.7,1.7,0.0,18.3,40.0,61,1009.3,95,8.83,8.1,53,41.09,45.37
Gazakh,2020-02-01,4.0,-0.4,2.4,1.8,1.6,0.14,8.1,31.0,82,1012.0,94,3.34,1.6,71,41.09,45.37
Gazakh,2020-02-02,8.4,-2.4,2.5,0.0,0.0,0.0,6.9,16.9,63,1019.5,16,11.6,5.0,1,41.09,45.37
Gazakh,2020-02-03,11.9,-1.0,4.2,0.0,0.0,0.0,10.5,22.7,51,1016.9,13,11.47,8.8,3,41.09,45.37
