city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Gobustan,2020-01-01,8.4,0.3,3.0,0.0,0.0,0.0,13.8,33.5,85,1013.6,2,8.69,4.7,0,40.53,48.93
Gobustan,2020-01-02,7.2,-2.7,1.8,0.2,0.0,0.14,12.8,30.2,81,1019.6,39,7.1,3.9,71,40.53,48.93
Gobustan,2020-01-03,1.9,-0.3,0.5,8.6,0.0,6.02,7.3,18.4,89,1027.1,100,2.87,-1.2,73,40.53,48.93
Gobustan,2020-01-04,3.0,-0.3,1.7,2.3,1.6,0.49,9.9,22.3,94,1021.3,100,1.5,0.7,71,40.53,48.93
Gobustan,2020-01-05,4.0,1.6,2.9,6.8,6.8,0.0,5.2,14.4,97,1015.2,94,1.89,2.2,53,40.53,48.93
Gobustan,2020-01-06,6.8,-0.8,2.4,0.0,0.0,0.0,6.9,19.4,87,1022.0,55,7.66,3.4,3,40.53,48.93
Gobustan,2020-01-07,5.1,-0.2,1.9,0.0,0.0,0.0,24.3,53.6,85,1021.4,32,8.68,-0.2,2,40.53,48.93
Gobustan,2020-01-08,7.6,-2.5,1.9,0.0,0.0,0.0,16.4,37.4,75,1017.4,62,7.64,4.0,3,40.53,48.93
Gobustan,2020-01-09,6.2,-0.4,1.8,0.0,0.0,0.0,10.7,23.8,85,1017.0,94,5.76,3.0,3,40.53,48.93
Gobustan,2020-01-10,3.0,0.4,1.4,0.3,0.1,0.14,7.2,19.1,91,1020.6,85,2.83,0.2,71,40.53,48.93
Gobustan,2020-01-11,1.2,-0.9,0.3,2.0,0.0,1.4,8.0,19.4,94,1023.9,99,2.2,-1.6,73,40.53,48.93
Gobustan,2020-01-12,3.2,-1.7,0.2,0.0,0.0,0.0,21.3,48.6,85,1018.7,85,8.44,-2.1,3,40.53,48.93
Gobustan,2020-01-13,4.6,-1.9,1.2,1.2,0.2,0.7,10.1,25.2,78,1021.8,83,4.65,1.3,73,40.53,48.93
