city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Goranboy,2020-01-01,12.6,2.6,7.0,0.0,0.0,0.0,16.1,29.5,70,1014.2,27,8.43,9.4,3,40.61,46.79
Goranboy,2020-01-02,11.8,5.8,8.1,2.3,2.3,0.0,17.4,32.4,65,1019.1,54,5.9,9.1,53,40.61,46.79
Goranboy,2020-01-03,8.4,3.2,5.9,0.8,0.8,0.0,12.2,24.1,77,1025.9,87,4.06,5.9,51,40.61,46.79
Goranboy,2020-01-04,7.3,3.5,5.3,0.3,0.3,0.0,14.2,27.7,80,1021.4,99,2.21,4.7,51,40.61,46.79
Goranboy,2020-01-05,9.9,2.0,4.9,0.0,0.0,0.0,14.2,25.6,71,1015.2,45,8.66,6.9,3,40.61,46.79
Goranboy,2020-01-06,9.4,-0.4,3.7,0.0,0.0,0.0,7.9,15.8,75,1022.0,0,8.81,6.5,0,40.61,46.79
Goranboy,2020-01-07,10.0,-0.8,3.8,0.0,0.0,0.0,13.5,23.4,74,1022.3,18,8.69,7.4,2,40.61,46.79
Goranboy,2020-01-08,7.7,-2.0,2.7,0.0,0.0,0.0,9.3,18.4,68,1017.4,57,7.2,4.6,3,40.61,46.79
Goranboy,2020-01-09,8.4,-0.8,3.2,0.0,0.0,0.0,14.6,27.0,68,1017.4,76,6.18,5.5,3,40.61,46.79
Goranboy,2020-01-10,9.4,1.0,4.4,0.0,0.0,0.0,15.7,28.1,71,1020.2,14,8.92,6.4,2,40.61,46.79
Goranboy,2020-01-11,8.8,-0.2,3.5,0.0,0.0,0.0,9.8,17.6,76,1023.3,24,9.01,6.5,3,40.61,46.79
Goranboy,2020-01-12,10.5,-1.2,4.6,0.0,0.0,0.0,19.5,36.7,64,1019.4,64,8.22,6.7,3,40.61,46.79
Goranboy,2020-01-13,10.9,3.8,7.2,0.0,0.0,0.0,21.4,44.3,53,1021.3,63,7.59,5.3,3,40.61,46.79
Goranboy,2020-01-14,10.1,1.9,5.2,0.0,0.0,0.0,22.3,42.8,58,1028.1,4,9.5,7.1,1,40.61,46.79
Goranboy,2020-01-15,7.7,-1.4,2.9,0.0,0.0,0.0,12.2,23.4,78,1028.9,87,7.53,4.3,3,40.61,46.79
Goranboy,2020-01-16,6.2,2.5,4.0,7.0,7.0,0.0,17.4,35.6,86,1035.4,99,3.27,1.8,53,40.61,46.79
Goranboy,2020-01-17,6.8,1.7,3.5,2.2,2.2,0.0,20.5,38.5,81,1028.8,72,4.64,3.4,53,40.61,46.79
Goranboy,2020-01-18,9.1,0.2,3.4,0.0,0.0,0.0,18.8,35.3,63,1022.1,43,9.41,5.7,3,40.61,46.79
Goranboy,2020-01-19,4.6,0.2,2.5,0.6,0.6,0.0,13.8,29.5,84,1026.5,88,2.44,1.2,51,40.61,46.79
