city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Gorgan,2020-01-01,13.4,5.5,9.6,0.0,0.0,0.0,7.6,19.4,71,1014.4,33,9.54,11.8,3
Gorgan,2020-01-02,12.8,8.0,10.4,0.0,0.0,0.0,5.6,13.0,54,1018.7,22,9.09,10.9,3
Gorgan,2020-01-03,12.4,4.5,8.9,0.0,0.0,0.0,6.4,16.9,69,1023.5,20,9.58,10.5,2
Gorgan,2020-01-04,11.5,4.5,7.3,0.4,0.4,0.0,10.9,20.5,77,1017.8,34,9.99,9.6,51
Gorgan,2020-01-05,9.2,6.1,7.3,6.3,6.3,0.0,15.0,30.6,87,1014.1,85,3.41,6.8,55
Gorgan,2020-01-06,11.6,5.0,8.5,0.2,0.2,0.0,8.9,28.8,79,1021.9,54,8.46,9.6,51
Gorgan,2020-01-07,13.9,3.4,8.4,0.0,0.0,0.0,13.4,28.4,51,1022.6,3,10.66,10.5,1
Gorgan,2020-01-08,14.9,2.8,9.2,0.0,0.0,0.0,7.7,11.9,37,1015.4,1,10.79,13.0,1
Gorgan,2020-01-09,10.1,4.9,7.6,2.0,2.0,0.0,17.6,36.4,73,1014.3,70,5.54,7.0,61
Gorgan,2020-01-10,10.3,4.6,7.3,0.0,0.0,0.0,5.1,13.0,84,1018.2,93,6.19,8.6,3
Gorgan,2020-01-11,9.0,4.5,6.3,3.4,3.4,0.0,6.5,14.4,80,1021.6,92,6.22,6.5,53
Gorgan,2020-01-12,9.3,2.2,5.0,0.9,0.9,0.0,8.5,20.5,68,1020.4,36,9.4,6.1,51
Gorgan,2020-01-13,9.8,1.9,6.6,0.3,0.3,0.0,8.2,14.8,49,1019.2,97,6.31,6.5,51
Gorgan,2020-01-14,8.8,5.4,7.2,8.1,8.1,0.0,7.3,16.9,79,1027.5,88,3.99,7.4,61
Gorgan,2020-01-15,13.5,3.4,8.4,0.0,0.0,0.0,9.8,24.1,68,1026.6,40,10.96,11.6,3
Gorgan,2020-01-16,11.5,5.0,7.8,2.1,2.1,0.0,12.6,26.3,82,1032.0,56,9.64,8.6,53
Gorgan,2020-01-17,11.4,1.9,6.9,0.0,0.0,0.0,9.0,20.2,69,1026.0,52,10.56,9.5,3
Gorgan,2020-01-18,9.2,2.1,6.5,0.0,0.0,0.0,15.1,32.4,73,1020.7,79,4.28,6.4,3
Gorgan,2020-01-19,9.0,4.3,6.1,4.4,4.4,0.0,7.3,15.8,85,1023.3,93,4.41,6.7,53
Gorgan,2020-01-20,5.1,1.0,3.2,13.7,11.9,1.26,12.7,26.6,89,1027.9,100,4.13,1.7,75
Gorgan,2020-01-21,6.0,0.6,2.7,9.7,6.9,1.96,9.2,18.0,89,1026.7,76,4.0,3.5,73
Gorgan,2020-01-22,9.9,-0.0,5.1,0.0,0.0,0.0,9.0,18.0,57,1023.1,28,12.05,6.9,3
Gorgan,2020-01-23,8.3,3.0,5.6,0.1,0.1,0.0,7.8,20.5,60,1011.9,38,11.48,6.2,51
Gorgan,2020-01-24,13.1,3.8,8.0,1.0,1.0,0.0,7.8,17.3,61,1016.6,33,10.79,10.7,51
Gorgan,2020-01-25,6.6,0.5,3.2,11.8,11.1,0.49,13.2,24.8,89,1028.2,67,4.45,4.0,73
Gorgan,2020-01-26,10.4,0.7,5.5,0.0,0.0,0.0,4.8,16.6,65,1022.1,0,12.28,7.4,0
Gorgan,2020-01-27,11.5,3.0,8.0,0.0,0.0,0.0,9.6,16.6,56,1027.2,22,10.54,8.8,2
Gorgan,2020-01-28,13.6,5.2,9.3,0.0,0.0,0.0,5.1,15.8,40,1022.3,1,12.6,11.1,0
Gorgan,2020-01-29,16.2,5.6,10.3,0.0,0.0,0.0,10.0,14.4,44,1015.0,43,11.89,14.9,3
Gorgan,2020-01-30,16.1,5.9,11.4,0.0,0.0,0.0,10.5,22.7,52,1014.8,54,11.11,13.5,3
Gorgan,2020-01-31,17.4,4.2,10.2,0.0,0.0,0.0,7.9,14.8,47,1009.4,12,13.03,16.2,3
Gorgan,2020-02-01,20.9,6.2,11.3,0.4,0.4,0.0,35.0,70.9,53,1007.1,46,12.85,18.8,51
Gorgan,2020-02-02,8.8,5.7,7.0,9.0,9.0,0.0,19.5,37.8,86,1019.0,96,4.86,5.4,55
Gorgan,2020-02-03,13.0,2.6,8.0,0.4,0.4,0.0,10.4,24.8,61,1018.5,12,13.23,9.6,51
Gorgan,2020-02-04,17.0,3.5,11.0,0.0,0.0,0.0,9.7,15.1,38,1006.6,9,13.36,15.3,2
Gorgan,2020-02-05,13.9,7.0,9.2,7.4,7.4,0.0,9.3,23.0,64,1016.9,44,7.85,11.3,61
Gorgan,2020-02-06,21.9,6.4,13.5,0.0,0.0,0.0,6.4,13.3,50,1012.4,0,13.48,21.6,0
Gorgan,2020-02-07,21.9,7.8,14.8,0.0,0.0,0.0,12.9,26.6,40,1007.8,0,13.82,20.6,0
Gorgan,2020-02-08,27.3,12.4,19.2,0.0,0.0,0.0,33.1,65.2,35,1003.0,6,13.79,25.3,1
Gorgan,2020-02-09,16.9,5.9,11.4,10.0,10.0,0.0,26.3,52.2,68,1011.6,37,12.28,15.5,63
Gorgan,2020-02-10,6.1,3.5,4.6,9.1,9.1,0.0,13.7,31.0,84,1022.2,93,3.52,3.9,61
Gorgan,2020-02-11,4.1,0.4,2.5,8.5,5.4,2.17,15.9,32.8,85,1017.4,94,3.88,1.0,75
Gorgan,2020-02-12,10.2,-0.9,4.0,1.8,0.5,0.91,11.5,27.4,61,1017.4,31,14.5,6.8,73
Gorgan,2020-02-13,15.0,1.3,8.7,0.0,0.0,0.0,11.2,22.3,37,1018.9,9,14.48,12.4,3
Gorgan,2020-02-14,11.4,4.0,6.5,20.9,20.8,0.07,23.4,45.0,68,1023.6,51,11.93,9.1,71
Gorgan,2020-02-15,10.0,2.7,6.2,3.5,3.5,0.0,18.7,38.2,67,1032.6,70,14.08,6.3,53
Gorgan,2020-02-16,11.8,1.4,6.0,0.0,0.0,0.0,10.5,22.0,62,1026.9,37,14.77,8.7,3
Gorgan,2020-02-17,8.3,3.9,6.2,0.6,0.6,0.0,16.8,34.6,69,1031.1,90,5.51,4.1,51
Gorgan,2020-02-18,10.2,3.6,7.2,0.0,0.0,0.0,6.1,18.4,76,1033.0,48,10.25,8.0,3
Gorgan,2020-02-19,13.1,2.1,7.2,0.0,0.0,0.0,9.5,21.2,77,1021.5,75,13.55,11.4,3
Gorgan,2020-02-20,10.0,4.4,6.6,9.1,9.1,0.0,27.1,52.2,82,1013.6,97,4.93,7.5,61
Gorgan,2020-02-21,13.3,6.3,9.5,5.6,5.6,0.0,8.4,30.6,78,1018.2,48,12.48,12.0,61
Gorgan,2020-02-22,16.2,5.4,9.9,0.0,0.0,0.0,9.0,20.2,75,1019.8,43,14.81,15.1,3
Gorgan,2020-02-23,16.1,7.2,10.9,0.0,0.0,0.0,7.3,16.9,82,1020.4,15,15.26,15.6,2
Gorgan,2020-02-24,15.8,7.3,11.3,0.0,0.0,0.0,8.7,20.9,80,1015.1,76,14.51,15.1,3
Gorgan,2020-02-25,19.5,11.3,15.4,9.0,9.0,0.0,22.8,45.4,70,1006.3,100,8.88,19.2,63
Gorgan,2020-02-26,9.9,3.6,5.7,35.0,35.0,0.0,22.3,45.0,93,1022.9,99,2.1,6.5,63
Gorgan,2020-02-27,12.8,1.3,7.1,0.0,0.0,0.0,12.1,28.8,75,1022.7,12,17.18,9.7,2
Gorgan,2020-02-28,20.2,8.0,13.2,0.0,0.0,0.0,9.7,14.0,58,1010.3,57,17.1,20.5,3
Gorgan,2020-02-29,14.4,5.7,10.6,0.0,0.0,0.0,11.7,27.7,71,1013.6,22,16.38,13.8,3
Gorgan,2020-03-01,17.7,5.5,10.7,0.4,0.4,0.0,17.0,33.8,86,1012.0,54,15.67,17.6,51
Gorgan,2020-03-02,9.6,6.2,7.9,5.8,5.8,0.0,18.9,39.6,86,1018.8,97,2.94,7.3,53
Gorgan,2020-03-03,8.4,5.0,7.0,2.7,2.7,0.0,7.4,14.4,85,1022.9,96,5.16,6.9,51
Gorgan,2020-03-04,13.7,7.0,10.0,0.2,0.2,0.0,9.0,16.2,76,1024.4,35,14.58,12.5,51
Gorgan,2020-03-05,18.5,7.5,12.0,0.0,0.0,0.0,9.7,22.3,55,1019.8,0,18.12,16.5,0
Gorgan,2020-03-06,19.9,8.2,14.0,0.0,0.0,0.0,9.8,15.5,48,1017.3,1,18.28,19.1,1
Gorgan,2020-03-07,16.7,9.4,12.6,0.0,0.0,0.0,13.0,27.0,67,1020.5,67,17.54,16.7,3
Gorgan,2020-03-08,13.3,7.1,10.3,2.0,2.0,0.0,15.2,30.6,86,1025.7,89,9.47,11.4,51
Gorgan,2020-03-09,13.0,6.0,9.1,0.0,0.0,0.0,10.3,23.4,81,1027.1,21,14.4,10.7,2
Gorgan,2020-03-10,18.2,4.7,12.3,0.0,0.0,0.0,9.9,22.0,55,1021.7,0,19.26,16.4,0
Gorgan,2020-03-11,20.7,5.2,13.4,0.0,0.0,0.0,9.0,14.4,46,1017.5,0,19.74,19.5,0
Gorgan,2020-03-12,20.7,9.8,15.5,0.0,0.0,0.0,6.5,15.5,46,1016.6,23,18.7,20.4,3
Gorgan,2020-03-13,17.1,9.4,13.4,0.0,0.0,0.0,16.7,36.0,63,1019.0,87,17.7,16.3,3
Gorgan,2020-03-14,24.3,9.6,16.5,0.0,0.0,0.0,24.1,46.1,77,1008.7,86,11.18,26.1,3
