city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Goychay,2020-01-01,11.0,0.2,4.3,0.0,0.0,0.0,9.8,19.1,87,1013.9,9,8.14,8.4,1,40.65,47.74
Goychay,2020-01-02,9.9,0.3,5.2,0.6,0.6,0.0,9.7,20.2,80,1018.9,50,6.7,7.8,51,40.65,47.74
Goychay,2020-01-03,5.8,4.4,5.1,5.2,5.2,0.0,7.6,15.5,93,1026.4,98,1.4,3.6,53,40.65,47.74
Goychay,2020-01-04,6.6,3.4,4.9,0.8,0.8,0.0,8.5,16.2,92,1021.0,100,1.66,4.2,51,40.65,47.74
Goychay,2020-01-05,9.7,-0.8,4.1,0.0,0.0,0.0,8.4,14.0,81,1014.8,38,8.6,7.6,3,40.65,47.74
Goychay,2020-01-06,9.1,-1.6,3.3,0.0,0.0,0.0,8.8,16.9,86,1021.9,2,8.2,6.9,0,40.65,47.74
Goychay,2020-01-07,8.5,-2.0,2.0,0.0,0.0,0.0,8.4,20.9,84,1022.1,13,8.64,5.3,2,40.65,47.74
Goychay,2020-01-08,7.6,-0.4,2.3,0.0,0.0,0.0,7.2,16.6,68,1017.4,60,7.11,4.3,3,40.65,47.74
Goychay,2020-01-09,8.7,-0.3,3.6,0.0,0.0,0.0,10.6,16.2,78,1017.0,79,5.8,6.2,3,40.65,47.74
Goychay,2020-01-10,7.4,-0.6,3.4,0.0,0.0,0.0,11.4,25.2,86,1020.2,33,8.07,4.3,3,40.65,47.74
Goychay,2020-01-11,6.3,1.8,3.5,0.2,0.2,0.0,8.1,16.9,90,1023.4,83,3.65,4.0,51,40.65,47.74
Goychay,2020-01-12,7.3,0.2,2.8,0.0,0.0,0.0,9.7,23.0,82,1019.2,65,7.23,4.0,3,40.65,47.74
Goychay,2020-01-13,8.3,1.3,3.7,0.0,0.0,0.0,9.6,15.1,81,1021.5,79,5.29,5.6,3,40.65,47.74
Goychay,2020-01-14,9.9,-2.1,3.4,0.0,0.0,0.0,8.7,19.4,75,1027.9,9,9.41,6.5,2,40.65,47.74
Goychay,2020-01-15,6.9,-1.4,2.5,0.0,0.0,0.0,8.1,20.9,84,1028.9,86,5.88,4.5,3,40.65,47.74
Goychay,2020-01-16,5.7,2.5,3.9,6.9,6.9,0.0,11.3,23.4,91,1035.7,100,2.44,2.7,53,40.65,47.74
Goychay,2020-01-17,6.3,-1.2,3.1,2.2,2.2,0.0,15.2,30.2,91,1028.1,68,3.57,2.9,51,40.65,47.74
Goychay,2020-01-18,7.1,-3.3,1.1,0.0,0.0,0.0,10.6,24.8,76,1022.1,44,9.62,3.5,3,40.65,47.74
Goychay,2020-01-19,3.9,-1.2,1.8,2.9,2.9,0.0,7.4,15.5,90,1026.6,91,2.15,1.0,53,40.65,47.74
Goychay,2020-01-20,4.2,1.5,2.6,0.7,0.7,0.0,11.5,25.6,84,1029.8,92,3.65,1.3,51,40.65,47.74
Goychay,2020-01-21,6.4,-1.8,2.3,0.0,0.0,0.0,8.0,14.8,81,1026.9,46,8.28,4.1,3,40.65,47.74
Goychay,2020-01-22,9.8,-1.4,3.1,0.0,0.0,0.0,18.6,38.9,74,1022.0,33,10.16,4.7,3,40.65,47.74
Goychay,2020-01-23,10.4,-0.8,4.4,0.0,0.0,0.0,22.8,45.4,64,1010.5,11,10.2,5.4,3,40.65,47.74
Goychay,2020-01-24,8.7,-0.3,4.3,0.0,0.0,0.0,17.4,33.8,55,1018.4,85,5.0,3.9,3,40.65,47.74
Goychay,2020-01-25,5.5,-1.8,0.7,0.0,0.0,0.0,15.3,31.3,73,1028.4,18,10.36,0.6,3,40.65,47.74
Goychay,2020-01-26,11.2,-3.3,2.3,0.0,0.0,0.0,13.4,31.3,52,1021.0,1,10.78,6.9,0,40.65,47.74
Goychay,2020-01-27,8.5,-1.8,2.6,0.0,0.0,0.0,10.7,23.8,71,1027.3,2,10.42,6.1,0,40.65,47.74
Goychay,2020-01-28,8.9,-3.6,1.8,0.0,0.0,0.0,7.2,18.0,74,1021.8,25,10.76,5.9,2,40.65,47.74
Goychay,2020-01-29,9.6,-2.8,3.6,0.0,0.0,0.0,9.7,18.7,66,1015.1,42,10.41,6.6,3,40.65,47.74
Goychay,2020-01-30,15.4,1.5,6.5,0.0,0.0,0.0,14.4,29.5,62,1013.3,27,10.94,12.0,3,40.65,47.74
Goychay,2020-01-31,13.4,0.4,6.3,0.0,0.0,0.0,15.2,28.8,72,1007.3,77,10.34,11.4,3,40.65,47.74
Goychay,2020-02-01,6.6,2.2,4.1,7.2,7.2,0.0,13.1,32.8,88,1011.0,98,1.86,3.5,53,40.65,47.74
Goychay,2020-02-02,9.2,-0.4,4.7,0.9,0.9,0.0,10.9,24.1,82,1018.9,55,9.44,5.7,51,40.65,47.74
Goychay,2020-02-03,12.6,-2.0,4.6,0.0,0.0,0.0,15.0,30.2,72,1015.4,11,11.39,8.5,2,40.65,47.74
Goychay,2020-02-04,16.9,3.3,9.6,0.0,0.0,0.0,25.0,48.2,54,1004.7,51,11.08,11.4,3,40.65,47.74
Goychay,2020-02-05,11.2,3.5,6.8,1.4,1.2,0.14,14.4,34.6,67,1014.9,25,11.44,8.4,71,40.65,47.74
Goychay,2020-02-06,18.2,3.4,9.8,0.0,0.0,0.0,19.8,38.2,56,1010.5,13,11.73,14.1,2,40.65,47.74
Goychay,2020-02-07,17.7,4.4,11.1,0.0,0.0,0.0,21.0,38.2,60,1003.9,26,8.02,15.4,3,40.65,47.74
Goychay,2020-02-08,10.9,2.0,7.2,9.4,8.3,0.77,18.0,34.2,83,1003.5,91,6.71,9.4,73,40.65,47.74
Goychay,2020-02-09,1.9,-2.7,-0.3,16.2,0.1,11.34,15.3,38.9,84,1016.5,83,4.71,-0.6,75,40.65,47.74
