city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Goygol,2020-01-01,8.1,0.0,4.7,0.0,0.0,0.0,8.6,21.2,69,1014.6,28,8.02,5.2,2,40.59,46.32
Goygol,2020-01-02,7.3,1.3,4.7,2.2,2.2,0.0,11.5,23.4,67,1019.6,60,6.69,4.5,51,40.59,46.32
Goygol,2020-01-03,4.1,-0.6,2.1,1.6,1.6,0.0,5.6,12.6,83,1026.2,92,3.35,1.5,51,40.59,46.32
Goygol,2020-01-04,1.5,-0.6,0.7,0.0,0.0,0.0,5.9,13.7,88,1022.1,95,2.62,-1.2,3,40.59,46.32
Goygol,2020-01-05,5.7,-1.6,1.9,0.0,0.0,0.0,7.7,18.4,68,1015.6,42,8.88,2.6,3,40.59,46.32
Goygol,2020-01-06,5.8,-0.2,3.1,0.0,0.0,0.0,7.8,22.0,60,1021.8,0,9.12,2.3,0,40.59,46.32
Goygol,2020-01-07,6.7,-0.1,3.1,0.0,0.0,0.0,6.5,18.4,56,1022.2,15,8.97,3.8,3,40.59,46.32
Goygol,2020-01-08,8.4,-0.4,5.1,0.0,0.0,0.0,6.0,16.6,41,1016.6,51,7.6,4.9,3,40.59,46.32
Goygol,2020-01-09,6.2,-1.1,2.8,0.0,0.0,0.0,6.8,15.5,51,1017.4,87,6.69,2.8,3,40.59,46.32
Goygol,2020-01-10,5.5,-1.2,2.4,0.0,0.0,0.0,7.2,18.7,62,1020.3,28,7.86,2.2,2,40.59,46.32
Goygol,2020-01-11,4.8,-1.6,1.3,0.0,0.0,0.0,8.4,22.0,66,1023.4,28,9.23,1.6,3,40.59,46.32
Goygol,2020-01-12,5.2,-2.2,1.3,0.0,0.0,0.0,7.2,20.5,61,1019.8,73,8.03,1.8,3,40.59,46.32
Goygol,2020-01-13,7.1,-2.0,2.8,1.8,1.8,0.0,17.3,38.2,68,1021.8,52,8.61,2.8,53,40.59,46.32
Goygol,2020-01-14,5.4,-3.0,1.9,0.0,0.0,0.0,7.6,21.2,56,1028.2,5,9.78,2.1,1,40.59,46.32
Goygol,2020-01-15,5.4,0.3,3.0,0.0,0.0,0.0,6.8,20.5,56,1028.5,83,8.18,1.6,3,40.59,46.32
Goygol,2020-01-16,2.7,-0.5,0.6,2.7,0.0,1.89,5.8,14.4,83,1035.7,94,4.16,-0.4,73,40.59,46.32
Goygol,2020-01-17,2.4,-2.7,-0.2,0.7,0.0,0.49,11.3,24.8,84,1029.3,66,5.25,-1.4,71,40.59,46.32
Goygol,2020-01-18,5.4,-3.3,0.3,0.0,0.0,0.0,8.6,22.0,48,1022.0,49,9.52,1.5,3,40.59,46.32
Goygol,2020-01-19,0.8,-2.0,-0.5,1.5,0.0,1.05,4.8,16.2,74,1026.8,96,4.25,-2.7,73,40.59,46.32
Goygol,2020-01-20,0.6,-2.0,-0.8,0.7,0.0,0.49,4.9,15.8,89,1030.2,93,4.21,-2.5,71,40.59,46.32
Goygol,2020-01-21,4.5,-2.3,0.6,0.0,0.0,0.0,8.5,22.7,79,1026.7,43,8.92,1.1,3,40.59,46.32
Goygol,2020-01-22,5.6,-2.5,1.0,0.0,0.0,0.0,13.3,31.0,62,1023.2,22,10.48,1.4,3,40.59,46.32
Goygol,2020-01-23,5.8,-2.1,1.3,0.0,0.0,0.0,11.3,26.6,58,1012.9,26,10.55,1.6,3,40.59,46.32
Goygol,2020-01-24,3.8,-2.7,0.6,0.4,0.0,0.28,15.9,35.3,61,1020.5,80,5.64,0.4,71,40.59,46.32
Goygol,2020-01-25,2.5,-4.9,-0.9,0.0,0.0,0.0,8.7,24.8,51,1029.0,6,10.87,-1.1,1,40.59,46.32
Goygol,2020-01-26,8.6,-1.2,4.0,0.0,0.0,0.0,8.3,22.0,37,1021.5,0,11.12,4.5,0,40.59,46.32
Goygol,2020-01-27,6.2,-2.0,3.2,0.0,0.0,0.0,8.7,23.0,47,1027.4,0,10.99,2.2,0,40.59,46.32
Goygol,2020-01-28,8.5,0.0,5.1,0.0,0.0,0.0,6.4,20.2,42,1021.5,34,10.56,5.3,3,40.59,46.32
Goygol,2020-01-29,10.8,1.1,6.6,0.0,0.0,0.0,8.5,22.3,36,1015.0,67,10.87,6.6,3,40.59,46.32
Goygol,2020-01-30,11.8,0.6,4.9,0.0,0.0,0.0,10.2,24.8,53,1014.0,19,11.27,8.2,3,40.59,46.32
