city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Guba,2020-01-01,8.0,-0.5,2.9,0.0,0.0,0.0,10.1,24.1,69,1013.2,5,8.55,4.5,1
Guba,2020-01-02,2.2,-0.3,0.9,1.6,0.0,1.12,10.7,22.0,90,1021.6,76,1.09,-0.7,73
Guba,2020-01-03,0.6,-0.9,-0.3,3.2,0.0,2.24,7.4,18.4,87,1027.8,100,2.13,-2.8,73
Guba,2020-01-04,3.8,-1.5,0.4,0.0,0.0,0.0,6.9,17.6,82,1020.3,44,7.85,0.9,3
Guba,2020-01-05,5.4,-1.7,1.0,0.0,0.0,0.0,7.6,19.4,77,1015.6,40,7.75,2.1,3
Guba,2020-01-06,4.8,-0.6,1.6,0.0,0.0,0.0,10.5,23.8,80,1022.2,44,7.85,1.2,3
Guba,2020-01-07,5.5,-0.9,1.4,0.0,0.0,0.0,12.5,26.6,70,1019.7,62,7.79,2.5,3
Guba,2020-01-08,6.2,-2.1,2.0,0.0,0.0,0.0,10.3,14.8,61,1017.5,50,7.49,3.3,3
Guba,2020-01-09,4.6,-1.4,1.9,1.2,1.2,0.0,12.5,25.2,86,1018.2,100,3.51,0.9,51
Guba,2020-01-10,1.5,-1.4,0.3,5.6,1.6,2.8,10.1,19.4,97,1021.7,100,1.89,-1.3,73
Guba,2020-01-11,2.6,-3.0,-0.6,3.3,0.0,2.31,13.7,28.8,93,1024.0,96,3.95,-1.4,73
Guba,2020-01-12,7.2,-2.2,1.7,0.0,0.0,0.0,8.7,16.2,59,1017.0,63,7.76,3.8,3
Guba,2020-01-13,1.2,-2.5,0.1,4.5,0.2,3.01,15.3,28.4,89,1024.0,86,1.61,-2.1,73
Guba,2020-01-14,4.1,-2.9,-0.5,0.0,0.0,0.0,8.5,20.9,69,1028.2,26,9.23,0.5,3
Guba,2020-01-15,0.9,-2.8,-0.9,8.3,0.0,5.81,11.7,22.7,94,1031.2,99,1.43,-2.2,75
Guba,2020-01-16,1.4,-3.3,-1.0,3.9,0.0,2.73,7.4,17.6,85,1037.0,90,7.79,-2.1,73
Guba,2020-01-17,4.7,-4.3,0.1,0.0,0.0,0.0,11.2,20.2,70,1025.6,31,9.19,1.5,2
Guba,2020-01-18,1.1,-4.4,-1.4,0.5,0.0,0.35,12.4,27.4,74,1024.2,61,4.54,-3.2,71
Guba,2020-01-19,-0.1,-3.1,-2.1,2.2,0.0,1.54,8.3,16.9,83,1028.7,100,3.89,-3.0,73
Guba,2020-01-20,1.2,-4.7,-2.2,0.2,0.0,0.14,8.4,21.2,79,1030.4,74,8.4,-2.7,71
Guba,2020-01-21,2.0,-4.6,-1.9,0.0,0.0,0.0,10.1,24.8,85,1027.3,46,10.01,-2.1,3
