city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Gubadli,2020-01-01,10.1,-1.0,3.5,0.0,0.0,0.0,7.3,20.9,72,1014.0,36,8.99,7.3,3,39.34,46.58
Gubadli,2020-01-02,8.2,-0.4,3.0,0.0,0.0,0.0,8.6,23.4,69,1019.2,28,8.0,5.0,2,39.34,46.58
Gubadli,2020-01-03,4.2,1.6,2.6,2.9,1.1,1.26,7.6,22.3,94,1026.1,96,1.85,1.9,73,39.34,46.58
Gubadli,2020-01-04,4.9,1.0,2.5,0.1,0.0,0.07,9.5,25.9,91,1021.3,97,4.36,2.1,71,39.34,46.58
Gubadli,2020-01-05,7.5,0.3,3.6,0.0,0.0,0.0,7.1,22.3,82,1015.2,59,9.19,5.0,3,39.34,46.58
Gubadli,2020-01-06,8.2,-1.1,3.0,0.0,0.0,0.0,6.5,21.2,62,1021.4,3,9.74,5.3,1,39.34,46.58
Gubadli,2020-01-07,9.1,-1.1,3.8,0.0,0.0,0.0,8.9,21.6,56,1021.3,22,9.58,6.2,3,39.34,46.58
Gubadli,2020-01-08,10.2,0.2,4.5,0.0,0.0,0.0,8.8,22.7,44,1016.3,79,8.09,7.1,3,39.34,46.58
Gubadli,2020-01-09,6.3,1.3,3.8,0.0,0.0,0.0,7.1,22.0,67,1017.1,80,7.45,3.6,3,39.34,46.58
Gubadli,2020-01-10,6.7,-0.1,2.9,0.0,0.0,0.0,8.4,24.8,82,1020.1,61,7.5,3.9,3,39.34,46.58
Gubadli,2020-01-11,6.4,0.8,3.1,0.0,0.0,0.0,6.1,19.8,83,1023.2,56,6.69,4.3,3,39.34,46.58
Gubadli,2020-01-12,8.2,-0.8,3.1,0.0,0.0,0.0,6.8,18.4,62,1019.1,72,8.48,5.0,3,39.34,46.58
Gubadli,2020-01-13,3.7,0.5,2.3,6.2,0.2,4.2,7.4,19.8,89,1022.5,96,3.01,1.2,75,39.34,46.58
Gubadli,2020-01-14,8.8,-5.4,2.6,0.0,0.0,0.0,9.8,22.7,55,1028.0,6,10.48,5.5,2,39.34,46.58
Gubadli,2020-01-15,7.7,-2.3,1.6,0.0,0.0,0.0,8.9,22.7,52,1028.3,76,8.77,4.0,3,39.34,46.58
Gubadli,2020-01-16,2.2,-0.7,0.8,7.9,0.0,5.6,6.4,19.4,88,1036.1,99,2.38,-0.6,73,39.34,46.58
Gubadli,2020-01-17,5.3,-0.4,1.5,0.5,0.0,0.35,7.2,20.9,70,1028.6,75,8.83,2.1,71,39.34,46.58
Gubadli,2020-01-18,6.7,-0.6,2.6,0.0,0.0,0.0,8.4,22.3,63,1021.8,82,8.29,3.1,3,39.34,46.58
Gubadli,2020-01-19,1.8,0.4,0.9,5.4,0.1,3.71,9.8,26.6,85,1026.3,100,3.26,-0.8,73,39.34,46.58
Gubadli,2020-01-20,3.5,0.1,1.2,0.4,0.0,0.28,6.2,18.4,80,1029.4,94,6.0,0.7,71,39.34,46.58
Gubadli,2020-01-21,5.1,-1.1,1.0,0.0,0.0,0.0,7.7,21.6,85,1027.2,66,8.55,1.9,3,39.34,46.58
Gubadli,2020-01-22,7.2,-2.5,1.2,0.0,0.0,0.0,8.9,23.4,63,1022.7,3,11.12,4.1,1,39.34,46.58
Gubadli,2020-01-23,9.7,-2.6,3.4,0.0,0.0,0.0,10.2,23.0,42,1011.5,19,11.37,5.9,3,39.34,46.58
Gubadli,2020-01-24,5.7,-0.5,2.2,2.5,0.0,1.75,10.9,32.0,65,1020.2,85,3.06,2.8,73,39.34,46.58
Gubadli,2020-01-25,5.0,-1.9,0.8,0.0,0.0,0.0,8.2,22.0,61,1028.5,8,11.19,1.3,1,39.34,46.58
Gubadli,2020-01-26,11.5,-1.5,4.6,0.0,0.0,0.0,9.8,23.4,32,1021.1,15,11.75,7.1,3,39.34,46.58
Gubadli,2020-01-27,9.3,-2.2,2.7,0.0,0.0,0.0,9.7,23.8,41,1026.9,5,11.65,5.6,2,39.34,46.58
Gubadli,2020-01-28,11.0,-1.3,4.0,0.0,0.0,0.0,9.6,25.9,35,1020.8,30,10.89,6.4,3,39.34,46.58
