city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Gusar,2020-01-01,8.3,-0.2,3.1,0.0,0.0,0.0,11.4,25.9,70,1013.1,2,8.5,4.7,0
Gusar,2020-01-02,4.4,-0.4,1.3,2.2,0.3,1.33,11.1,22.0,90,1021.6,77,1.38,1.6,73
Gusar,2020-01-03,1.0,-0.7,-0.2,3.2,0.0,2.24,9.5,21.2,88,1027.7,100,2.44,-2.7,73
Gusar,2020-01-04,3.9,-2.2,0.6,0.0,0.0,0.0,7.6,19.8,80,1020.1,50,7.93,0.9,3
Gusar,2020-01-05,5.2,-1.6,0.9,0.0,0.0,0.0,9.5,19.8,76,1015.5,39,7.49,1.8,3
Gusar,2020-01-06,4.8,-1.4,1.6,0.0,0.0,0.0,11.4,23.4,81,1022.1,45,7.47,1.1,3
Gusar,2020-01-07,5.8,-1.0,1.7,0.0,0.0,0.0,14.8,29.5,74,1019.5,69,7.44,2.9,3
Gusar,2020-01-08,6.3,-2.3,1.9,0.1,0.1,0.0,10.1,14.0,67,1017.4,51,7.48,3.8,51
Gusar,2020-01-09,4.4,-0.3,2.0,1.0,1.0,0.0,12.8,25.2,89,1018.1,99,3.31,0.7,51
Gusar,2020-01-10,1.5,-1.4,0.3,5.2,1.4,2.66,10.9,19.4,98,1021.6,100,2.01,-1.4,73
Gusar,2020-01-11,2.7,-3.1,-0.7,2.4,0.1,1.68,13.8,28.8,94,1023.9,94,3.78,-1.3,73
Gusar,2020-01-12,7.2,-2.8,1.7,0.0,0.0,0.0,10.0,16.9,60,1016.9,66,7.69,3.8,3
Gusar,2020-01-13,1.1,-2.2,0.1,4.3,0.1,2.94,15.9,29.9,89,1023.9,91,1.68,-2.2,73
Gusar,2020-01-14,4.2,-3.0,0.0,0.0,0.0,0.0,9.0,21.6,72,1028.1,25,9.19,0.3,3
Gusar,2020-01-15,0.9,-2.6,-0.7,8.8,0.0,6.16,9.7,18.7,93,1031.0,99,1.45,-2.1,75
Gusar,2020-01-16,1.5,-3.8,-0.9,3.9,0.0,2.73,9.2,18.7,84,1036.9,90,7.66,-2.2,73
Gusar,2020-01-17,5.3,-4.6,0.2,0.0,0.0,0.0,10.0,18.4,67,1025.5,24,9.41,2.0,2
Gusar,2020-01-18,1.2,-3.8,-1.2,0.6,0.0,0.42,14.3,29.9,77,1024.1,62,4.65,-3.3,71
Gusar,2020-01-19,-0.1,-2.8,-2.0,1.7,0.1,1.19,9.3,19.4,84,1028.5,100,3.22,-3.5,71
Gusar,2020-01-20,1.4,-4.5,-2.2,0.2,0.0,0.14,8.0,19.4,77,1030.4,50,8.76,-2.4,71
Gusar,2020-01-21,2.1,-5.2,-2.1,0.0,0.0,0.0,10.8,25.2,84,1027.3,45,9.97,-2.2,3
Gusar,2020-01-22,5.1,-4.1,0.2,0.0,0.0,0.0,11.2,18.7,69,1020.3,42,10.05,1.7,3
Gusar,2020-01-23,10.1,-1.0,3.1,0.6,0.1,0.35,18.3,35.3,49,1007.6,28,10.28,5.9,71
Gusar,2020-01-24,0.8,-5.3,-2.3,10.5,0.0,7.35,15.1,25.6,85,1021.4,99,2.85,-2.6,73
Gusar,2020-01-25,2.3,-7.9,-3.7,0.0,0.0,0.0,15.1,21.6,61,1025.9,29,10.27,-1.7,3
Gusar,2020-01-26,6.3,-3.3,2.4,0.0,0.0,0.0,13.1,22.3,36,1019.5,19,10.74,2.8,2
