city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Gyumri,2020-01-01,1.2,-11.6,-4.8,0.6,0.0,0.42,7.4,12.6,79,1017.2,48,8.34,-1.9,73,40.79,43.84
Gyumri,2020-01-02,0.6,-11.4,-4.7,0.0,0.0,0.0,7.7,12.2,76,1021.8,42,8.92,-2.6,3,40.79,43.84
Gyumri,2020-01-03,0.0,-13.6,-5.8,0.6,0.0,0.42,6.7,12.2,73,1025.2,51,8.88,-3.0,71,40.79,43.84
Gyumri,2020-01-04,0.4,-10.7,-3.8,0.2,0.0,0.21,6.7,14.0,77,1019.0,81,7.76,-3.2,71,40.79,43.84
Gyumri,2020-01-05,-0.2,-12.4,-7.8,0.5,0.0,0.35,7.7,15.1,80,1017.7,50,8.45,-3.1,71,40.79,43.84
Gyumri,2020-01-06,-0.1,-13.4,-8.7,0.0,0.0,0.0,11.5,19.1,83,1025.6,12,9.6,-3.8,1,40.79,43.84
Gyumri,2020-01-07,0.1,-9.1,-5.1,0.0,0.0,0.0,10.4,20.9,82,1027.2,54,7.26,-3.7,3,40.79,43.84
Gyumri,2020-01-08,0.9,-12.2,-5.3,0.0,0.0,0.0,7.8,13.7,78,1021.0,39,9.28,-2.4,3,40.79,43.84
Gyumri,2020-01-09,2.1,-14.3,-6.1,0.0,0.0,0.0,20.5,40.3,71,1018.4,46,8.56,-1.9,3,40.79,43.84
Gyumri,2020-01-10,0.2,-7.4,-4.3,0.2,0.0,0.14,13.7,28.8,66,1021.7,47,9.2,-4.1,71,40.79,43.84
Gyumri,2020-01-11,-0.3,-10.8,-6.2,0.0,0.0,0.0,12.2,19.8,66,1025.2,14,9.71,-3.5,2,40.79,43.84
Gyumri,2020-01-12,-0.2,-13.0,-6.6,0.4,0.0,0.28,10.4,16.2,72,1022.8,83,6.77,-3.8,71,40.79,43.84
Gyumri,2020-01-13,-0.1,-11.2,-4.8,0.2,0.0,0.21,12.8,28.4,70,1023.7,53,9.71,-4.3,71,40.79,43.84
Gyumri,2020-01-14,0.9,-15.4,-7.2,0.0,0.0,0.0,8.4,14.4,48,1031.9,16,10.34,-2.8,3,40.79,43.84
Gyumri,2020-01-15,1.1,-11.2,-5.4,0.0,0.0,0.0,11.1,18.7,51,1029.7,46,10.16,-2.6,3,40.79,43.84
Gyumri,2020-01-16,-0.8,-14.5,-8.4,0.0,0.0,0.0,12.5,26.3,72,1033.3,34,10.12,-5.3,3,40.79,43.84
Gyumri,2020-01-17,-2.0,-15.8,-8.2,0.0,0.0,0.0,12.1,20.2,72,1029.9,60,7.74,-5.9,3,40.79,43.84
Gyumri,2020-01-18,-0.8,-15.3,-9.3,0.0,0.0,0.0,9.5,18.7,57,1024.0,24,10.79,-4.4,2,40.79,43.84
Gyumri,2020-01-19,-0.6,-13.4,-7.1,0.1,0.0,0.07,12.3,20.5,66,1023.9,66,9.37,-4.3,71,40.79,43.84
Gyumri,2020-01-20,0.6,-13.2,-5.8,0.2,0.0,0.14,9.1,16.6,74,1028.1,57,9.89,-3.0,71,40.79,43.84
