city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Hajigabul,2020-01-01,11.2,2.6,6.3,0.0,0.0,0.0,13.8,27.7,82,1014.0,17,8.41,8.2,1,40.04,48.93
Hajigabul,2020-01-02,11.6,1.7,6.3,0.0,0.0,0.0,20.2,34.6,77,1019.2,25,8.19,9.0,3,40.04,48.93
Hajigabul,2020-01-03,7.1,5.2,5.9,1.3,1.3,0.0,18.1,32.8,75,1026.5,99,2.07,3.6,51,40.04,48.93
Hajigabul,2020-01-04,8.1,5.3,6.6,6.3,6.3,0.0,9.9,17.3,85,1020.7,100,1.39,6.0,61,40.04,48.93
Hajigabul,2020-01-05,8.2,4.3,5.8,7.6,7.6,0.0,12.1,31.0,93,1014.9,88,1.86,6.4,61,40.04,48.93
Hajigabul,2020-01-06,9.6,2.2,5.8,0.0,0.0,0.0,9.2,14.0,87,1021.9,29,7.4,7.8,3,40.04,48.93
Hajigabul,2020-01-07,8.4,1.5,4.2,0.0,0.0,0.0,10.8,22.0,92,1022.2,52,7.66,5.7,3,40.04,48.93
Hajigabul,2020-01-08,10.6,0.2,5.2,0.0,0.0,0.0,16.3,28.1,79,1017.4,64,7.76,7.9,3,40.04,48.93
Hajigabul,2020-01-09,8.9,3.0,5.8,0.0,0.0,0.0,15.8,28.1,83,1017.0,94,5.9,5.8,3,40.04,48.93
Hajigabul,2020-01-10,8.1,3.7,5.4,0.0,0.0,0.0,15.5,27.0,87,1020.4,87,3.69,5.2,3,40.04,48.93
Hajigabul,2020-01-11,8.1,3.7,5.2,0.0,0.0,0.0,13.0,23.4,81,1023.5,80,5.31,5.9,3,40.04,48.93
Hajigabul,2020-01-12,8.7,0.9,4.3,0.0,0.0,0.0,18.8,35.3,84,1019.1,68,7.95,4.3,3,40.04,48.93
Hajigabul,2020-01-13,7.8,3.0,5.6,0.8,0.8,0.0,7.1,15.8,80,1021.8,91,3.67,5.6,51,40.04,48.93
Hajigabul,2020-01-14,9.6,-0.2,4.4,0.0,0.0,0.0,11.8,22.0,84,1028.2,21,8.79,6.7,3,40.04,48.93
Hajigabul,2020-01-15,8.8,1.1,4.7,0.0,0.0,0.0,31.4,54.7,79,1028.7,86,4.8,6.1,3,40.04,48.93
Hajigabul,2020-01-16,8.1,3.2,5.3,0.2,0.2,0.0,29.1,50.8,74,1035.6,89,4.74,3.8,51,40.04,48.93
Hajigabul,2020-01-17,5.7,2.8,4.2,3.1,3.1,0.0,16.0,28.1,87,1027.8,95,1.39,2.2,53,40.04,48.93
Hajigabul,2020-01-18,7.4,-0.8,2.8,0.0,0.0,0.0,18.6,32.0,84,1022.4,62,9.21,4.3,3,40.04,48.93
Hajigabul,2020-01-19,5.9,1.5,3.4,0.0,0.0,0.0,17.2,29.9,72,1026.6,96,3.91,1.7,3,40.04,48.93
Hajigabul,2020-01-20,4.8,1.5,2.9,0.6,0.6,0.0,9.1,18.0,87,1029.8,88,3.38,1.7,51,40.04,48.93
Hajigabul,2020-01-21,6.1,-0.6,2.6,0.0,0.0,0.0,9.6,20.2,80,1027.1,41,8.23,3.4,3,40.04,48.93
Hajigabul,2020-01-22,9.6,-0.4,3.6,0.0,0.0,0.0,29.8,53.3,76,1022.0,16,10.34,3.5,3,40.04,48.93
Hajigabul,2020-01-23,10.8,0.6,4.8,0.0,0.0,0.0,28.6,50.8,64,1010.8,12,10.44,4.6,3,40.04,48.93
Hajigabul,2020-01-24,6.5,1.2,3.1,0.4,0.4,0.0,19.6,33.5,79,1019.5,90,4.69,3.2,51,40.04,48.93
Hajigabul,2020-01-25,6.7,-2.6,1.9,0.0,0.0,0.0,23.9,43.9,67,1028.3,5,10.65,0.4,1,40.04,48.93
Hajigabul,2020-01-26,10.4,-2.0,2.6,0.0,0.0,0.0,21.9,40.7,67,1021.3,1,10.93,5.3,1,40.04,48.93
Hajigabul,2020-01-27,10.2,-1.0,4.2,0.0,0.0,0.0,14.1,26.6,73,1027.3,16,8.52,6.4,3,40.04,48.93
Hajigabul,2020-01-28,10.2,-0.7,3.9,0.0,0.0,0.0,10.9,19.8,74,1022.0,26,10.91,7.1,3,40.04,48.93
Hajigabul,2020-01-29,10.3,0.2,4.6,0.0,0.0,0.0,13.3,27.0,69,1015.2,48,9.65,6.4,3,40.04,48.93
Hajigabul,2020-01-30,15.0,1.5,6.8,0.0,0.0,0.0,21.4,40.0,65,1013.7,15,11.16,10.5,3,40.04,48.93
Hajigabul,2020-01-31,15.8,2.4,7.8,0.0,0.0,0.0,20.3,34.9,68,1007.5,67,10.84,13.3,3,40.04,48.93
Hajigabul,2020-02-01,5.6,3.0,4.4,8.3,8.3,0.0,19.7,34.6,86,1011.4,83,1.94,2.6,61,40.04,48.93
Hajigabul,2020-02-02,9.4,2.7,5.3,1.6,1.6,0.0,16.3,30.2,81,1019.0,54,8.96,5.3,51,40.04,48.93
Hajigabul,2020-02-03,12.9,0.1,5.7,0.0,0.0,0.0,22.8,42.1,70,1015.3,6,11.65,7.8,2,40.04,48.93
Hajigabul,2020-02-04,16.0,4.9,9.5,0.1,0.1,0.0,34.4,60.5,52,1005.0,59,11.22,9.2,51,40.04,48.93
Hajigabul,2020-02-05,13.5,2.8,7.6,2.0,2.0,0.0,15.7,28.8,73,1015.3,49,11.17,9.9,53,40.04,48.93
Hajigabul,2020-02-06,19.5,5.1,10.8,0.0,0.0,0.0,27.6,49.7,57,1010.1,3,11.97,14.2,2,40.04,48.93
