city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Imishli,2020-01-01,12.3,-0.2,5.1,0.0,0.0,0.0,10.2,22.3,84,1014.3,22,8.53,9.5,3,39.87,48.06
Imishli,2020-01-02,11.8,2.2,6.6,0.0,0.0,0.0,15.3,27.7,79,1019.4,33,8.25,9.7,3,39.87,48.06
Imishli,2020-01-03,6.4,5.1,5.7,2.1,2.1,0.0,10.9,20.5,84,1026.6,99,1.69,4.2,51,39.87,48.06
Imishli,2020-01-04,6.6,4.8,5.5,2.2,2.2,0.0,10.2,20.2,91,1021.1,100,1.31,4.0,51,39.87,48.06
Imishli,2020-01-05,10.2,1.4,5.5,3.6,3.6,0.0,12.4,22.0,83,1015.2,67,4.73,7.6,53,39.87,48.06
Imishli,2020-01-06,10.4,-2.0,3.9,0.0,0.0,0.0,8.4,13.3,83,1022.0,15,8.7,8.2,3,39.87,48.06
Imishli,2020-01-07,9.6,-1.3,3.1,0.0,0.0,0.0,9.4,15.8,89,1022.4,39,7.79,7.6,3,39.87,48.06
Imishli,2020-01-08,8.6,-3.5,2.1,0.0,0.0,0.0,9.0,16.2,86,1017.5,77,7.94,6.4,3,39.87,48.06
Imishli,2020-01-09,7.8,1.2,4.3,1.6,1.6,0.0,10.2,19.8,89,1017.4,90,4.37,5.2,51,39.87,48.06
Imishli,2020-01-10,7.2,-1.5,2.2,0.0,0.0,0.0,10.4,17.6,90,1020.5,66,6.87,5.8,3,39.87,48.06
Imishli,2020-01-11,8.9,1.5,4.0,0.0,0.0,0.0,10.4,22.7,85,1023.5,49,8.46,5.7,3,39.87,48.06
Imishli,2020-01-12,9.8,-1.5,3.3,0.0,0.0,0.0,10.2,23.8,81,1019.4,73,8.46,6.9,3,39.87,48.06
Imishli,2020-01-13,8.9,1.9,5.3,0.4,0.4,0.0,8.8,18.7,84,1021.7,88,3.86,6.9,51,39.87,48.06
Imishli,2020-01-14,10.6,0.5,4.2,0.0,0.0,0.0,13.3,23.8,74,1028.2,1,9.74,8.2,0,39.87,48.06
Imishli,2020-01-15,7.8,0.6,4.1,0.0,0.0,0.0,9.0,18.0,86,1028.9,92,5.02,5.5,3,39.87,48.06
Imishli,2020-01-16,5.8,3.5,4.6,4.4,4.4,0.0,9.7,18.4,90,1035.8,99,2.28,3.7,53,39.87,48.06
Imishli,2020-01-17,4.9,3.2,4.0,1.5,1.5,0.0,10.9,20.5,91,1028.5,98,1.62,2.1,51,39.87,48.06
Imishli,2020-01-18,8.4,-0.4,3.0,0.0,0.0,0.0,11.8,24.1,77,1022.5,54,9.48,4.9,3,39.87,48.06
Imishli,2020-01-19,5.3,0.8,3.0,1.7,1.7,0.0,8.3,19.4,83,1026.7,98,3.28,2.6,51,39.87,48.06
Imishli,2020-01-20,5.9,0.5,3.1,0.7,0.7,0.0,7.9,16.2,86,1029.9,85,4.94,3.1,51,39.87,48.06
Imishli,2020-01-21,9.1,-2.0,2.8,0.0,0.0,0.0,11.0,23.8,80,1027.0,42,8.85,5.2,2,39.87,48.06
