city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Ismayilli,2020-01-01,8.9,0.3,3.9,0.0,0.0,0.0,10.7,29.5,72,1013.8,5,8.56,5.3,1,40.78,48.15
Ismayilli,2020-01-02,6.6,1.2,3.9,2.1,2.1,0.0,12.1,31.3,72,1019.0,45,7.3,3.3,55,40.78,48.15
Ismayilli,2020-01-03,1.8,-0.2,0.8,16.3,6.5,6.86,7.3,16.9,98,1027.0,100,2.48,-0.5,75,40.78,48.15
Ismayilli,2020-01-04,3.8,-0.9,1.4,0.2,0.1,0.07,6.3,18.0,89,1021.1,99,2.4,1.2,71,40.78,48.15
Ismayilli,2020-01-05,6.8,-1.5,2.5,0.0,0.0,0.0,8.7,19.1,75,1014.8,48,8.07,4.1,3,40.78,48.15
Ismayilli,2020-01-06,5.9,-0.4,2.3,0.0,0.0,0.0,6.0,17.3,80,1022.2,22,8.81,3.1,3,40.78,48.15
Ismayilli,2020-01-07,6.6,-2.4,1.4,0.0,0.0,0.0,13.0,32.8,69,1021.9,12,8.93,2.0,2,40.78,48.15
Ismayilli,2020-01-08,7.1,-1.2,3.8,0.0,0.0,0.0,11.2,24.5,50,1017.0,58,7.46,3.6,3,40.78,48.15
Ismayilli,2020-01-09,5.6,-0.3,2.8,0.0,0.0,0.0,8.9,17.6,70,1017.1,84,6.05,2.6,3,40.78,48.15
Ismayilli,2020-01-10,4.6,-3.2,0.4,2.3,1.5,0.56,11.4,27.4,86,1020.4,67,5.03,1.1,73,40.78,48.15
Ismayilli,2020-01-11,1.8,-2.5,-0.2,5.9,0.1,4.06,6.9,18.0,94,1023.9,87,3.46,-1.4,73,40.78,48.15
Ismayilli,2020-01-12,3.2,-2.2,0.1,0.0,0.0,0.0,10.3,31.7,82,1019.4,87,7.36,-0.2,3,40.78,48.15
Ismayilli,2020-01-13,4.6,-0.1,1.9,0.0,0.0,0.0,8.9,25.6,78,1021.9,80,6.25,1.9,3,40.78,48.15
Ismayilli,2020-01-14,5.9,-2.7,1.1,0.0,0.0,0.0,10.0,25.9,74,1028.0,13,9.56,2.1,2,40.78,48.15
Ismayilli,2020-01-15,3.8,-2.8,0.2,0.0,0.0,0.0,9.4,25.6,84,1029.0,89,6.5,0.5,3,40.78,48.15
Ismayilli,2020-01-16,2.5,-0.8,0.6,4.8,0.6,2.94,10.2,25.6,93,1036.0,100,3.96,-0.7,73,40.78,48.15
Ismayilli,2020-01-17,3.5,-1.6,0.8,0.4,0.0,0.28,10.8,25.2,88,1028.1,73,2.77,0.8,71,40.78,48.15
Ismayilli,2020-01-18,4.8,-4.1,0.4,0.0,0.0,0.0,10.3,27.4,63,1021.7,49,9.72,1.2,3,40.78,48.15
Ismayilli,2020-01-19,1.6,-3.1,-0.4,2.8,0.0,1.96,8.6,21.2,85,1026.7,92,3.7,-1.8,73,40.78,48.15
Ismayilli,2020-01-20,0.8,-2.3,-0.7,1.1,0.1,0.7,9.9,25.9,80,1029.9,88,5.01,-3.2,71,40.78,48.15
Ismayilli,2020-01-21,2.4,-3.3,-0.7,0.0,0.0,0.0,8.7,23.4,82,1027.3,61,8.98,-0.8,3,40.78,48.15
Ismayilli,2020-01-22,4.2,-1.9,0.3,0.0,0.0,0.0,17.7,45.4,78,1022.3,48,10.15,-0.9,3,40.78,48.15
Ismayilli,2020-01-23,5.8,-1.8,1.2,0.0,0.0,0.0,18.8,50.4,65,1010.3,7,10.5,0.9,3,40.78,48.15
Ismayilli,2020-01-24,3.0,-2.2,0.3,2.2,0.5,1.19,10.8,28.8,75,1018.8,90,4.45,-0.5,73,40.78,48.15
Ismayilli,2020-01-25,0.9,-4.9,-2.5,0.0,0.0,0.0,17.4,47.9,71,1028.7,37,10.54,-4.8,3,40.78,48.15
Ismayilli,2020-01-26,6.8,-4.1,0.9,0.0,0.0,0.0,17.1,47.9,43,1020.8,0,10.89,1.5,0,40.78,48.15
Ismayilli,2020-01-27,4.2,-2.6,-0.1,0.0,0.0,0.0,10.6,25.6,72,1027.7,24,7.84,0.7,3,40.78,48.15
Ismayilli,2020-01-28,7.6,-1.8,3.5,0.0,0.0,0.0,10.1,27.4,54,1021.3,19,10.96,3.2,2,40.78,48.15
Ismayilli,2020-01-29,10.1,-1.7,3.9,0.0,0.0,0.0,12.1,32.4,45,1014.5,47,10.44,5.4,3,40.78,48.15
Ismayilli,2020-01-30,10.7,1.6,6.8,0.0,0.0,0.0,15.3,42.1,50,1012.9,25,11.12,6.5,3,40.78,48.15
Ismayilli,2020-01-31,11.9,1.6,6.4,0.0,0.0,0.0,15.0,36.7,58,1006.9,70,10.83,8.7,3,40.78,48.15
Ismayilli,2020-02-01,3.5,-0.1,1.2,13.1,0.7,8.68,12.1,34.2,90,1011.0,95,1.55,0.4,75,40.78,48.15
Ismayilli,2020-02-02,2.3,-4.8,0.0,1.6,0.0,1.12,12.4,29.9,89,1019.3,59,9.21,-1.1,73,40.78,48.15
Ismayilli,2020-02-03,6.8,-6.1,0.7,0.0,0.0,0.0,13.8,40.0,73,1015.4,12,12.09,3.0,3,40.78,48.15
Ismayilli,2020-02-04,11.1,2.0,6.2,0.0,0.0,0.0,21.4,60.5,61,1004.7,47,11.46,6.8,3,40.78,48.15
Ismayilli,2020-02-05,7.1,0.6,3.5,0.0,0.0,0.0,13.0,35.3,79,1015.3,58,10.75,3.3,3,40.78,48.15
Ismayilli,2020-02-06,15.9,2.9,9.5,0.0,0.0,0.0,23.6,62.3,52,1009.8,11,11.9,11.7,2,40.78,48.15
Ismayilli,2020-02-07,16.4,5.4,10.1,0.0,0.0,0.0,13.7,42.8,48,1004.1,21,8.95,13.7,2,40.78,48.15
Ismayilli,2020-02-08,8.5,1.8,6.0,21.5,14.8,4.69,11.5,34.2,85,1003.4,86,7.84,5.6,75,40.78,48.15
Ismayilli,2020-02-09,1.5,-4.8,-2.6,24.1,1.0,16.17,10.8,34.2,95,1016.6,100,4.55,-1.7,75,40.78,48.15
Ismayilli,2020-02-10,-3.3,-8.8,-5.5,1.0,0.0,0.7,9.4,23.4,77,1027.9,81,13.2,-7.0,73,40.78,48.15
Ismayilli,2020-02-11,-5.0,-11.8,-7.3,0.0,0.0,0.0,13.4,31.3,73,1023.1,16,14.17,-9.0,1,40.78,48.15
Ismayilli,2020-02-12,-1.5,-12.8,-6.9,0.0,0.0,0.0,16.3,43.6,57,1013.8,20,14.72,-6.1,3,40.78,48.15
Ismayilli,2020-02-13,3.0,-3.6,0.9,0.0,0.0,0.0,14.8,43.9,55,1017.8,62,12.82,-0.6,3,40.78,48.15
Ismayilli,2020-02-14,3.0,-4.8,-0.8,0.0,0.0,0.0,12.0,31.7,71,1025.5,52,13.67,-0.1,3,40.78,48.15
Ismayilli,2020-02-15,4.7,-10.6,-2.3,0.1,0.0,0.07,11.3,25.2,62,1031.6,67,13.5,1.4,71,40.78,48.15
Ismayilli,2020-02-16,5.7,-4.2,1.5,0.0,0.0,0.0,11.0,29.2,73,1028.9,84,12.95,2.2,3,40.78,48.15
Ismayilli,2020-02-17,3.0,0.6,1.8,0.5,0.5,0.0,9.6,24.8,84,1034.1,99,6.02,0.5,51,40.78,48.15
Ismayilli,2020-02-18,5.9,-1.2,2.5,0.0,0.0,0.0,11.6,32.0,75,1032.7,33,12.83,2.3,3,40.78,48.15
Ismayilli,2020-02-19,10.2,-2.2,4.5,0.0,0.0,0.0,13.6,29.5,67,1022.0,52,14.05,7.0,3,40.78,48.15
Ismayilli,2020-02-20,6.6,1.5,5.2,0.4,0.4,0.0,7.9,17.3,67,1015.4,99,3.34,4.0,51,40.78,48.15
Ismayilli,2020-02-21,11.0,2.4,6.3,0.1,0.1,0.0,12.5,29.5,82,1017.0,78,10.81,8.5,51,40.78,48.15
Ismayilli,2020-02-22,7.0,3.2,4.7,0.1,0.1,0.0,9.0,22.3,94,1021.8,100,5.96,4.3,51,40.78,48.15
Ismayilli,2020-02-23,12.1,2.2,6.8,0.0,0.0,0.0,14.2,37.8,80,1019.9,46,12.99,8.8,3,40.78,48.15
Ismayilli,2020-02-24,11.0,3.1,6.0,0.0,0.0,0.0,13.4,34.9,86,1015.6,54,11.56,7.7,3,40.78,48.15
Ismayilli,2020-02-25,13.4,3.0,7.1,1.5,1.5,0.0,27.2,67.7,64,1007.8,31,13.78,9.5,51,40.78,48.15
Ismayilli,2020-02-26,4.6,-1.0,2.2,0.4,0.3,0.07,14.5,38.5,75,1022.7,54,8.12,1.6,71,40.78,48.15
Ismayilli,2020-02-27,10.4,-1.8,4.0,0.0,0.0,0.0,11.9,34.2,58,1020.1,16,15.88,6.6,2,40.78,48.15
Ismayilli,2020-02-28,15.9,2.3,9.2,0.0,0.0,0.0,15.5,44.3,44,1009.7,36,16.03,12.0,3,40.78,48.15
Ismayilli,2020-02-29,13.1,4.2,8.4,0.0,0.0,0.0,15.5,40.7,60,1013.3,59,13.54,10.5,3,40.78,48.15
Ismayilli,2020-03-01,11.8,0.9,6.2,0.2,0.2,0.0,13.1,34.6,73,1013.4,59,14.89,9.4,51,40.78,48.15
Ismayilli,2020-03-02,4.5,1.3,3.1,6.4,5.1,0.91,11.3,27.0,91,1022.4,100,4.35,2.2,73,40.78,48.15
Ismayilli,2020-03-03,12.0,1.5,6.7,0.5,0.5,0.0,8.9,23.4,78,1022.8,56,15.92,9.8,51,40.78,48.15
Ismayilli,2020-03-04,14.6,2.5,8.6,0.0,0.0,0.0,10.7,25.2,76,1023.0,20,16.35,12.6,3,40.78,48.15
Ismayilli,2020-03-05,16.2,4.2,10.7,0.0,0.0,0.0,11.2,25.6,64,1018.3,27,16.87,14.3,3,40.78,48.15
Ismayilli,2020-03-06,15.4,8.8,11.8,0.0,0.0,0.0,17.1,43.6,53,1018.2,57,16.47,12.1,3,40.78,48.15
Ismayilli,2020-03-07,14.4,2.7,9.5,0.0,0.0,0.0,14.6,38.2,54,1023.6,97,16.08,11.2,3,40.78,48.15
Ismayilli,2020-03-08,11.9,2.7,6.7,0.0,0.0,0.0,8.2,23.0,76,1026.7,17,17.6,10.4,3,40.78,48.15
Ismayilli,2020-03-09,14.1,0.0,7.1,0.0,0.0,0.0,9.4,25.2,73,1026.3,2,18.09,12.7,0,40.78,48.15
Ismayilli,2020-03-10,13.8,4.6,8.7,0.0,0.0,0.0,9.7,22.7,64,1021.0,4,18.31,12.6,1,40.78,48.15
Ismayilli,2020-03-11,16.9,3.2,10.1,0.0,0.0,0.0,13.3,33.5,64,1017.0,38,17.47,14.4,3,40.78,48.15
Ismayilli,2020-03-12,18.2,8.0,13.4,0.0,0.0,0.0,14.9,33.8,56,1016.3,50,17.72,16.8,3,40.78,48.15
Ismayilli,2020-03-13,16.1,8.3,12.5,0.0,0.0,0.0,11.8,31.7,67,1019.1,77,15.15,14.2,3,40.78,48.15
Ismayilli,2020-03-14,14.5,7.9,11.4,0.3,0.3,0.0,13.0,33.1,72,1009.9,99,8.37,12.8,51,40.78,48.15
Ismayilli,2020-03-15,11.6,9.1,10.5,8.2,8.2,0.0,16.3,39.6,90,1013.5,99,3.16,10.4,61,40.78,48.15
Ismayilli,2020-03-16,9.0,5.8,8.0,11.7,11.7,0.0,9.2,25.6,92,1017.3,90,4.51,7.6,61,40.78,48.15
Ismayilli,2020-03-17,5.3,2.5,3.6,9.9,9.9,0.0,10.6,25.6,94,1026.4,100,2.5,3.0,61,40.78,48.15
Ismayilli,2020-03-18,6.0,2.0,3.6,2.4,2.1,0.21,11.5,31.0,83,1024.3,98,7.26,2.3,73,40.78,48.15
Ismayilli,2020-03-19,8.1,1.3,4.0,5.7,5.5,0.14,12.6,31.3,89,1015.9,91,9.67,4.8,71,40.78,48.15
Ismayilli,2020-03-20,8.7,3.2,5.7,0.3,0.3,0.0,11.9,29.9,87,1015.9,97,8.58,5.7,51,40.78,48.15
Ismayilli,2020-03-21,8.0,4.9,5.9,5.0,5.0,0.0,8.9,20.9,89,1019.8,100,4.73,5.5,55,40.78,48.15
Ismayilli,2020-03-22,8.1,3.7,5.9,0.8,0.8,0.0,7.9,20.9,90,1020.5,98,6.48,5.7,51,40.78,48.15
Ismayilli,2020-03-23,12.4,4.1,8.2,0.0,0.0,0.0,9.9,27.7,79,1018.7,59,13.44,10.5,3,40.78,48.15
Ismayilli,2020-03-24,14.1,5.7,9.7,0.0,0.0,0.0,8.4,24.1,75,1019.1,56,15.98,12.6,3,40.78,48.15
Ismayilli,2020-03-25,11.9,6.2,9.2,1.0,1.0,0.0,8.0,24.1,67,1021.4,68,13.57,10.1,53,40.78,48.15
Ismayilli,2020-03-26,12.6,2.3,8.0,0.0,0.0,0.0,9.8,27.0,65,1024.8,13,20.73,10.6,1,40.78,48.15
Ismayilli,2020-03-27,13.6,3.4,8.6,0.0,0.0,0.0,8.9,22.0,58,1023.3,30,20.97,12.2,2,40.78,48.15
Ismayilli,2020-03-28,13.5,5.1,9.4,0.0,0.0,0.0,13.6,35.6,65,1018.4,30,18.33,11.7,3,40.78,48.15
Ismayilli,2020-03-29,12.6,6.8,9.3,0.1,0.1,0.0,7.1,20.2,62,1009.6,90,9.95,10.2,51,40.78,48.15
Ismayilli,2020-03-30,13.9,5.2,9.6,0.6,0.6,0.0,17.0,45.4,72,1002.6,77,17.23,10.8,51,40.78,48.15
Ismayilli,2020-03-31,14.6,6.4,10.0,2.4,2.4,0.0,10.2,28.4,74,1009.4,66,15.16,11.9,53,40.78,48.15
Ismayilli,2020-04-01,15.9,5.5,11.2,2.9,2.9,0.0,12.9,39.6,73,1012.7,62,17.5,14.8,53,40.78,48.15
Ismayilli,2020-04-02,12.7,8.4,10.0,21.6,21.6,0.0,13.4,42.5,79,1009.3,76,4.96,10.7,63,40.78,48.15
Ismayilli,2020-04-03,11.4,4.6,8.2,0.0,0.0,0.0,11.6,28.4,84,1015.6,81,14.58,9.0,3,40.78,48.15
Ismayilli,2020-04-04,10.1,5.6,7.3,7.6,7.6,0.0,8.4,25.2,92,1019.9,100,6.01,8.5,61,40.78,48.15
Ismayilli,2020-04-05,14.5,5.8,9.6,0.1,0.1,0.0,10.2,28.4,80,1022.8,61,17.91,13.6,51,40.78,48.15
Ismayilli,2020-04-06,14.2,6.1,10.4,19.2,19.2,0.0,11.2,30.6,82,1019.3,67,12.28,12.6,63,40.78,48.15
Ismayilli,2020-04-07,4.8,-0.6,0.9,22.2,6.1,11.27,14.5,35.3,94,1030.8,100,4.78,1.7,75,40.78,48.15
Ismayilli,2020-04-08,1.9,-1.5,-0.1,4.2,0.1,2.87,9.8,22.3,81,1034.8,91,14.25,-1.8,73,40.78,48.15
Ismayilli,2020-04-09,8.4,-1.4,3.3,0.0,0.0,0.0,8.0,22.7,71,1023.5,52,23.26,7.0,3,40.78,48.15
Ismayilli,2020-04-10,10.8,0.3,6.3,3.8,3.8,0.0,10.6,25.9,74,1015.3,72,20.69,9.5,61,40.78,48.15
Ismayilli,2020-04-11,12.6,4.2,8.4,0.4,0.4,0.0,13.2,34.6,77,1013.6,83,15.04,9.5,51,40.78,48.15
Ismayilli,2020-04-12,11.7,5.7,8.1,7.2,7.2,0.0,13.4,35.3,80,1018.0,67,10.48,9.8,61,40.78,48.15
Ismayilli,2020-04-13,7.2,4.0,5.2,14.0,14.0,0.0,8.4,22.0,84,1026.2,91,5.72,4.6,61,40.78,48.15
Ismayilli,2020-04-14,13.0,1.6,7.4,0.0,0.0,0.0,10.8,30.2,76,1023.4,19,23.64,11.2,3,40.78,48.15
Ismayilli,2020-04-15,16.6,3.7,10.7,0.0,0.0,0.0,10.5,29.5,71,1016.7,1,23.92,15.9,1,40.78,48.15
Ismayilli,2020-04-16,17.0,7.6,12.9,1.8,1.8,0.0,13.7,35.3,71,1012.0,43,20.65,15.8,55,40.78,48.15
Ismayilli,2020-04-17,14.8,6.4,9.8,0.1,0.1,0.0,13.1,33.5,80,1018.4,69,16.65,12.2,51,40.78,48.15
Ismayilli,2020-04-18,18.8,6.7,12.6,0.0,0.0,0.0,12.9,31.0,72,1014.0,18,24.18,18.4,2,40.78,48.15
Ismayilli,2020-04-19,18.2,9.3,14.6,0.0,0.0,0.0,14.2,37.4,71,1013.9,76,21.2,17.4,3,40.78,48.15
Ismayilli,2020-04-20,20.4,10.2,15.7,0.0,0.0,0.0,10.2,30.6,68,1012.3,56,23.76,20.6,3,40.78,48.15
Ismayilli,2020-04-21,19.1,10.5,15.1,1.5,1.5,0.0,14.8,38.2,65,1010.4,66,17.95,18.4,53,40.78,48.15
Ismayilli,2020-04-22,11.6,6.8,9.6,5.4,5.4,0.0,13.2,36.0,80,1014.2,98,8.64,9.2,61,40.78,48.15
Ismayilli,2020-04-23,7.6,4.9,6.2,22.2,22.2,0.0,10.0,27.7,88,1016.4,100,5.09,5.4,61,40.78,48.15
Ismayilli,2020-04-24,5.9,1.9,4.0,13.9,13.5,0.28,9.7,23.0,90,1021.0,98,6.34,3.5,71,40.78,48.15
Ismayilli,2020-04-25,8.9,3.8,6.0,3.6,3.5,0.07,9.8,26.3,85,1013.6,93,12.0,6.7,71,40.78,48.15
Ismayilli,2020-04-26,16.5,3.4,9.9,4.3,4.3,0.0,9.4,25.9,82,1006.2,69,22.71,16.3,61,40.78,48.15
Ismayilli,2020-04-27,17.6,7.5,12.9,0.0,0.0,0.0,17.3,45.0,66,1009.6,37,25.02,15.3,3,40.78,48.15
Ismayilli,2020-04-28,15.6,8.7,12.5,16.8,16.8,0.0,14.8,36.7,70,1013.1,66,16.36,14.1,63,40.78,48.15
Ismayilli,2020-04-29,13.1,7.9,10.2,7.7,7.7,0.0,9.1,23.4,80,1020.8,97,8.52,11.2,55,40.78,48.15
Ismayilli,2020-04-30,17.0,5.7,11.5,0.0,0.0,0.0,9.8,27.4,70,1016.8,53,25.59,16.8,3,40.78,48.15
Ismayilli,2020-05-01,19.2,8.5,14.2,0.0,0.0,0.0,8.6,25.9,73,1011.8,45,25.39,20.1,3,40.78,48.15
