city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Jabrayil,2020-01-01,9.2,3.1,6.5,0.0,0.0,0.0,10.6,24.1,71,1014.1,30,9.14,6.7,3,39.4,47.03
Jabrayil,2020-01-02,8.0,2.2,5.7,0.0,0.0,0.0,11.5,24.8,74,1019.2,37,8.66,5.2,3,39.4,47.03
Jabrayil,2020-01-03,4.2,1.4,2.8,2.0,1.9,0.07,14.0,29.9,95,1026.2,98,1.59,1.7,71,39.4,47.03
Jabrayil,2020-01-04,3.2,1.4,2.2,0.8,0.8,0.0,8.6,18.7,98,1021.4,98,2.23,0.4,51,39.4,47.03
Jabrayil,2020-01-05,7.0,0.8,3.6,0.0,0.0,0.0,7.9,22.7,84,1015.2,58,8.77,4.4,3,39.4,47.03
Jabrayil,2020-01-06,7.5,0.4,3.7,0.0,0.0,0.0,7.9,19.8,79,1021.7,1,9.48,4.9,0,39.4,47.03
Jabrayil,2020-01-07,8.0,0.6,4.4,0.0,0.0,0.0,9.8,15.1,58,1021.8,22,9.33,5.4,3,39.4,47.03
Jabrayil,2020-01-08,9.5,1.3,6.3,0.0,0.0,0.0,10.5,24.8,47,1016.5,76,8.46,6.2,3,39.4,47.03
Jabrayil,2020-01-09,4.7,1.1,2.8,0.2,0.2,0.0,9.3,19.1,78,1017.4,87,4.56,2.3,51,39.4,47.03
Jabrayil,2020-01-10,4.6,1.1,3.0,0.0,0.0,0.0,8.1,19.1,77,1020.4,41,7.41,1.9,3,39.4,47.03
Jabrayil,2020-01-11,5.6,0.5,2.5,0.0,0.0,0.0,8.0,20.9,83,1023.4,50,7.62,2.5,3,39.4,47.03
Jabrayil,2020-01-12,7.5,0.1,3.4,0.0,0.0,0.0,10.5,22.3,70,1019.2,69,8.58,4.2,3,39.4,47.03
Jabrayil,2020-01-13,5.6,0.8,3.0,5.4,3.9,1.05,8.0,33.5,88,1022.3,95,4.02,3.0,73,39.4,47.03
Jabrayil,2020-01-14,7.6,0.8,3.4,0.0,0.0,0.0,12.0,24.8,63,1027.8,8,10.2,4.6,1,39.4,47.03
Jabrayil,2020-01-15,5.6,-1.8,1.8,0.0,0.0,0.0,13.2,32.0,69,1028.6,82,8.66,1.8,3,39.4,47.03
Jabrayil,2020-01-16,0.9,0.2,0.5,8.6,0.0,6.02,14.0,31.0,94,1036.3,98,2.12,-2.2,73,39.4,47.03
Jabrayil,2020-01-17,4.0,-3.0,0.7,0.8,0.0,0.56,7.6,22.0,89,1028.6,81,8.17,0.9,71,39.4,47.03
Jabrayil,2020-01-18,5.5,-0.3,2.4,0.1,0.1,0.0,10.7,22.7,72,1021.9,86,8.29,2.4,51,39.4,47.03
Jabrayil,2020-01-19,1.3,-0.7,-0.1,5.3,0.0,3.71,19.0,41.0,91,1026.7,100,3.14,-2.6,73,39.4,47.03
Jabrayil,2020-01-20,2.1,-0.6,0.3,0.5,0.0,0.35,10.0,21.6,91,1029.6,92,4.92,-1.1,71,39.4,47.03
Jabrayil,2020-01-21,3.8,-2.3,0.5,0.0,0.0,0.0,8.0,20.5,82,1027.2,44,9.26,0.4,3,39.4,47.03
Jabrayil,2020-01-22,6.2,-0.3,2.3,0.0,0.0,0.0,10.7,27.4,67,1022.9,3,10.92,3.1,0,39.4,47.03
Jabrayil,2020-01-23,9.3,-0.5,3.8,0.0,0.0,0.0,16.0,37.8,50,1011.8,16,11.18,4.7,3,39.4,47.03
Jabrayil,2020-01-24,6.0,-1.3,1.1,1.9,0.0,1.33,9.2,22.3,67,1020.3,86,4.49,2.7,73,39.4,47.03
Jabrayil,2020-01-25,3.6,-1.9,0.4,0.0,0.0,0.0,9.1,25.9,64,1028.7,19,11.01,-0.3,2,39.4,47.03
Jabrayil,2020-01-26,10.3,-1.0,4.3,0.0,0.0,0.0,13.0,27.4,33,1021.3,12,11.58,5.5,3,39.4,47.03
Jabrayil,2020-01-27,7.6,0.3,3.9,0.0,0.0,0.0,11.0,22.7,40,1027.1,4,11.47,3.7,2,39.4,47.03
Jabrayil,2020-01-28,9.0,0.4,4.5,0.0,0.0,0.0,10.0,23.4,34,1021.3,30,10.89,4.8,3,39.4,47.03
