city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Jalilabad,2020-01-01,12.5,3.4,7.0,0.0,0.0,0.0,8.8,17.6,79,1014.3,29,8.73,10.4,3,39.21,48.49
Jalilabad,2020-01-02,11.2,2.7,7.8,2.1,2.1,0.0,14.2,27.7,79,1019.6,46,8.63,8.9,53,39.21,48.49
Jalilabad,2020-01-03,6.6,5.5,6.0,3.5,3.5,0.0,8.8,18.4,90,1026.6,100,1.1,4.7,51,39.21,48.49
Jalilabad,2020-01-04,6.0,5.2,5.6,14.2,14.2,0.0,15.3,29.2,91,1020.7,100,1.08,3.7,61,39.21,48.49
Jalilabad,2020-01-05,8.1,2.3,5.8,9.7,9.7,0.0,17.2,31.3,87,1015.2,72,2.84,6.0,61,39.21,48.49
Jalilabad,2020-01-06,10.4,0.4,4.5,0.0,0.0,0.0,8.8,17.3,85,1022.0,20,8.11,8.4,3,39.21,48.49
Jalilabad,2020-01-07,10.3,1.4,5.3,0.0,0.0,0.0,8.1,19.8,80,1022.3,17,8.44,8.2,2,39.21,48.49
Jalilabad,2020-01-08,10.7,1.6,6.3,0.2,0.2,0.0,8.2,17.3,81,1017.3,56,8.4,9.0,51,39.21,48.49
Jalilabad,2020-01-09,8.5,4.7,6.6,19.5,19.5,0.0,12.4,23.4,89,1017.3,96,2.1,6.1,61,39.21,48.49
Jalilabad,2020-01-10,9.1,0.2,4.9,0.1,0.1,0.0,9.2,20.5,83,1020.6,52,8.58,6.8,51,39.21,48.49
Jalilabad,2020-01-11,10.5,1.8,5.6,0.1,0.1,0.0,9.8,19.8,82,1023.5,54,8.07,8.2,51,39.21,48.49
Jalilabad,2020-01-12,10.1,-1.0,4.5,0.0,0.0,0.0,9.3,16.9,74,1019.4,52,8.98,7.6,3,39.21,48.49
Jalilabad,2020-01-13,7.8,3.8,6.1,5.5,5.5,0.0,10.5,20.9,85,1022.0,96,2.26,6.5,53,39.21,48.49
Jalilabad,2020-01-14,9.5,-0.6,4.5,0.0,0.0,0.0,13.8,24.1,80,1028.4,5,9.92,6.9,1,39.21,48.49
Jalilabad,2020-01-15,8.6,0.9,5.0,1.1,1.1,0.0,8.2,19.4,80,1028.7,90,6.51,6.1,51,39.21,48.49
Jalilabad,2020-01-16,5.6,4.4,5.1,12.9,12.9,0.0,8.0,15.1,89,1035.9,100,1.26,3.7,61,39.21,48.49
Jalilabad,2020-01-17,5.2,4.2,4.7,6.3,6.3,0.0,13.8,27.0,91,1028.1,99,1.63,2.5,53,39.21,48.49
Jalilabad,2020-01-18,7.8,3.8,5.2,0.1,0.1,0.0,17.0,37.4,76,1022.7,96,6.31,3.8,51,39.21,48.49
Jalilabad,2020-01-19,4.8,3.2,3.9,9.1,9.1,0.0,9.2,19.1,87,1026.9,100,1.85,2.7,53,39.21,48.49
Jalilabad,2020-01-20,5.2,2.2,3.4,1.8,1.8,0.0,4.4,14.0,84,1029.9,91,4.1,2.5,51,39.21,48.49
Jalilabad,2020-01-21,9.4,0.1,3.9,0.0,0.0,0.0,12.0,26.3,76,1027.1,54,8.92,5.3,3,39.21,48.49
Jalilabad,2020-01-22,9.9,-1.7,3.5,0.0,0.0,0.0,9.8,19.8,70,1022.9,4,10.48,7.3,1,39.21,48.49
Jalilabad,2020-01-23,10.8,-2.0,4.2,0.0,0.0,0.0,15.9,27.4,65,1011.9,4,10.67,8.5,2,39.21,48.49
Jalilabad,2020-01-24,9.3,2.1,5.4,0.0,0.0,0.0,16.9,34.2,64,1019.9,84,6.87,5.3,3,39.21,48.49
Jalilabad,2020-01-25,7.1,-2.2,2.3,0.0,0.0,0.0,8.8,18.4,69,1029.0,10,10.94,3.9,2,39.21,48.49
Jalilabad,2020-01-26,12.6,-1.9,3.7,0.0,0.0,0.0,11.1,19.4,59,1021.9,0,11.17,9.9,0,39.21,48.49
Jalilabad,2020-01-27,11.8,-0.7,4.2,0.0,0.0,0.0,10.9,20.9,71,1027.3,9,10.13,9.3,2,39.21,48.49
Jalilabad,2020-01-28,10.1,0.1,5.2,0.0,0.0,0.0,7.8,19.8,63,1022.1,12,11.21,7.3,1,39.21,48.49
Jalilabad,2020-01-29,11.6,2.0,6.0,0.0,0.0,0.0,6.5,15.5,63,1015.5,53,8.99,9.8,3,39.21,48.49
Jalilabad,2020-01-30,14.9,1.0,7.4,0.0,0.0,0.0,11.3,22.3,64,1014.0,15,11.45,11.9,3,39.21,48.49
Jalilabad,2020-01-31,16.4,3.2,9.8,0.0,0.0,0.0,8.6,17.6,60,1007.5,68,11.07,14.6,3,39.21,48.49
Jalilabad,2020-02-01,6.2,3.5,5.2,8.1,8.1,0.0,12.0,26.6,88,1012.0,92,2.26,3.6,61,39.21,48.49
Jalilabad,2020-02-02,10.4,1.3,6.3,1.9,1.9,0.0,16.6,29.5,72,1019.4,51,11.01,7.5,53,39.21,48.49
Jalilabad,2020-02-03,13.6,-0.2,5.5,0.0,0.0,0.0,10.0,22.7,67,1016.2,3,12.03,10.5,2,39.21,48.49
Jalilabad,2020-02-04,18.5,3.7,11.3,0.0,0.0,0.0,18.1,33.1,45,1005.8,54,11.79,16.1,3,39.21,48.49
Jalilabad,2020-02-05,13.6,2.9,8.3,0.1,0.1,0.0,14.6,32.0,82,1015.6,36,11.14,11.7,51,39.21,48.49
Jalilabad,2020-02-06,17.8,3.1,10.2,0.0,0.0,0.0,9.2,21.2,69,1011.3,0,12.28,16.4,0,39.21,48.49
Jalilabad,2020-02-07,21.8,8.0,15.8,0.0,0.0,0.0,17.8,33.1,52,1004.3,3,12.09,21.8,1,39.21,48.49
Jalilabad,2020-02-08,11.7,6.4,8.8,1.8,1.8,0.0,18.6,38.2,80,1004.1,87,7.12,8.8,51,39.21,48.49
Jalilabad,2020-02-09,5.4,-1.0,1.8,8.7,4.0,3.29,18.3,48.2,76,1017.8,91,4.07,1.5,73,39.21,48.49
Jalilabad,2020-02-10,3.5,-1.5,0.6,0.7,0.0,0.49,14.2,30.6,59,1028.0,97,6.08,-1.0,71,39.21,48.49
Jalilabad,2020-02-11,6.6,-3.3,1.0,0.0,0.0,0.0,14.6,32.0,56,1022.8,51,12.11,2.0,3,39.21,48.49
