city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Julfa,2020-01-01,8.5,-0.0,3.4,1.8,1.6,0.14,9.0,17.3,74,1016.0,46,8.25,5.8,71
Julfa,2020-01-02,8.3,-0.5,3.1,0.0,0.0,0.0,7.7,15.1,72,1020.2,25,8.13,5.6,2
Julfa,2020-01-03,6.6,-1.8,2.3,0.0,0.0,0.0,6.7,13.3,75,1023.8,49,7.78,4.2,3
Julfa,2020-01-04,7.1,-2.6,1.2,0.6,0.6,0.0,6.4,14.0,81,1018.9,81,7.22,4.2,51
Julfa,2020-01-05,7.5,-1.4,1.9,0.8,0.1,0.49,8.6,16.6,84,1016.5,53,8.37,4.9,71
Julfa,2020-01-06,7.0,-1.8,1.2,0.0,0.0,0.0,9.4,17.3,79,1023.8,19,9.27,4.0,1
Julfa,2020-01-07,8.7,-1.4,2.0,0.0,0.0,0.0,10.0,20.9,73,1025.1,26,9.32,5.4,3
Julfa,2020-01-08,7.9,-1.0,1.8,0.1,0.1,0.0,8.9,18.7,73,1019.6,74,7.56,4.6,51
Julfa,2020-01-09,5.4,-1.2,1.5,0.5,0.0,0.35,6.4,11.2,75,1018.2,92,6.83,2.7,71
Julfa,2020-01-10,6.7,-0.9,2.6,0.0,0.0,0.0,4.8,13.7,64,1019.9,47,8.43,3.6,3
Julfa,2020-01-11,6.9,-0.8,2.4,0.0,0.0,0.0,9.8,18.7,57,1023.1,29,9.55,3.0,3
Julfa,2020-01-12,7.3,-3.1,1.3,0.0,0.0,0.0,9.5,18.4,54,1021.5,66,9.04,3.5,3
Julfa,2020-01-13,3.1,-0.6,0.8,7.1,0.1,4.9,8.7,18.4,82,1022.7,96,3.16,0.3,73
Julfa,2020-01-14,6.2,-2.4,0.5,0.0,0.0,0.0,7.2,17.3,62,1031.2,14,10.65,2.1,2
Julfa,2020-01-15,6.6,-4.2,-0.2,0.0,0.0,0.0,8.4,16.9,64,1030.3,53,10.05,2.8,3
Julfa,2020-01-16,4.2,-4.8,-1.1,0.0,0.0,0.0,7.8,14.0,70,1033.5,44,8.13,0.9,2
Julfa,2020-01-17,6.0,-3.0,0.2,1.5,0.0,1.05,6.8,15.5,76,1028.3,75,7.12,2.7,73
Julfa,2020-01-18,4.3,-3.2,-0.2,0.6,0.0,0.42,6.2,13.7,63,1023.6,87,9.47,0.9,71
Julfa,2020-01-19,3.0,-2.0,-0.3,2.5,0.0,1.75,6.6,14.4,77,1024.3,88,5.91,-0.2,73
Julfa,2020-01-20,5.5,-2.6,0.3,0.0,0.0,0.0,8.3,15.5,77,1028.0,56,9.12,2.7,3
Julfa,2020-01-21,4.9,-1.1,1.0,0.0,0.0,0.0,5.6,19.8,74,1026.6,61,7.42,1.5,3
Julfa,2020-01-22,5.1,-2.4,0.3,0.0,0.0,0.0,9.8,22.0,65,1024.8,11,11.08,0.7,1
Julfa,2020-01-23,6.0,-4.0,0.7,0.0,0.0,0.0,11.6,29.2,52,1016.6,18,11.56,1.1,3
Julfa,2020-01-24,4.1,-0.6,1.5,1.5,0.0,1.05,10.8,25.9,55,1019.5,87,3.66,0.2,73
Julfa,2020-01-25,3.8,-4.7,-1.7,0.0,0.0,0.0,10.7,24.1,38,1030.3,4,11.94,-1.2,0
Julfa,2020-01-26,6.1,-5.5,-1.0,0.0,0.0,0.0,9.3,23.8,45,1028.2,18,12.03,1.4,3
Julfa,2020-01-27,8.1,-5.2,1.0,0.0,0.0,0.0,8.1,16.2,44,1028.7,11,12.02,4.1,3
Julfa,2020-01-28,8.2,-4.0,1.2,0.0,0.0,0.0,10.5,24.8,54,1026.0,26,11.33,3.5,3
Julfa,2020-01-29,8.0,-3.6,1.7,0.0,0.0,0.0,8.8,17.3,58,1020.5,61,8.65,4.4,3
Julfa,2020-01-30,10.7,-1.9,3.6,0.0,0.0,0.0,10.1,21.6,56,1019.5,26,11.7,6.9,3
Julfa,2020-01-31,11.9,-0.2,6.1,0.0,0.0,0.0,9.0,21.2,55,1011.1,77,10.24,9.1,3
Julfa,2020-02-01,6.5,1.2,3.4,5.9,3.7,1.54,14.4,34.2,79,1008.9,92,4.98,3.6,73
Julfa,2020-02-02,6.8,-1.8,2.4,0.1,0.1,0.0,10.8,25.6,57,1021.8,19,12.76,2.0,51
Julfa,2020-02-03,9.0,-2.5,2.5,0.0,0.0,0.0,9.9,25.2,55,1022.3,10,12.89,4.8,3
Julfa,2020-02-04,9.1,-1.6,3.6,0.0,0.0,0.0,12.3,31.3,55,1014.2,67,7.48,5.4,3
Julfa,2020-02-05,12.4,0.7,6.3,0.0,0.0,0.0,10.7,25.2,60,1016.4,54,8.81,9.7,3
Julfa,2020-02-06,15.2,2.0,7.5,0.0,0.0,0.0,14.2,34.6,56,1018.4,5,13.1,11.2,2
