city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Kalbajar,2020-01-01,6.0,-4.8,-0.6,0.2,0.0,0.14,6.6,22.7,54,1014.2,33,8.22,2.4,71,40.1,46.04
Kalbajar,2020-01-02,5.1,-5.8,-1.3,3.4,0.0,2.38,8.9,28.4,57,1019.7,44,7.93,1.3,73,40.1,46.04
Kalbajar,2020-01-03,-0.9,-3.2,-2.0,3.8,0.0,2.66,10.3,31.3,93,1026.1,99,3.99,-3.6,73,40.1,46.04
Kalbajar,2020-01-04,0.1,-5.1,-2.4,0.4,0.0,0.28,4.6,16.9,83,1021.2,96,7.03,-3.1,71,40.1,46.04
Kalbajar,2020-01-05,3.5,-10.7,-3.6,0.3,0.0,0.21,8.4,24.5,68,1014.2,62,9.3,0.6,71,40.1,46.04
Kalbajar,2020-01-06,4.2,-11.4,-5.2,0.0,0.0,0.0,6.5,26.6,57,1021.2,1,10.25,0.7,0,40.1,46.04
Kalbajar,2020-01-07,6.7,-11.1,-4.2,0.0,0.0,0.0,6.3,29.2,59,1020.8,34,9.72,3.8,3,40.1,46.04
Kalbajar,2020-01-08,4.1,-8.7,-2.8,0.0,0.0,0.0,5.8,25.6,55,1017.0,86,8.1,0.5,3,40.1,46.04
Kalbajar,2020-01-09,2.2,-8.7,-2.8,0.0,0.0,0.0,7.1,16.6,67,1016.5,92,5.96,-0.6,3,40.1,46.04
Kalbajar,2020-01-10,2.6,-12.5,-4.8,2.5,0.0,1.75,8.0,24.8,74,1019.7,51,8.56,-0.7,73,40.1,46.04
Kalbajar,2020-01-11,2.3,-14.1,-6.3,0.0,0.0,0.0,7.5,29.5,64,1022.3,39,8.72,-1.7,3,40.1,46.04
Kalbajar,2020-01-12,5.8,-12.3,-3.4,0.0,0.0,0.0,8.3,31.7,62,1017.4,70,8.49,2.4,3,40.1,46.04
Kalbajar,2020-01-13,0.2,-12.3,-3.2,7.2,0.1,4.97,7.2,21.2,73,1021.8,71,7.9,-2.8,75,40.1,46.04
Kalbajar,2020-01-14,5.0,-14.2,-5.6,0.0,0.0,0.0,7.8,29.5,53,1026.9,7,11.08,1.3,1,40.1,46.04
Kalbajar,2020-01-15,3.4,-10.8,-4.2,0.0,0.0,0.0,6.5,26.3,57,1026.1,76,9.78,0.1,3,40.1,46.04
Kalbajar,2020-01-16,-2.8,-9.4,-5.3,3.2,0.0,2.24,8.9,30.2,79,1036.2,87,5.41,-6.8,73,40.1,46.04
Kalbajar,2020-01-17,-1.3,-11.9,-4.8,1.5,0.0,1.05,6.8,24.8,75,1028.5,42,10.12,-5.1,73,40.1,46.04
Kalbajar,2020-01-18,-1.3,-15.3,-8.3,0.0,0.0,0.0,8.2,30.6,58,1022.3,15,11.6,-5.0,2,40.1,46.04
Kalbajar,2020-01-19,-4.3,-9.9,-6.8,0.4,0.0,0.28,6.8,13.3,83,1027.1,90,7.06,-7.8,71,40.1,46.04
Kalbajar,2020-01-20,-1.3,-12.0,-4.8,0.0,0.0,0.0,7.0,19.4,78,1027.8,45,10.05,-5.0,3,40.1,46.04
Kalbajar,2020-01-21,0.5,-12.9,-7.8,0.0,0.0,0.0,7.9,22.0,62,1025.0,11,11.6,-3.2,1,40.1,46.04
Kalbajar,2020-01-22,1.4,-14.8,-8.0,0.0,0.0,0.0,7.2,26.3,63,1022.7,18,11.94,-2.3,3,40.1,46.04
Kalbajar,2020-01-23,4.1,-15.8,-6.8,0.0,0.0,0.0,9.0,39.2,61,1011.6,19,11.98,-0.1,3,40.1,46.04
Kalbajar,2020-01-24,-1.8,-8.9,-5.4,1.9,0.0,1.33,5.9,27.0,68,1019.1,81,6.06,-5.6,73,40.1,46.04
Kalbajar,2020-01-25,0.4,-19.3,-10.2,0.0,0.0,0.0,8.3,32.4,57,1027.0,2,12.35,-3.4,0,40.1,46.04
Kalbajar,2020-01-26,4.8,-10.4,-4.8,0.0,0.0,0.0,9.8,43.2,55,1020.4,11,12.41,0.5,2,40.1,46.04
Kalbajar,2020-01-27,3.3,-11.6,-5.4,0.0,0.0,0.0,8.1,25.9,56,1025.8,0,12.27,0.4,0,40.1,46.04
Kalbajar,2020-01-28,7.2,-14.1,-4.9,0.0,0.0,0.0,7.0,29.5,63,1020.2,40,10.95,3.9,3,40.1,46.04
Kalbajar,2020-01-29,7.0,-7.5,-2.0,0.0,0.0,0.0,8.1,33.1,65,1015.2,85,11.18,3.4,3,40.1,46.04
Kalbajar,2020-01-30,5.2,-9.4,-2.3,0.0,0.0,0.0,9.5,38.5,61,1016.3,24,11.9,1.5,3,40.1,46.04
Kalbajar,2020-01-31,6.3,-4.9,2.2,0.0,0.0,0.0,7.7,34.2,57,1008.7,84,11.95,3.1,3,40.1,46.04
Kalbajar,2020-02-01,1.8,-2.5,-1.3,8.0,0.0,5.6,7.7,30.2,86,1010.5,98,4.3,-1.6,73,40.1,46.04
Kalbajar,2020-02-02,1.4,-9.4,-4.5,0.0,0.0,0.0,12.2,46.8,65,1018.9,24,13.13,-3.3,3,40.1,46.04
Kalbajar,2020-02-03,6.1,-11.8,-4.4,0.0,0.0,0.0,8.9,39.2,62,1017.1,13,13.37,2.5,2,40.1,46.04
Kalbajar,2020-02-04,3.9,-8.2,-1.7,0.1,0.0,0.07,16.9,76.3,62,1008.7,58,11.18,-1.2,71,40.1,46.04
Kalbajar,2020-02-05,7.2,-2.7,2.8,0.0,0.0,0.0,6.3,41.8,58,1013.6,66,10.89,4.3,3,40.1,46.04
Kalbajar,2020-02-06,10.0,-2.6,3.9,0.0,0.0,0.0,11.5,59.8,62,1012.1,46,13.26,6.9,3,40.1,46.04
Kalbajar,2020-02-07,7.9,-4.3,4.1,0.5,0.4,0.07,10.8,55.8,61,1005.7,63,5.57,5.6,71,40.1,46.04
Kalbajar,2020-02-08,4.5,-3.0,0.8,11.2,0.0,7.84,7.0,31.0,79,1003.0,76,9.49,1.3,75,40.1,46.04
Kalbajar,2020-02-09,-2.9,-11.5,-7.1,14.1,0.0,9.87,11.3,42.1,75,1016.2,97,7.2,-6.5,75,40.1,46.04
Kalbajar,2020-02-10,-8.9,-12.1,-10.6,2.9,0.1,2.03,8.8,32.8,78,1028.9,97,11.24,-13.7,73,40.1,46.04
Kalbajar,2020-02-11,-3.4,-18.1,-12.1,0.3,0.0,0.21,9.1,34.9,60,1023.3,24,15.23,-8.0,71,40.1,46.04
Kalbajar,2020-02-12,0.5,-17.2,-8.2,0.0,0.0,0.0,16.2,68.4,51,1016.0,26,14.3,-4.1,3,40.1,46.04
Kalbajar,2020-02-13,1.7,-9.5,-3.9,1.4,0.0,0.98,7.1,40.0,61,1019.7,90,9.44,-2.3,73,40.1,46.04
Kalbajar,2020-02-14,-1.9,-12.9,-5.3,1.3,0.0,0.91,12.8,54.7,54,1027.4,53,14.05,-6.3,73,40.1,46.04
Kalbajar,2020-02-15,-1.1,-19.3,-9.2,0.0,0.0,0.0,7.1,27.4,51,1032.1,66,13.0,-5.3,3,40.1,46.04
Kalbajar,2020-02-16,2.0,-8.2,-2.3,0.0,0.0,0.0,6.2,18.7,56,1027.5,78,14.36,-1.0,3,40.1,46.04
