city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Kangarli,2020-01-01,6.4,-1.9,2.0,0.6,0.3,0.21,11.9,20.2,73,1016.8,41,8.79,3.1,73
Kangarli,2020-01-02,7.5,-0.6,2.4,0.0,0.0,0.0,10.0,18.4,67,1020.8,28,9.24,3.8,3
Kangarli,2020-01-03,6.6,-1.0,1.8,0.0,0.0,0.0,13.0,22.0,79,1024.1,61,7.53,3.8,3
Kangarli,2020-01-04,5.2,-2.3,0.8,0.1,0.0,0.07,15.8,29.2,85,1019.1,88,6.85,2.3,71
Kangarli,2020-01-05,5.9,-1.5,1.2,0.0,0.0,0.0,11.9,21.2,81,1016.9,48,8.1,2.9,3
Kangarli,2020-01-06,6.0,-3.0,0.6,0.0,0.0,0.0,10.7,15.1,76,1024.4,24,9.0,3.3,1
Kangarli,2020-01-07,6.9,-3.5,0.8,0.0,0.0,0.0,12.9,20.9,77,1025.9,47,9.06,3.2,3
Kangarli,2020-01-08,5.6,-2.3,0.4,0.0,0.0,0.0,11.7,16.9,75,1020.6,86,7.79,2.9,3
Kangarli,2020-01-09,4.9,-2.7,0.5,0.0,0.0,0.0,10.7,17.6,68,1018.4,91,7.8,1.7,3
Kangarli,2020-01-10,5.8,-2.7,1.1,0.0,0.0,0.0,16.6,28.4,61,1020.1,31,9.53,0.9,2
Kangarli,2020-01-11,5.8,-2.7,0.8,0.0,0.0,0.0,14.0,27.7,57,1023.4,27,10.41,1.1,3
Kangarli,2020-01-12,5.9,-4.6,-0.1,0.0,0.0,0.0,9.4,15.8,59,1022.5,63,8.85,1.9,3
Kangarli,2020-01-13,3.4,-2.4,0.2,2.5,0.3,1.54,11.3,19.1,77,1022.6,78,4.9,-0.0,73
Kangarli,2020-01-14,4.8,-4.0,-0.3,0.0,0.0,0.0,8.7,14.0,54,1031.8,7,10.61,1.0,2
Kangarli,2020-01-15,4.3,-5.8,-1.2,0.0,0.0,0.0,9.8,15.5,53,1031.2,54,9.97,0.5,3
Kangarli,2020-01-16,3.8,-5.2,-1.1,0.0,0.0,0.0,8.3,15.5,58,1034.0,41,8.47,0.3,3
Kangarli,2020-01-17,5.3,-3.7,-0.6,0.0,0.0,0.0,11.3,18.7,69,1028.5,53,10.38,1.7,3
Kangarli,2020-01-18,3.3,-5.4,-1.9,0.0,0.0,0.0,11.5,20.5,59,1024.0,65,10.29,-0.4,3
Kangarli,2020-01-19,3.7,-3.3,-1.0,0.3,0.0,0.21,9.0,13.3,71,1024.3,84,7.75,0.4,71
Kangarli,2020-01-20,5.2,-2.8,-0.1,0.0,0.0,0.0,9.7,16.9,77,1028.1,67,9.2,1.9,3
Kangarli,2020-01-21,4.7,-3.3,-0.4,0.0,0.0,0.0,11.2,20.5,72,1026.5,17,10.72,1.6,2
Kangarli,2020-01-22,4.6,-3.8,-0.5,0.0,0.0,0.0,15.8,28.8,59,1024.8,9,11.36,-0.4,2
Kangarli,2020-01-23,5.8,-5.1,-0.4,0.0,0.0,0.0,13.2,26.3,55,1016.9,21,11.37,1.0,3
Kangarli,2020-01-24,3.5,-2.7,0.4,0.8,0.0,0.56,28.7,50.0,55,1020.2,90,6.31,-3.5,73
Kangarli,2020-01-25,2.8,-5.8,-1.8,0.0,0.0,0.0,12.8,25.2,36,1030.8,1,11.9,-1.9,0
Kangarli,2020-01-26,4.4,-7.3,-1.8,0.0,0.0,0.0,4.9,14.8,38,1029.3,23,11.93,0.4,3
Kangarli,2020-01-27,6.5,-4.3,-0.2,0.0,0.0,0.0,9.7,14.4,41,1029.4,7,11.9,2.6,3
Kangarli,2020-01-28,5.8,-6.3,-0.6,0.0,0.0,0.0,9.3,21.2,48,1026.6,38,11.47,1.3,3
Kangarli,2020-01-29,5.9,-3.2,0.6,0.0,0.0,0.0,9.0,15.5,55,1021.4,63,8.9,2.4,3
