city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Khachmaz,2020-01-01,9.9,-0.6,4.4,0.0,0.0,0.0,9.6,21.2,89,1013.7,27,7.56,7.5,3
Khachmaz,2020-01-02,6.9,2.8,5.4,0.8,0.8,0.0,17.1,33.1,84,1021.2,97,1.81,3.8,51
Khachmaz,2020-01-03,4.4,2.9,3.6,2.0,2.0,0.0,11.8,22.7,89,1027.5,99,1.9,1.9,51
Khachmaz,2020-01-04,9.4,2.7,4.8,0.2,0.2,0.0,10.7,23.0,84,1019.9,64,5.75,6.8,51
Khachmaz,2020-01-05,9.4,1.9,4.6,0.0,0.0,0.0,10.0,22.3,80,1015.5,45,6.56,6.9,3
Khachmaz,2020-01-06,8.9,1.1,4.6,0.0,0.0,0.0,10.2,23.4,85,1022.0,58,5.69,6.4,3
Khachmaz,2020-01-07,10.3,1.9,6.2,0.0,0.0,0.0,13.8,32.0,82,1019.3,75,6.21,7.8,3
Khachmaz,2020-01-08,10.9,0.3,5.4,0.0,0.0,0.0,11.8,25.9,76,1017.2,66,5.84,8.0,3
Khachmaz,2020-01-09,8.9,4.8,6.6,1.1,1.1,0.0,17.1,33.8,82,1017.7,100,2.61,5.1,51
Khachmaz,2020-01-10,6.1,2.9,4.8,2.5,2.5,0.0,12.6,27.4,90,1021.4,97,3.01,3.7,51
Khachmaz,2020-01-11,5.6,1.5,3.6,1.1,1.1,0.0,11.1,21.6,88,1023.9,93,2.48,2.9,51
Khachmaz,2020-01-12,8.9,-1.1,3.3,0.0,0.0,0.0,10.1,15.8,88,1017.4,67,7.2,6.1,3
Khachmaz,2020-01-13,5.1,2.4,4.0,3.6,3.6,0.0,17.7,34.2,87,1023.6,99,1.48,1.7,53
Khachmaz,2020-01-14,8.9,-1.8,2.9,0.0,0.0,0.0,11.1,23.4,78,1028.2,21,8.72,6.0,2
Khachmaz,2020-01-15,4.3,0.4,3.0,8.7,8.7,0.0,14.1,27.0,90,1030.7,99,1.19,0.7,55
