city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Khankendi,2020-01-01,7.1,1.5,4.5,1.2,1.2,0.0,7.6,22.7,74,1014.5,35,7.91,4.2,51
Khankendi,2020-01-02,6.3,0.7,3.3,4.0,1.8,1.54,6.7,22.0,82,1019.7,50,6.56,3.8,73
Khankendi,2020-01-03,2.4,0.4,1.3,5.8,0.0,4.06,6.7,18.4,90,1026.6,82,3.4,0.1,73
Khankendi,2020-01-04,2.0,0.2,1.0,0.2,0.1,0.07,6.2,18.4,96,1021.3,92,3.95,-0.7,71
Khankendi,2020-01-05,5.4,-1.4,1.6,0.2,0.0,0.14,6.8,20.5,74,1015.2,62,9.42,2.2,71
Khankendi,2020-01-06,6.1,-0.5,2.4,0.0,0.0,0.0,8.1,23.0,74,1021.4,6,9.58,3.0,1
Khankendi,2020-01-07,7.4,-0.4,3.7,0.0,0.0,0.0,7.3,21.2,55,1021.5,36,9.5,4.2,3
Khankendi,2020-01-08,9.1,4.5,6.4,0.0,0.0,0.0,8.3,23.4,45,1016.2,89,7.71,5.2,3
Khankendi,2020-01-09,5.6,0.2,2.8,0.0,0.0,0.0,6.9,20.9,65,1017.0,88,6.97,2.5,3
Khankendi,2020-01-10,3.7,-0.9,1.3,0.7,0.0,0.49,6.9,21.6,84,1020.4,64,7.65,0.6,71
Khankendi,2020-01-11,4.5,0.1,1.9,1.9,0.0,1.33,11.3,28.8,83,1023.3,81,7.01,1.3,73
Khankendi,2020-01-12,6.4,-1.8,2.0,0.0,0.0,0.0,7.9,19.8,75,1019.3,72,8.16,3.4,3
Khankendi,2020-01-13,2.6,-3.2,1.0,8.8,0.1,6.09,8.0,22.7,88,1022.2,86,4.94,-0.1,75
Khankendi,2020-01-14,6.5,-4.4,0.4,0.0,0.0,0.0,7.3,22.7,62,1027.6,6,10.25,3.4,1
Khankendi,2020-01-15,5.5,-2.4,1.3,0.0,0.0,0.0,8.2,23.4,42,1028.2,67,8.23,1.7,3
Khankendi,2020-01-16,1.7,-1.1,0.1,5.0,0.0,3.5,9.3,25.6,78,1035.6,94,3.24,-2.0,73
Khankendi,2020-01-17,2.4,-2.0,0.3,0.5,0.0,0.35,9.2,22.0,79,1028.3,62,6.13,-0.7,71
Khankendi,2020-01-18,5.1,-4.6,0.2,0.0,0.0,0.0,8.3,23.8,64,1021.8,30,10.29,1.4,3
Khankendi,2020-01-19,0.7,-1.6,-0.7,1.7,0.0,1.19,10.2,28.4,81,1026.3,98,3.38,-3.6,71
