city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Khizi,2020-01-01,7.0,-0.3,2.5,0.0,0.0,0.0,7.4,22.7,73,1013.3,8,8.43,3.8,2
Khizi,2020-01-02,3.3,0.2,1.5,1.2,1.2,0.0,13.6,37.4,85,1020.9,87,3.62,-0.5,51
Khizi,2020-01-03,0.6,-0.3,-0.0,5.3,1.3,2.8,9.8,29.5,93,1027.5,100,1.75,-2.8,73
Khizi,2020-01-04,5.6,-1.1,2.0,0.0,0.0,0.0,13.7,40.7,78,1019.3,64,4.88,1.9,3
Khizi,2020-01-05,3.0,-1.1,1.4,1.1,1.1,0.0,5.6,15.5,85,1015.5,83,3.41,0.2,51
Khizi,2020-01-06,5.0,-2.9,0.5,0.0,0.0,0.0,8.9,25.9,87,1022.0,37,7.96,1.8,3
Khizi,2020-01-07,5.0,-2.2,1.3,0.0,0.0,0.0,8.7,24.8,74,1019.3,42,8.23,1.7,3
Khizi,2020-01-08,5.0,-2.7,1.5,0.2,0.2,0.0,6.8,20.5,80,1017.5,60,7.32,1.9,51
Khizi,2020-01-09,5.1,-0.4,1.9,0.9,0.9,0.0,16.9,46.1,88,1017.5,100,4.47,0.4,51
Khizi,2020-01-10,1.3,-0.7,0.4,3.7,3.1,0.42,10.5,28.4,97,1021.4,99,2.09,-1.2,71
Khizi,2020-01-11,0.6,-1.1,-0.5,5.8,0.3,3.85,6.4,17.6,96,1024.0,98,2.18,-2.4,73
Khizi,2020-01-12,5.8,-2.9,1.0,0.0,0.0,0.0,8.4,22.3,70,1016.9,63,8.32,2.8,3
Khizi,2020-01-13,1.0,-2.4,0.1,3.2,2.7,0.35,15.9,47.9,88,1023.2,91,3.42,-2.6,71
Khizi,2020-01-14,4.4,-2.8,0.2,0.0,0.0,0.0,9.7,26.6,82,1028.2,36,8.33,1.0,2
Khizi,2020-01-15,0.9,-2.7,-0.9,6.5,0.4,4.27,16.8,46.4,91,1030.2,95,2.65,-2.9,73
Khizi,2020-01-16,1.1,-1.8,-0.6,4.6,0.0,3.22,9.5,28.8,91,1036.8,96,6.48,-2.5,73
Khizi,2020-01-17,6.2,-2.6,1.8,0.0,0.0,0.0,12.1,40.7,72,1025.2,53,5.98,2.3,3
Khizi,2020-01-18,2.1,-3.0,-0.9,0.0,0.0,0.0,21.3,56.5,72,1023.4,53,7.96,-3.0,3
Khizi,2020-01-19,-0.3,-2.8,-2.1,1.4,0.0,0.98,11.4,37.1,83,1028.1,98,3.78,-4.6,73
Khizi,2020-01-20,1.0,-3.8,-1.8,0.2,0.0,0.14,7.5,24.1,80,1030.1,64,8.5,-2.9,71
Khizi,2020-01-21,1.7,-4.4,-1.9,0.0,0.0,0.0,8.1,24.1,81,1027.2,32,10.05,-2.0,3
Khizi,2020-01-22,3.0,-3.9,-0.9,0.0,0.0,0.0,7.9,23.4,74,1020.3,23,9.8,-0.2,3
Khizi,2020-01-23,8.5,-2.4,1.8,0.2,0.2,0.0,12.0,36.7,52,1007.3,20,10.49,4.7,51
Khizi,2020-01-24,0.7,-4.6,-1.9,7.8,1.1,4.69,15.1,40.7,87,1021.1,98,2.56,-2.0,73
Khizi,2020-01-25,3.8,-6.5,-2.1,0.2,0.0,0.14,8.3,24.1,60,1025.7,34,10.26,-0.0,71
Khizi,2020-01-26,5.8,-4.1,1.0,0.0,0.0,0.0,12.5,30.6,44,1019.6,9,10.68,1.8,2
Khizi,2020-01-27,5.2,-2.0,0.7,0.4,0.4,0.0,8.7,25.2,86,1026.2,60,7.58,2.7,51
Khizi,2020-01-28,6.1,-1.5,2.1,0.0,0.0,0.0,8.7,24.5,68,1020.2,21,10.77,2.3,3
Khizi,2020-01-29,9.0,-2.8,2.8,0.0,0.0,0.0,6.8,21.6,62,1012.7,42,10.7,5.6,3
Khizi,2020-01-30,6.2,-0.8,2.9,0.0,0.0,0.0,7.2,22.3,74,1012.9,26,10.88,3.2,3
Khizi,2020-01-31,6.8,0.6,3.2,0.3,0.3,0.0,12.1,33.8,70,1007.2,77,8.89,3.8,51
Khizi,2020-02-01,0.8,-0.7,0.1,4.7,0.2,3.15,19.7,54.4,87,1013.5,100,2.6,-3.0,73
Khizi,2020-02-02,4.4,-1.2,0.6,1.1,0.0,0.77,7.5,31.7,76,1018.4,45,10.76,1.4,71
Khizi,2020-02-03,13.7,-2.3,5.1,0.0,0.0,0.0,12.2,29.9,46,1010.2,11,11.6,10.3,3
Khizi,2020-02-04,15.5,1.8,5.9,0.1,0.1,0.0,20.9,68.4,58,1001.6,55,10.53,12.7,51
Khizi,2020-02-05,9.7,-0.3,3.7,0.0,0.0,0.0,11.5,37.4,63,1012.1,48,10.62,5.6,3
Khizi,2020-02-06,17.4,5.6,11.7,0.0,0.0,0.0,34.3,95.0,42,1003.4,16,11.94,15.0,3
Khizi,2020-02-07,18.3,3.6,12.6,0.0,0.0,0.0,36.7,99.4,46,1001.5,28,11.93,14.9,3
Khizi,2020-02-08,2.8,-2.0,1.1,3.9,1.2,1.89,21.4,62.6,90,1006.9,99,4.79,-0.4,73
Khizi,2020-02-09,-2.3,-9.2,-6.1,10.6,0.0,7.42,20.0,60.8,74,1020.7,99,4.37,-7.7,75
Khizi,2020-02-10,-4.9,-9.9,-7.7,0.0,0.0,0.0,20.9,57.6,60,1031.3,51,12.14,-11.0,3
Khizi,2020-02-11,0.1,-9.9,-5.3,0.0,0.0,0.0,13.2,37.4,54,1021.6,18,12.99,-5.2,2
Khizi,2020-02-12,2.8,-9.4,-2.7,0.0,0.0,0.0,10.8,31.0,39,1010.3,15,13.67,-1.9,3
Khizi,2020-02-13,5.8,-4.2,0.1,0.0,0.0,0.0,10.5,28.8,60,1017.5,58,11.21,2.4,3
Khizi,2020-02-14,0.4,-4.8,-1.3,4.1,0.1,2.8,13.8,49.0,76,1026.5,76,5.82,-3.8,73
Khizi,2020-02-15,6.4,-5.8,-0.4,0.0,0.0,0.0,19.7,58.7,56,1029.3,55,13.22,1.6,3
Khizi,2020-02-16,4.4,-1.4,1.3,0.3,0.3,0.0,10.9,34.2,79,1029.4,89,11.02,0.5,51
Khizi,2020-02-17,2.9,-0.9,0.5,0.1,0.1,0.0,9.6,27.0,88,1035.2,94,7.23,-0.7,51
Khizi,2020-02-18,9.0,-2.1,2.7,0.0,0.0,0.0,13.2,47.5,66,1027.7,2,13.77,5.3,1
Khizi,2020-02-19,8.0,0.7,5.1,0.0,0.0,0.0,15.5,54.7,63,1018.3,46,13.68,5.4,3
Khizi,2020-02-20,6.9,1.5,4.1,0.2,0.2,0.0,5.9,20.2,75,1015.9,95,3.78,4.1,51
Khizi,2020-02-21,5.4,0.8,2.7,0.1,0.1,0.0,10.2,31.7,88,1018.1,70,11.64,2.2,51
Khizi,2020-02-22,3.5,0.5,1.9,2.3,2.3,0.0,9.0,22.3,96,1021.9,100,3.91,0.5,51
Khizi,2020-02-23,5.2,0.9,2.7,0.8,0.8,0.0,9.4,26.6,94,1020.7,95,8.82,2.3,51
Khizi,2020-02-24,9.2,0.6,3.4,0.8,0.8,0.0,12.7,46.8,84,1013.5,59,9.21,7.3,51
Khizi,2020-02-25,13.7,0.8,6.1,3.0,0.3,1.89,24.6,71.6,52,1006.9,39,13.11,10.4,73
Khizi,2020-02-26,6.3,-0.3,2.7,0.0,0.0,0.0,22.3,59.4,57,1020.2,51,10.44,0.7,3
Khizi,2020-02-27,16.3,1.4,7.8,0.0,0.0,0.0,14.8,37.8,45,1012.3,12,16.08,15.0,2
Khizi,2020-02-28,22.1,5.7,13.4,0.0,0.0,0.0,25.4,70.9,27,1004.4,89,12.55,15.7,3
Khizi,2020-02-29,8.5,1.8,5.7,0.0,0.0,0.0,15.3,53.6,67,1015.1,79,11.94,4.5,3
Khizi,2020-03-01,3.9,0.3,1.8,0.3,0.3,0.0,23.0,66.6,86,1016.5,96,9.09,-0.4,51
Khizi,2020-03-02,2.5,-0.5,1.0,9.4,4.9,3.22,19.5,58.3,74,1024.6,100,3.34,-1.0,73
