city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Khojaly,2020-01-01,8.8,0.6,3.8,0.2,0.2,0.0,7.2,16.2,77,1014.5,34,8.09,6.5,51,39.91,46.79
Khojaly,2020-01-02,7.6,0.3,4.1,2.6,2.6,0.0,6.3,17.6,75,1019.7,40,7.05,5.1,53,39.91,46.79
Khojaly,2020-01-03,3.6,0.9,2.2,3.2,1.6,1.12,7.1,20.9,87,1026.8,86,3.15,0.7,73,39.91,46.79
Khojaly,2020-01-04,2.9,0.3,1.5,0.1,0.1,0.0,3.7,13.7,91,1021.7,94,2.65,0.5,51,39.91,46.79
Khojaly,2020-01-05,7.0,-0.0,2.8,0.0,0.0,0.0,4.6,16.6,74,1015.4,69,9.14,4.3,3,39.91,46.79
Khojaly,2020-01-06,7.2,-1.9,2.6,0.0,0.0,0.0,5.4,19.4,70,1021.8,3,9.27,4.1,1,39.91,46.79
Khojaly,2020-01-07,6.9,-0.8,3.3,0.0,0.0,0.0,6.4,16.2,53,1022.2,32,9.24,3.5,3,39.91,46.79
Khojaly,2020-01-08,10.5,-0.2,5.1,0.0,0.0,0.0,7.1,17.6,46,1016.5,89,7.56,6.9,3,39.91,46.79
Khojaly,2020-01-09,6.8,-0.2,3.4,0.0,0.0,0.0,6.4,19.1,60,1017.2,84,7.02,3.8,3,39.91,46.79
Khojaly,2020-01-10,5.8,-1.6,2.2,0.0,0.0,0.0,5.9,18.4,77,1020.4,51,7.93,3.0,3,39.91,46.79
Khojaly,2020-01-11,5.8,0.8,3.0,0.7,0.3,0.28,10.4,29.5,82,1023.4,75,6.83,2.2,71,39.91,46.79
Khojaly,2020-01-12,6.2,-1.5,2.5,0.0,0.0,0.0,6.2,20.2,72,1019.8,74,7.95,3.1,3,39.91,46.79
Khojaly,2020-01-13,5.0,-1.6,2.7,6.8,3.2,2.52,7.9,20.5,85,1022.0,82,4.5,2.3,73,39.91,46.79
Khojaly,2020-01-14,6.9,-2.9,1.8,0.0,0.0,0.0,6.0,17.3,65,1028.1,1,10.02,3.7,0,39.91,46.79
Khojaly,2020-01-15,5.7,-2.1,1.8,0.0,0.0,0.0,7.7,22.7,51,1028.7,71,8.23,2.0,3,39.91,46.79
Khojaly,2020-01-16,2.9,-0.8,0.9,5.0,0.0,3.57,12.4,37.4,80,1035.8,96,3.2,-1.0,73,39.91,46.79
Khojaly,2020-01-17,2.6,-0.9,0.6,1.6,0.0,1.12,6.8,18.7,88,1028.9,69,5.87,-0.2,73,39.91,46.79
Khojaly,2020-01-18,7.2,-3.8,1.6,0.0,0.0,0.0,9.2,26.3,66,1022.1,23,10.4,3.5,3,39.91,46.79
Khojaly,2020-01-19,1.6,-0.5,0.4,1.2,0.0,0.84,13.2,38.9,84,1026.6,98,3.43,-1.5,71,39.91,46.79
Khojaly,2020-01-20,2.3,-1.0,0.3,0.4,0.0,0.28,6.0,20.5,83,1029.9,89,5.63,-1.1,71,39.91,46.79
Khojaly,2020-01-21,5.3,-1.6,1.0,0.0,0.0,0.0,7.7,22.0,79,1027.1,55,8.55,2.0,3,39.91,46.79
Khojaly,2020-01-22,5.9,-2.7,0.9,0.0,0.0,0.0,5.7,19.8,65,1023.1,15,10.64,3.1,2,39.91,46.79
Khojaly,2020-01-23,7.5,-2.4,1.3,0.0,0.0,0.0,10.4,29.5,57,1012.3,18,10.9,3.3,3,39.91,46.79
Khojaly,2020-01-24,3.9,-1.8,0.9,2.2,0.0,1.54,11.3,34.2,72,1019.7,86,3.06,0.5,73,39.91,46.79
Khojaly,2020-01-25,2.6,-3.2,-0.8,0.0,0.0,0.0,5.8,22.7,68,1029.1,20,10.89,-0.8,2,39.91,46.79
Khojaly,2020-01-26,9.7,-2.8,2.1,0.0,0.0,0.0,10.2,30.6,37,1021.7,9,11.38,5.3,2,39.91,46.79
Khojaly,2020-01-27,8.1,-4.2,1.0,0.0,0.0,0.0,9.5,30.2,47,1027.2,2,11.28,4.1,1,39.91,46.79
