city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Khojavend,2020-01-01,8.4,0.2,4.7,0.6,0.6,0.0,6.5,14.8,75,1014.1,35,7.88,6.4,51
Khojavend,2020-01-02,6.8,-0.7,3.2,1.5,1.5,0.0,10.6,19.8,79,1019.3,39,6.75,4.6,51
Khojavend,2020-01-03,2.4,-0.2,1.5,2.8,2.6,0.14,10.0,22.7,93,1026.6,97,2.69,-0.3,71
Khojavend,2020-01-04,2.8,-0.2,1.1,0.6,0.2,0.28,6.9,15.8,94,1021.5,100,1.98,0.1,71
Khojavend,2020-01-05,6.4,-0.4,2.4,0.0,0.0,0.0,5.5,15.8,82,1015.3,75,9.17,3.8,3
Khojavend,2020-01-06,6.0,-1.1,2.3,0.0,0.0,0.0,6.9,18.4,78,1021.7,1,9.2,3.1,0
Khojavend,2020-01-07,7.8,-0.4,2.9,0.0,0.0,0.0,7.3,13.3,57,1022.0,33,8.99,4.0,3
Khojavend,2020-01-08,8.7,2.0,5.6,0.0,0.0,0.0,6.3,15.5,43,1016.5,87,7.62,5.2,3
Khojavend,2020-01-09,5.2,-0.7,2.3,0.0,0.0,0.0,8.0,17.3,72,1017.2,80,6.5,2.6,3
Khojavend,2020-01-10,5.2,-1.5,1.4,0.0,0.0,0.0,8.3,18.4,80,1020.2,58,7.26,2.2,3
Khojavend,2020-01-11,5.2,0.1,2.1,0.5,0.5,0.0,12.7,30.6,84,1023.3,80,6.74,1.3,51
Khojavend,2020-01-12,5.9,-1.4,1.8,0.0,0.0,0.0,9.4,20.5,77,1019.3,72,8.08,3.5,3
Khojavend,2020-01-13,4.6,0.4,2.8,5.9,4.9,0.7,8.9,37.8,82,1021.8,84,4.47,1.6,73
Khojavend,2020-01-14,5.7,-2.8,1.1,0.0,0.0,0.0,8.4,16.9,71,1028.0,1,9.99,2.9,0
