city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Kurdamir,2020-01-01,11.6,-0.2,5.1,0.0,0.0,0.0,8.0,19.4,85,1014.1,45,8.05,9.1,3
Kurdamir,2020-01-02,11.2,-0.8,4.9,0.1,0.1,0.0,9.5,17.6,84,1019.2,39,7.65,9.0,51
Kurdamir,2020-01-03,6.2,4.1,5.3,5.3,5.3,0.0,6.1,13.3,92,1026.7,98,1.86,4.6,53
Kurdamir,2020-01-04,6.2,4.3,5.1,0.6,0.6,0.0,7.4,16.9,93,1021.2,100,1.66,3.8,51
Kurdamir,2020-01-05,10.5,2.5,5.3,0.6,0.6,0.0,9.4,17.6,83,1015.0,58,6.87,8.3,51
Kurdamir,2020-01-06,9.9,1.0,4.5,0.0,0.0,0.0,7.5,14.8,91,1022.0,54,6.15,8.1,3
Kurdamir,2020-01-07,9.4,-1.4,2.6,0.0,0.0,0.0,8.4,19.4,88,1022.3,48,8.0,6.6,3
Kurdamir,2020-01-08,8.9,-2.0,2.7,0.0,0.0,0.0,5.9,12.2,78,1017.5,64,6.95,6.3,3
Kurdamir,2020-01-09,9.2,-0.4,3.7,0.0,0.0,0.0,9.3,17.3,81,1017.2,85,5.77,6.5,3
Kurdamir,2020-01-10,6.6,-0.9,2.3,0.0,0.0,0.0,8.3,20.5,93,1020.4,91,4.9,3.9,3
Kurdamir,2020-01-11,7.9,1.9,4.2,0.0,0.0,0.0,8.0,16.9,86,1023.5,77,5.3,5.2,3
Kurdamir,2020-01-12,7.9,-1.0,3.2,0.0,0.0,0.0,11.2,26.6,83,1019.3,70,7.57,4.3,3
Kurdamir,2020-01-13,8.8,1.5,4.1,0.0,0.0,0.0,8.1,15.1,81,1021.7,84,5.23,6.4,3
Kurdamir,2020-01-14,10.5,-0.1,3.8,0.0,0.0,0.0,10.1,18.4,81,1028.1,38,9.02,7.2,3
Kurdamir,2020-01-15,7.9,-1.3,2.6,0.0,0.0,0.0,7.6,16.6,86,1029.0,79,5.73,4.9,3
