city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Kutaisi,2020-01-01,7.7,5.8,6.8,23.3,23.3,0.0,17.4,32.0,94,1016.9,98,1.21,5.8,61,42.27,42.7
Kutaisi,2020-01-02,7.3,4.3,5.8,12.6,12.6,0.0,15.6,30.6,92,1023.0,99,3.18,4.5,61,42.27,42.7
Kutaisi,2020-01-03,9.4,3.3,5.3,0.7,0.7,0.0,19.7,36.0,76,1025.0,49,7.76,6.5,51,42.27,42.7
Kutaisi,2020-01-04,10.4,2.9,7.2,0.0,0.0,0.0,29.3,56.2,47,1015.8,60,4.69,4.7,3,42.27,42.7
Kutaisi,2020-01-05,9.2,-0.4,3.2,0.0,0.0,0.0,9.7,18.7,75,1015.6,14,7.11,7.3,2,42.27,42.7
Kutaisi,2020-01-06,13.6,0.2,6.2,0.0,0.0,0.0,25.3,47.2,56,1017.8,42,8.2,9.2,3,42.27,42.7
Kutaisi,2020-01-07,14.2,7.8,9.9,0.0,0.0,0.0,29.0,54.7,40,1017.0,76,7.91,9.4,3,42.27,42.7
Kutaisi,2020-01-08,14.1,5.1,8.7,0.1,0.1,0.0,18.2,34.2,60,1014.5,76,5.67,12.4,51,42.27,42.7
Kutaisi,2020-01-09,6.5,4.9,5.7,18.5,18.5,0.0,20.3,39.6,93,1019.8,99,0.94,4.7,61,42.27,42.7
Kutaisi,2020-01-10,5.3,3.8,4.5,7.1,7.1,0.0,18.8,36.4,94,1023.6,98,1.16,2.2,55,42.27,42.7
Kutaisi,2020-01-11,6.3,1.9,4.3,5.5,5.5,0.0,12.2,25.9,92,1025.8,84,3.67,3.3,55,42.27,42.7
Kutaisi,2020-01-12,4.7,0.9,2.4,25.6,19.6,4.2,11.9,52.6,91,1021.8,93,1.03,2.1,75,42.27,42.7
Kutaisi,2020-01-13,4.2,1.8,3.0,10.1,10.1,0.0,17.0,33.8,95,1026.9,93,1.72,1.4,61,42.27,42.7
Kutaisi,2020-01-14,9.8,-0.4,3.4,0.0,0.0,0.0,11.3,21.2,82,1028.0,55,8.65,7.2,3,42.27,42.7
Kutaisi,2020-01-15,7.1,-0.2,3.6,3.6,3.6,0.0,10.2,23.0,78,1029.3,80,4.67,4.4,53,42.27,42.7
Kutaisi,2020-01-16,10.9,3.7,6.5,0.1,0.1,0.0,31.7,59.0,64,1031.0,25,8.95,4.3,51,42.27,42.7
Kutaisi,2020-01-17,10.5,0.2,5.9,0.0,0.0,0.0,32.0,59.4,54,1024.9,0,9.1,5.7,0,42.27,42.7
Kutaisi,2020-01-18,6.8,-1.1,2.8,0.0,0.0,0.0,11.2,20.5,72,1023.1,68,3.43,4.5,3,42.27,42.7
Kutaisi,2020-01-19,9.7,-1.1,4.4,0.0,0.0,0.0,22.7,42.5,53,1021.7,9,9.3,4.4,1,42.27,42.7
Kutaisi,2020-01-20,10.0,1.1,4.5,0.0,0.0,0.0,17.0,31.7,60,1026.2,3,9.53,6.5,1,42.27,42.7
Kutaisi,2020-01-21,4.9,1.6,3.4,7.1,7.1,0.0,22.9,42.5,88,1029.4,95,1.95,2.3,55,42.27,42.7
Kutaisi,2020-01-22,4.2,1.6,2.9,11.0,9.5,1.05,17.7,32.4,94,1028.4,96,2.42,0.6,73,42.27,42.7
Kutaisi,2020-01-23,3.2,1.4,2.7,18.1,14.0,2.87,21.8,49.0,96,1016.7,100,1.38,0.9,75,42.27,42.7
Kutaisi,2020-01-24,2.7,-3.9,0.5,11.5,3.7,5.46,23.0,45.0,91,1025.5,69,5.15,-2.2,75,42.27,42.7
Kutaisi,2020-01-25,3.2,-4.8,-1.0,0.0,0.0,0.0,12.4,23.8,76,1031.2,52,5.85,-0.5,3,42.27,42.7
Kutaisi,2020-01-26,7.1,-5.3,0.3,0.0,0.0,0.0,14.1,26.6,67,1027.4,11,9.91,4.3,2,42.27,42.7
Kutaisi,2020-01-27,10.6,-1.6,3.2,0.0,0.0,0.0,17.1,31.0,70,1026.3,11,9.94,7.2,3,42.27,42.7
Kutaisi,2020-01-28,14.4,3.8,8.1,0.0,0.0,0.0,19.2,35.3,49,1017.1,84,8.11,10.1,3,42.27,42.7
Kutaisi,2020-01-29,12.2,3.7,7.4,0.0,0.0,0.0,18.1,34.6,62,1015.3,81,6.67,9.7,3,42.27,42.7
Kutaisi,2020-01-30,14.9,4.2,8.8,0.0,0.0,0.0,14.2,26.6,65,1013.3,91,8.24,11.5,3,42.27,42.7
Kutaisi,2020-01-31,10.0,4.2,6.8,14.5,14.5,0.0,24.7,47.9,79,1010.7,100,1.21,5.7,61,42.27,42.7
Kutaisi,2020-02-01,6.4,2.2,4.0,3.2,3.2,0.0,18.9,38.2,94,1016.5,83,4.86,3.2,53,42.27,42.7
Kutaisi,2020-02-02,4.6,-0.3,3.1,3.6,3.6,0.0,9.6,18.7,90,1022.7,94,1.91,2.3,53,42.27,42.7
Kutaisi,2020-02-03,9.4,3.5,6.4,0.5,0.5,0.0,14.8,27.4,79,1017.4,91,2.47,6.6,51,42.27,42.7
Kutaisi,2020-02-04,6.3,3.6,5.3,33.0,33.0,0.0,27.8,52.9,92,1011.1,89,1.3,3.5,63,42.27,42.7
Kutaisi,2020-02-05,11.7,1.4,6.7,0.5,0.5,0.0,26.1,48.2,62,1011.9,85,5.4,5.7,53,42.27,42.7
Kutaisi,2020-02-06,18.8,9.9,13.3,0.0,0.0,0.0,25.4,48.2,48,1008.0,53,10.93,16.0,3,42.27,42.7
Kutaisi,2020-02-07,11.6,4.6,7.0,37.1,37.1,0.0,21.0,41.4,87,1008.5,99,1.32,7.6,63,42.27,42.7
Kutaisi,2020-02-08,4.2,-1.5,1.6,21.6,15.6,4.2,34.9,60.1,85,1012.2,100,3.93,1.5,73,42.27,42.7
Kutaisi,2020-02-09,-0.1,-3.3,-1.9,2.1,0.0,1.47,16.5,35.3,75,1023.6,94,6.94,-4.4,73,42.27,42.7
Kutaisi,2020-02-10,1.8,-6.9,-3.0,0.0,0.0,0.0,12.0,24.1,63,1030.4,21,12.27,-2.6,3,42.27,42.7
Kutaisi,2020-02-11,6.9,-7.2,-1.4,0.0,0.0,0.0,21.7,44.3,47,1020.1,14,12.92,1.3,3,42.27,42.7
Kutaisi,2020-02-12,4.4,-3.1,0.1,28.9,2.4,18.55,16.5,37.1,69,1016.6,94,3.12,0.4,75,42.27,42.7
Kutaisi,2020-02-13,0.8,-0.2,0.3,46.1,1.7,31.08,9.9,39.6,98,1022.2,100,6.29,-2.2,75,42.27,42.7
Kutaisi,2020-02-14,2.0,-1.1,0.4,24.4,2.5,15.33,16.7,28.1,92,1030.9,73,7.15,-1.1,75,42.27,42.7
Kutaisi,2020-02-15,6.6,-0.8,3.3,0.0,0.0,0.0,35.6,60.5,50,1025.1,92,10.62,-0.6,3,42.27,42.7
Kutaisi,2020-02-16,5.2,-1.1,1.8,0.0,0.0,0.0,21.1,38.2,59,1026.6,48,14.01,2.1,3,42.27,42.7
Kutaisi,2020-02-17,7.4,-5.7,2.1,0.0,0.0,0.0,26.6,48.2,67,1029.2,1,14.22,3.1,0,42.27,42.7
Kutaisi,2020-02-18,13.1,3.8,7.3,0.0,0.0,0.0,29.6,54.4,56,1025.0,0,13.87,7.4,0,42.27,42.7
Kutaisi,2020-02-19,16.7,4.2,9.8,0.0,0.0,0.0,26.2,48.6,57,1018.2,24,13.45,13.6,3,42.27,42.7
Kutaisi,2020-02-20,12.6,1.1,6.3,0.0,0.0,0.0,8.0,20.9,79,1016.3,50,12.64,10.1,3,42.27,42.7
Kutaisi,2020-02-21,17.2,2.5,8.9,0.0,0.0,0.0,16.9,33.5,67,1013.8,54,13.42,13.8,3,42.27,42.7
Kutaisi,2020-02-22,17.0,6.8,10.3,0.8,0.8,0.0,23.1,43.6,64,1017.6,67,12.54,14.3,51,42.27,42.7
Kutaisi,2020-02-23,8.3,5.0,6.8,10.4,10.4,0.0,13.8,27.0,93,1024.9,99,3.3,5.9,61,42.27,42.7
Kutaisi,2020-02-24,16.9,3.2,8.9,0.0,0.0,0.0,13.9,25.2,73,1014.7,70,12.76,15.2,3,42.27,42.7
Kutaisi,2020-02-25,8.6,2.8,5.2,38.0,36.9,0.77,33.7,63.0,91,1016.7,97,4.36,6.5,73,42.27,42.7
Kutaisi,2020-02-26,13.1,1.0,6.7,0.7,0.7,0.0,26.4,47.5,62,1020.3,17,15.02,8.1,51,42.27,42.7
Kutaisi,2020-02-27,20.3,7.0,12.5,0.0,0.0,0.0,25.8,47.9,38,1013.6,29,15.17,16.4,3,42.27,42.7
Kutaisi,2020-02-28,17.2,7.2,11.4,2.2,2.2,0.0,28.2,54.4,57,1013.0,79,10.92,14.4,61,42.27,42.7
Kutaisi,2020-02-29,18.1,5.1,11.1,0.4,0.4,0.0,30.6,58.0,62,1009.4,71,12.95,12.8,51,42.27,42.7
Kutaisi,2020-03-01,8.3,5.6,7.2,23.6,23.6,0.0,19.5,36.4,93,1018.5,100,2.46,6.7,63,42.27,42.7
Kutaisi,2020-03-02,12.1,4.9,7.4,1.3,1.3,0.0,12.8,26.6,83,1021.8,66,12.25,10.1,51,42.27,42.7
Kutaisi,2020-03-03,17.6,4.8,9.8,0.0,0.0,0.0,14.8,27.7,62,1021.3,35,15.8,16.6,3,42.27,42.7
Kutaisi,2020-03-04,22.0,6.2,13.5,0.0,0.0,0.0,22.3,40.0,44,1018.5,3,16.39,19.0,1,42.27,42.7
Kutaisi,2020-03-05,23.8,13.0,17.1,0.0,0.0,0.0,26.5,50.4,38,1012.2,33,16.5,20.2,3,42.27,42.7
Kutaisi,2020-03-06,22.5,14.3,17.7,0.0,0.0,0.0,38.1,71.6,36,1010.8,92,12.25,18.3,3,42.27,42.7
Kutaisi,2020-03-07,20.3,14.4,17.0,0.0,0.0,0.0,39.4,74.5,40,1016.7,81,14.39,14.3,3,42.27,42.7
Kutaisi,2020-03-08,21.6,10.0,15.5,0.0,0.0,0.0,23.7,43.6,52,1021.7,20,16.57,20.6,3,42.27,42.7
Kutaisi,2020-03-09,23.9,9.9,17.5,0.0,0.0,0.0,38.0,70.6,40,1017.9,0,17.16,18.4,0,42.27,42.7
Kutaisi,2020-03-10,23.7,15.4,18.8,0.0,0.0,0.0,38.8,72.4,29,1012.7,60,16.83,19.5,3,42.27,42.7
Kutaisi,2020-03-11,19.8,10.2,14.9,0.6,0.6,0.0,19.0,37.1,54,1017.0,27,17.01,18.3,53,42.27,42.7
Kutaisi,2020-03-12,18.5,7.7,12.3,4.1,4.1,0.0,22.1,43.9,82,1020.1,71,13.91,16.4,63,42.27,42.7
Kutaisi,2020-03-13,24.1,8.8,15.7,0.0,0.0,0.0,31.7,60.8,60,1015.5,76,14.85,20.6,3,42.27,42.7
Kutaisi,2020-03-14,17.3,9.8,14.1,20.5,20.5,0.0,25.1,47.2,74,1011.2,96,2.89,14.5,63,42.27,42.7
Kutaisi,2020-03-15,17.1,9.1,11.5,9.7,9.7,0.0,23.5,45.7,85,1016.1,97,13.06,16.5,61,42.27,42.7
Kutaisi,2020-03-16,9.0,2.8,5.4,26.6,26.6,0.0,22.7,42.8,91,1024.1,100,4.76,6.5,63,42.27,42.7
Kutaisi,2020-03-17,4.4,1.2,2.7,7.0,6.1,0.63,10.7,22.0,88,1027.6,98,6.51,1.5,73,42.27,42.7
Kutaisi,2020-03-18,5.2,0.4,2.1,4.5,3.2,0.91,17.1,33.1,97,1020.4,100,4.73,2.9,73,42.27,42.7
Kutaisi,2020-03-19,8.1,1.1,3.9,2.2,2.1,0.07,15.3,30.6,90,1016.7,100,9.13,5.0,71,42.27,42.7
Kutaisi,2020-03-20,9.3,4.3,6.4,1.1,1.1,0.0,14.7,28.1,86,1018.5,100,6.43,6.5,51,42.27,42.7
Kutaisi,2020-03-21,11.2,5.9,7.9,1.4,1.4,0.0,10.3,20.2,84,1020.4,97,8.23,8.7,51,42.27,42.7
Kutaisi,2020-03-22,18.0,3.8,10.7,0.0,0.0,0.0,26.7,53.3,71,1016.6,25,19.55,15.2,3,42.27,42.7
Kutaisi,2020-03-23,19.5,3.2,11.5,0.0,0.0,0.0,14.3,25.9,64,1015.7,50,19.49,17.7,3,42.27,42.7
Kutaisi,2020-03-24,20.0,5.3,11.9,0.0,0.0,0.0,30.2,58.7,67,1014.9,45,19.06,16.7,3,42.27,42.7
Kutaisi,2020-03-25,15.6,6.9,9.6,4.0,4.0,0.0,22.9,45.0,89,1019.9,97,12.69,13.4,53,42.27,42.7
Kutaisi,2020-03-26,18.6,6.7,12.3,0.0,0.0,0.0,32.6,63.0,68,1019.9,86,13.06,15.0,3,42.27,42.7
Kutaisi,2020-03-27,21.6,13.9,17.1,0.0,0.0,0.0,40.0,75.2,35,1015.0,28,20.1,15.7,2,42.27,42.7
Kutaisi,2020-03-28,22.1,11.9,17.3,0.1,0.1,0.0,37.5,70.2,41,1009.7,76,19.0,16.6,51,42.27,42.7
Kutaisi,2020-03-29,19.0,9.3,14.5,3.0,3.0,0.0,35.6,67.3,62,1005.3,78,16.03,16.9,55,42.27,42.7
Kutaisi,2020-03-30,9.6,7.7,8.7,32.5,32.5,0.0,26.9,50.0,95,1009.0,100,3.1,7.8,61,42.27,42.7
Kutaisi,2020-03-31,13.6,6.2,9.6,2.7,2.7,0.0,11.6,24.5,84,1015.2,69,9.67,12.6,53,42.27,42.7
Kutaisi,2020-04-01,20.4,5.8,11.2,7.3,7.3,0.0,25.3,47.9,70,1011.4,60,16.79,19.5,61,42.27,42.7
Kutaisi,2020-04-02,10.4,6.1,8.3,14.5,14.5,0.0,16.2,32.0,88,1015.2,78,5.66,8.4,61,42.27,42.7
Kutaisi,2020-04-03,21.0,5.2,12.8,0.2,0.2,0.0,19.7,39.2,61,1011.2,58,20.79,18.8,51,42.27,42.7
Kutaisi,2020-04-04,13.3,7.3,9.9,13.5,13.5,0.0,15.8,29.9,89,1022.0,79,7.06,11.6,61,42.27,42.7
Kutaisi,2020-04-05,22.2,7.1,13.5,0.2,0.2,0.0,15.6,28.8,67,1020.0,52,17.67,21.4,51,42.27,42.7
Kutaisi,2020-04-06,12.9,9.6,11.6,4.3,4.3,0.0,20.4,40.3,85,1020.9,96,5.38,11.0,53,42.27,42.7
Kutaisi,2020-04-07,16.1,8.1,10.7,2.4,2.4,0.0,23.6,47.2,74,1024.9,68,17.38,12.2,53,42.27,42.7
Kutaisi,2020-04-08,14.1,7.1,9.9,0.0,0.0,0.0,39.4,76.0,42,1024.0,7,23.28,7.1,2,42.27,42.7
Kutaisi,2020-04-09,15.7,6.3,10.2,0.0,0.0,0.0,35.5,70.6,53,1017.9,15,23.27,13.8,3,42.27,42.7
Kutaisi,2020-04-10,12.9,5.8,9.2,1.0,1.0,0.0,19.5,37.8,80,1015.4,54,14.4,10.3,51,42.27,42.7
Kutaisi,2020-04-11,10.3,6.8,8.5,2.7,2.7,0.0,17.3,35.3,89,1018.3,89,5.45,7.1,51,42.27,42.7
Kutaisi,2020-04-12,11.0,5.6,7.8,15.6,15.6,0.0,34.6,64.4,88,1023.3,80,10.26,7.1,61,42.27,42.7
Kutaisi,2020-04-13,15.4,4.8,9.3,1.8,1.8,0.0,14.2,28.4,72,1024.7,26,22.86,13.8,53,42.27,42.7
Kutaisi,2020-04-14,21.8,8.9,14.7,0.0,0.0,0.0,23.1,45.7,45,1017.9,21,23.97,20.3,3,42.27,42.7
Kutaisi,2020-04-15,24.0,11.2,15.9,0.1,0.1,0.0,27.3,77.8,51,1015.1,72,21.69,23.5,51,42.27,42.7
Kutaisi,2020-04-16,12.1,7.3,10.2,10.6,10.6,0.0,25.6,49.3,89,1019.6,96,5.75,10.7,61,42.27,42.7
Kutaisi,2020-04-17,18.8,5.8,11.8,0.0,0.0,0.0,10.4,25.2,76,1019.3,46,24.25,17.8,3,42.27,42.7
