city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Lachin,2020-01-01,7.1,-1.9,1.6,0.0,0.0,0.0,6.8,18.0,73,1014.3,40,8.67,4.0,3,39.64,46.55
Lachin,2020-01-02,5.7,-2.3,0.9,0.1,0.0,0.07,12.3,33.8,78,1019.3,48,7.38,1.8,71,39.64,46.55
Lachin,2020-01-03,1.1,-1.4,0.1,3.7,0.0,2.66,9.9,27.4,90,1025.8,95,2.66,-2.4,73,39.64,46.55
Lachin,2020-01-04,2.9,-1.7,-0.2,0.0,0.0,0.0,9.4,27.7,87,1021.0,93,5.51,-0.4,3,39.64,46.55
Lachin,2020-01-05,4.6,-2.8,0.2,0.0,0.0,0.0,7.6,22.7,80,1015.1,58,9.66,1.4,3,39.64,46.55
Lachin,2020-01-06,5.2,-3.7,0.1,0.0,0.0,0.0,9.1,23.8,72,1021.5,8,9.99,1.8,1,39.64,46.55
Lachin,2020-01-07,7.3,-3.5,0.6,0.0,0.0,0.0,8.6,25.6,59,1021.1,31,9.68,3.4,3,39.64,46.55
Lachin,2020-01-08,8.0,-2.1,2.0,0.0,0.0,0.0,9.0,23.4,55,1016.0,87,7.98,4.8,3,39.64,46.55
Lachin,2020-01-09,4.0,-1.1,0.9,0.0,0.0,0.0,7.0,24.1,73,1016.8,90,6.65,0.8,3,39.64,46.55
Lachin,2020-01-10,3.2,-1.9,-0.1,1.9,0.1,1.26,11.5,32.8,87,1020.7,83,6.66,-0.3,73,39.64,46.55
Lachin,2020-01-11,1.2,-1.4,-0.4,0.3,0.0,0.21,7.5,22.7,88,1023.9,75,6.17,-2.1,71,39.64,46.55
Lachin,2020-01-12,5.6,-3.8,0.6,0.0,0.0,0.0,9.5,21.2,64,1019.2,82,8.62,2.2,3,39.64,46.55
Lachin,2020-01-13,0.6,-3.9,-0.4,12.7,0.0,8.89,7.2,16.9,91,1022.4,100,4.44,-1.9,75,39.64,46.55
Lachin,2020-01-14,5.4,-5.6,-0.7,0.0,0.0,0.0,12.2,27.7,58,1028.4,26,10.77,1.8,3,39.64,46.55
Lachin,2020-01-15,4.9,-4.5,-0.9,0.0,0.0,0.0,7.9,23.0,48,1027.4,73,8.58,0.9,3,39.64,46.55
Lachin,2020-01-16,-0.8,-4.1,-2.5,5.7,0.0,3.99,9.0,28.1,82,1036.0,96,3.39,-4.4,73,39.64,46.55
Lachin,2020-01-17,1.8,-6.1,-2.0,1.4,0.1,0.91,11.2,27.0,74,1028.3,70,10.03,-2.2,73,39.64,46.55
Lachin,2020-01-18,4.2,-6.6,-1.7,0.2,0.0,0.14,12.2,31.3,70,1021.9,60,9.94,0.4,71,39.64,46.55
Lachin,2020-01-19,-1.5,-3.6,-2.3,3.1,0.0,2.24,8.4,27.0,90,1026.1,98,3.66,-4.4,73,39.64,46.55
Lachin,2020-01-20,0.7,-5.1,-3.1,0.0,0.0,0.0,9.0,27.0,81,1029.6,54,9.46,-3.3,3,39.64,46.55
Lachin,2020-01-21,1.8,-5.6,-2.7,0.0,0.0,0.0,7.9,25.6,79,1026.7,35,10.51,-1.7,3,39.64,46.55
Lachin,2020-01-22,3.6,-6.4,-2.2,0.0,0.0,0.0,10.0,22.7,65,1023.2,6,11.14,-0.2,1,39.64,46.55
Lachin,2020-01-23,6.4,-4.9,-0.4,0.0,0.0,0.0,11.6,32.8,51,1011.5,26,11.34,2.0,3,39.64,46.55
Lachin,2020-01-24,-0.9,-4.1,-2.5,4.8,0.0,3.36,15.6,45.4,76,1020.5,86,3.58,-4.9,73,39.64,46.55
Lachin,2020-01-25,1.2,-6.1,-3.7,0.0,0.0,0.0,9.2,21.2,64,1029.4,34,10.93,-2.8,3,39.64,46.55
Lachin,2020-01-26,9.1,-4.4,1.5,0.0,0.0,0.0,10.5,27.7,33,1020.3,16,11.69,4.3,3,39.64,46.55
Lachin,2020-01-27,5.0,-4.8,-0.7,0.0,0.0,0.0,8.7,24.8,46,1027.9,0,11.54,0.9,0,39.64,46.55
Lachin,2020-01-28,9.7,-3.6,1.5,0.0,0.0,0.0,9.8,27.0,37,1020.4,30,10.85,5.0,3,39.64,46.55
Lachin,2020-01-29,10.4,-1.5,2.8,0.0,0.0,0.0,10.2,27.7,39,1014.1,75,9.61,5.9,3,39.64,46.55
Lachin,2020-01-30,8.9,-2.1,1.9,0.0,0.0,0.0,10.8,28.8,50,1014.8,10,11.91,5.1,2,39.64,46.55
Lachin,2020-01-31,10.2,-1.1,4.5,0.0,0.0,0.0,10.2,33.1,55,1008.1,66,11.64,6.4,3,39.64,46.55
Lachin,2020-02-01,2.7,-1.7,0.1,8.4,0.0,5.88,10.1,41.4,88,1011.1,97,3.16,-0.5,75,39.64,46.55
Lachin,2020-02-02,5.0,-2.8,-0.1,0.7,0.0,0.49,9.5,28.4,70,1019.7,29,12.22,1.2,71,39.64,46.55
Lachin,2020-02-03,9.0,-4.1,1.0,0.0,0.0,0.0,12.6,28.8,49,1016.4,11,12.6,4.9,2,39.64,46.55
Lachin,2020-02-04,7.3,-2.2,2.1,0.0,0.0,0.0,18.7,48.6,54,1008.2,57,9.74,2.3,3,39.64,46.55
Lachin,2020-02-05,8.2,-2.6,2.9,0.0,0.0,0.0,15.0,41.4,70,1015.7,58,12.05,3.7,3,39.64,46.55
Lachin,2020-02-06,12.4,3.1,6.8,0.0,0.0,0.0,17.0,45.4,55,1013.2,36,12.61,7.8,3,39.64,46.55
Lachin,2020-02-07,13.6,2.9,7.8,0.0,0.0,0.0,16.8,57.2,51,1005.4,37,10.22,9.7,3,39.64,46.55
Lachin,2020-02-08,8.6,-1.1,4.5,5.0,1.6,2.38,13.9,49.7,75,1003.0,67,11.55,4.8,73,39.64,46.55
Lachin,2020-02-09,-1.8,-8.4,-5.6,16.3,0.1,11.34,13.7,40.7,88,1017.2,98,6.45,-6.0,75,39.64,46.55
Lachin,2020-02-10,-5.2,-8.3,-6.9,2.4,0.0,1.68,7.4,22.0,58,1027.8,99,6.35,-9.6,73,39.64,46.55
Lachin,2020-02-11,-2.5,-7.9,-5.7,0.1,0.0,0.14,9.4,28.1,53,1023.1,44,13.42,-6.9,71,39.64,46.55
Lachin,2020-02-12,2.3,-8.4,-3.4,0.0,0.0,0.0,15.9,36.7,37,1015.4,42,13.6,-2.3,3,39.64,46.55
Lachin,2020-02-13,4.4,-2.9,0.2,0.4,0.0,0.28,13.8,35.6,55,1019.3,85,8.41,-0.3,71,39.64,46.55
Lachin,2020-02-14,4.0,-6.2,-1.9,0.1,0.0,0.07,9.7,30.6,53,1026.2,38,12.78,-0.2,71,39.64,46.55
Lachin,2020-02-15,2.9,-6.3,-2.2,0.0,0.0,0.0,9.7,25.6,38,1031.9,68,12.05,-1.5,3,39.64,46.55
Lachin,2020-02-16,4.5,-2.6,0.3,0.0,0.0,0.0,8.6,28.1,52,1028.1,93,9.94,0.5,3,39.64,46.55
Lachin,2020-02-17,0.2,-2.3,-1.3,8.7,0.1,6.02,9.1,26.3,83,1033.8,100,4.62,-3.0,73,39.64,46.55
Lachin,2020-02-18,5.4,-4.4,-0.1,0.0,0.0,0.0,8.4,25.6,77,1032.7,29,14.39,2.1,3,39.64,46.55
Lachin,2020-02-19,10.5,-1.3,3.6,0.1,0.1,0.0,8.2,23.4,66,1021.0,59,12.31,7.8,51,39.64,46.55
Lachin,2020-02-20,4.8,1.1,3.1,3.9,3.3,0.42,8.4,24.8,89,1014.9,98,3.28,2.6,73,39.64,46.55
Lachin,2020-02-21,10.6,0.1,4.0,0.0,0.0,0.0,12.9,37.1,79,1016.4,31,14.28,7.7,2,39.64,46.55
Lachin,2020-02-22,8.0,-1.1,3.0,0.0,0.0,0.0,8.2,26.6,81,1020.5,92,11.27,5.1,3,39.64,46.55
Lachin,2020-02-23,12.6,0.2,5.1,0.1,0.1,0.0,16.6,49.3,69,1019.5,39,15.4,8.7,51,39.64,46.55
Lachin,2020-02-24,11.9,-0.4,5.0,0.0,0.0,0.0,15.0,46.1,71,1015.3,22,15.97,8.1,3,39.64,46.55
Lachin,2020-02-25,13.0,-0.4,5.0,2.0,0.6,0.98,25.6,69.5,68,1008.6,37,14.87,8.7,73,39.64,46.55
Lachin,2020-02-26,3.0,-2.6,-0.6,1.4,0.0,0.98,9.6,29.2,78,1023.7,64,9.36,-0.5,73,39.64,46.55
Lachin,2020-02-27,13.2,-2.5,4.9,0.0,0.0,0.0,10.0,25.2,52,1018.8,8,17.18,10.6,3,39.64,46.55
Lachin,2020-02-28,16.4,2.0,8.3,0.0,0.0,0.0,12.9,41.0,38,1010.6,79,16.24,13.3,3,39.64,46.55
Lachin,2020-02-29,11.9,2.6,6.4,0.3,0.3,0.0,12.7,38.2,58,1012.5,55,15.57,8.7,51,39.64,46.55
Lachin,2020-03-01,12.0,0.8,5.2,0.8,0.8,0.0,15.9,45.7,75,1012.1,57,12.97,8.9,51,39.64,46.55
Lachin,2020-03-02,3.9,-2.3,0.9,17.6,1.4,11.41,9.7,27.4,93,1022.5,100,6.54,1.6,75,39.64,46.55
Lachin,2020-03-03,10.4,-3.9,3.3,0.0,0.0,0.0,7.9,27.0,75,1022.7,39,17.03,8.1,3,39.64,46.55
Lachin,2020-03-04,12.8,0.4,6.3,0.0,0.0,0.0,8.6,26.6,65,1022.7,2,17.72,10.7,1,39.64,46.55
Lachin,2020-03-05,15.5,2.2,7.9,0.0,0.0,0.0,9.9,27.4,57,1018.2,32,17.99,13.1,3,39.64,46.55
Lachin,2020-03-06,14.4,3.1,8.2,0.0,0.0,0.0,11.7,35.3,75,1017.0,73,15.29,12.1,3,39.64,46.55
Lachin,2020-03-07,11.7,3.8,6.8,1.5,1.5,0.0,12.0,34.9,87,1022.7,100,12.06,9.1,51,39.64,46.55
Lachin,2020-03-08,13.1,-0.2,6.3,0.1,0.1,0.0,11.9,35.3,82,1025.4,41,18.12,11.3,51,39.64,46.55
Lachin,2020-03-09,14.4,0.3,6.8,0.0,0.0,0.0,11.6,34.9,65,1025.0,6,19.3,11.8,3,39.64,46.55
Lachin,2020-03-10,14.5,0.8,6.9,0.0,0.0,0.0,10.1,31.0,44,1020.1,18,19.14,11.9,3,39.64,46.55
Lachin,2020-03-11,18.6,2.8,10.5,0.0,0.0,0.0,12.7,36.0,49,1016.9,43,18.91,16.3,3,39.64,46.55
Lachin,2020-03-12,19.3,4.9,11.9,0.0,0.0,0.0,15.0,44.6,49,1017.4,28,19.07,16.5,3,39.64,46.55
Lachin,2020-03-13,15.8,6.1,10.2,0.0,0.0,0.0,13.1,41.4,69,1019.0,89,17.09,13.7,3,39.64,46.55
Lachin,2020-03-14,12.3,6.6,9.0,1.4,1.4,0.0,9.0,29.2,78,1010.7,92,7.25,10.4,51,39.64,46.55
Lachin,2020-03-15,12.6,5.1,8.6,1.5,1.5,0.0,11.4,33.1,86,1013.6,75,10.18,10.1,51,39.64,46.55
Lachin,2020-03-16,12.1,2.1,7.6,5.1,4.6,0.35,13.7,42.1,87,1015.6,88,12.94,9.8,73,39.64,46.55
Lachin,2020-03-17,2.5,-0.7,1.1,2.7,0.1,1.89,11.8,32.8,92,1025.5,100,4.22,-0.2,73,39.64,46.55
Lachin,2020-03-18,2.2,-0.9,0.4,4.0,0.0,2.8,10.1,31.3,87,1023.5,99,4.15,-1.4,73,39.64,46.55
Lachin,2020-03-19,9.7,-1.3,3.3,0.0,0.0,0.0,11.5,34.9,81,1014.9,32,19.93,7.5,3,39.64,46.55
Lachin,2020-03-20,10.0,-0.2,4.6,0.0,0.0,0.0,13.3,39.6,80,1014.2,53,15.98,7.4,3,39.64,46.55
Lachin,2020-03-21,6.1,2.3,4.2,7.1,5.9,0.84,7.6,23.8,94,1018.4,94,4.78,3.8,73,39.64,46.55
Lachin,2020-03-22,5.3,2.2,3.5,3.3,1.5,1.26,8.6,27.7,90,1020.0,98,6.33,2.7,73,39.64,46.55
Lachin,2020-03-23,11.3,-1.0,5.4,0.0,0.0,0.0,13.1,38.5,78,1018.3,42,17.24,9.1,3,39.64,46.55
Lachin,2020-03-24,11.7,2.6,7.6,0.9,0.9,0.0,12.5,36.7,80,1018.5,75,11.97,8.9,51,39.64,46.55
Lachin,2020-03-25,11.5,6.3,8.3,9.2,9.2,0.0,8.6,28.8,86,1020.0,82,12.16,9.9,61,39.64,46.55
Lachin,2020-03-26,11.2,4.4,7.0,3.6,3.6,0.0,14.7,43.6,81,1024.1,94,15.84,8.6,53,39.64,46.55
Lachin,2020-03-27,12.8,2.2,7.2,0.0,0.0,0.0,15.8,46.1,73,1022.4,72,19.11,10.4,3,39.64,46.55
Lachin,2020-03-28,12.4,1.9,7.2,0.9,0.9,0.0,16.1,47.2,85,1016.9,77,15.57,10.0,51,39.64,46.55
Lachin,2020-03-29,8.8,4.7,6.5,2.5,2.5,0.0,13.1,39.2,94,1008.9,96,7.16,6.4,53,39.64,46.55
Lachin,2020-03-30,14.5,2.1,7.2,0.4,0.4,0.0,16.6,50.8,79,1003.2,76,17.92,11.6,51,39.64,46.55
Lachin,2020-03-31,13.6,3.7,8.1,2.0,2.0,0.0,13.2,42.1,77,1009.8,49,19.14,11.4,61,39.64,46.55
Lachin,2020-04-01,13.9,3.0,8.0,4.0,4.0,0.0,16.2,45.0,78,1012.2,72,15.86,11.1,55,39.64,46.55
Lachin,2020-04-02,12.5,5.2,8.1,3.4,3.4,0.0,18.4,61.9,90,1009.1,89,14.22,9.0,53,39.64,46.55
Lachin,2020-04-03,13.1,3.5,7.6,0.0,0.0,0.0,14.0,42.5,82,1014.6,51,20.59,10.8,3,39.64,46.55
Lachin,2020-04-04,8.9,5.1,6.7,12.8,12.8,0.0,8.4,34.9,95,1018.7,98,6.35,7.1,61,39.64,46.55
Lachin,2020-04-05,14.0,1.6,7.7,0.0,0.0,0.0,11.9,36.4,76,1022.8,19,23.29,12.3,3,39.64,46.55
Lachin,2020-04-06,14.1,5.6,9.5,2.7,2.7,0.0,15.3,56.2,80,1017.9,94,12.82,11.5,53,39.64,46.55
Lachin,2020-04-07,7.0,-2.0,0.5,15.9,3.9,8.4,9.1,26.3,84,1029.1,99,6.04,5.4,75,39.64,46.55
Lachin,2020-04-08,1.3,-2.7,-1.2,1.5,0.0,1.05,9.5,30.2,82,1033.8,99,9.82,-2.6,71,39.64,46.55
Lachin,2020-04-09,7.0,-4.5,1.0,0.0,0.0,0.0,11.5,36.0,75,1023.1,38,22.8,4.8,3,39.64,46.55
Lachin,2020-04-10,7.7,-0.9,3.6,2.1,2.1,0.0,9.7,29.9,83,1014.8,90,11.46,5.4,53,39.64,46.55
Lachin,2020-04-11,9.3,2.4,5.7,1.8,1.8,0.0,12.4,33.8,83,1013.8,96,11.49,6.2,51,39.64,46.55
Lachin,2020-04-12,9.2,4.6,6.1,2.7,2.7,0.0,14.6,41.0,83,1018.7,93,10.75,5.7,51,39.64,46.55
Lachin,2020-04-13,5.4,1.8,3.4,4.2,1.2,2.1,11.3,31.3,85,1025.8,97,7.97,2.6,73,39.64,46.55
Lachin,2020-04-14,12.5,-0.4,5.9,0.0,0.0,0.0,10.8,33.8,67,1022.8,14,25.32,10.5,3,39.64,46.55
Lachin,2020-04-15,16.8,2.3,9.4,0.0,0.0,0.0,14.5,41.4,60,1016.3,2,25.37,15.6,1,39.64,46.55
Lachin,2020-04-16,15.1,4.7,10.3,1.8,1.8,0.0,9.1,29.9,69,1012.4,50,17.13,13.8,55,39.64,46.55
Lachin,2020-04-17,13.8,6.7,9.6,4.2,4.2,0.0,13.6,38.9,82,1017.8,47,20.34,12.7,55,39.64,46.55
Lachin,2020-04-18,18.0,5.6,12.0,0.0,0.0,0.0,13.0,40.0,72,1014.2,14,24.36,17.8,2,39.64,46.55
Lachin,2020-04-19,16.1,7.2,11.8,0.3,0.3,0.0,13.1,39.2,78,1014.4,67,18.52,14.7,51,39.64,46.55
Lachin,2020-04-20,18.1,6.9,12.6,0.0,0.0,0.0,13.3,42.1,75,1013.5,42,23.14,17.4,3,39.64,46.55
Lachin,2020-04-21,20.5,6.5,13.2,1.0,1.0,0.0,16.3,54.4,71,1011.1,60,19.3,17.9,51,39.64,46.55
Lachin,2020-04-22,11.9,6.4,9.2,3.4,3.4,0.0,13.7,41.0,89,1012.5,87,18.13,10.5,55,39.64,46.55
Lachin,2020-04-23,6.3,2.2,4.4,11.4,10.8,0.42,13.7,42.8,93,1015.3,100,8.09,3.9,73,39.64,46.55
Lachin,2020-04-24,3.2,0.9,1.8,7.4,0.0,5.18,10.4,29.9,87,1020.3,99,6.1,-0.4,75,39.64,46.55
Lachin,2020-04-25,8.1,0.9,3.9,2.6,0.5,1.47,12.4,40.7,86,1013.3,92,14.37,5.8,73,39.64,46.55
Lachin,2020-04-26,14.3,2.8,8.6,0.9,0.9,0.0,11.5,36.7,83,1006.0,72,20.5,13.5,51,39.64,46.55
Lachin,2020-04-27,15.3,6.7,10.5,1.4,1.4,0.0,13.6,41.4,79,1010.8,64,22.87,14.7,51,39.64,46.55
Lachin,2020-04-28,15.7,5.1,9.8,10.4,10.4,0.0,13.0,40.7,77,1013.4,62,19.45,13.9,63,39.64,46.55
Lachin,2020-04-29,10.4,6.7,8.3,2.3,2.3,0.0,14.3,41.0,90,1019.8,92,8.44,8.0,53,39.64,46.55
Lachin,2020-04-30,15.3,4.8,10.1,0.1,0.1,0.0,12.7,38.2,79,1016.8,89,22.06,14.4,51,39.64,46.55
Lachin,2020-05-01,17.5,5.8,12.2,0.0,0.0,0.0,10.7,34.2,72,1012.0,35,23.9,17.2,3,39.64,46.55
Lachin,2020-05-02,17.5,7.8,11.7,3.9,3.9,0.0,15.2,43.2,80,1009.2,66,19.49,16.8,55,39.64,46.55
Lachin,2020-05-03,17.1,6.3,11.9,0.2,0.2,0.0,11.6,36.7,77,1008.9,52,23.12,16.4,51,39.64,46.55
Lachin,2020-05-04,20.6,7.7,14.7,0.0,0.0,0.0,14.0,45.4,62,1011.3,85,22.78,19.3,3,39.64,46.55
Lachin,2020-05-05,21.3,10.9,16.1,1.0,1.0,0.0,11.5,43.2,62,1012.4,65,19.9,19.7,53,39.64,46.55
Lachin,2020-05-06,19.0,10.0,13.4,6.4,6.4,0.0,9.2,36.0,84,1007.0,80,11.89,18.7,61,39.64,46.55
Lachin,2020-05-07,17.2,7.9,12.1,0.1,0.1,0.0,15.0,43.9,73,1004.8,89,16.85,14.5,51,39.64,46.55
Lachin,2020-05-08,21.0,7.1,14.6,0.0,0.0,0.0,15.6,46.1,63,1010.9,24,25.8,19.9,2,39.64,46.55
Lachin,2020-05-09,19.8,8.9,14.0,7.0,7.0,0.0,15.9,49.0,80,1013.5,48,22.07,20.1,61,39.64,46.55
Lachin,2020-05-10,13.7,8.2,10.8,13.5,13.5,0.0,14.8,43.9,91,1012.1,97,13.31,12.2,63,39.64,46.55
Lachin,2020-05-11,11.8,6.8,8.6,2.8,2.8,0.0,15.5,45.0,88,1020.0,91,13.64,9.2,53,39.64,46.55
Lachin,2020-05-12,15.5,4.1,10.4,0.0,0.0,0.0,13.4,39.2,72,1019.1,11,26.59,14.1,1,39.64,46.55
Lachin,2020-05-13,21.7,6.4,14.2,0.1,0.1,0.0,11.8,36.7,70,1014.6,26,25.77,22.6,51,39.64,46.55
