city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Makhachkala,2020-01-01,8.7,1.5,5.5,0.0,0.0,0.0,11.6,27.0,81,1013.4,14,7.43,5.7,3,42.98,47.5
Makhachkala,2020-01-02,5.0,2.7,3.8,0.4,0.4,0.0,16.6,37.1,86,1022.8,93,2.23,1.2,51,42.98,47.5
Makhachkala,2020-01-03,4.7,1.5,3.6,0.1,0.1,0.0,14.6,33.8,83,1027.2,70,4.85,1.9,51,42.98,47.5
Makhachkala,2020-01-04,7.2,4.0,5.8,0.8,0.8,0.0,30.2,65.2,84,1019.1,54,4.97,3.2,51,42.98,47.5
Makhachkala,2020-01-05,6.5,3.6,5.1,1.0,1.0,0.0,9.7,29.5,92,1016.3,98,3.29,4.7,51,42.98,47.5
Makhachkala,2020-01-06,6.5,2.6,4.3,0.0,0.0,0.0,8.9,21.2,90,1022.3,71,4.92,4.2,3,42.98,47.5
Makhachkala,2020-01-07,8.7,4.3,7.0,3.0,3.0,0.0,26.2,60.1,90,1019.7,79,4.67,6.0,53,42.98,47.5
Makhachkala,2020-01-08,7.3,5.3,6.4,3.9,3.9,0.0,13.9,29.2,96,1018.3,97,2.06,5.7,51,42.98,47.5
Makhachkala,2020-01-09,6.1,3.1,5.2,4.0,4.0,0.0,12.1,26.6,95,1019.2,100,1.54,4.0,53,42.98,47.5
Makhachkala,2020-01-10,3.6,1.8,2.8,2.0,0.9,0.77,16.6,38.2,93,1022.1,100,1.75,0.2,73,42.98,47.5
Makhachkala,2020-01-11,2.7,1.8,2.2,1.6,0.8,0.56,12.5,28.4,93,1023.9,95,1.59,0.3,73,42.98,47.5
Makhachkala,2020-01-12,9.0,1.9,5.5,3.9,3.9,0.0,17.1,38.5,82,1016.8,99,2.84,6.8,55,42.98,47.5
Makhachkala,2020-01-13,5.9,-0.3,3.1,2.5,2.5,0.0,21.6,50.0,85,1024.2,68,4.88,1.8,51,42.98,47.5
Makhachkala,2020-01-14,7.4,-0.3,2.8,0.0,0.0,0.0,20.1,47.9,74,1027.9,21,8.25,3.0,3,42.98,47.5
Makhachkala,2020-01-15,5.2,1.7,3.5,1.4,1.4,0.0,10.4,24.1,86,1031.7,95,2.04,2.2,51,42.98,47.5
Makhachkala,2020-01-16,5.7,1.0,3.6,0.0,0.0,0.0,21.6,49.0,88,1035.9,68,4.93,1.7,3,42.98,47.5
Makhachkala,2020-01-17,7.4,2.1,4.5,0.0,0.0,0.0,24.5,56.5,81,1025.5,49,6.4,4.1,3,42.98,47.5
Makhachkala,2020-01-18,4.0,1.2,2.4,0.2,0.2,0.0,26.0,58.3,82,1024.9,82,3.79,-1.7,51,42.98,47.5
Makhachkala,2020-01-19,2.7,0.8,1.4,1.4,0.0,0.98,11.0,27.7,84,1029.1,94,3.09,-1.2,71,42.98,47.5
Makhachkala,2020-01-20,3.8,0.2,1.6,0.0,0.0,0.0,9.0,23.0,83,1030.3,60,8.39,0.3,3,42.98,47.5
Makhachkala,2020-01-21,4.8,-2.2,1.1,0.0,0.0,0.0,15.9,36.7,76,1027.3,37,8.63,0.7,3,42.98,47.5
Makhachkala,2020-01-22,9.2,-1.6,4.2,0.1,0.1,0.0,17.4,36.7,65,1018.7,74,5.63,5.6,51,42.98,47.5
Makhachkala,2020-01-23,9.7,3.6,6.9,0.6,0.6,0.0,23.9,53.3,58,1007.3,55,7.08,4.9,51,42.98,47.5
Makhachkala,2020-01-24,3.5,-2.1,1.1,0.6,0.4,0.14,35.8,78.5,69,1021.5,36,9.2,-2.4,71,42.98,47.5
Makhachkala,2020-01-25,9.4,-3.3,2.4,0.0,0.0,0.0,13.6,30.6,48,1023.7,27,7.81,5.4,3,42.98,47.5
Makhachkala,2020-01-26,10.0,0.2,6.2,2.9,2.9,0.0,27.7,63.7,58,1019.9,54,7.29,7.1,53,42.98,47.5
Makhachkala,2020-01-27,9.4,3.0,5.5,0.4,0.4,0.0,21.2,53.6,80,1025.2,47,7.43,6.9,51,42.98,47.5
