city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Malatya,2020-01-01,7.7,-0.2,3.3,0.0,0.0,0.0,7.1,20.2,73,1016.9,50,8.68,4.3,3,38.35,38.31
Malatya,2020-01-02,4.5,-1.9,1.7,0.1,0.1,0.0,4.5,14.8,77,1021.0,63,5.55,1.8,51,38.35,38.31
Malatya,2020-01-03,2.7,1.5,2.1,6.6,4.5,1.47,5.0,13.3,96,1021.7,100,1.92,0.8,73,38.35,38.31
Malatya,2020-01-04,3.5,1.1,2.0,4.8,2.7,1.47,7.4,20.2,98,1015.2,100,3.63,1.0,75,38.35,38.31
Malatya,2020-01-05,2.9,0.7,1.5,6.8,0.3,4.55,10.7,23.4,77,1015.8,99,4.54,0.1,75,38.35,38.31
Malatya,2020-01-06,4.2,-0.1,1.5,0.4,0.2,0.14,9.1,19.8,83,1021.8,90,4.39,0.9,71,38.35,38.31
Malatya,2020-01-07,4.2,1.1,2.4,12.4,9.5,2.03,12.3,22.3,97,1020.1,99,2.38,1.5,73,38.35,38.31
Malatya,2020-01-08,2.5,0.7,1.5,10.8,2.1,6.09,8.4,22.3,97,1016.5,100,2.27,0.4,73,38.35,38.31
Malatya,2020-01-09,5.5,-1.7,2.3,0.3,0.3,0.0,7.2,16.6,83,1017.0,64,6.68,2.5,51,38.35,38.31
Malatya,2020-01-10,3.9,-2.9,-0.3,0.0,0.0,0.0,11.6,23.4,67,1021.4,10,10.4,-0.2,3,38.35,38.31
Malatya,2020-01-11,5.3,-3.5,0.0,0.0,0.0,0.0,10.1,21.2,57,1025.0,0,10.49,1.6,0,38.35,38.31
Malatya,2020-01-12,6.0,-1.4,2.4,0.0,0.0,0.0,7.7,16.9,60,1022.8,83,8.1,3.3,3,38.35,38.31
Malatya,2020-01-13,4.7,-1.9,1.7,0.0,0.0,0.0,13.8,32.0,60,1024.6,20,9.71,0.1,2,38.35,38.31
