city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Masalli,2020-01-01,12.6,2.9,7.1,2.3,2.3,0.0,9.0,17.6,82,1014.2,32,8.66,11.0,55
Masalli,2020-01-02,11.1,3.3,7.4,0.9,0.9,0.0,11.4,23.4,83,1019.5,46,8.32,8.7,51
Masalli,2020-01-03,6.6,5.6,6.0,6.4,6.4,0.0,9.7,19.4,92,1026.4,100,1.22,5.0,53
Masalli,2020-01-04,5.9,4.9,5.5,20.1,20.1,0.0,16.4,29.5,92,1020.4,100,1.12,3.2,61
Masalli,2020-01-05,7.5,2.4,5.5,8.4,8.4,0.0,17.8,33.8,89,1015.0,71,3.27,5.7,63
Masalli,2020-01-06,10.4,0.5,4.7,0.0,0.0,0.0,9.2,16.6,87,1021.9,26,7.83,8.5,3
Masalli,2020-01-07,11.3,1.9,6.0,0.0,0.0,0.0,7.9,15.5,86,1022.1,52,7.42,10.1,3
Masalli,2020-01-08,11.4,1.5,6.5,0.2,0.2,0.0,8.1,16.9,86,1017.1,63,7.75,9.8,51
Masalli,2020-01-09,7.6,5.5,6.7,23.6,23.6,0.0,13.3,25.9,90,1017.1,100,1.58,5.3,63
Masalli,2020-01-10,8.7,0.2,5.0,0.5,0.5,0.0,8.8,22.3,86,1020.4,57,8.45,5.8,51
Masalli,2020-01-11,9.4,2.0,5.6,0.4,0.4,0.0,7.4,15.5,86,1023.4,57,8.0,7.3,51
Masalli,2020-01-12,9.9,-0.8,4.2,0.0,0.0,0.0,8.4,15.8,77,1019.3,49,9.08,7.5,3
Masalli,2020-01-13,7.2,3.6,5.6,6.2,6.2,0.0,12.3,23.0,85,1021.9,98,1.79,5.4,55
Masalli,2020-01-14,9.4,-1.0,4.2,0.0,0.0,0.0,9.2,18.7,83,1028.3,6,9.98,6.8,1
Masalli,2020-01-15,8.6,0.9,4.8,1.9,1.9,0.0,8.8,20.2,85,1028.5,90,6.13,6.5,53
Masalli,2020-01-16,5.0,3.5,4.3,22.6,22.6,0.0,14.1,27.0,92,1035.7,100,1.28,2.1,61
Masalli,2020-01-17,5.7,4.2,4.6,5.4,5.4,0.0,15.9,31.3,91,1027.8,98,1.74,2.4,53
Masalli,2020-01-18,7.8,3.2,5.1,1.1,1.1,0.0,15.3,32.0,79,1022.6,96,6.55,4.6,51
Masalli,2020-01-19,4.4,3.0,3.3,25.6,25.6,0.0,8.2,16.6,93,1026.7,100,1.42,2.5,61
Masalli,2020-01-20,4.8,2.0,2.9,4.5,4.5,0.0,8.9,15.8,89,1029.8,96,3.06,2.7,53
Masalli,2020-01-21,7.9,0.3,3.2,0.0,0.0,0.0,7.6,18.0,81,1027.1,49,9.07,5.1,3
Masalli,2020-01-22,9.8,-2.0,2.8,0.0,0.0,0.0,10.6,21.2,73,1022.9,6,10.47,6.8,1
Masalli,2020-01-23,10.7,-2.2,3.4,0.0,0.0,0.0,11.2,20.9,69,1011.7,6,10.48,8.4,2
Masalli,2020-01-24,8.4,1.5,4.7,0.0,0.0,0.0,14.6,26.6,71,1019.7,94,5.03,4.8,3
Masalli,2020-01-25,7.2,-2.2,1.6,0.0,0.0,0.0,8.4,16.2,75,1028.9,14,10.97,4.3,2
Masalli,2020-01-26,12.2,-3.0,2.8,0.0,0.0,0.0,12.5,23.0,62,1021.9,0,11.23,9.3,0
Masalli,2020-01-27,11.3,-3.2,3.8,0.0,0.0,0.0,11.4,25.2,75,1027.2,21,9.91,8.3,3
Masalli,2020-01-28,10.8,-1.7,3.7,0.0,0.0,0.0,6.6,14.8,70,1022.1,11,11.31,8.9,1
Masalli,2020-01-29,11.4,-0.1,4.9,0.0,0.0,0.0,8.9,16.9,65,1015.5,57,8.84,9.6,3
Masalli,2020-01-30,14.6,1.0,6.8,0.0,0.0,0.0,9.4,20.2,67,1014.0,17,11.52,13.1,3
Masalli,2020-01-31,16.4,2.8,8.5,0.0,0.0,0.0,10.8,19.1,62,1007.4,60,11.14,14.6,3
Masalli,2020-02-01,7.1,4.4,5.4,10.5,10.5,0.0,12.2,24.5,88,1011.9,96,1.66,4.5,61
Masalli,2020-02-02,10.5,0.8,5.9,1.5,1.5,0.0,15.1,27.7,74,1019.3,52,10.97,7.7,53
Masalli,2020-02-03,12.5,-1.2,4.8,0.0,0.0,0.0,13.2,28.4,69,1016.1,3,12.11,8.7,2
