city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Mingachevir,2020-01-01,11.2,1.2,6.1,0.0,0.0,0.0,15.5,28.4,81,1014.1,19,8.16,8.0,2,40.76,47.05
Mingachevir,2020-01-02,10.6,4.3,7.0,0.0,0.0,0.0,15.9,29.5,75,1019.0,48,7.05,8.3,3,40.76,47.05
Mingachevir,2020-01-03,7.5,3.8,5.7,1.2,1.2,0.0,12.8,24.1,86,1026.0,88,2.77,4.6,51,40.76,47.05
Mingachevir,2020-01-04,7.2,3.8,5.4,0.2,0.2,0.0,12.9,24.1,84,1021.3,99,1.88,4.0,51,40.76,47.05
Mingachevir,2020-01-05,9.7,2.4,5.3,0.0,0.0,0.0,13.0,28.8,78,1015.0,37,8.58,6.2,3,40.76,47.05
Mingachevir,2020-01-06,9.8,-0.3,4.0,0.0,0.0,0.0,9.2,14.4,81,1021.9,0,8.65,7.1,0,40.76,47.05
Mingachevir,2020-01-07,9.4,-0.5,3.6,0.0,0.0,0.0,10.5,20.9,81,1022.2,28,8.55,6.0,3,40.76,47.05
Mingachevir,2020-01-08,7.4,-0.3,3.2,0.0,0.0,0.0,7.1,11.2,75,1017.5,57,7.08,4.5,3,40.76,47.05
Mingachevir,2020-01-09,8.2,-1.7,3.7,0.0,0.0,0.0,11.9,22.3,79,1017.3,76,6.27,5.4,3,40.76,47.05
Mingachevir,2020-01-10,9.2,-0.7,3.5,0.0,0.0,0.0,11.1,19.8,82,1020.1,22,8.58,6.4,3,40.76,47.05
Mingachevir,2020-01-11,8.3,-0.4,3.5,0.0,0.0,0.0,9.9,19.1,87,1023.3,54,7.39,5.8,3,40.76,47.05
Mingachevir,2020-01-12,9.8,-1.2,4.3,0.0,0.0,0.0,20.6,38.5,72,1019.3,58,7.36,5.3,3,40.76,47.05
Mingachevir,2020-01-13,10.0,1.8,5.8,0.0,0.0,0.0,12.8,28.8,68,1021.4,62,7.11,6.5,3,40.76,47.05
Mingachevir,2020-01-14,9.5,-1.0,4.3,0.0,0.0,0.0,16.1,29.5,70,1028.1,5,9.4,5.8,1,40.76,47.05
Mingachevir,2020-01-15,7.6,-0.8,2.8,0.1,0.1,0.0,9.7,23.0,81,1028.9,92,6.97,4.0,51,40.76,47.05
Mingachevir,2020-01-16,6.2,2.8,4.2,7.1,7.1,0.0,10.9,23.4,90,1035.7,99,2.88,3.0,53,40.76,47.05
Mingachevir,2020-01-17,5.7,2.4,3.7,3.3,3.3,0.0,18.7,35.3,86,1028.7,68,3.43,1.8,53,40.76,47.05
Mingachevir,2020-01-18,8.1,-0.5,3.0,0.0,0.0,0.0,19.4,36.0,73,1022.1,50,9.3,5.0,3,40.76,47.05
Mingachevir,2020-01-19,4.2,1.2,2.9,1.8,1.8,0.0,11.0,23.4,85,1026.6,95,2.79,1.3,51,40.76,47.05
Mingachevir,2020-01-20,5.6,2.1,3.4,0.4,0.4,0.0,5.2,14.4,86,1029.7,90,4.52,3.1,51,40.76,47.05
Mingachevir,2020-01-21,6.7,-0.2,2.6,0.0,0.0,0.0,7.2,16.6,83,1026.8,39,7.59,4.1,2,40.76,47.05
Mingachevir,2020-01-22,10.3,-1.3,4.8,0.0,0.0,0.0,28.2,55.8,68,1022.3,27,10.17,4.0,3,40.76,47.05
Mingachevir,2020-01-23,11.4,3.0,6.6,0.0,0.0,0.0,28.0,52.2,56,1011.2,14,10.15,5.2,2,40.76,47.05
Mingachevir,2020-01-24,8.3,4.1,6.1,0.0,0.0,0.0,30.2,58.3,44,1018.6,70,5.46,1.2,3,40.76,47.05
Mingachevir,2020-01-25,5.9,-3.2,1.8,0.0,0.0,0.0,18.6,37.8,62,1028.4,6,10.42,0.9,1,40.76,47.05
Mingachevir,2020-01-26,13.4,-1.1,5.1,0.0,0.0,0.0,25.7,49.7,53,1021.0,0,10.76,7.1,0,40.76,47.05
Mingachevir,2020-01-27,9.2,-2.5,2.8,0.0,0.0,0.0,11.6,19.4,68,1027.4,1,10.63,6.3,0,40.76,47.05
Mingachevir,2020-01-28,10.0,-0.3,3.6,0.0,0.0,0.0,11.0,24.1,74,1021.9,39,10.5,6.3,3,40.76,47.05
Mingachevir,2020-01-29,12.2,-0.2,5.1,0.0,0.0,0.0,11.2,23.4,63,1015.3,50,10.61,8.2,3,40.76,47.05
Mingachevir,2020-01-30,16.3,4.5,8.5,0.0,0.0,0.0,21.2,42.5,57,1013.5,26,10.9,12.0,3,40.76,47.05
Mingachevir,2020-01-31,15.3,4.8,9.1,0.0,0.0,0.0,32.9,61.2,58,1007.5,90,9.58,11.7,3,40.76,47.05
