city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Naftalan,2020-01-01,11.2,4.2,7.3,0.0,0.0,0.0,17.4,33.1,65,1014.0,30,8.31,7.5,3,40.51,46.82
Naftalan,2020-01-02,10.4,5.2,7.3,1.3,1.3,0.0,18.1,32.8,64,1019.0,54,5.98,6.6,51,40.51,46.82
Naftalan,2020-01-03,6.8,2.5,5.1,0.2,0.2,0.0,13.7,25.6,77,1025.8,81,3.98,4.4,51,40.51,46.82
Naftalan,2020-01-04,5.7,2.5,3.7,0.0,0.0,0.0,14.9,29.2,84,1021.5,99,2.37,2.2,3,40.51,46.82
Naftalan,2020-01-05,8.8,2.2,4.6,0.0,0.0,0.0,15.0,27.4,67,1015.1,50,8.75,5.4,3,40.51,46.82
Naftalan,2020-01-06,8.2,0.5,3.6,0.0,0.0,0.0,9.6,17.3,72,1021.9,0,8.92,5.1,0,40.51,46.82
Naftalan,2020-01-07,8.6,0.8,4.4,0.0,0.0,0.0,12.4,22.3,67,1022.1,15,8.8,5.8,2,40.51,46.82
Naftalan,2020-01-08,7.6,1.1,4.4,0.0,0.0,0.0,9.9,14.8,57,1017.1,62,7.32,4.2,3,40.51,46.82
Naftalan,2020-01-09,7.8,0.6,4.1,0.0,0.0,0.0,16.3,29.5,61,1017.2,73,6.35,4.6,3,40.51,46.82
Naftalan,2020-01-10,8.5,1.5,4.3,0.0,0.0,0.0,18.3,33.5,67,1020.0,22,8.93,5.3,3,40.51,46.82
Naftalan,2020-01-11,7.7,1.0,3.6,0.0,0.0,0.0,14.0,27.0,68,1023.0,24,8.92,5.0,3,40.51,46.82
Naftalan,2020-01-12,9.0,0.2,4.6,0.0,0.0,0.0,23.3,43.9,59,1019.3,66,8.19,5.3,3,40.51,46.82
Naftalan,2020-01-13,9.6,2.8,6.2,0.1,0.1,0.0,23.7,46.8,57,1021.2,56,7.83,3.7,51,40.51,46.82
Naftalan,2020-01-14,8.6,1.2,4.4,0.0,0.0,0.0,23.3,43.6,58,1028.0,4,9.6,5.5,1,40.51,46.82
Naftalan,2020-01-15,6.7,0.1,3.0,0.0,0.0,0.0,13.6,24.5,74,1028.7,86,7.76,3.3,3,40.51,46.82
Naftalan,2020-01-16,4.8,1.4,3.1,5.8,5.5,0.21,20.0,39.6,86,1035.1,98,3.5,0.4,71,40.51,46.82
Naftalan,2020-01-17,4.4,0.9,2.1,2.2,1.0,0.84,23.4,43.9,82,1028.9,64,4.86,0.2,73,40.51,46.82
