city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Nakhchivan,2020-01-01,5.9,-2.1,1.3,0.0,0.0,0.0,9.5,18.7,77,1016.8,36,8.39,2.8,3,39.21,45.41
Nakhchivan,2020-01-02,6.6,-1.4,2.1,0.0,0.0,0.0,5.8,13.7,68,1020.8,31,7.85,3.6,2,39.21,45.41
Nakhchivan,2020-01-03,5.5,-1.1,1.6,0.0,0.0,0.0,5.5,16.2,74,1024.2,50,6.02,2.3,3,39.21,45.41
Nakhchivan,2020-01-04,5.0,-1.5,1.2,0.7,0.6,0.07,8.0,20.5,72,1019.0,83,6.31,1.9,71,39.21,45.41
Nakhchivan,2020-01-05,4.8,-0.8,1.3,0.4,0.2,0.14,8.7,20.5,86,1016.9,54,8.58,1.5,71,39.21,45.41
Nakhchivan,2020-01-06,4.5,-2.8,0.7,0.0,0.0,0.0,6.7,20.2,81,1024.4,22,9.38,1.3,3,39.21,45.41
Nakhchivan,2020-01-07,6.4,-3.0,1.1,0.0,0.0,0.0,8.8,16.6,65,1025.8,29,9.05,3.2,3,39.21,45.41
Nakhchivan,2020-01-08,4.3,-1.9,0.6,0.0,0.0,0.0,9.5,22.3,70,1020.6,79,7.21,0.7,3,39.21,45.41
Nakhchivan,2020-01-09,4.1,-2.3,0.2,0.4,0.0,0.28,9.6,20.5,80,1018.3,92,8.21,0.4,71,39.21,45.41
Nakhchivan,2020-01-10,4.0,-2.7,0.4,0.0,0.0,0.0,8.7,19.8,73,1020.1,37,8.86,0.6,3,39.21,45.41
Nakhchivan,2020-01-11,5.2,-3.2,0.5,0.0,0.0,0.0,10.5,19.4,69,1023.3,24,9.52,1.4,2,39.21,45.41
Nakhchivan,2020-01-12,4.3,-3.7,0.1,0.0,0.0,0.0,6.9,15.5,59,1022.5,69,8.65,1.0,3,39.21,45.41
Nakhchivan,2020-01-13,1.5,-1.9,-0.4,6.4,0.0,4.48,9.8,17.3,83,1023.0,91,3.32,-1.2,75,39.21,45.41
Nakhchivan,2020-01-14,3.6,-4.4,-0.6,0.0,0.0,0.0,9.9,20.5,71,1031.6,19,10.27,-0.3,2,39.21,45.41
Nakhchivan,2020-01-15,3.0,-5.8,-1.4,0.0,0.0,0.0,6.5,15.5,64,1031.3,55,9.83,-0.6,3,39.21,45.41
Nakhchivan,2020-01-16,2.8,-4.4,-1.2,0.0,0.0,0.0,8.2,17.6,60,1033.8,36,8.04,-1.0,2,39.21,45.41
Nakhchivan,2020-01-17,4.2,-2.7,-0.2,0.1,0.0,0.07,5.5,18.7,70,1028.8,66,8.89,0.7,71,39.21,45.41
Nakhchivan,2020-01-18,2.2,-4.0,-1.7,0.0,0.0,0.0,7.0,20.9,68,1024.0,83,9.84,-1.5,3,39.21,45.41
Nakhchivan,2020-01-19,3.5,-2.8,-0.5,1.6,0.1,1.05,8.2,15.1,72,1024.2,85,6.95,0.3,73,39.21,45.41
