city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Neftchala,2020-01-01,12.3,2.7,6.6,0.0,0.0,0.0,10.2,17.3,89,1014.2,48,8.32,10.5,3
Neftchala,2020-01-02,10.2,3.8,7.0,0.5,0.5,0.0,25.2,44.6,88,1019.6,52,8.54,7.4,51
Neftchala,2020-01-03,7.8,7.2,7.5,2.3,2.3,0.0,25.0,45.0,81,1026.0,100,1.74,4.4,51
Neftchala,2020-01-04,10.0,5.9,8.3,18.1,18.1,0.0,20.7,37.1,87,1019.8,100,1.54,8.7,63
Neftchala,2020-01-05,8.8,5.5,6.8,11.3,11.3,0.0,19.4,40.3,90,1014.7,96,4.43,6.4,61
Neftchala,2020-01-06,10.1,4.5,7.2,0.0,0.0,0.0,12.4,22.3,86,1021.8,33,8.25,7.7,3
Neftchala,2020-01-07,11.1,2.9,6.4,0.0,0.0,0.0,9.7,18.7,91,1022.1,71,6.09,9.2,3
Neftchala,2020-01-08,10.4,2.5,6.8,0.0,0.0,0.0,18.5,32.4,86,1017.2,60,8.33,8.2,3
Neftchala,2020-01-09,9.1,5.8,7.6,7.6,7.6,0.0,22.5,39.6,88,1016.7,91,4.31,5.9,55
Neftchala,2020-01-10,8.7,4.7,6.5,0.4,0.4,0.0,18.4,33.1,87,1020.3,74,5.3,5.3,51
Neftchala,2020-01-11,9.4,5.1,7.1,0.3,0.3,0.0,17.4,31.7,82,1023.3,71,7.73,7.6,51
Neftchala,2020-01-12,10.1,1.4,5.5,0.0,0.0,0.0,12.0,24.5,84,1019.3,76,8.93,6.8,3
Neftchala,2020-01-13,7.4,5.3,6.3,1.4,1.4,0.0,22.4,40.0,81,1021.7,96,2.81,4.6,51
Neftchala,2020-01-14,9.3,2.2,5.6,0.0,0.0,0.0,13.8,25.9,81,1028.3,4,9.86,6.6,1
Neftchala,2020-01-15,8.7,4.2,6.5,0.0,0.0,0.0,36.4,63.4,86,1028.3,89,5.56,6.0,3
Neftchala,2020-01-16,7.4,5.7,6.8,2.0,2.0,0.0,34.0,63.4,80,1034.9,100,2.52,3.7,51
Neftchala,2020-01-17,8.1,4.6,6.2,3.3,3.3,0.0,18.1,32.0,86,1027.3,100,1.93,5.9,51
Neftchala,2020-01-18,7.3,2.5,5.1,0.0,0.0,0.0,26.1,47.5,77,1022.5,92,5.73,3.3,3
Neftchala,2020-01-19,6.1,4.8,5.3,2.0,2.0,0.0,29.1,51.8,76,1026.3,99,3.03,1.1,51
Neftchala,2020-01-20,5.6,3.7,4.5,1.5,1.5,0.0,22.1,39.2,79,1029.5,95,4.17,2.2,51
Neftchala,2020-01-21,7.4,1.1,4.3,0.0,0.0,0.0,14.5,29.2,76,1027.0,47,9.3,3.0,3
Neftchala,2020-01-22,10.1,0.3,5.2,0.0,0.0,0.0,21.8,41.0,70,1022.6,2,10.49,5.5,0
Neftchala,2020-01-23,10.5,1.5,5.6,0.0,0.0,0.0,16.0,28.4,72,1011.6,5,10.27,6.9,2
Neftchala,2020-01-24,6.3,3.0,5.0,0.2,0.2,0.0,25.0,46.1,79,1019.7,88,4.28,3.1,51
Neftchala,2020-01-25,7.2,0.4,3.7,0.0,0.0,0.0,18.8,38.5,72,1028.7,15,10.91,3.2,2
Neftchala,2020-01-26,11.8,0.7,5.1,0.0,0.0,0.0,20.2,37.8,68,1021.7,0,11.1,7.7,0
Neftchala,2020-01-27,10.4,3.6,7.3,0.0,0.0,0.0,17.7,30.6,78,1027.3,20,8.34,7.3,3
Neftchala,2020-01-28,10.2,-0.2,4.5,0.0,0.0,0.0,9.9,16.9,87,1022.1,26,10.69,8.3,3
Neftchala,2020-01-29,10.6,0.9,5.7,0.0,0.0,0.0,11.1,18.7,79,1015.4,50,9.06,8.2,3
Neftchala,2020-01-30,15.8,1.5,7.9,0.0,0.0,0.0,18.5,30.6,69,1014.0,22,11.39,12.7,3
Neftchala,2020-01-31,13.6,4.2,8.6,0.0,0.0,0.0,27.6,46.4,77,1007.7,55,11.35,12.4,3
Neftchala,2020-02-01,7.2,4.9,6.3,5.0,5.0,0.0,35.5,63.0,84,1011.3,82,3.4,2.6,55
Neftchala,2020-02-02,9.9,4.6,6.3,1.7,1.7,0.0,11.7,25.9,82,1019.2,55,9.8,7.4,51
Neftchala,2020-02-03,12.6,1.5,6.9,0.0,0.0,0.0,17.3,29.5,73,1016.1,2,11.91,9.3,1
Neftchala,2020-02-04,17.3,4.6,10.0,0.1,0.1,0.0,21.9,42.1,55,1005.8,54,11.57,13.1,51
Neftchala,2020-02-05,11.9,5.1,8.6,0.4,0.4,0.0,19.9,37.8,80,1015.6,48,10.83,8.4,51
Neftchala,2020-02-06,18.8,4.8,11.6,0.0,0.0,0.0,21.4,35.6,65,1011.0,15,12.18,15.5,3
Neftchala,2020-02-07,18.7,8.6,14.5,0.0,0.0,0.0,23.4,41.0,50,1004.7,4,12.26,14.2,1
Neftchala,2020-02-08,10.4,5.6,8.4,2.1,2.1,0.0,41.9,77.0,85,1004.0,72,6.64,6.3,53
Neftchala,2020-02-09,5.6,0.6,2.8,3.4,1.3,1.47,44.1,78.8,71,1017.0,98,5.58,-0.7,73
Neftchala,2020-02-10,3.0,-0.2,1.2,0.0,0.0,0.0,41.5,76.3,55,1027.3,87,8.82,-5.8,3
Neftchala,2020-02-11,5.4,-1.8,1.4,0.0,0.0,0.0,31.1,57.6,59,1022.3,64,12.31,0.3,3
