city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Oghuz,2020-01-01,8.4,0.4,4.6,0.0,0.0,0.0,9.4,27.7,55,1013.8,2,8.49,4.8,0
Oghuz,2020-01-02,7.3,-0.0,3.4,0.4,0.1,0.21,5.6,19.4,56,1018.9,29,8.27,4.2,71
Oghuz,2020-01-03,2.2,0.7,1.7,4.9,0.0,3.43,7.1,18.7,82,1026.6,88,2.49,-0.5,73
Oghuz,2020-01-04,4.8,0.7,2.6,0.0,0.0,0.0,5.1,14.8,76,1021.1,91,3.29,2.3,3
Oghuz,2020-01-05,6.6,-0.7,3.5,0.0,0.0,0.0,6.4,17.6,54,1014.7,41,8.56,3.6,3
Oghuz,2020-01-06,6.1,0.2,3.5,0.0,0.0,0.0,5.0,19.8,54,1022.0,1,9.03,3.0,0
Oghuz,2020-01-07,7.3,0.8,5.1,0.0,0.0,0.0,6.4,20.2,35,1021.5,17,8.9,4.0,3
Oghuz,2020-01-08,8.2,1.8,6.5,0.0,0.0,0.0,7.3,16.9,34,1016.5,55,7.76,4.7,3
Oghuz,2020-01-09,5.7,-1.3,3.4,0.0,0.0,0.0,6.9,18.7,50,1017.1,74,6.52,2.2,3
Oghuz,2020-01-10,4.9,-1.9,2.1,1.5,0.4,0.77,8.0,24.5,66,1020.3,41,6.52,1.4,73
Oghuz,2020-01-11,1.7,-0.6,0.9,0.8,0.0,0.56,6.4,20.5,97,1023.7,93,3.76,-0.9,71
Oghuz,2020-01-12,5.2,-0.7,2.1,0.0,0.0,0.0,8.6,28.1,83,1019.1,88,6.49,1.7,3
Oghuz,2020-01-13,4.6,0.4,2.8,0.5,0.4,0.07,6.1,16.9,76,1021.6,79,4.2,2.1,71
Oghuz,2020-01-14,6.1,-0.0,3.0,0.0,0.0,0.0,7.3,20.9,68,1027.9,10,9.31,3.3,1
Oghuz,2020-01-15,3.9,-0.1,2.3,1.5,0.0,1.05,6.2,18.7,70,1028.9,96,6.2,0.8,73
