city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Oral,2020-01-01,-0.2,-0.9,-0.6,5.8,0.0,4.06,22.9,39.6,95,1001.6,100,1.07,-4.6,73,51.23,51.37
Oral,2020-01-02,-0.3,-12.1,-3.6,1.2,0.0,0.84,18.7,33.5,91,1012.0,82,2.38,-4.5,73,51.23,51.37
Oral,2020-01-03,-3.6,-15.2,-7.9,0.0,0.0,0.0,15.3,26.3,87,1021.8,88,2.26,-8.6,3,51.23,51.37
Oral,2020-01-04,-1.6,-3.3,-2.3,0.0,0.0,0.0,22.3,39.6,91,1018.4,98,2.21,-6.8,3,51.23,51.37
Oral,2020-01-05,-0.4,-2.2,-1.4,0.0,0.0,0.0,20.2,33.8,89,1017.5,89,2.76,-5.3,3,51.23,51.37
Oral,2020-01-06,-1.0,-2.4,-1.5,0.2,0.0,0.14,13.8,25.2,90,1023.5,96,2.72,-4.9,71,51.23,51.37
Oral,2020-01-07,-0.7,-3.5,-1.9,0.2,0.0,0.14,14.8,25.2,90,1027.7,97,2.08,-5.0,71,51.23,51.37
Oral,2020-01-08,-4.2,-8.8,-6.7,0.1,0.0,0.07,10.5,16.9,92,1030.7,90,3.78,-8.4,71,51.23,51.37
Oral,2020-01-09,-4.0,-9.9,-5.9,0.0,0.0,0.0,14.0,23.0,92,1027.7,74,4.11,-8.0,3,51.23,51.37
Oral,2020-01-10,-5.6,-12.1,-9.7,0.0,0.0,0.0,15.6,26.3,88,1021.8,89,2.69,-10.8,3,51.23,51.37
Oral,2020-01-11,-3.2,-9.6,-6.0,0.1,0.1,0.0,10.5,19.8,91,1019.7,94,3.03,-7.0,51,51.23,51.37
Oral,2020-01-12,-3.5,-12.8,-5.8,1.3,0.0,0.91,11.5,18.7,93,1019.4,73,3.49,-7.6,73,51.23,51.37
Oral,2020-01-13,-2.1,-13.1,-7.3,0.2,0.0,0.14,25.4,44.6,90,1015.8,85,3.09,-8.1,71,51.23,51.37
Oral,2020-01-14,0.4,-2.8,-1.3,2.0,0.0,1.4,19.8,34.6,91,1015.0,96,2.56,-3.9,73,51.23,51.37
Oral,2020-01-15,-1.8,-3.7,-2.6,0.0,0.0,0.0,16.9,28.8,91,1028.5,95,2.19,-6.1,3,51.23,51.37
Oral,2020-01-16,-0.6,-5.8,-3.4,0.8,0.5,0.21,32.8,54.7,89,1029.9,97,2.9,-7.4,73,51.23,51.37
Oral,2020-01-17,-1.5,-2.8,-2.0,0.2,0.0,0.14,27.6,46.4,92,1023.9,99,1.56,-6.3,71,51.23,51.37
Oral,2020-01-18,0.2,-5.8,-2.2,1.3,0.1,0.84,10.9,20.2,95,1025.3,83,3.03,-2.8,73,51.23,51.37
Oral,2020-01-19,0.0,-5.1,-2.2,0.0,0.0,0.0,17.2,29.2,92,1027.9,74,3.43,-3.9,3,51.23,51.37
Oral,2020-01-20,-0.9,-2.5,-1.6,0.0,0.0,0.0,17.4,29.5,92,1023.9,99,3.18,-5.4,3,51.23,51.37
Oral,2020-01-21,-0.2,-2.8,-1.2,1.3,0.0,0.91,20.2,33.8,93,1014.8,97,2.2,-4.9,71,51.23,51.37
Oral,2020-01-22,1.8,-1.0,0.1,6.6,0.1,4.55,30.4,52.2,92,997.4,99,1.95,-3.7,75,51.23,51.37
Oral,2020-01-23,-0.2,-3.6,-1.6,1.2,0.0,0.84,18.6,31.3,93,995.7,96,2.57,-4.1,71,51.23,51.37
Oral,2020-01-24,-2.8,-11.7,-8.0,0.1,0.0,0.07,18.3,31.3,86,1008.3,65,5.04,-7.8,71,51.23,51.37
Oral,2020-01-25,0.2,-11.5,-4.9,3.1,0.0,2.17,28.9,49.0,89,1004.6,95,2.34,-5.5,73,51.23,51.37
Oral,2020-01-26,0.4,-3.0,-0.6,3.1,0.0,2.24,37.6,63.0,89,997.6,93,3.81,-5.4,73,51.23,51.37
Oral,2020-01-27,1.1,-6.6,-3.2,1.4,0.1,0.91,32.3,54.0,84,1008.4,77,2.44,-5.6,73,51.23,51.37
Oral,2020-01-28,-6.0,-13.7,-9.9,0.0,0.0,0.0,22.5,40.3,81,1023.2,89,5.86,-12.2,3,51.23,51.37
Oral,2020-01-29,-6.7,-14.9,-11.0,0.1,0.0,0.07,15.0,25.2,82,1026.0,96,4.35,-11.9,71,51.23,51.37
Oral,2020-01-30,-0.3,-6.1,-2.1,0.4,0.0,0.28,23.6,41.4,93,1018.5,99,3.82,-5.6,71,51.23,51.37
Oral,2020-01-31,-0.6,-2.8,-1.8,0.1,0.0,0.14,19.1,33.1,93,1013.0,100,4.01,-5.2,71,51.23,51.37
Oral,2020-02-01,-0.2,-2.5,-1.4,3.5,0.0,2.45,6.6,14.8,96,1011.1,99,3.63,-3.1,73,51.23,51.37
Oral,2020-02-02,0.1,-2.7,-1.8,0.2,0.0,0.14,22.1,36.7,96,1013.4,100,3.5,-4.7,71,51.23,51.37
Oral,2020-02-03,3.1,0.0,1.3,8.9,4.8,2.87,33.1,55.4,96,1000.4,100,1.52,-1.4,73,51.23,51.37
Oral,2020-02-04,2.7,-0.3,0.8,7.0,3.9,2.17,20.2,33.8,96,993.8,93,1.99,-1.5,73,51.23,51.37
Oral,2020-02-05,-0.3,-5.8,-2.6,0.0,0.0,0.0,18.8,33.1,85,1004.4,32,7.96,-5.1,3,51.23,51.37
