city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Ordubad,2020-01-01,7.8,0.7,3.3,0.1,0.0,0.07,13.0,48.6,64,1015.4,41,9.25,3.7,71,38.91,46.02
Ordubad,2020-01-02,8.2,-0.6,3.0,0.0,0.0,0.0,12.6,47.5,59,1019.5,26,8.85,3.8,3,38.91,46.02
Ordubad,2020-01-03,5.4,0.0,2.9,0.0,0.0,0.0,8.5,34.6,63,1024.3,48,6.46,2.2,3,38.91,46.02
Ordubad,2020-01-04,4.7,-0.6,1.4,1.3,0.0,0.91,10.1,38.9,85,1019.5,81,6.39,1.2,73,38.91,46.02
Ordubad,2020-01-05,6.3,-0.7,1.7,1.3,0.1,0.84,14.3,52.6,81,1016.2,50,8.85,2.0,73,38.91,46.02
Ordubad,2020-01-06,6.8,-1.5,1.6,0.0,0.0,0.0,13.1,48.6,66,1023.0,20,9.91,2.5,2,38.91,46.02
Ordubad,2020-01-07,8.4,-1.2,2.4,0.0,0.0,0.0,16.2,60.5,60,1023.9,20,9.89,3.7,3,38.91,46.02
Ordubad,2020-01-08,7.6,-0.2,3.0,0.0,0.0,0.0,11.8,43.9,56,1018.7,68,8.16,3.4,3,38.91,46.02
Ordubad,2020-01-09,4.3,0.0,2.2,0.4,0.0,0.28,5.4,23.4,72,1017.9,90,5.94,1.1,71,38.91,46.02
Ordubad,2020-01-10,4.1,0.6,2.1,0.0,0.0,0.0,6.9,28.1,77,1020.4,59,6.01,0.8,3,38.91,46.02
Ordubad,2020-01-11,6.0,0.5,2.3,0.0,0.0,0.0,14.5,52.6,74,1023.0,58,6.73,1.3,3,38.91,46.02
Ordubad,2020-01-12,6.7,-1.3,2.0,0.0,0.0,0.0,19.0,71.3,49,1020.5,63,9.17,1.3,3,38.91,46.02
Ordubad,2020-01-13,3.0,0.3,1.2,5.6,0.0,3.92,10.6,43.6,76,1022.1,99,2.87,-0.7,73,38.91,46.02
Ordubad,2020-01-14,4.8,-2.0,0.9,0.0,0.0,0.0,13.6,50.4,65,1030.7,29,10.45,0.0,3,38.91,46.02
Ordubad,2020-01-15,5.3,-2.6,0.6,0.0,0.0,0.0,12.5,46.8,46,1029.6,53,9.76,0.4,3,38.91,46.02
Ordubad,2020-01-16,3.2,-3.2,-0.5,0.0,0.0,0.0,13.8,51.5,75,1033.9,51,7.5,-1.4,2,38.91,46.02
Ordubad,2020-01-17,5.4,-1.5,0.9,2.0,0.1,1.33,9.7,38.9,66,1027.8,81,6.98,1.1,73,38.91,46.02
Ordubad,2020-01-18,2.8,-2.3,-0.4,1.7,0.0,1.19,7.1,39.6,75,1023.3,91,7.86,-0.6,73,38.91,46.02
Ordubad,2020-01-19,1.5,-1.9,-0.2,3.7,0.1,2.52,11.2,46.8,81,1024.5,83,6.35,-2.6,73,38.91,46.02
Ordubad,2020-01-20,3.9,-2.8,0.1,0.0,0.0,0.0,7.3,29.9,75,1028.4,45,9.94,0.1,2,38.91,46.02
Ordubad,2020-01-21,1.9,-1.1,0.1,0.0,0.0,0.0,4.8,21.6,80,1027.1,71,5.08,-1.1,3,38.91,46.02
Ordubad,2020-01-22,3.1,-2.6,-0.0,0.0,0.0,0.0,13.9,51.1,68,1024.7,13,10.31,-1.5,2,38.91,46.02
Ordubad,2020-01-23,5.7,-3.3,0.5,0.0,0.0,0.0,20.6,77.0,47,1015.6,8,11.56,-0.4,2,38.91,46.02
Ordubad,2020-01-24,2.7,-2.4,0.2,5.6,0.0,3.92,10.0,46.1,78,1020.2,90,3.11,-1.2,73,38.91,46.02
Ordubad,2020-01-25,2.1,-3.2,-1.4,0.0,0.0,0.0,17.4,64.8,50,1030.2,4,11.79,-4.0,1,38.91,46.02
Ordubad,2020-01-26,5.2,-3.1,-0.0,0.0,0.0,0.0,21.3,80.6,37,1026.5,22,11.89,-1.3,3,38.91,46.02
Ordubad,2020-01-27,6.0,-1.6,1.3,0.0,0.0,0.0,12.1,46.1,38,1028.4,8,11.83,0.9,3,38.91,46.02
Ordubad,2020-01-28,7.4,-2.9,1.3,0.0,0.0,0.0,15.3,58.7,45,1024.7,29,11.28,2.1,3,38.91,46.02
Ordubad,2020-01-29,7.2,-1.6,1.8,0.0,0.0,0.0,12.3,49.0,50,1019.4,53,8.1,2.4,3,38.91,46.02
