city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Rasht,2020-01-01,14.9,6.6,10.0,5.2,5.2,0.0,9.0,20.9,92,1014.2,53,7.49,13.1,61,37.28,49.59
Rasht,2020-01-02,13.4,7.6,10.1,13.0,13.0,0.0,13.1,21.6,93,1019.2,70,6.87,12.2,63,37.28,49.59
Rasht,2020-01-03,9.6,8.1,9.1,23.8,23.8,0.0,16.8,31.7,97,1024.6,94,2.36,9.1,63,37.28,49.59
Rasht,2020-01-04,10.1,8.0,8.7,10.6,10.6,0.0,14.0,25.6,95,1018.6,98,2.38,8.2,53,37.28,49.59
Rasht,2020-01-05,11.2,7.1,8.8,1.6,1.6,0.0,11.4,24.5,90,1015.0,97,4.49,9.0,51,37.28,49.59
Rasht,2020-01-06,12.4,4.9,8.9,0.1,0.1,0.0,8.7,20.5,90,1022.0,72,6.88,10.9,51,37.28,49.59
Rasht,2020-01-07,14.6,5.9,9.0,0.0,0.0,0.0,6.6,12.2,90,1021.6,55,8.86,13.5,3,37.28,49.59
Rasht,2020-01-08,14.2,6.1,9.5,0.9,0.9,0.0,11.1,25.2,90,1016.4,59,7.69,12.8,51,37.28,49.59
Rasht,2020-01-09,9.9,7.3,8.8,7.8,7.8,0.0,18.1,34.9,95,1016.2,99,3.0,7.9,53,37.28,49.59
Rasht,2020-01-10,8.1,5.9,7.4,24.7,24.7,0.0,15.0,26.6,96,1020.1,100,1.31,6.2,61,37.28,49.59
Rasht,2020-01-11,7.3,5.1,6.8,22.1,22.1,0.0,14.2,25.6,97,1023.5,98,1.17,5.5,61,37.28,49.59
Rasht,2020-01-12,12.6,2.2,6.3,0.0,0.0,0.0,9.5,21.2,88,1018.8,63,10.25,9.9,3,37.28,49.59
Rasht,2020-01-13,8.2,4.8,6.7,40.9,40.9,0.0,21.7,43.2,94,1021.4,98,1.14,5.3,63,37.28,49.59
Rasht,2020-01-14,12.1,2.7,7.1,5.6,5.6,0.0,14.7,26.3,85,1028.8,44,8.56,9.7,61,37.28,49.59
Rasht,2020-01-15,12.1,0.9,6.3,2.0,2.0,0.0,14.5,28.4,89,1027.5,71,9.42,9.9,53,37.28,49.59
Rasht,2020-01-16,7.7,6.5,7.0,17.3,17.3,0.0,26.7,49.3,95,1033.3,100,1.34,5.0,63,37.28,49.59
Rasht,2020-01-17,10.9,5.7,7.8,1.6,1.6,0.0,10.2,18.4,91,1026.3,95,4.64,9.2,53,37.28,49.59
Rasht,2020-01-18,8.2,5.2,6.4,11.0,11.0,0.0,10.8,18.7,96,1022.5,100,1.54,5.9,61,37.28,49.59
Rasht,2020-01-19,6.4,4.9,5.7,27.7,27.7,0.0,19.1,34.2,96,1025.3,100,1.37,3.5,63,37.28,49.59
Rasht,2020-01-20,6.3,5.1,5.6,19.9,19.9,0.0,16.9,31.3,97,1028.7,100,1.75,3.4,61,37.28,49.59
Rasht,2020-01-21,7.1,4.8,5.6,4.7,4.7,0.0,14.8,28.4,95,1026.6,96,2.98,3.9,51,37.28,49.59
Rasht,2020-01-22,11.0,4.3,6.6,0.0,0.0,0.0,7.0,16.6,86,1023.0,84,5.16,9.0,3,37.28,49.59
Rasht,2020-01-23,15.6,3.2,8.4,0.1,0.1,0.0,18.0,34.6,71,1011.2,31,10.94,12.2,51,37.28,49.59
Rasht,2020-01-24,8.2,3.0,5.6,13.3,13.3,0.0,15.9,29.2,93,1019.7,82,2.22,6.3,61,37.28,49.59
Rasht,2020-01-25,7.0,0.3,3.4,6.2,6.2,0.0,13.5,24.1,92,1029.1,59,4.87,4.7,53,37.28,49.59
Rasht,2020-01-26,11.8,-0.9,4.1,0.0,0.0,0.0,10.5,18.7,85,1022.1,20,11.8,9.4,3,37.28,49.59
Rasht,2020-01-27,12.4,1.1,6.2,0.5,0.5,0.0,9.3,16.2,80,1027.5,31,10.7,10.5,51,37.28,49.59
Rasht,2020-01-28,15.2,-0.4,5.9,0.0,0.0,0.0,7.3,15.1,82,1021.5,11,11.89,12.8,3,37.28,49.59
Rasht,2020-01-29,14.4,2.0,7.0,0.0,0.0,0.0,8.0,16.9,91,1015.2,96,7.35,13.0,3,37.28,49.59
Rasht,2020-01-30,18.6,5.1,11.0,0.0,0.0,0.0,15.5,24.5,55,1014.3,15,12.22,16.3,3,37.28,49.59
Rasht,2020-01-31,18.6,12.1,16.2,0.0,0.0,0.0,29.1,54.7,33,1008.0,45,11.6,12.9,3,37.28,49.59
Rasht,2020-02-01,17.8,5.2,9.6,12.0,12.0,0.0,22.7,45.7,81,1010.9,88,3.23,12.6,63,37.28,49.59
Rasht,2020-02-02,11.5,3.5,6.6,7.4,7.4,0.0,9.9,19.8,90,1020.2,56,7.93,9.1,55,37.28,49.59
Rasht,2020-02-03,16.3,2.2,9.3,0.0,0.0,0.0,15.7,27.7,54,1016.2,4,12.94,12.6,3,37.28,49.59
Rasht,2020-02-04,17.1,11.2,14.6,0.0,0.0,0.0,36.2,68.0,31,1006.8,64,11.8,12.3,3,37.28,49.59
Rasht,2020-02-05,16.6,8.7,12.2,0.0,0.0,0.0,16.9,29.9,76,1015.6,51,9.44,15.8,3,37.28,49.59
Rasht,2020-02-06,21.7,15.1,18.8,0.0,0.0,0.0,29.2,53.6,32,1011.0,0,13.2,17.0,0,37.28,49.59
Rasht,2020-02-07,23.9,17.6,20.8,0.0,0.0,0.0,33.1,60.5,32,1006.0,4,13.06,21.3,1,37.28,49.59
Rasht,2020-02-08,21.0,11.3,16.8,1.0,1.0,0.0,24.9,49.0,50,1003.5,32,8.89,16.3,53,37.28,49.59
Rasht,2020-02-09,10.8,0.3,4.8,30.3,23.4,4.83,24.4,43.9,95,1017.1,99,3.06,9.2,75,37.28,49.59
Rasht,2020-02-10,1.0,0.4,0.7,58.1,4.4,37.59,28.6,49.0,98,1025.7,100,3.46,-3.4,75,37.28,49.59
Rasht,2020-02-11,1.2,-2.6,-0.0,62.9,1.0,43.33,30.8,49.0,89,1021.7,74,3.96,-2.5,75,37.28,49.59
Rasht,2020-02-12,5.2,-0.6,2.8,0.0,0.0,0.0,31.4,53.3,47,1015.4,22,15.39,-1.8,3,37.28,49.59
Rasht,2020-02-13,11.2,1.1,5.2,0.9,0.9,0.0,30.8,50.8,66,1018.6,39,13.63,8.8,53,37.28,49.59
Rasht,2020-02-14,4.1,-1.0,2.8,7.6,7.6,0.0,18.4,33.5,84,1027.4,75,5.54,0.9,61,37.28,49.59
Rasht,2020-02-15,8.5,-2.1,1.9,0.0,0.0,0.0,9.0,14.0,73,1031.5,75,14.33,6.1,3,37.28,49.59
Rasht,2020-02-16,5.3,-0.9,2.5,2.7,2.7,0.0,10.7,19.8,88,1028.4,84,8.83,2.7,53,37.28,49.59
Rasht,2020-02-17,4.0,2.3,3.1,13.3,13.3,0.0,16.6,29.2,92,1032.8,100,3.1,0.7,55,37.28,49.59
Rasht,2020-02-18,7.8,2.2,4.2,1.0,1.0,0.0,9.5,17.3,91,1032.9,89,7.51,6.4,53,37.28,49.59
Rasht,2020-02-19,11.4,2.2,6.2,2.2,2.2,0.0,9.5,19.8,91,1022.0,92,6.26,10.3,61,37.28,49.59
Rasht,2020-02-20,9.9,5.6,7.6,8.6,8.6,0.0,11.2,19.4,95,1015.0,99,3.01,8.9,53,37.28,49.59
Rasht,2020-02-21,15.2,6.8,9.4,0.8,0.8,0.0,8.4,18.0,91,1017.7,82,7.09,14.1,51,37.28,49.59
Rasht,2020-02-22,13.1,7.8,10.4,1.2,1.2,0.0,8.8,15.8,92,1020.7,98,4.53,12.4,51,37.28,49.59
Rasht,2020-02-23,16.0,9.3,11.5,0.5,0.5,0.0,10.0,23.0,89,1020.1,75,9.13,15.2,51,37.28,49.59
Rasht,2020-02-24,16.6,10.2,12.4,0.0,0.0,0.0,8.4,20.9,86,1015.1,90,8.59,15.7,3,37.28,49.59
Rasht,2020-02-25,23.2,5.9,14.3,17.2,17.2,0.0,26.4,56.2,79,1008.8,99,8.14,23.2,63,37.28,49.59
Rasht,2020-02-26,7.4,4.2,6.3,12.9,12.9,0.0,11.3,25.6,95,1023.7,87,2.96,5.5,61,37.28,49.59
Rasht,2020-02-27,16.5,2.5,8.1,0.0,0.0,0.0,10.2,21.6,85,1020.7,10,16.17,15.0,3,37.28,49.59
Rasht,2020-02-28,21.9,5.2,11.6,0.0,0.0,0.0,11.2,22.0,77,1010.4,91,12.67,20.2,3,37.28,49.59
Rasht,2020-02-29,16.3,7.3,10.9,0.0,0.0,0.0,11.5,26.3,81,1014.5,46,15.68,15.1,3,37.28,49.59
Rasht,2020-03-01,15.1,7.7,10.2,18.0,18.0,0.0,19.9,41.4,90,1013.8,81,9.33,14.0,63,37.28,49.59
Rasht,2020-03-02,7.1,5.1,6.1,27.1,27.1,0.0,19.1,34.9,95,1022.7,100,2.84,4.9,63,37.28,49.59
Rasht,2020-03-03,12.6,5.1,7.8,1.2,1.2,0.0,11.2,23.8,85,1024.0,72,5.49,10.2,51,37.28,49.59
Rasht,2020-03-04,18.4,3.5,10.1,0.0,0.0,0.0,10.0,17.3,77,1023.6,1,17.14,17.7,0,37.28,49.59
Rasht,2020-03-05,20.9,5.2,11.9,0.0,0.0,0.0,7.6,19.1,79,1018.7,16,17.18,20.3,3,37.28,49.59
Rasht,2020-03-06,17.8,7.1,11.2,0.0,0.0,0.0,10.5,25.2,88,1018.1,74,16.88,18.0,3,37.28,49.59
Rasht,2020-03-07,14.9,8.9,11.1,0.1,0.1,0.0,13.0,26.6,88,1022.8,93,10.03,13.3,51,37.28,49.59
Rasht,2020-03-08,14.8,5.8,10.5,0.0,0.0,0.0,9.9,21.6,83,1026.7,53,11.93,13.2,3,37.28,49.59
Rasht,2020-03-09,16.5,5.2,9.6,0.0,0.0,0.0,10.3,24.5,86,1026.8,37,17.27,16.0,3,37.28,49.59
Rasht,2020-03-10,18.8,6.1,11.0,0.0,0.0,0.0,10.1,22.0,87,1021.3,65,17.06,18.9,3,37.28,49.59
Rasht,2020-03-11,18.7,9.3,13.0,0.0,0.0,0.0,9.6,23.4,82,1017.8,65,16.19,18.8,3,37.28,49.59
Rasht,2020-03-12,22.1,8.8,13.9,0.0,0.0,0.0,10.6,23.4,82,1016.7,52,17.37,22.6,3,37.28,49.59
Rasht,2020-03-13,18.5,8.9,13.3,0.0,0.0,0.0,11.6,23.8,80,1019.8,85,15.36,17.9,3,37.28,49.59
Rasht,2020-03-14,21.8,11.1,14.6,0.0,0.0,0.0,8.0,22.0,83,1010.0,90,10.65,21.7,3,37.28,49.59
Rasht,2020-03-15,18.5,10.9,13.3,2.4,2.4,0.0,10.5,23.0,92,1014.6,89,5.48,17.9,53,37.28,49.59
Rasht,2020-03-16,17.1,9.0,12.0,8.4,8.4,0.0,16.2,34.6,93,1017.2,100,9.94,16.1,61,37.28,49.59
Rasht,2020-03-17,8.6,7.3,7.8,11.1,11.1,0.0,16.2,28.8,95,1026.7,100,2.66,6.5,55,37.28,49.59
Rasht,2020-03-18,9.8,7.3,8.3,6.3,6.3,0.0,12.8,24.8,93,1022.6,100,3.7,8.6,53,37.28,49.59
Rasht,2020-03-19,13.4,6.6,9.2,0.0,0.0,0.0,12.3,30.2,88,1015.2,93,9.5,11.4,3,37.28,49.59
Rasht,2020-03-20,15.4,8.3,10.8,2.1,2.1,0.0,12.0,23.0,87,1015.0,99,7.37,14.8,51,37.28,49.59
Rasht,2020-03-21,11.6,9.3,10.3,15.0,15.0,0.0,14.5,27.0,97,1018.2,100,3.12,10.3,61,37.28,49.59
Rasht,2020-03-22,9.8,8.3,9.0,14.0,14.0,0.0,13.2,23.8,97,1019.1,100,2.3,8.4,55,37.28,49.59
Rasht,2020-03-23,10.7,8.2,9.3,13.4,13.4,0.0,10.0,16.9,96,1018.8,100,2.06,9.2,61,37.28,49.59
Rasht,2020-03-24,13.4,7.9,10.6,3.6,3.6,0.0,5.9,13.3,94,1019.6,94,3.99,13.0,53,37.28,49.59
Rasht,2020-03-25,16.1,8.1,11.4,0.0,0.0,0.0,11.5,25.6,88,1021.0,85,11.28,15.1,3,37.28,49.59
Rasht,2020-03-26,13.1,8.4,11.1,1.2,1.2,0.0,12.8,26.3,93,1024.7,84,5.91,12.4,51,37.28,49.59
Rasht,2020-03-27,17.5,8.1,12.3,0.0,0.0,0.0,11.8,26.3,83,1023.1,89,14.45,17.1,3,37.28,49.59
Rasht,2020-03-28,16.2,8.9,12.1,0.4,0.4,0.0,8.8,19.8,88,1017.6,82,9.48,15.4,51,37.28,49.59
Rasht,2020-03-29,15.0,9.8,11.6,2.4,2.4,0.0,8.2,21.2,89,1008.9,85,8.42,14.2,53,37.28,49.59
Rasht,2020-03-30,23.5,8.7,14.1,0.2,0.2,0.0,15.1,30.2,80,1002.9,72,16.6,22.0,51,37.28,49.59
Rasht,2020-03-31,18.0,9.1,13.2,0.0,0.0,0.0,13.4,31.0,80,1011.0,32,18.72,16.0,3,37.28,49.59
Rasht,2020-04-01,22.4,7.9,13.9,0.2,0.2,0.0,13.5,25.6,84,1011.9,69,16.29,24.2,51,37.28,49.59
Rasht,2020-04-02,26.7,11.7,16.4,1.0,1.0,0.0,20.3,42.5,78,1008.3,60,19.59,27.8,53,37.28,49.59
Rasht,2020-04-03,15.9,11.8,13.6,2.4,2.4,0.0,9.3,21.2,90,1015.6,96,5.19,15.8,51,37.28,49.59
Rasht,2020-04-04,17.8,11.5,13.3,17.1,17.1,0.0,14.8,28.8,93,1018.3,98,8.34,17.4,63,37.28,49.59
Rasht,2020-04-05,20.5,11.1,14.0,4.5,4.5,0.0,9.4,22.7,86,1023.3,58,17.6,21.0,55,37.28,49.59
Rasht,2020-04-06,19.5,10.2,14.0,11.6,11.6,0.0,14.7,33.8,88,1019.8,88,14.07,19.9,63,37.28,49.59
Rasht,2020-04-07,9.5,5.5,7.6,35.2,35.2,0.0,17.7,31.0,97,1030.0,100,3.11,7.7,63,37.28,49.59
Rasht,2020-04-08,6.9,5.2,6.1,21.5,21.5,0.0,22.6,41.8,97,1033.0,100,2.93,4.9,61,37.28,49.59
Rasht,2020-04-09,14.5,5.2,9.1,0.0,0.0,0.0,13.8,33.5,80,1022.0,92,16.12,13.3,3,37.28,49.59
Rasht,2020-04-10,14.1,5.9,9.5,0.7,0.7,0.0,13.4,27.4,84,1014.9,78,11.93,12.2,51,37.28,49.59
Rasht,2020-04-11,13.5,7.1,10.0,1.2,1.2,0.0,14.3,28.1,88,1014.1,97,7.95,12.0,51,37.28,49.59
Rasht,2020-04-12,17.1,8.1,12.0,3.5,3.5,0.0,14.5,29.2,84,1018.5,91,13.47,16.6,61,37.28,49.59
Rasht,2020-04-13,10.6,8.9,9.6,27.0,27.0,0.0,23.0,42.5,96,1025.7,100,3.58,8.8,63,37.28,49.59
Rasht,2020-04-14,18.0,7.9,11.8,0.0,0.0,0.0,14.9,30.2,83,1023.9,61,19.09,17.4,3,37.28,49.59
