city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
Saatli,2020-01-01,12.4,0.7,5.6,0.0,0.0,0.0,9.1,23.4,83,1014.1,18,8.34,9.5,3,39.94,48.37
Saatli,2020-01-02,12.4,1.5,6.8,0.0,0.0,0.0,13.2,24.5,79,1019.2,28,8.18,9.8,3,39.94,48.37
Saatli,2020-01-03,6.7,5.1,5.6,1.1,1.1,0.0,8.6,17.3,87,1026.5,99,1.79,4.2,51,39.94,48.37
Saatli,2020-01-04,6.3,4.8,5.4,3.2,3.2,0.0,10.5,19.8,92,1020.9,100,1.16,4.0,53,39.94,48.37
Saatli,2020-01-05,9.1,2.5,5.1,5.3,5.3,0.0,11.9,22.0,89,1015.0,84,3.83,7.1,55,39.94,48.37
Saatli,2020-01-06,11.1,1.9,4.9,0.0,0.0,0.0,8.9,13.0,87,1021.9,54,7.63,9.2,3,39.94,48.37
Saatli,2020-01-07,9.1,-0.2,3.5,0.0,0.0,0.0,10.0,16.2,91,1022.3,44,7.07,6.9,3,39.94,48.37
Saatli,2020-01-08,10.4,-1.9,3.5,0.0,0.0,0.0,9.0,14.4,84,1017.4,82,7.53,7.9,3,39.94,48.37
Saatli,2020-01-09,8.4,2.2,5.1,0.8,0.8,0.0,9.8,23.4,88,1017.2,93,5.06,5.6,51,39.94,48.37
Saatli,2020-01-10,7.1,0.8,3.5,0.0,0.0,0.0,9.6,17.3,89,1020.4,77,5.84,4.6,3,39.94,48.37
Saatli,2020-01-11,9.3,2.8,5.2,0.0,0.0,0.0,10.1,22.3,78,1023.4,62,7.7,6.0,3,39.94,48.37
Saatli,2020-01-12,9.4,0.0,4.3,0.0,0.0,0.0,11.3,27.7,79,1019.3,78,8.26,6.2,3,39.94,48.37
Saatli,2020-01-13,8.6,2.9,5.3,0.4,0.4,0.0,8.0,16.2,86,1021.7,89,3.32,6.9,51,39.94,48.37
Saatli,2020-01-14,10.4,0.8,4.4,0.0,0.0,0.0,10.5,19.4,79,1028.1,3,9.4,7.8,0,39.94,48.37
Saatli,2020-01-15,8.9,0.4,4.3,0.0,0.0,0.0,9.1,18.4,80,1028.8,90,5.78,5.9,3,39.94,48.37
