city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Sabirabad,2020-01-01,12.1,1.1,5.5,0.0,0.0,0.0,10.5,21.2,85,1014.1,36,8.11,9.3,3
Sabirabad,2020-01-02,12.4,1.2,6.5,0.0,0.0,0.0,13.1,24.8,80,1019.2,29,8.13,10.0,3
Sabirabad,2020-01-03,6.8,5.0,5.7,1.8,1.8,0.0,6.7,15.8,86,1026.6,100,1.86,4.3,51
Sabirabad,2020-01-04,6.8,4.8,5.6,2.7,2.7,0.0,9.8,19.1,91,1020.9,100,1.26,4.4,53
Sabirabad,2020-01-05,8.6,3.0,5.4,4.7,4.7,0.0,10.7,19.4,90,1015.0,83,3.57,6.9,53
Sabirabad,2020-01-06,11.0,2.0,5.4,0.0,0.0,0.0,9.0,14.4,86,1022.0,58,7.09,8.9,3
Sabirabad,2020-01-07,9.4,0.4,3.5,0.0,0.0,0.0,9.4,14.8,91,1022.3,49,6.97,7.2,3
Sabirabad,2020-01-08,10.1,-2.0,3.1,0.0,0.0,0.0,9.7,14.4,86,1017.5,83,7.19,7.1,3
Sabirabad,2020-01-09,8.8,3.1,5.1,0.3,0.3,0.0,9.6,22.0,85,1017.2,94,5.02,5.8,51
Sabirabad,2020-01-10,7.7,1.3,4.1,0.0,0.0,0.0,9.3,18.0,89,1020.4,83,5.24,4.8,3
Sabirabad,2020-01-11,9.4,3.2,5.5,0.0,0.0,0.0,9.0,20.9,77,1023.4,67,6.76,6.2,3
Sabirabad,2020-01-12,9.4,0.2,4.3,0.0,0.0,0.0,11.2,26.3,81,1019.3,79,7.96,6.0,3
Sabirabad,2020-01-13,8.9,3.2,5.5,0.2,0.2,0.0,9.5,19.8,83,1021.8,90,3.56,7.1,51
Sabirabad,2020-01-14,10.4,0.9,4.3,0.0,0.0,0.0,10.0,18.4,82,1028.1,12,8.83,8.0,3
Sabirabad,2020-01-15,8.9,-0.3,4.2,0.0,0.0,0.0,9.0,18.7,78,1028.8,89,5.71,6.0,3
Sabirabad,2020-01-16,6.9,3.5,4.9,1.8,1.8,0.0,11.5,21.6,87,1035.7,99,3.17,4.4,51
