city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Sadarak,2020-01-01,5.7,-1.5,1.5,0.5,0.2,0.21,10.0,20.5,73,1016.6,52,6.85,2.4,71
Sadarak,2020-01-02,4.6,-0.9,1.3,0.0,0.0,0.0,9.1,19.4,70,1020.8,77,4.59,1.0,3
Sadarak,2020-01-03,4.2,-0.8,1.2,0.8,0.2,0.49,11.1,22.0,84,1024.3,86,4.0,1.4,71
Sadarak,2020-01-04,4.6,-1.9,0.4,0.0,0.0,0.0,12.9,24.8,84,1019.0,87,6.57,1.2,3
Sadarak,2020-01-05,4.3,-1.5,0.7,0.0,0.0,0.0,8.8,16.2,76,1017.1,69,7.18,1.2,3
Sadarak,2020-01-06,4.8,-2.6,0.3,0.0,0.0,0.0,10.0,18.0,67,1024.4,23,9.19,1.4,2
Sadarak,2020-01-07,5.4,-2.4,0.3,0.0,0.0,0.0,7.9,18.4,71,1025.9,46,8.5,2.4,3
Sadarak,2020-01-08,4.5,-2.5,-0.2,0.0,0.0,0.0,9.2,19.1,69,1020.7,90,7.55,1.5,3
Sadarak,2020-01-09,4.8,-2.8,-0.3,0.0,0.0,0.0,10.6,20.2,64,1018.0,92,8.55,1.5,3
Sadarak,2020-01-10,5.2,-2.2,0.9,0.0,0.0,0.0,16.3,32.8,60,1019.9,41,8.75,0.3,3
Sadarak,2020-01-11,5.4,-2.7,0.5,0.0,0.0,0.0,14.1,27.7,56,1023.1,24,9.89,0.5,3
Sadarak,2020-01-12,4.8,-3.8,-0.3,0.0,0.0,0.0,8.7,18.7,53,1022.4,70,8.39,0.6,3
Sadarak,2020-01-13,4.9,-2.8,0.6,1.7,0.0,1.19,22.6,42.1,68,1022.0,71,5.24,-0.8,73
Sadarak,2020-01-14,4.1,-4.8,-1.0,0.0,0.0,0.0,7.9,19.8,47,1031.5,8,10.38,-0.1,2
Sadarak,2020-01-15,3.3,-5.3,-1.6,0.0,0.0,0.0,8.0,20.9,48,1031.2,57,9.78,-0.5,3
Sadarak,2020-01-16,2.3,-5.2,-1.4,0.0,0.0,0.0,7.5,14.4,55,1033.8,46,7.14,-1.0,3
Sadarak,2020-01-17,5.6,-4.4,-0.6,0.0,0.0,0.0,14.4,28.1,69,1028.5,54,9.3,2.4,3
Sadarak,2020-01-18,3.2,-5.6,-2.2,0.0,0.0,0.0,10.7,22.7,53,1023.6,35,10.29,-1.3,3
Sadarak,2020-01-19,2.7,-2.5,-0.7,0.0,0.0,0.0,6.6,14.4,62,1024.0,88,6.43,-0.3,3
Sadarak,2020-01-20,3.5,-2.4,-0.7,0.0,0.0,0.0,9.7,18.4,78,1028.4,49,8.58,0.7,3
Sadarak,2020-01-21,5.2,-4.0,-0.6,0.0,0.0,0.0,12.0,26.3,67,1026.1,7,10.89,0.9,1
Sadarak,2020-01-22,4.4,-3.8,-0.7,0.0,0.0,0.0,16.8,34.6,52,1024.5,13,11.17,-1.0,3
Sadarak,2020-01-23,4.8,-4.5,-0.7,0.0,0.0,0.0,13.0,28.8,49,1016.6,28,11.06,0.1,3
Sadarak,2020-01-24,2.8,-1.8,0.4,1.5,0.0,1.05,27.9,52.9,49,1020.2,84,6.06,-3.6,73
Sadarak,2020-01-25,2.3,-6.2,-2.0,0.0,0.0,0.0,18.9,40.0,36,1030.6,4,11.56,-3.0,1
Sadarak,2020-01-26,4.3,-5.4,-1.0,0.0,0.0,0.0,11.2,23.4,37,1029.0,23,11.67,-0.5,3
Sadarak,2020-01-27,5.8,-3.7,0.5,0.0,0.0,0.0,9.8,16.2,38,1029.0,2,11.68,1.7,1
Sadarak,2020-01-28,5.2,-3.0,0.7,0.0,0.0,0.0,9.7,18.7,41,1026.5,39,11.44,1.3,3
Sadarak,2020-01-29,5.2,-3.2,0.9,0.0,0.0,0.0,9.5,18.4,48,1021.2,51,9.84,1.3,3
